 	a66	a87	a23	a79	a69	a58	a54	a98	a92	a12	a96	a21	a5	a21	a12	a96	a90	a92	a21	a85	a6	a36	a44	a15	a7	a84	a87	a23	a87	</S>
c'	0.0606714	0.111275	0.0902629	0.0717112	0.0378358	0.0409584	0.0262122	0.0204932	0.0216936	0.0197842	0.0138335	0.0120899	0.0129541	0.0092146	0.012246	0.00650694	0.00716673	0.00709043	0.0120621	0.0207742	0.0233704	0.0443255	0.0324681	0.0729218	0.0285534	0.018858	0.0558129	0.032839	0.0279345	0.0480805
est	0.0485259	0.0292383	0.0230703	0.0259066	0.0387165	0.0538316	0.0326373	0.0399704	0.0320386	0.0253284	0.0316774	0.0301407	0.0448581	0.0359338	0.0302985	0.0443224	0.058557	0.0616699	0.0327424	0.01497	0.0178149	0.0204259	0.0296154	0.028086	0.0271102	0.0243326	0.0288246	0.031239	0.0409341	0.0171835
l'	0.0656815	0.0887096	0.0483477	0.0433198	0.02607	0.0186269	0.00567203	0.00714579	0.00679071	0.00878698	0.0181358	0.0207429	0.0159736	0.0262932	0.0145951	0.0134267	0.0125453	0.0194345	0.0344866	0.0264984	0.0203413	0.0263239	0.0482446	0.0162034	0.0376022	0.0930648	0.0488472	0.049175	0.0829319	0.0559826
oncle	0.0325764	0.0243119	0.046339	0.0308585	0.0272522	0.023622	0.0358344	0.0246414	0.0395859	0.0383068	0.0256094	0.0381021	0.0385884	0.0292807	0.0739445	0.0887745	0.0560812	0.0722077	0.0486427	0.0304044	0.0255024	0.0165806	0.0278009	0.0109031	0.0164325	0.0188528	0.0132388	0.014418	0.0166716	0.014635
d'	0.094942	0.0719698	0.0536812	0.0222163	0.0285618	0.0443203	0.00958826	0.0123043	0.0169673	0.0185174	0.0236217	0.0247319	0.0450502	0.0364217	0.0197032	0.0140927	0.0157874	0.0134	0.0175739	0.0154683	0.0110273	0.0253852	0.029774	0.0202613	0.0385058	0.0523334	0.0371214	0.0451862	0.0889407	0.052545
adoua	0.0429029	0.0255705	0.0169097	0.0189295	0.0310791	0.0727332	0.0195615	0.0428999	0.0732273	0.0993486	0.0835981	0.0847649	0.0921521	0.0849993	0.0408562	0.0176034	0.00953059	0.0154665	0.0190028	0.00783673	0.0060282	0.00849522	0.00893021	0.0102585	0.00615419	0.00704801	0.0138561	0.00980806	0.0170593	0.0133895
qui	0.0574408	0.0299042	0.0127209	0.010701	0.00974616	0.0115884	0.0131988	0.0154359	0.030575	0.0342053	0.0397857	0.065053	0.0365359	0.0515865	0.077764	0.113744	0.0610592	0.115085	0.0639	0.0205322	0.0174924	0.0162399	0.0141132	0.013298	0.0135912	0.00716537	0.0137064	0.020155	0.00958965	0.00408691
a	0.0971387	0.0492467	0.0314906	0.0286962	0.032698	0.0373598	0.0302032	0.025245	0.0283219	0.0287084	0.0355915	0.0426547	0.0210281	0.0440149	0.0412527	0.0558768	0.0678467	0.0503757	0.033965	0.0125807	0.0111862	0.0179113	0.0213679	0.036193	0.0148365	0.0153868	0.0292838	0.0221039	0.0224946	0.0149406
érigé	0.0689629	0.109387	0.149057	0.0672156	0.0187945	0.0117731	0.00842302	0.00563713	0.00685245	0.00718797	0.0067021	0.00751887	0.00613513	0.007628	0.0110882	0.0103337	0.0059388	0.00639416	0.0136431	0.0163425	0.0143219	0.0271527	0.0314289	0.0302172	0.0410889	0.0329199	0.0553126	0.075239	0.0963232	0.0509807
les	0.0560617	0.0411617	0.0433726	0.0298669	0.0209826	0.0196676	0.0180692	0.0109071	0.00955396	0.00778938	0.0113626	0.0121095	0.00834357	0.0143183	0.0221378	0.0304081	0.0374896	0.0274679	0.0279368	0.0233963	0.0272023	0.038581	0.0448073	0.0787851	0.0415496	0.0314678	0.066301	0.0891232	0.055966	0.0538134
murs	0.0686581	0.0513377	0.059307	0.0298668	0.0152115	0.0164939	0.018426	0.00960379	0.0114046	0.011352	0.0106472	0.0139312	0.00988251	0.0175965	0.0241937	0.0346696	0.0173271	0.0167535	0.0202759	0.0165255	0.0240096	0.0352198	0.0534068	0.0634692	0.0455757	0.043401	0.0587133	0.0829856	0.0673872	0.052368
de	0.086441	0.0393409	0.0278269	0.0104916	0.00594956	0.00782654	0.00858711	0.00817355	0.00869253	0.00652596	0.00681366	0.00607799	0.00742171	0.00939162	0.0139124	0.0123416	0.0101067	0.00994258	0.0154588	0.0221014	0.0257231	0.0498731	0.0620657	0.0771085	0.0493312	0.0620697	0.0692756	0.135202	0.101742	0.0441854
cette	0.0559382	0.0426215	0.0394014	0.015068	0.0071421	0.00744019	0.0068027	0.00601696	0.00582814	0.00502595	0.00620744	0.00408436	0.00613607	0.00597628	0.00457141	0.00374837	0.00410486	0.00402905	0.00875739	0.0163066	0.0168031	0.0340074	0.0654914	0.0560626	0.0670213	0.0859618	0.0831634	0.129932	0.093479	0.112872
