 	a66	a87	a23	a18	a83	a71	a83	a94	a98	a18	a98	a24	a71	a50	a99	a50	a83	a99	a18	a57	a13	a53	a44	a70	a99	a11	a44	a13	a83	a9	a87	a23	a87	a23	a87	</S>
je	0.0391373	0.035631	0.0270662	0.0172487	0.0185911	0.0195533	0.0226827	0.0261187	0.0386916	0.0315356	0.0278973	0.0375445	0.035774	0.0414908	0.0352884	0.0183149	0.018362	0.0119191	0.00966319	0.0129131	0.0138416	0.0357501	0.0340736	0.0436877	0.0320883	0.0405837	0.048479	0.0674902	0.0268076	0.0299623	0.0235735	0.0141935	0.0151669	0.018936	0.0131278	0.0168148
suis	0.0560978	0.0762873	0.0924887	0.0746073	0.0384651	0.0468957	0.0453656	0.0446529	0.0391234	0.0333294	0.0220604	0.0158293	0.0101877	0.0185715	0.0150118	0.0235051	0.0273127	0.0244731	0.022059	0.0381086	0.0179247	0.0110377	0.0129777	0.0147396	0.0181924	0.0124133	0.0154717	0.0102985	0.0127104	0.00845282	0.0118952	0.0121627	0.0138074	0.0197335	0.0204386	0.0233113
dans	0.039845	0.0351952	0.0274843	0.0317838	0.0295236	0.026548	0.0348039	0.0228884	0.0207677	0.0194337	0.0175274	0.0170746	0.0183348	0.0226219	0.0222238	0.0215871	0.0256518	0.0229343	0.0268542	0.031887	0.0213943	0.0199842	0.0159306	0.00841503	0.0148723	0.0223178	0.0243831	0.0410294	0.044812	0.0355963	0.0328881	0.0350821	0.019835	0.0481102	0.0725983	0.0277809
la	0.0928669	0.0315583	0.0131252	0.024322	0.017427	0.0114667	0.0116683	0.0196674	0.013215	0.0142939	0.0123255	0.0158521	0.0218013	0.0207383	0.0277984	0.0247384	0.0393602	0.0371349	0.0402817	0.0591544	0.0347883	0.0220046	0.0207181	0.0263781	0.028035	0.033857	0.031333	0.0333677	0.0334373	0.0251094	0.0280351	0.0265784	0.027485	0.02718	0.0251481	0.027749
joie	0.0327765	0.0241249	0.0130609	0.0179929	0.036241	0.0353481	0.0227133	0.0486067	0.038718	0.0309609	0.046161	0.0501774	0.0528694	0.0265737	0.037495	0.0511886	0.0604356	0.0449421	0.0564446	0.0196052	0.0247825	0.0157914	0.0161449	0.0103306	0.0148433	0.0230432	0.0263857	0.015456	0.0162318	0.00919577	0.0117527	0.0190601	0.0144467	0.0123787	0.0111603	0.0125603
parce	0.21678	0.0731883	0.02924	0.0288874	0.026129	0.013569	0.0122494	0.0190678	0.0162023	0.0152016	0.018649	0.021223	0.0230334	0.0185249	0.0182983	0.0207295	0.0296204	0.0343959	0.0189114	0.0262614	0.00848079	0.0116863	0.00696494	0.0074651	0.00947664	0.0155903	0.0141164	0.0151227	0.0199904	0.0185356	0.0260079	0.042487	0.0225039	0.0305076	0.0492675	0.0216345
que	0.102423	0.0540422	0.0582758	0.0396461	0.0135261	0.0162148	0.0163329	0.0146073	0.0127395	0.0115161	0.0119407	0.0101048	0.013323	0.0137912	0.00990899	0.00917372	0.00670079	0.0156817	0.0165026	0.0206469	0.00678308	0.0181906	0.0197192	0.00997298	0.00965174	0.0166678	0.0166015	0.0232431	0.0390107	0.0452444	0.0586407	0.0884774	0.0378889	0.0428942	0.0636441	0.0362713
je	0.0826853	0.0447312	0.0326104	0.0230893	0.0092476	0.00866977	0.0100487	0.00665141	0.0061719	0.0077796	0.00583649	0.00646698	0.0114417	0.0125183	0.0124448	0.0197363	0.0335825	0.0340612	0.0537069	0.0615198	0.0178665	0.0495555	0.0460477	0.0245015	0.0344772	0.0312146	0.0268252	0.0295391	0.0356593	0.0311447	0.03266	0.0453361	0.0267245	0.0248351	0.0464819	0.014131
me	0.0584268	0.0283534	0.0151417	0.00723337	0.00225723	0.00203095	0.00304348	0.00161638	0.0023393	0.00346581	0.00222991	0.00411204	0.0063989	0.00818563	0.0151719	0.0184118	0.0286159	0.0264134	0.037882	0.0544328	0.0257121	0.0686816	0.0764631	0.0226079	0.0390892	0.0211081	0.025542	0.0241982	0.0526903	0.0429602	0.0425092	0.0476524	0.0252729	0.0548904	0.088492	0.0163677
suis	0.0490212	0.0263382	0.0167138	0.0142194	0.010425	0.00819722	0.00433451	0.0023323	0.00281646	0.00476434	0.00383697	0.0078727	0.0145426	0.0183089	0.0301933	0.0362767	0.0510429	0.0454017	0.0649039	0.0519987	0.0233467	0.0476676	0.0425475	0.0169596	0.0317607	0.0127617	0.0204567	0.0237682	0.0481754	0.0342616	0.031783	0.0419646	0.0253926	0.04241	0.0650689	0.0281345
fait	0.0275642	0.0134406	0.0091826	0.00728033	0.00721741	0.00569667	0.00500153	0.00417378	0.00694316	0.00850491	0.0123812	0.0137897	0.0127872	0.0251378	0.0177259	0.0116373	0.0146664	0.018104	0.0141599	0.0537725	0.053735	0.0746988	0.0510748	0.0220061	0.0319644	0.0149207	0.0213562	0.0142055	0.0440957	0.0370698	0.040825	0.0610669	0.0422233	0.0642039	0.0821437	0.0552428
baptiser	0.0209635	0.0120123	0.01136	0.00770009	0.00434993	0.00389918	0.0052216	0.00536569	0.00849812	0.00911413	0.0108713	0.0106185	0.00756437	0.0116972	0.0100478	0.00795583	0.00846901	0.0122722	0.00824997	0.0225409	0.0180103	0.0313838	0.031157	0.0376348	0.0373778	0.030661	0.0492713	0.043876	0.0853462	0.0593936	0.0760478	0.0520042	0.0429196	0.0697756	0.0793462	0.0570234
</S>	0.0216488	0.00974274	0.0128983	0.00775118	0.00352561	0.0030658	0.00549943	0.00632362	0.0115373	0.0106166	0.0119343	0.0129897	0.00926435	0.013375	0.0123293	0.00968809	0.00794818	0.00954434	0.0050035	0.0143457	0.0142257	0.031898	0.0289531	0.0526515	0.0360833	0.0381354	0.0578288	0.0381733	0.0623759	0.0385834	0.0621823	0.0358714	0.0506912	0.091099	0.0950789	0.0671369
