 	a66	a87	a97	a10	a54	a36	a79	a37	a5	a18	a5	a85	a6	a36	a37	a44	a38	a20	a44	a13	a38	a10	a9	a10	a87	</S>
nous	0.0248582	0.0303051	0.0440406	0.0286355	0.0293636	0.0490718	0.0526011	0.0860029	0.0536142	0.0318025	0.0680864	0.038672	0.0246479	0.0167884	0.0144056	0.0124092	0.0184092	0.030118	0.0327275	0.0393469	0.0257243	0.0221057	0.0402856	0.0410739	0.0590654	0.0858388
allons	0.0483555	0.0474272	0.0530657	0.0531559	0.0333945	0.0262403	0.0254986	0.0267257	0.037506	0.0310531	0.0339581	0.0264515	0.0159067	0.0239346	0.0353919	0.0433117	0.0247342	0.0269599	0.0258925	0.0115869	0.0590663	0.0692249	0.0377779	0.0529176	0.112887	0.0175756
nous	0.0595763	0.0494886	0.0275675	0.02188	0.00985308	0.00997829	0.0094463	0.0173458	0.0202641	0.011462	0.0118941	0.00341031	0.00580553	0.0102257	0.0180025	0.016118	0.0399294	0.0354752	0.0247375	0.0188172	0.0607093	0.0608564	0.058977	0.0801165	0.273158	0.0449052
battre	0.0450675	0.0510634	0.0283324	0.0666571	0.0497993	0.0428507	0.041903	0.0205805	0.0325509	0.0208041	0.024854	0.0351419	0.0328112	0.027389	0.041725	0.0324984	0.0149101	0.0117077	0.0197568	0.0198171	0.0287605	0.0468753	0.0672074	0.0623059	0.0535403	0.0810903
sous	0.0882581	0.0806744	0.04306	0.0300998	0.0169546	0.0158256	0.0241169	0.0197007	0.0190787	0.022017	0.0253674	0.0153113	0.0246328	0.0302874	0.0259187	0.0152036	0.0119842	0.0147581	0.017658	0.0383068	0.0480397	0.0528529	0.103238	0.0596004	0.047154	0.109901
le	0.0652955	0.0463206	0.0444575	0.0425517	0.029067	0.0304592	0.0414607	0.0800088	0.0670866	0.037279	0.0426329	0.015615	0.0221384	0.0217643	0.0289592	0.019324	0.0125748	0.0143193	0.0250458	0.0409298	0.0437999	0.0474667	0.0575101	0.0407027	0.0332796	0.0499514
soleil	0.0893007	0.078651	0.0512759	0.0277439	0.0111752	0.0147024	0.0230485	0.0637786	0.0819835	0.0602527	0.0428629	0.00988824	0.0152275	0.0220111	0.0365747	0.0139872	0.0122878	0.0109353	0.0113368	0.0347775	0.02577	0.0364056	0.0935305	0.0631702	0.0343312	0.0349907
toi	0.178576	0.137856	0.0663445	0.0532054	0.0170442	0.0139852	0.0166477	0.0172354	0.0127162	0.0145812	0.0211346	0.0163934	0.0216916	0.0241539	0.046128	0.0387477	0.0328337	0.0278664	0.0115542	0.0163745	0.0358585	0.0304028	0.0333859	0.0338511	0.0614052	0.0200269
et	0.0957265	0.0879399	0.0587211	0.0387865	0.0178011	0.010981	0.00815414	0.00600184	0.00382367	0.00403261	0.00553632	0.00237697	0.00402363	0.00422887	0.00694369	0.00491217	0.0063063	0.012299	0.0260209	0.0580851	0.0657199	0.0668851	0.127195	0.0724223	0.0704555	0.134621
moi	0.100357	0.103485	0.0866314	0.0429236	0.0205986	0.0121289	0.00695792	0.005841	0.00512379	0.00438457	0.0053593	0.00208318	0.00546756	0.00802715	0.0195411	0.00839775	0.0126484	0.0205816	0.019792	0.0629884	0.0543496	0.0553733	0.0936718	0.0618788	0.0563417	0.125067
</S>	0.111549	0.083239	0.0515025	0.0204102	0.0160046	0.0138569	0.00944433	0.00568797	0.010517	0.0106689	0.0157518	0.00685469	0.0095819	0.011085	0.0176444	0.0164994	0.0175761	0.0266613	0.0342207	0.06132	0.0859481	0.0889932	0.0520826	0.0476301	0.0690408	0.10623
