 	a66	a87	a23	a83	a70	a93	a90	a25	a69	a93	a90	a56	a75	a92	a37	a36	a25	a98	a56	a75	a5	a75	a47	a96	a93	a70	a13	a9	a3	a97	</S>
la	0.0247176	0.0445157	0.050896	0.0646642	0.0658112	0.0460173	0.0422702	0.0441997	0.0282597	0.0153828	0.0164989	0.0167846	0.0110055	0.00908755	0.0123808	0.0111588	0.0136434	0.00968163	0.0106663	0.0157231	0.0251572	0.0316118	0.0443145	0.036547	0.053008	0.0337205	0.0435226	0.0326093	0.0310484	0.0401946	0.0749012
mère	0.00625574	0.0160837	0.0380849	0.0991381	0.0666703	0.0746333	0.0812153	0.103559	0.106546	0.117492	0.0714141	0.0655336	0.0338581	0.0260305	0.0223441	0.0190554	0.0124918	0.00808873	0.00806318	0.00514914	0.00306348	0.00243224	0.00248309	0.000926904	0.000747137	0.0007432	0.00130593	0.000460608	0.00265809	0.00231797	0.00115446
a	0.0233527	0.0214011	0.0324236	0.0311133	0.0389672	0.0342772	0.0660499	0.0370045	0.045496	0.0830444	0.0471389	0.0826575	0.0629439	0.0580108	0.0454471	0.0631077	0.0491682	0.0429633	0.0271531	0.0147849	0.0145707	0.00753801	0.0118364	0.00772396	0.00526403	0.00537031	0.00963485	0.00450192	0.00812987	0.0118495	0.00707518
gardé	0.0208413	0.0106326	0.0110271	0.00543893	0.00659633	0.00679883	0.0139327	0.00834693	0.0167737	0.0358856	0.0285034	0.0562918	0.0641631	0.072044	0.0784008	0.136126	0.0831558	0.0572052	0.0501017	0.0518403	0.0181109	0.0207745	0.026273	0.0118318	0.0119515	0.0105072	0.0105525	0.0130144	0.0120182	0.0217717	0.0290886
le	0.051897	0.0419108	0.0349092	0.0354707	0.0294478	0.0187614	0.0228278	0.0158856	0.0106318	0.0075116	0.00482702	0.00242305	0.00285042	0.0033135	0.0074085	0.00428632	0.00659398	0.0107511	0.0163279	0.0158701	0.0291494	0.0467924	0.0654533	0.109202	0.0651168	0.029815	0.0521951	0.0442711	0.0296812	0.0565288	0.127889
manioc	0.0595601	0.0336302	0.0208701	0.0208773	0.0317531	0.0258983	0.0651536	0.0298766	0.0389027	0.0496345	0.0383241	0.0256878	0.019421	0.0254363	0.0314301	0.034854	0.0183207	0.026074	0.0231361	0.0239597	0.0316124	0.0298101	0.0348331	0.0459836	0.0239365	0.0237292	0.0358347	0.0243801	0.0321776	0.0284629	0.0464397
dans	0.0423757	0.03328	0.0260049	0.0342432	0.0359103	0.0212352	0.0576739	0.0336009	0.0316878	0.0300153	0.0266342	0.0108221	0.00765632	0.00735833	0.0104667	0.00737261	0.00523461	0.00781292	0.0122798	0.0164261	0.029011	0.0405218	0.0319481	0.0626961	0.0468767	0.0452744	0.0607634	0.0397779	0.0421692	0.0417199	0.101151
le	0.0371676	0.0186584	0.0152114	0.0166119	0.0187125	0.0129588	0.0224668	0.0163864	0.0137425	0.00909904	0.00864124	0.00414037	0.00311645	0.00411876	0.00611756	0.00477466	0.00402502	0.00822113	0.0141096	0.0172984	0.0310263	0.0299578	0.0415402	0.0634283	0.0590172	0.0833839	0.0910676	0.0766906	0.0835325	0.0788794	0.105898
panier	0.0558548	0.0257799	0.0136414	0.0120879	0.0148871	0.0126932	0.0145436	0.0133616	0.00966779	0.00878648	0.00852046	0.00632829	0.0107882	0.0146253	0.0265796	0.0150382	0.0175774	0.0219058	0.0329945	0.0245902	0.0387613	0.0381503	0.0505147	0.0897176	0.0639285	0.0753336	0.081306	0.0618361	0.0774131	0.0434264	0.0193607
de	0.0404989	0.0293197	0.0230316	0.0249192	0.031966	0.0221484	0.0229444	0.0196479	0.0128874	0.00832252	0.00816646	0.00608618	0.00432683	0.00412316	0.00598305	0.00365363	0.00286028	0.00524168	0.0132642	0.016653	0.0379548	0.0255886	0.0491136	0.0539733	0.0599679	0.0568445	0.0841473	0.0605271	0.0932012	0.105994	0.0666427
pêche	0.0530168	0.0431612	0.0381648	0.0404242	0.0525947	0.0461387	0.0460233	0.0322145	0.031353	0.0169223	0.0183887	0.0181378	0.0118204	0.0134862	0.0149375	0.0151438	0.00855544	0.0130393	0.0173516	0.0206071	0.0239581	0.0209563	0.0314275	0.0377677	0.0387397	0.0413059	0.0451267	0.0364825	0.0568742	0.0625908	0.0532892
</S>	0.0281032	0.016526	0.0192727	0.0212571	0.0326353	0.0259781	0.0212568	0.0135292	0.0113928	0.00757231	0.00638902	0.00318302	0.00396132	0.00478481	0.00744601	0.00576739	0.00663221	0.00827584	0.010754	0.0135649	0.0276025	0.0244039	0.0405583	0.0551409	0.0746671	0.067311	0.0826159	0.0716005	0.0812688	0.0661382	0.140411
