 	a66	a87	a23	a99	a50	a70	a99	a34	a79	a37	a70	a99	a54	a37	a26	a3	a99	a83	a50	a90	a4	a53	a70	a34	a70	a99	a13	a9	a3	a99	a87	a23	a87	</S>
celui-ci	0.0214955	0.0450175	0.054553	0.0623959	0.0727383	0.0632301	0.0500722	0.0410394	0.0362145	0.0595074	0.039757	0.0255637	0.0263737	0.0171875	0.0174046	0.0169367	0.0147996	0.0104758	0.00959065	0.0171229	0.0245705	0.0286337	0.0362572	0.0352684	0.0230582	0.0232524	0.0164446	0.0126769	0.0138208	0.0135429	0.0113281	0.0173195	0.00983886	0.0325121
est	0.0302333	0.0284301	0.0163215	0.0191025	0.018184	0.0148073	0.0121572	0.0174476	0.0131232	0.0208787	0.0188367	0.0397837	0.0248274	0.0321978	0.027783	0.0225603	0.0230086	0.0221192	0.022003	0.016204	0.0253156	0.0274457	0.027291	0.0408801	0.0376731	0.033999	0.0348375	0.0542146	0.0503075	0.0445604	0.0447539	0.0480908	0.05439	0.0362317
mon	0.0552347	0.0439238	0.0641016	0.0486957	0.0712294	0.0483689	0.039869	0.0397678	0.0247318	0.0210273	0.014643	0.0156906	0.0140554	0.0196971	0.0194975	0.0177279	0.0153711	0.0174954	0.0233931	0.0188035	0.0156484	0.0174229	0.0115774	0.0137322	0.0135861	0.0146932	0.0130267	0.0205416	0.0190941	0.0294799	0.0441245	0.0356554	0.0692601	0.0488331
champ	0.133799	0.0838156	0.0910737	0.0811734	0.0583395	0.0268259	0.0193595	0.0130836	0.0110506	0.0210615	0.0257378	0.0248877	0.0387337	0.0276887	0.0233057	0.0221952	0.033854	0.0325206	0.0301376	0.0173559	0.0135016	0.00672475	0.00730068	0.00787794	0.00460852	0.00876165	0.0104095	0.0122976	0.0106434	0.0214429	0.0100364	0.0159117	0.0145625	0.0399214
celui-là	0.0444663	0.0308056	0.0170519	0.0205797	0.0145898	0.0105504	0.0107829	0.0109271	0.00853797	0.00683706	0.00546729	0.00597147	0.00567061	0.0140958	0.0127767	0.0114965	0.0201222	0.0149798	0.0156355	0.0138579	0.025983	0.0304466	0.0360481	0.0408089	0.033896	0.0313233	0.0326506	0.052353	0.0498635	0.0746661	0.0420057	0.099783	0.113964	0.0410054
est	0.100004	0.0480055	0.0277767	0.0293698	0.0246171	0.0196256	0.0162442	0.0117469	0.0115504	0.0114415	0.00987653	0.00966965	0.0120772	0.0281458	0.0318653	0.0323539	0.036049	0.0326092	0.0337648	0.0335518	0.0259119	0.0244792	0.0186083	0.0202336	0.0151391	0.0173015	0.0192414	0.0245368	0.0304471	0.0407498	0.036939	0.0742157	0.071652	0.0201996
à	0.0302204	0.0178994	0.0128972	0.0131282	0.00954615	0.00699383	0.00750755	0.00686491	0.0061812	0.00641393	0.00742465	0.00865649	0.00879155	0.0131382	0.0125186	0.0155223	0.019484	0.0156552	0.0109241	0.0182477	0.0299558	0.0285519	0.0363836	0.0368179	0.0299903	0.0363753	0.0499416	0.0603807	0.0746677	0.0730981	0.0786144	0.0565073	0.0826444	0.0780552
mon	0.0555367	0.032124	0.0227613	0.0198484	0.0191434	0.0155462	0.0164401	0.0099359	0.00969958	0.00804694	0.00655205	0.00719022	0.00752047	0.0103319	0.00947805	0.0119468	0.0201715	0.0137301	0.0119246	0.0119078	0.0177568	0.01832	0.0241824	0.0279063	0.028488	0.0308749	0.0514849	0.049678	0.0674524	0.0505505	0.0756542	0.0608047	0.0740095	0.103001
oncle	0.0511689	0.030533	0.0271268	0.0244611	0.0153593	0.0151208	0.0141976	0.00967064	0.00960478	0.0113484	0.0116919	0.0121359	0.0151454	0.0161548	0.0175048	0.0192454	0.022551	0.0221184	0.0221335	0.0184822	0.0204558	0.0133607	0.0151308	0.0181149	0.0149012	0.0252451	0.0472818	0.0524677	0.0622681	0.0561375	0.0734222	0.0587171	0.0873956	0.0693472
</S>	0.0333953	0.0155907	0.0079151	0.0098587	0.0073651	0.00487298	0.00499164	0.0043741	0.00370567	0.00554692	0.00437825	0.0060815	0.00581349	0.0106547	0.0111563	0.0115903	0.0256979	0.0246984	0.0235532	0.0164433	0.038634	0.0328634	0.0290693	0.0298745	0.0292075	0.0318965	0.055247	0.0607536	0.0808142	0.0783077	0.0871216	0.078739	0.0945434	0.0352449
