 	a66	a57	a87	a97	a87	a97	a87	a23	a30	a99	a30	a93	a11	a56	a96	a98	a83	a11	a75	a73	a54	a44	a75	a44	a54	a73	a7	a69	a58	a40	a54	a41	a96	a62	a83	a70	a75	a98	a41	a94	a62	a56	a36	a26	a30	a97	a82	a97	a87	a23	a87	</S>
avant	0.00689088	0.00857053	0.00709508	0.00751905	0.00840548	0.00648622	0.00884776	0.00710641	0.00390257	0.00730365	0.0201394	0.0597734	0.0832717	0.0825132	0.0687489	0.130445	0.114913	0.0578018	0.0400199	0.0305528	0.0358229	0.0253034	0.0254326	0.012634	0.0101804	0.00287726	0.00335435	0.00302456	0.00419207	0.00454043	0.00386346	0.00600014	0.00415618	0.00302952	0.00904204	0.00355063	0.00258569	0.00340738	0.00292828	0.00387166	0.00451262	0.0042384	0.00616796	0.00811764	0.00661924	0.00532939	0.00542829	0.00520257	0.00420496	0.00560045	0.0037004	0.0107753
de	0.0110378	0.00684541	0.00872365	0.00591165	0.00492069	0.00307647	0.00556882	0.00654249	0.0056874	0.0101794	0.0196788	0.0221007	0.0202442	0.0209233	0.0367628	0.0289655	0.0540827	0.0448586	0.0309601	0.0255994	0.0274322	0.0407965	0.0433845	0.0386571	0.0534527	0.0229724	0.0380268	0.0221504	0.0153324	0.0129345	0.0114154	0.013418	0.0115457	0.00738367	0.00731817	0.00451764	0.00860135	0.0105214	0.013398	0.0141576	0.0135207	0.0149494	0.0166034	0.0144126	0.0111374	0.0169554	0.0154698	0.0176112	0.0228386	0.0197966	0.0237393	0.0228796
manger	0.0190251	0.0157422	0.015008	0.0124549	0.00973103	0.00896987	0.00853217	0.0110274	0.0102667	0.0136737	0.025092	0.0378387	0.0285618	0.0462938	0.0251226	0.0235976	0.0587877	0.0398197	0.0412797	0.0301326	0.0379548	0.0365304	0.0396817	0.0301625	0.0400995	0.0363441	0.0430774	0.0316968	0.0196406	0.0184104	0.0142191	0.0137044	0.0191283	0.00815602	0.00366333	0.00588801	0.00590346	0.00606749	0.0027154	0.00337927	0.00270209	0.00400089	0.00472308	0.00472493	0.00640533	0.00465184	0.00606016	0.00771925	0.0100415	0.0109175	0.0163381	0.0243349
la	0.0580772	0.049873	0.041215	0.0196212	0.00983668	0.0136901	0.00980583	0.0174427	0.0136823	0.0118884	0.0173739	0.0108429	0.0109742	0.0123689	0.0244327	0.0168386	0.0175782	0.0176111	0.0127635	0.0167787	0.0218258	0.0286274	0.0370808	0.0356729	0.0314616	0.0299974	0.0272231	0.0126963	0.00972359	0.00832469	0.00672694	0.0183893	0.0154138	0.00925385	0.0130116	0.0160281	0.0191587	0.0457568	0.0301444	0.0160423	0.0127366	0.011126	0.0102164	0.0112319	0.0105796	0.0151555	0.0138426	0.0129489	0.0179656	0.0128831	0.016757	0.0193021
nourriture	0.025107	0.0217401	0.0136532	0.00847691	0.0130309	0.0157865	0.0131406	0.0171351	0.00776403	0.00989632	0.00592283	0.00830576	0.00935636	0.0108026	0.0133496	0.00835017	0.0154136	0.0129071	0.0102136	0.0110763	0.0500778	0.0471502	0.0701472	0.100847	0.0855377	0.0687783	0.0407462	0.0315393	0.0257067	0.0264861	0.0127061	0.0138488	0.0136988	0.00981124	0.00588972	0.00363592	0.00493365	0.00406862	0.00487651	0.00613308	0.00959949	0.00863818	0.00869234	0.00728682	0.00859652	0.0103745	0.00961001	0.0124251	0.00990347	0.012575	0.014489	0.00976222
d'	0.02479	0.0134402	0.0126519	0.00432405	0.00353015	0.00328323	0.00351735	0.00401019	0.00340775	0.00502029	0.0128616	0.019569	0.0235559	0.038632	0.0266761	0.0257914	0.0397893	0.051564	0.035814	0.0312695	0.0765363	0.0729629	0.126731	0.0893029	0.0690432	0.0259771	0.00921325	0.00676437	0.00462949	0.00319449	0.00249342	0.00657647	0.0056591	0.00244026	0.00554025	0.00576964	0.004874	0.00659221	0.00456177	0.00468107	0.0063661	0.00512747	0.00856757	0.00397374	0.00289772	0.00425109	0.00478698	0.00998912	0.00913552	0.00893746	0.0127311	0.00619526
hier	0.0359729	0.0157936	0.0191112	0.0076393	0.00528363	0.00577278	0.00601669	0.00738465	0.0062635	0.00766902	0.0158694	0.0136665	0.0160224	0.0164483	0.019036	0.0197006	0.0264173	0.0328867	0.0221152	0.0204241	0.0315821	0.0314575	0.0381291	0.0435142	0.0508707	0.0292502	0.0185136	0.0138678	0.0105237	0.00991833	0.00697523	0.0110056	0.00937924	0.00370922	0.0154157	0.0223399	0.0204686	0.0422462	0.0213202	0.0111268	0.025849	0.0146367	0.0198515	0.0145959	0.00985281	0.0121931	0.0118737	0.0246319	0.0257933	0.0315765	0.0295624	0.0184753
il	0.0289455	0.0215568	0.0229225	0.0150998	0.00838617	0.0101248	0.0105938	0.0173587	0.0102929	0.0148911	0.0246271	0.0184822	0.0157847	0.0114818	0.0157613	0.0190153	0.0236465	0.0295491	0.0221093	0.0250157	0.0245389	0.0225808	0.0294006	0.0283906	0.0285907	0.0168133	0.0114431	0.00736335	0.00421336	0.00463749	0.00537348	0.0128123	0.0116269	0.00392216	0.0125143	0.0171128	0.0139479	0.0252146	0.0140105	0.0148843	0.0249569	0.0157892	0.022553	0.0208612	0.0157228	0.0299117	0.0283065	0.0375883	0.0319879	0.031103	0.0337768	0.0324065
faut	0.01384	0.0191175	0.0209595	0.0215015	0.0201955	0.0158775	0.0221336	0.0216758	0.0131382	0.0135879	0.0173545	0.0145618	0.0160305	0.0131715	0.0145277	0.0299331	0.0240243	0.0228056	0.02041	0.0239379	0.0242781	0.0188955	0.0229359	0.0255994	0.0261321	0.0227452	0.0201794	0.0157388	0.00959435	0.00889063	0.00853672	0.0139784	0.0136796	0.00642617	0.00892285	0.00979235	0.0090781	0.0142758	0.00910611	0.00961286	0.0182134	0.0104486	0.0124504	0.0221275	0.0163227	0.0221942	0.0295738	0.0284539	0.0256183	0.0407032	0.0394901	0.0572215
la	0.0259355	0.0327096	0.0276746	0.0204931	0.0117754	0.00967184	0.0117064	0.0156644	0.00738251	0.0109878	0.0157975	0.0150544	0.0147535	0.0153291	0.0242277	0.0288214	0.0307562	0.0209024	0.0127833	0.0148051	0.0142265	0.0151582	0.0216261	0.0196879	0.0197066	0.0120488	0.00932239	0.00499555	0.00435958	0.00262529	0.00260628	0.00624701	0.00732434	0.00182854	0.00672305	0.013561	0.00936532	0.0176578	0.0144234	0.00903854	0.0233516	0.0126092	0.0212666	0.0339736	0.0211433	0.0287716	0.0317429	0.0380653	0.0323175	0.0454683	0.0521087	0.0794176
