 	a66	a87	a10	a87	a23	a61	a5	a23	a75	a92	a21	a75	a85	a92	a75	a61	a47	a61	a62	a34	a75	a92	a56	a43	a75	a85	a98	a47	a56	a93	a4	a13	a99	a87	a23	a54	a7	a90	a92	a56	a75	a6	a36	a26	a57	a87	a23	a87	</S>
coupez	0.0404788	0.0449445	0.0228767	0.0215217	0.0231267	0.0216691	0.0149441	0.0350876	0.0410878	0.0874136	0.0625166	0.0540628	0.0434196	0.0380986	0.0260412	0.0189972	0.0198034	0.015587	0.0149335	0.0141256	0.016946	0.0114938	0.00926308	0.0105924	0.010337	0.00684361	0.0059461	0.00800563	0.00834998	0.00581828	0.0179092	0.0180642	0.0130245	0.0120052	0.0155197	0.0160607	0.0204795	0.0133183	0.00687929	0.00732021	0.00831675	0.0114022	0.00992138	0.00903183	0.0169005	0.0100224	0.0110352	0.00955085	0.0189061
cette	0.0138573	0.0139528	0.014989	0.0109561	0.0126826	0.00715325	0.00633108	0.0145388	0.00948842	0.00886458	0.0091928	0.0059475	0.00624113	0.00598113	0.0133098	0.0132267	0.0330066	0.0470331	0.0342739	0.0400111	0.0481426	0.0408393	0.0397013	0.033088	0.0372736	0.0422484	0.034289	0.0263571	0.016432	0.0219014	0.0137366	0.0153715	0.0173113	0.0193865	0.0100005	0.0150903	0.00913353	0.0100155	0.0200414	0.00754932	0.0258336	0.0187489	0.0275824	0.0140112	0.0214613	0.0168324	0.0293585	0.0313199	0.015905
plante	0.00572585	0.00425909	0.00899409	0.00445638	0.00798096	0.0121751	0.0131954	0.0132941	0.016175	0.0272644	0.0229386	0.0215128	0.0257278	0.0212443	0.0363546	0.0265885	0.0371002	0.0429279	0.0379585	0.0409239	0.0491476	0.0378485	0.0530484	0.0489118	0.079022	0.0371787	0.0421798	0.0498711	0.0381188	0.0426671	0.0241461	0.0173926	0.0162546	0.0101458	0.00816923	0.00516628	0.00383669	0.00105069	0.000625361	0.000378222	0.000598754	0.000502604	0.000946383	0.000702931	0.00130414	0.000728673	0.000864722	0.00104847	0.00134651
parasite	0.0332999	0.0200503	0.0150881	0.012719	0.0133765	0.0135507	0.0132617	0.0160704	0.0197397	0.0147965	0.0109884	0.0150922	0.0151953	0.0176205	0.0176234	0.019233	0.0306835	0.0416325	0.0511186	0.0794448	0.0677345	0.0565033	0.0523478	0.0245236	0.0297864	0.0195585	0.0210876	0.0214746	0.0224254	0.0284651	0.0230584	0.0237534	0.0206007	0.00923237	0.00796368	0.00499959	0.00775303	0.00607145	0.00697553	0.00572461	0.00778606	0.00631069	0.00746452	0.0130807	0.00424293	0.00615207	0.00601756	0.00573106	0.01259
qui	0.0183921	0.0101469	0.00735643	0.00653412	0.00569136	0.00481598	0.00388777	0.00525723	0.00736773	0.00533972	0.00639153	0.0097729	0.00906841	0.0131044	0.0269773	0.0390073	0.0535935	0.0828989	0.088026	0.0761084	0.0614002	0.0703436	0.0715066	0.0480455	0.0478696	0.0325799	0.0284778	0.0153615	0.0126908	0.0213529	0.0226821	0.021946	0.016054	0.00835119	0.00572782	0.00443025	0.00630051	0.00205546	0.00131601	0.000964525	0.00114331	0.0012082	0.00305536	0.00129656	0.00340829	0.00164322	0.00243951	0.00298624	0.00362489
pousse	0.0102197	0.00532375	0.00511412	0.00255845	0.00280643	0.00431446	0.00286076	0.00468576	0.00545731	0.00586446	0.00539374	0.00579494	0.00753804	0.0101102	0.0200181	0.0282926	0.0505196	0.0641374	0.0666842	0.0625086	0.0801793	0.0641407	0.0622631	0.0603207	0.0644661	0.053752	0.0408574	0.0284031	0.029662	0.0255906	0.0204536	0.0178062	0.0109672	0.0061641	0.00534049	0.00611024	0.00990335	0.00435269	0.00200466	0.00181457	0.00150174	0.00296252	0.00393541	0.00271074	0.00546818	0.00256576	0.00461926	0.0044631	0.00701851
sur	0.0152426	0.00989999	0.00820418	0.00629359	0.00689242	0.00800358	0.00496993	0.00815547	0.00666766	0.00549841	0.00560252	0.00501733	0.00566451	0.00773245	0.0162252	0.0231755	0.0431641	0.0532423	0.0551145	0.0581965	0.0531473	0.0572915	0.0606547	0.0429601	0.0405423	0.0580986	0.0388381	0.0288819	0.0276993	0.0248481	0.019237	0.0182201	0.013291	0.0103632	0.00805735	0.00880973	0.0103639	0.00917658	0.00677585	0.00575897	0.00794769	0.0142451	0.00929207	0.0118011	0.0137894	0.00765204	0.0119983	0.0112217	0.016074
le	0.024031	0.0207279	0.00840138	0.00811303	0.00854108	0.0074441	0.00269942	0.0104346	0.00778675	0.00627989	0.00704546	0.00427653	0.00669841	0.00982745	0.0156282	0.0168912	0.0367963	0.0475904	0.0469262	0.0580277	0.0388301	0.0453506	0.0411932	0.0291135	0.0350057	0.0486701	0.0247777	0.0163184	0.0125359	0.0119704	0.0174969	0.0143199	0.0109812	0.0125672	0.0115559	0.0105487	0.0135988	0.0144949	0.00931641	0.0105005	0.0207569	0.0355966	0.0182933	0.0303343	0.0215916	0.0187636	0.0213781	0.0184927	0.0314799
safoutier	0.010518	0.00579677	0.00471944	0.00291681	0.00348439	0.00367302	0.0028158	0.00488839	0.00461501	0.00364238	0.00394157	0.00396045	0.00713718	0.0109466	0.0185323	0.0216011	0.0378508	0.0515123	0.0505409	0.0726719	0.0504416	0.0552495	0.0523401	0.0406437	0.0437616	0.0420287	0.0358756	0.0211811	0.0216293	0.0212641	0.0231574	0.0237969	0.0156988	0.0141605	0.0105584	0.0119598	0.0122605	0.0147622	0.011747	0.00939405	0.0150388	0.0182477	0.0159497	0.0214541	0.0144016	0.013466	0.0134165	0.0138692	0.0164804
pour	0.019654	0.0145737	0.00764365	0.00623443	0.00670221	0.00640349	0.00341296	0.0074057	0.00578729	0.00453242	0.0058797	0.00459399	0.00628508	0.00875027	0.0126094	0.0125805	0.0246986	0.0303183	0.0323795	0.0433306	0.0342677	0.0323238	0.0293628	0.0184526	0.0235701	0.0202743	0.0179515	0.0111519	0.0126458	0.0119778	0.0200279	0.0160639	0.0104895	0.0104975	0.0112491	0.0115235	0.01258	0.0144622	0.0131889	0.0163373	0.0228049	0.0451496	0.0373148	0.0464616	0.0542303	0.0287952	0.0394735	0.0362867	0.0773095
