 	a15	a66	a87	a23	a10	a87	a10	a75	a73	a7	a54	a5	a56	a0	a75	a85	a47	a92	a37	a90	a94	a4	a13	a9	a87	a23	a87	a23	a13	a70	a54	a47	a79	a94	a56	a43	a75	a25	a69	a98	a47	a92	a6	a36	a2	a57	a87	a23	a40	a6	a37	a5	a18	a27	a82	a87	a23	a87	</S>
le	0.0250442	0.021672	0.0126908	0.00743203	0.00807847	0.00718731	0.00995449	0.0181014	0.0266494	0.0318917	0.0634575	0.0489405	0.0467308	0.0374196	0.0192992	0.0188052	0.0170154	0.0231201	0.0217942	0.0193801	0.0281572	0.0317073	0.0298313	0.0307994	0.0325782	0.0195894	0.0121683	0.00884032	0.0122249	0.0110399	0.0103816	0.013939	0.011361	0.0127982	0.00984124	0.00997912	0.00758254	0.0051114	0.00377156	0.00280976	0.00320531	0.00322983	0.00969044	0.0162037	0.0198788	0.0114701	0.00812789	0.00845308	0.00773628	0.0105472	0.0102248	0.00961531	0.0143802	0.0122884	0.0134377	0.0149963	0.0106114	0.0104041	0.0163231
feuillage	0.00141029	0.00471465	0.00461575	0.00258807	0.00787634	0.0147512	0.024994	0.0862925	0.0973725	0.137122	0.0742564	0.104465	0.16404	0.0649693	0.102776	0.00914689	0.0124386	0.00397749	0.00277108	0.00191116	0.00471557	0.00411252	0.00765324	0.00508119	0.00658214	0.00395892	0.0033099	0.00341397	0.00324373	0.00277286	0.00174269	0.00115113	0.00110225	0.000905846	0.00115906	0.000771277	0.00112503	0.000850213	0.00189636	0.00448406	0.00418156	0.00188027	0.00138893	0.00196144	0.00181357	0.00198451	0.00112307	0.00146097	0.000385129	0.000385642	0.000149759	0.000151006	0.000203016	4.91023e-05	5.6128e-05	4.50737e-05	4.07403e-05	0.000116747	0.000101253
des	0.0179324	0.0197442	0.0146524	0.00769732	0.0118389	0.0162474	0.0158169	0.0141912	0.0159234	0.0210274	0.0318814	0.0374269	0.040607	0.16039	0.0450982	0.0470912	0.0265797	0.0285831	0.0141581	0.0162545	0.0181042	0.0101013	0.0225358	0.0218914	0.0242303	0.0130533	0.0195873	0.0223418	0.0269208	0.028502	0.0105919	0.0152542	0.0145927	0.0227886	0.0148791	0.0128887	0.0171223	0.0153367	0.0119028	0.00803001	0.00577342	0.00542054	0.00294703	0.00307246	0.0046221	0.00225187	0.00229814	0.0017061	0.00147724	0.00211139	0.00110418	0.000622809	0.000868356	0.00188223	0.00169613	0.00118528	0.0014609	0.00340751	0.00229525
arbres	0.0170767	0.020694	0.0161714	0.0195637	0.0150209	0.0175227	0.0204173	0.00781925	0.00709049	0.0101785	0.0100486	0.0130109	0.0102722	0.0292523	0.0279235	0.0194718	0.0180111	0.0126647	0.0152368	0.021331	0.0216921	0.0261902	0.0481388	0.0198917	0.0179203	0.0153688	0.0192443	0.0244752	0.0171754	0.0114074	0.00803769	0.0193637	0.0131587	0.0162011	0.0335032	0.0313018	0.0271024	0.0198521	0.0174902	0.0101815	0.00833774	0.00865852	0.0108268	0.0095434	0.00877466	0.0142426	0.0135929	0.0128578	0.00432488	0.00923037	0.00491729	0.00548118	0.00680293	0.00630196	0.00722571	0.00842568	0.0241291	0.062957	0.0268948
est	0.0243405	0.0266946	0.0164126	0.0148953	0.0134679	0.0199676	0.0212058	0.0147201	0.0186204	0.0189525	0.0173318	0.0200474	0.0117146	0.00953904	0.0123509	0.0121975	0.0165231	0.0161579	0.0181341	0.0269523	0.0250512	0.0366151	0.0328858	0.0206251	0.0210847	0.0206093	0.0166786	0.0261422	0.0261902	0.01671	0.0116029	0.0177171	0.0144439	0.0202719	0.0239173	0.0127135	0.0139364	0.00886411	0.00614171	0.00319338	0.00275978	0.00243237	0.00264208	0.00198898	0.00500878	0.00543022	0.008676	0.00841257	0.00647394	0.0147723	0.0136719	0.0432282	0.0317182	0.0160841	0.0274896	0.0332995	0.0210879	0.0144168	0.0147865
encore	0.0149169	0.00717813	0.00519135	0.00469287	0.00353505	0.00327618	0.00488787	0.00443195	0.00425964	0.00380545	0.00247848	0.00252759	0.0024548	0.00262079	0.00612506	0.0104078	0.0130907	0.0139128	0.0256201	0.0428498	0.0178217	0.0481942	0.0361348	0.03975	0.034131	0.0405431	0.0471145	0.0614848	0.0546406	0.0390397	0.0242707	0.0277342	0.0291851	0.0243463	0.0183613	0.0159293	0.0119014	0.00704694	0.00571256	0.00424514	0.00342627	0.00294809	0.00414509	0.00402195	0.00414988	0.0053364	0.00748646	0.0114503	0.0175082	0.0155712	0.0161281	0.0199551	0.0127572	0.0179703	0.0214664	0.02638	0.0158041	0.0136305	0.0140139
couvert	0.014462	0.00689972	0.0073517	0.00468291	0.00326046	0.00287087	0.00351948	0.00254793	0.00196989	0.00202417	0.00233552	0.00485985	0.00409254	0.00673434	0.0169379	0.0220673	0.0324318	0.0382619	0.0508951	0.0755664	0.0248149	0.0669276	0.048084	0.0404589	0.019403	0.042182	0.0341358	0.0458455	0.0325245	0.0203327	0.0102773	0.0128749	0.0176394	0.0136555	0.0150637	0.0129458	0.00893391	0.0102067	0.00998415	0.00625753	0.00472191	0.00433298	0.00440526	0.00601421	0.00733713	0.00567421	0.00718193	0.00752117	0.0211413	0.0244538	0.0129503	0.0112031	0.00657924	0.0130954	0.00932081	0.0133794	0.0101491	0.0115369	0.0226822
de	0.0259717	0.0158014	0.0106656	0.00611544	0.00594407	0.00637651	0.0068511	0.00333229	0.00346695	0.00328683	0.00196048	0.00263341	0.00189944	0.00610648	0.00844473	0.0139121	0.0173983	0.0224248	0.028241	0.0511531	0.0230158	0.0477303	0.0359539	0.0380652	0.0289276	0.0395051	0.0387061	0.0501184	0.0515546	0.025815	0.0196216	0.0244289	0.0234673	0.0157175	0.0181434	0.0154786	0.0153804	0.0130387	0.00973217	0.00393118	0.00291143	0.00202303	0.00570312	0.00638968	0.0067829	0.00497215	0.00629367	0.00475288	0.0116031	0.019504	0.0154022	0.00846483	0.00965777	0.0091971	0.0122105	0.0173997	0.0172166	0.0233829	0.0358151
rosée	0.0151974	0.0071665	0.00613391	0.00437096	0.0025301	0.00199271	0.00195079	0.00211971	0.00226042	0.0019414	0.000795876	0.00129477	0.00121338	0.00200151	0.00487675	0.00954874	0.0123412	0.0147714	0.0248295	0.050456	0.0201917	0.0418367	0.0294195	0.0299825	0.047246	0.0237928	0.0291764	0.048651	0.030996	0.0203245	0.0133799	0.0191487	0.0247899	0.0215336	0.0212063	0.0139375	0.017131	0.0168462	0.0171736	0.0117314	0.00623078	0.00616343	0.00688753	0.0123933	0.00986425	0.00692159	0.00786154	0.0109502	0.0347594	0.0302408	0.0278607	0.00956977	0.0117525	0.0110031	0.0272962	0.0126401	0.0167153	0.0231178	0.0614832
attends	0.0294702	0.0150834	0.0109426	0.00461465	0.00440122	0.0035659	0.00320235	0.00315811	0.00424304	0.00423359	0.0027144	0.00325395	0.00219538	0.00685247	0.00595996	0.00826943	0.0109409	0.0162284	0.0146565	0.0312119	0.021137	0.0377591	0.0273991	0.0292655	0.051055	0.0337387	0.036661	0.0287703	0.0324064	0.0248721	0.0145198	0.024466	0.0228109	0.0193269	0.0181957	0.0109887	0.0101661	0.0116018	0.00819807	0.00267113	0.00233941	0.00162516	0.00781812	0.00815987	0.0128802	0.00532246	0.00310323	0.00418882	0.0131475	0.0172647	0.0167379	0.0190713	0.0224	0.0138033	0.0474941	0.0293115	0.0317981	0.0415955	0.0507313
que	0.0131798	0.0173488	0.0115667	0.00872489	0.0126211	0.0119587	0.0142811	0.0126596	0.0134729	0.011746	0.0108987	0.00882421	0.00535821	0.00976849	0.0157489	0.0114737	0.0231064	0.0179368	0.0145965	0.0187456	0.0171142	0.0194638	0.0253426	0.0257877	0.0407972	0.0282293	0.0269441	0.035472	0.0233818	0.0489958	0.0337188	0.0246404	0.0262746	0.0311988	0.0189655	0.0171693	0.021115	0.0266582	0.0245808	0.0144903	0.0138248	0.0100835	0.0107171	0.0126133	0.011102	0.00744592	0.00729423	0.00836211	0.00715531	0.0118285	0.00618694	0.00377388	0.00548295	0.00476321	0.00957303	0.00567792	0.0103374	0.0294142	0.0300067
le	0.0112158	0.00756438	0.00608767	0.00589348	0.00699302	0.00759151	0.00702962	0.00705929	0.00863084	0.00781429	0.00549441	0.00471792	0.00317376	0.00517014	0.00480739	0.00466598	0.00715286	0.0100265	0.00855935	0.0210562	0.0170538	0.021718	0.0180869	0.0199488	0.0241236	0.0283444	0.0283025	0.0175311	0.0275604	0.0335041	0.0442636	0.0462578	0.0354707	0.0319991	0.0226749	0.0234827	0.0181632	0.0168892	0.00971574	0.00565548	0.00481382	0.00445178	0.00689334	0.00892027	0.0101342	0.0072432	0.0037298	0.00649441	0.00808875	0.0105883	0.015488	0.0245689	0.0235799	0.0210652	0.0418406	0.0342689	0.0411861	0.0461406	0.0390536
soleil	0.0185953	0.0126945	0.0111642	0.0103598	0.0111669	0.0115939	0.0133591	0.0104162	0.0110839	0.0112945	0.0115541	0.0117054	0.0097464	0.00884232	0.00668873	0.00506565	0.00827788	0.0127554	0.0141303	0.0256434	0.0150233	0.0170009	0.0168195	0.0193263	0.0161891	0.0240158	0.0225537	0.0206312	0.0271496	0.0295581	0.0537162	0.0422567	0.0388421	0.0347017	0.0402903	0.0414669	0.0382852	0.0292904	0.0244113	0.014918	0.0110061	0.00774871	0.00880325	0.0065315	0.0111242	0.0068222	0.00627902	0.0115686	0.00356545	0.00593361	0.00662105	0.00803966	0.00611946	0.00736078	0.0166546	0.0152318	0.0173124	0.0269988	0.0136945
brille	0.0165212	0.0196207	0.0162944	0.0164417	0.0248008	0.0308996	0.0411415	0.0281313	0.0260291	0.0279066	0.0261809	0.032735	0.030859	0.00913863	0.0102067	0.00702695	0.00931858	0.0141572	0.0163786	0.0219172	0.0174987	0.0168365	0.0178872	0.0168839	0.014191	0.0143379	0.0144059	0.0152306	0.0155435	0.0145922	0.020912	0.0211934	0.0219346	0.0227688	0.0311264	0.0200752	0.0278294	0.0130415	0.013621	0.0120351	0.0114192	0.00699477	0.0119976	0.00996666	0.0118646	0.0140298	0.0252731	0.0222577	0.00683865	0.0112964	0.00568011	0.00336229	0.00599199	0.00467149	0.00625905	0.00659544	0.00883258	0.0203466	0.0186718
pour	0.0122266	0.00714947	0.00664858	0.00539095	0.00495342	0.007311	0.00755155	0.00651775	0.00832387	0.00925671	0.00830681	0.0142409	0.0130788	0.00803764	0.00970616	0.00854166	0.0107011	0.0145644	0.0171311	0.0215033	0.0211826	0.0219698	0.0200068	0.0183632	0.0157686	0.0134396	0.014026	0.0173152	0.016044	0.0163384	0.0167925	0.0189895	0.0190392	0.0217687	0.0256715	0.0175261	0.0243033	0.022752	0.0191647	0.0170285	0.0164749	0.00970444	0.011388	0.0141036	0.0159771	0.0192306	0.0360423	0.0209267	0.0182494	0.0269914	0.0186491	0.00817976	0.0168297	0.0163808	0.0199263	0.0148473	0.027787	0.0520456	0.0576342
qu'	0.0166649	0.0121777	0.0110593	0.0110167	0.00938437	0.00901965	0.0101477	0.0100515	0.0118152	0.0136099	0.00998602	0.0120029	0.00881373	0.00667149	0.00401107	0.00450105	0.00460375	0.00660962	0.00956282	0.0159914	0.0128268	0.0139296	0.0111868	0.00988594	0.00915034	0.0112361	0.0108146	0.0119575	0.00978361	0.0104864	0.0119703	0.0137314	0.0158161	0.0202465	0.0219151	0.0159605	0.0180433	0.013579	0.0129683	0.0103634	0.00931734	0.00575417	0.00795967	0.0075181	0.00824885	0.0101281	0.0214524	0.0267726	0.0259432	0.032333	0.0320841	0.0255223	0.0268332	0.033055	0.0402277	0.0408898	0.0624159	0.0627843	0.0572079
on	0.0259402	0.0188324	0.0177533	0.016656	0.015416	0.0148835	0.0149316	0.0137139	0.0148778	0.0131797	0.00999193	0.0101995	0.0092862	0.00917489	0.00582892	0.00466022	0.00382107	0.00660976	0.0061236	0.0115496	0.00907038	0.0086578	0.00677452	0.00696774	0.00515239	0.00947279	0.00601659	0.00591819	0.00606357	0.00789954	0.0131029	0.0164762	0.0250058	0.0301553	0.034385	0.026137	0.023046	0.0204565	0.0224546	0.0152086	0.0104977	0.00745133	0.0101195	0.0109715	0.0119177	0.0123657	0.017356	0.0134797	0.0234755	0.0276351	0.03699	0.0132253	0.0237712	0.0290064	0.0433574	0.0388582	0.0483203	0.0441091	0.0352409
puisse	0.0395299	0.0229981	0.0185212	0.0163917	0.0158595	0.0210302	0.0217315	0.0208077	0.0221274	0.0158017	0.0117243	0.0111929	0.00802778	0.00731733	0.00612266	0.00656766	0.00643325	0.00937564	0.0119445	0.0140027	0.0115668	0.0106085	0.0102259	0.0104355	0.00799007	0.00922777	0.00736477	0.00874435	0.00827502	0.0130058	0.0144725	0.0153685	0.0257118	0.0279885	0.0346963	0.0264403	0.0196866	0.024514	0.0407707	0.0336265	0.028753	0.0203143	0.0287717	0.0236271	0.0318317	0.0241453	0.0258613	0.0143901	0.0109494	0.0183752	0.0119966	0.00511464	0.00763976	0.00558826	0.00925369	0.00969132	0.0120622	0.024836	0.0185707
partir	0.0424617	0.0235323	0.0213914	0.0205326	0.0228754	0.0200226	0.0199985	0.0191267	0.0274656	0.0222881	0.0135198	0.0115678	0.0125381	0.00862476	0.00662006	0.00546364	0.00548477	0.00662677	0.00676614	0.00768326	0.00916148	0.0127831	0.00967498	0.0123824	0.0115188	0.0198132	0.0114193	0.00726967	0.00930704	0.016945	0.0124752	0.0202224	0.0276193	0.0318223	0.0289446	0.0193641	0.0130678	0.0173483	0.014121	0.00939747	0.00854075	0.00713058	0.014879	0.0191073	0.0204682	0.0209833	0.0147916	0.00904445	0.0112433	0.0152131	0.0187707	0.00796478	0.0149776	0.0219574	0.0303863	0.0308423	0.0348414	0.0341086	0.025502
