 	a66	a87	a23	a83	a31	a12	a31	a47	a96	a70	a96	a56	a43	a75	a92	a96	a70	a4	a13	a9	a3	a97	a99	a3	a97	</S>
j'	0.0788142	0.0908235	0.0537037	0.0456708	0.0240942	0.0145139	0.0073439	0.0079438	0.00646018	0.00783728	0.00938071	0.0114156	0.00764749	0.0137483	0.0269205	0.0178501	0.0238585	0.0483422	0.060631	0.0532285	0.0746652	0.0518436	0.050942	0.0856867	0.0283445	0.0982898
ai	0.10218	0.0418607	0.0619955	0.0578879	0.060702	0.0332516	0.0550837	0.0382725	0.0322534	0.0425999	0.042905	0.0421864	0.0422009	0.0321406	0.0350408	0.0327016	0.0118952	0.0237786	0.00934416	0.0138961	0.0176367	0.0221025	0.0285517	0.0379076	0.0345288	0.0470957
mangé	0.0173151	0.016227	0.0202733	0.0214614	0.0155058	0.0239026	0.0405405	0.0394812	0.0305054	0.0501375	0.0622516	0.080495	0.0751724	0.0312495	0.0194912	0.0149441	0.0130172	0.0161161	0.016921	0.0260054	0.0390941	0.0405632	0.0563694	0.0542088	0.117304	0.0614471
le	0.095669	0.0409874	0.0256462	0.0269063	0.0294137	0.0236158	0.0226171	0.0141412	0.00721597	0.00828094	0.00990843	0.0121803	0.0257381	0.0338134	0.0247081	0.0300534	0.0392209	0.0460955	0.0186304	0.0458932	0.0465513	0.057352	0.0691733	0.0837249	0.076841	0.0856219
koko	0.0818271	0.0472555	0.0601992	0.054323	0.035386	0.0467421	0.0505816	0.0720221	0.0330463	0.0356288	0.0217842	0.0183923	0.015716	0.0135109	0.0090247	0.0147931	0.00913782	0.0197939	0.0135908	0.0155763	0.038545	0.0215162	0.0633654	0.0541889	0.103697	0.0503561
à	0.112542	0.0965187	0.0708866	0.0572208	0.0554225	0.0496687	0.0282369	0.0331476	0.0297368	0.0207905	0.0247527	0.0166646	0.0156883	0.0172377	0.0155697	0.0188431	0.0122204	0.0198124	0.0133429	0.0159864	0.0290565	0.0287194	0.050933	0.0563341	0.055678	0.0549901
la	0.0440658	0.0274591	0.0106057	0.00813346	0.00755586	0.0126374	0.00941114	0.00842048	0.00863018	0.0107539	0.0108484	0.00976585	0.011279	0.0195064	0.0230512	0.037676	0.0567663	0.0586152	0.0395593	0.071254	0.0761722	0.0628626	0.108107	0.108405	0.097688	0.0607711
sauce	0.0330634	0.0264181	0.0108003	0.00863608	0.00871671	0.00968627	0.00865826	0.0134551	0.014579	0.0180989	0.0169942	0.00981593	0.0179092	0.0155813	0.0101007	0.0234042	0.0690153	0.0730051	0.0613456	0.101166	0.114666	0.0876335	0.0859552	0.081259	0.04926	0.030777
d'	0.0130521	0.0140211	0.00897565	0.00281885	0.0026772	0.00373427	0.00316272	0.00259418	0.00306844	0.00297424	0.005585	0.00906587	0.0111647	0.0193131	0.0105444	0.0157021	0.0318439	0.0309841	0.0310678	0.121085	0.176162	0.0688176	0.129662	0.100183	0.119069	0.0626722
arachide	0.0148459	0.0124576	0.00453529	0.0029362	0.00244088	0.00532522	0.00259417	0.00218874	0.00284793	0.00496524	0.00895714	0.0143998	0.0211171	0.031405	0.0302816	0.0385035	0.0610393	0.0417504	0.0354512	0.121548	0.107671	0.0751277	0.105087	0.0799013	0.0995148	0.073108
</S>	0.0303895	0.0197763	0.00841318	0.00359569	0.0026156	0.00277592	0.00200275	0.00221762	0.0021481	0.00323401	0.00729564	0.0104042	0.0202014	0.0312815	0.0144366	0.0273323	0.049231	0.052716	0.0344818	0.121392	0.110662	0.0848188	0.102875	0.0795279	0.0900063	0.0861693
