 	a66	a10	a87	a23	a12	a5	a36	a47	a12	a75	a56	a93	a4	a11	a62	a21	a47	a21	a12	a18	a25	a82	a87	a23	a87	a40	a37	a61	a5	a37	a79	a98	a47	a6	a37	a12	a96	a75	a47	a6	a0	a44	a58	a82	a87	a23	a87	</S>
avec	0.0417381	0.0464078	0.0180048	0.0156541	0.0242595	0.018517	0.0425986	0.0390504	0.0367267	0.0272376	0.035101	0.0285191	0.0298965	0.058565	0.0674537	0.0315265	0.0239843	0.0154632	0.0165569	0.0146101	0.0104055	0.0124335	0.0135463	0.0109405	0.0149552	0.0177389	0.0111255	0.0109557	0.0099336	0.00922431	0.00629815	0.00706607	0.0146156	0.0173674	0.019281	0.0290052	0.0237599	0.00931681	0.00986999	0.00940061	0.00907529	0.0126814	0.00888334	0.008483	0.00821133	0.0114568	0.0102601	0.0318384
cette	0.0143398	0.0177967	0.00863231	0.0115632	0.0456145	0.0274314	0.0498535	0.0469642	0.0397814	0.0155602	0.0194913	0.00954956	0.0130314	0.017806	0.0256125	0.0257594	0.0361452	0.0401254	0.0373136	0.0327332	0.0420565	0.0386814	0.0423473	0.0250762	0.0273191	0.0512111	0.0228626	0.0234931	0.0138526	0.0116155	0.00907758	0.00623138	0.00546859	0.00392823	0.012637	0.0100827	0.00954831	0.00574768	0.0105544	0.0127643	0.00868256	0.00849162	0.01015	0.00910574	0.00783186	0.00893566	0.0154781	0.0116643
manière	0.0172556	0.0165558	0.012563	0.0164655	0.0348219	0.0400457	0.0569234	0.0415387	0.0253154	0.022173	0.0159523	0.00899853	0.00765712	0.0160419	0.0118795	0.0198489	0.028911	0.0201267	0.0130333	0.0404351	0.032498	0.0329887	0.041901	0.0423082	0.0654419	0.0649305	0.0409258	0.0464655	0.033629	0.0218417	0.0114861	0.00857833	0.0071652	0.00401422	0.00598814	0.00922299	0.00408167	0.00484576	0.00251026	0.00557387	0.00398389	0.00550786	0.00942164	0.00623539	0.00634031	0.00642611	0.00547126	0.00367442
d'	0.0268036	0.00908796	0.00589835	0.00488897	0.00573505	0.00774917	0.00514086	0.0095814	0.0126254	0.0116542	0.0143012	0.00835453	0.0150285	0.0148649	0.0128188	0.0275297	0.0601402	0.0521336	0.0652065	0.0309866	0.0262187	0.0308891	0.0246011	0.0209657	0.0167121	0.0196241	0.0246013	0.0341673	0.0343825	0.0386699	0.0288237	0.0315956	0.0185131	0.0120874	0.0189699	0.0130335	0.00662551	0.00221046	0.00356876	0.00511175	0.00650509	0.00559476	0.00737128	0.00918336	0.0510075	0.0146258	0.0605961	0.0332152
étendre	0.0346166	0.0166083	0.00608288	0.0038636	0.00285143	0.00399614	0.00341458	0.00303638	0.00363839	0.00168115	0.00319421	0.00536634	0.0118211	0.0164173	0.0191792	0.0282453	0.0304542	0.0251893	0.0293149	0.0290962	0.0305305	0.0282554	0.0364498	0.0482949	0.0378729	0.0581567	0.0605444	0.0568828	0.0405741	0.0448037	0.0247441	0.0233289	0.0140611	0.0204218	0.0241204	0.0145789	0.0242986	0.00889383	0.0118065	0.00985712	0.00749933	0.00604509	0.00778646	0.00930475	0.0122465	0.0085544	0.0319819	0.0200375
le	0.014668	0.00566534	0.00405575	0.00252156	0.00121999	0.00372364	0.00293513	0.00314189	0.00642534	0.00514633	0.006683	0.0139584	0.0231625	0.0245328	0.0135759	0.0318536	0.104694	0.114041	0.0681302	0.097385	0.0493658	0.0510803	0.0341534	0.0389242	0.0228233	0.0242109	0.0223885	0.0199693	0.0260437	0.0208349	0.0134927	0.018271	0.0171958	0.00896687	0.0137233	0.0147592	0.00875448	0.00181854	0.00259637	0.00242615	0.0028289	0.00171641	0.003075	0.0041583	0.00954357	0.00420778	0.0110301	0.00412216
filet	0.0223806	0.00815472	0.00697663	0.00755131	0.00254858	0.00971785	0.00856004	0.00542384	0.00727243	0.00791569	0.00667435	0.00708163	0.0115726	0.0151437	0.0146915	0.0245276	0.0473677	0.0564388	0.0691125	0.0428679	0.0465383	0.047303	0.0521984	0.0465295	0.020727	0.0267991	0.0336303	0.0337305	0.0261369	0.0186878	0.0158773	0.019593	0.0235471	0.0171939	0.0241776	0.0155066	0.00941261	0.00344689	0.00612188	0.00534249	0.00644071	0.00596629	0.0135232	0.0147674	0.0311787	0.0151687	0.0266172	0.0118575
aucun	0.0356282	0.020369	0.0114393	0.00607749	0.00625945	0.00518767	0.00772893	0.00824478	0.0112298	0.00931638	0.0126774	0.011282	0.0226456	0.03347	0.0321727	0.0729565	0.0945571	0.0654382	0.0636893	0.0493437	0.0462792	0.0263973	0.0219756	0.0245046	0.0136662	0.00996342	0.0166408	0.025467	0.0216712	0.0220933	0.0141499	0.0124037	0.0104322	0.00757951	0.00816186	0.00438487	0.00427934	0.00294867	0.00499691	0.00444037	0.0144868	0.00808069	0.0123348	0.0109619	0.0242395	0.017119	0.0207492	0.00987868
animal	0.0311353	0.0267415	0.0166851	0.00966814	0.00736812	0.00642272	0.00707955	0.0078626	0.00898324	0.00488903	0.0146636	0.0119733	0.0338911	0.0410464	0.0661063	0.0464817	0.0320298	0.0290874	0.0451115	0.0319502	0.0417408	0.0304645	0.036314	0.0305573	0.0264193	0.0220005	0.0229733	0.024028	0.0210132	0.0225936	0.0170398	0.0118035	0.00774476	0.00676231	0.00404052	0.00375141	0.00422189	0.00379088	0.00718279	0.0064167	0.00922319	0.0120328	0.0146062	0.00661854	0.0176873	0.0274176	0.0304386	0.0519401
ne	0.0228715	0.0169021	0.0179958	0.0093862	0.00734588	0.0119932	0.00752672	0.0116884	0.0159892	0.0181087	0.026702	0.0231258	0.0489666	0.0490701	0.0476964	0.0382426	0.027945	0.0306824	0.0361292	0.0326752	0.0370807	0.0302214	0.0341202	0.0279357	0.0243154	0.0158346	0.019337	0.0173348	0.0177881	0.0175931	0.017374	0.0158746	0.0129664	0.00843098	0.00664228	0.00542837	0.00371676	0.00237935	0.00458205	0.00512973	0.00782058	0.0111228	0.0182438	0.00994636	0.0306458	0.0287017	0.0286549	0.0397357
sera	0.0323189	0.0365153	0.0231992	0.0151271	0.0165646	0.0108605	0.0104648	0.0119279	0.0155816	0.00925837	0.0133471	0.0108816	0.017042	0.0261995	0.034866	0.0279634	0.029488	0.0351571	0.0291619	0.0220244	0.0225572	0.018934	0.016057	0.0132411	0.0108872	0.00920135	0.0138815	0.0157889	0.0104239	0.00991127	0.0079404	0.00719955	0.00827586	0.0121865	0.0105781	0.0123996	0.0172934	0.0127621	0.0233638	0.02413	0.0389997	0.0393227	0.0381424	0.029794	0.0342965	0.0467574	0.0220468	0.0456783
capturé	0.0395648	0.0297382	0.027702	0.0171628	0.0130344	0.0202578	0.0121347	0.0166744	0.0123013	0.0115216	0.0149709	0.0132475	0.0175984	0.0163208	0.0164767	0.0171803	0.0175302	0.0279278	0.0287089	0.020017	0.0228456	0.0237077	0.0225933	0.0167518	0.0132474	0.0129949	0.023615	0.0288633	0.0274018	0.0299546	0.0225543	0.0300693	0.034676	0.0490487	0.0353281	0.0309396	0.0279928	0.0110813	0.0128777	0.0112826	0.0112824	0.0114998	0.0143317	0.0137789	0.0129345	0.0174803	0.0172393	0.0235566
</S>	0.0460634	0.0311808	0.0170957	0.0135328	0.0101487	0.0104516	0.0142403	0.0219397	0.0161179	0.0177322	0.016674	0.0141059	0.0177328	0.0309755	0.0391803	0.0383902	0.0446309	0.0390533	0.0326647	0.0281819	0.0251665	0.0263354	0.0233865	0.0168896	0.0162544	0.0142982	0.0174396	0.0148452	0.00919177	0.00705617	0.00563066	0.00562926	0.00977588	0.0159419	0.0145642	0.0192725	0.0215208	0.0177328	0.021812	0.0143538	0.0232208	0.0173127	0.0141817	0.0161449	0.0216898	0.0230444	0.0260318	0.0411841
