 	a66	a87	a23	a83	a50	a31	a62	a75	a12	a31	a18	a0	a90	a69	a58	a57	a3	a87	a23	a40	a47	a37	a75	a85	a47	a85	a6	a36	a61	a62	a31	a0	a75	a6	a36	a26	a57	a87	a23	a87	a23	a99	a26	</S>
chaque	0.0498563	0.035904	0.0343968	0.0322376	0.0222702	0.0167357	0.0346321	0.031416	0.0247293	0.0230876	0.0225221	0.0109436	0.0143642	0.0101596	0.00806069	0.00811244	0.00969296	0.0113755	0.0124323	0.0189509	0.0236894	0.0208457	0.021726	0.0268389	0.0279515	0.030124	0.0341637	0.0339089	0.0219342	0.0227006	0.0171581	0.0186758	0.0198381	0.0150259	0.023964	0.0301561	0.0289213	0.0196992	0.0198821	0.0146546	0.0190379	0.0203365	0.0188909	0.0379967
matin	0.0284878	0.0316942	0.0569844	0.0233689	0.0398971	0.0270621	0.00935518	0.0130069	0.0123759	0.0185906	0.0317939	0.0305465	0.0456061	0.0512596	0.0494769	0.0556767	0.0815749	0.0897689	0.0673938	0.0379529	0.0193924	0.0108496	0.0110575	0.00949423	0.00759503	0.00612379	0.00582519	0.00624331	0.00360299	0.00372941	0.00266697	0.00321142	0.00612781	0.00318778	0.00464477	0.00512521	0.00668486	0.0119582	0.012731	0.00834268	0.0118645	0.0113198	0.0170052	0.00934307
le	0.0683579	0.0290118	0.0380276	0.0143622	0.0261028	0.0183025	0.0122018	0.0258274	0.0133173	0.0194354	0.0492448	0.0352585	0.0461299	0.0439346	0.0310845	0.0299449	0.0587002	0.0409693	0.0403779	0.0403592	0.0217805	0.0301945	0.0244063	0.0206158	0.0120355	0.0106196	0.00789361	0.00740302	0.00523784	0.00385878	0.00315564	0.00666168	0.00752877	0.00716164	0.0102131	0.00880942	0.0125395	0.0198021	0.0157058	0.0131637	0.017433	0.0152888	0.0243779	0.013163
père	0.0739154	0.0185874	0.00949284	0.008796	0.00962772	0.00901908	0.0082354	0.00616925	0.00940618	0.0105685	0.01578	0.0122513	0.0203094	0.0323971	0.039331	0.0358941	0.043461	0.0449551	0.0366393	0.0597739	0.0195303	0.0266623	0.0274472	0.0233045	0.0223064	0.0248552	0.0303419	0.0184589	0.0210461	0.0140811	0.0153615	0.0132766	0.015536	0.0150077	0.0187139	0.0163737	0.0115045	0.0192708	0.013568	0.028147	0.0201221	0.0188953	0.0166463	0.0449327
de	0.099638	0.0284535	0.0166838	0.0118869	0.0120053	0.0115588	0.0140984	0.00815004	0.00533996	0.00791412	0.0110397	0.00868903	0.013626	0.0215167	0.029176	0.0290768	0.0299733	0.0310429	0.0287633	0.0332847	0.0216349	0.0207838	0.0193144	0.0171049	0.0157458	0.0155573	0.0202211	0.0162423	0.029522	0.023771	0.0299606	0.0204611	0.0165796	0.0254335	0.0261876	0.0213148	0.0158539	0.0224537	0.0183082	0.017649	0.0195912	0.0242652	0.016774	0.0733531
ngala	0.0624971	0.0289269	0.0176949	0.0138243	0.0175614	0.0154062	0.0137114	0.0126877	0.0106225	0.0154696	0.023278	0.0118117	0.0189103	0.025419	0.0367125	0.0243252	0.0410868	0.0271471	0.0352984	0.0334245	0.0196584	0.0170325	0.0142997	0.0113949	0.0111611	0.0111269	0.0138526	0.0184415	0.0209737	0.0227663	0.0217564	0.0256607	0.0190785	0.0321603	0.0397322	0.0274837	0.0299219	0.0220502	0.0284458	0.0163132	0.0138987	0.0292723	0.0160163	0.0316864
part	0.0609274	0.0243204	0.0201741	0.0138974	0.0114024	0.00981728	0.0094438	0.00835261	0.00621807	0.010277	0.0159235	0.0125954	0.0220197	0.0264997	0.0370833	0.0246228	0.0493509	0.0206035	0.0353896	0.0161162	0.0162662	0.00947529	0.0111117	0.0112912	0.0143411	0.015594	0.0170101	0.029916	0.0273423	0.0307835	0.0268789	0.0330269	0.0301372	0.0415393	0.0398279	0.0278748	0.0259268	0.0208477	0.0245661	0.0204468	0.0195594	0.0249537	0.0227438	0.0235043
au	0.104498	0.054414	0.0438623	0.0350932	0.0219182	0.0132087	0.0133339	0.00684323	0.00567113	0.0102481	0.0155385	0.00894108	0.0181539	0.0156708	0.0192964	0.0190196	0.0351374	0.0227585	0.0313591	0.0213112	0.0209477	0.00894752	0.0133574	0.0141625	0.0193276	0.0152669	0.0249988	0.0247687	0.0193898	0.0172799	0.0154637	0.0128015	0.0196651	0.0143865	0.020349	0.0192022	0.0194084	0.0195082	0.0235674	0.0209626	0.0240084	0.0273779	0.0390585	0.0295166
travail	0.0473947	0.0117388	0.0122294	0.00801337	0.00656816	0.00538311	0.00854202	0.00543874	0.00720869	0.00913778	0.0147309	0.0129227	0.0189597	0.022089	0.0221264	0.0170566	0.0231687	0.0134499	0.0168597	0.0173037	0.0257173	0.0129492	0.0170191	0.0157036	0.0182439	0.0146582	0.0213888	0.0162571	0.025408	0.018048	0.0401583	0.0212251	0.0246667	0.0216616	0.0370827	0.0392107	0.0343237	0.0398471	0.0395917	0.0375768	0.0471072	0.0435907	0.0441948	0.0440478
</S>	0.0479688	0.0260282	0.0262629	0.0228389	0.0177063	0.0167386	0.0133324	0.0115462	0.0147615	0.0140778	0.0153138	0.00881574	0.00857055	0.00859035	0.00865052	0.00604087	0.0115025	0.00506552	0.00603308	0.00735899	0.0106088	0.00654676	0.00839285	0.00761149	0.0128808	0.0134083	0.0176184	0.0210984	0.0224158	0.0137831	0.0360647	0.02162	0.0235037	0.0146475	0.0282189	0.0376243	0.0474633	0.0366427	0.05881	0.0399538	0.0532512	0.0629382	0.067243	0.0404508
