 	a66	a87	a83	a9	a38	a93	a56	a96	a62	a88	a75	a92	a37	a56	a61	a0	a75	a25	a92	a56	a44	a53	a4	a57	a82	a87	a23	a99	a87	a97	</S>
la	0.0591737	0.046362	0.0445389	0.0378159	0.0276234	0.0333536	0.0268462	0.0204458	0.0181884	0.00954868	0.0108099	0.00607006	0.00639273	0.00466558	0.00369481	0.00406428	0.00546941	0.00603055	0.00859128	0.0136932	0.0402876	0.0635774	0.0904939	0.0848742	0.0676448	0.0749897	0.0399564	0.036159	0.0367385	0.0238623	0.0480378
vipère	0.00486444	0.00481295	0.0109457	0.0128769	0.0155331	0.0442643	0.0319435	0.0200852	0.0389162	0.149723	0.0798722	0.0681412	0.0833831	0.0754175	0.0444152	0.0347807	0.053136	0.0582016	0.0462998	0.0249225	0.0111445	0.0247923	0.0191693	0.00700304	0.00573514	0.00563769	0.00575911	0.00491057	0.00514534	0.00401747	0.00415039
a	0.0391549	0.0521666	0.131952	0.16195	0.0680686	0.0521602	0.0280739	0.0204512	0.0296384	0.0209731	0.021728	0.0157686	0.0151734	0.00666738	0.00682329	0.005173	0.00606236	0.00452349	0.00887062	0.00850165	0.0149528	0.0160997	0.0188099	0.021803	0.024972	0.0241354	0.0313384	0.0325013	0.0402778	0.0352616	0.035968
mordu	0.00645499	0.010701	0.0122937	0.0153519	0.00755345	0.00665844	0.00541889	0.00864265	0.011437	0.0138334	0.0212454	0.0480425	0.0430788	0.0554717	0.0591948	0.0464002	0.0430427	0.0488012	0.037082	0.0425912	0.0558513	0.0496267	0.040667	0.0413854	0.0457172	0.0382472	0.0520702	0.0456152	0.0355	0.0242745	0.0277494
un	0.0554011	0.053878	0.0329561	0.0333965	0.0463246	0.0336417	0.0390404	0.0387722	0.0312423	0.0283464	0.0210479	0.0338001	0.0392405	0.0447707	0.0466722	0.0661457	0.0571482	0.0319267	0.0289395	0.0220588	0.0332395	0.0126404	0.0183241	0.0228171	0.0171551	0.0227619	0.0207911	0.0176992	0.0162683	0.0116455	0.021908
cabri	0.100089	0.0952311	0.10389	0.0987576	0.0979144	0.0692889	0.0485286	0.0337801	0.0322508	0.00987445	0.0116058	0.00826126	0.00715699	0.00338404	0.00239853	0.002994	0.00275305	0.00290766	0.00407394	0.00434513	0.00901572	0.0108985	0.0158309	0.0263235	0.0181983	0.0232434	0.0238121	0.0286991	0.0352935	0.0340474	0.035152
dans	0.110417	0.0773046	0.0563568	0.035492	0.02869	0.0302188	0.0219924	0.0159617	0.013712	0.00532998	0.00613927	0.0071464	0.00703251	0.00691922	0.00510006	0.0110153	0.022459	0.0179547	0.0358497	0.0178935	0.031958	0.0211022	0.0332785	0.0502921	0.0352422	0.0401697	0.049706	0.0423957	0.0428576	0.0499835	0.0700301
la	0.0389697	0.0239031	0.0256849	0.0254172	0.0318107	0.0399173	0.0406861	0.0255514	0.0195046	0.0142239	0.010937	0.00940671	0.00618529	0.00333506	0.00312479	0.00364971	0.00550211	0.00591075	0.00869428	0.00760983	0.00917331	0.0118782	0.0171296	0.0206648	0.0334756	0.0389353	0.0820175	0.0745875	0.0843115	0.122281	0.155521
plaine	0.0204533	0.0182389	0.0154009	0.0150651	0.0205962	0.0229745	0.0282483	0.0303719	0.0283464	0.0146128	0.012586	0.00945553	0.00716555	0.00470155	0.00348231	0.0053492	0.00741873	0.00910009	0.0101121	0.0109259	0.0157731	0.0258748	0.0317586	0.0564982	0.0795294	0.0678677	0.1305	0.077985	0.080285	0.0727603	0.0665625
</S>	0.0875629	0.0543094	0.0340462	0.0255222	0.0240689	0.0307587	0.0227362	0.0209129	0.01855	0.0078348	0.00627096	0.00491776	0.0052661	0.00345173	0.00351792	0.00615332	0.00875812	0.00799107	0.0114301	0.0115977	0.0194748	0.0224319	0.0289947	0.0346769	0.0406593	0.0422302	0.0644052	0.0483674	0.0618922	0.0740719	0.167139
