 	a87	a23	a83	a62	a47	a88	a9	a38	a47	a88	a71	a24	a62	a21	a85	a37	a70	a90	a94	a13	a4	a58	a25	a38	a23	a62	a13	a62	a21	a18	a21	a96	a98	a15	a44	a66	a93	a70	a90	a84	a90	a70	a83	a62	a83	a9	a10	a9	a87	a23	a87	</S>
j'	0.0229099	0.0291627	0.017329	0.0168972	0.0132728	0.0115011	0.0198014	0.0386304	0.0406899	0.036448	0.0406369	0.0282168	0.0272313	0.0142172	0.00883003	0.00998221	0.0145333	0.0168411	0.0192242	0.0239142	0.0255941	0.017642	0.0186703	0.0130032	0.00856484	0.00729716	0.00527151	0.00704069	0.00933293	0.00950255	0.00957359	0.019407	0.0260257	0.0487157	0.0326374	0.0263106	0.0303795	0.0178522	0.0170573	0.0368285	0.00843487	0.013696	0.00676065	0.00524872	0.0125435	0.0128015	0.0126802	0.0143841	0.0125273	0.0191784	0.0246572	0.0201112
ai	0.0294684	0.0192132	0.0207625	0.0330711	0.0430338	0.0327325	0.0256212	0.0194955	0.015727	0.0196331	0.0311912	0.0284912	0.041359	0.0443198	0.0619588	0.0550756	0.039186	0.0257362	0.0221781	0.0199316	0.0265827	0.0136695	0.0155566	0.010954	0.0116738	0.00804982	0.011258	0.00706961	0.00593829	0.00552466	0.0112272	0.0127742	0.0142579	0.00804688	0.00926101	0.00900052	0.00736021	0.00844949	0.011721	0.00746899	0.0100228	0.0111668	0.0106263	0.0199302	0.0106976	0.0105577	0.00737035	0.00756157	0.0132583	0.0110703	0.0213711	0.0223371
vu	0.0340648	0.011066	0.00997411	0.00975078	0.00961044	0.0126434	0.0182645	0.0157313	0.0168053	0.0136728	0.0184491	0.0248872	0.0120403	0.0170675	0.0446128	0.0367327	0.0282026	0.020263	0.0174153	0.01705	0.0225755	0.0130005	0.0154687	0.0135713	0.0126299	0.0161477	0.0212516	0.0203855	0.00867354	0.015119	0.0371419	0.0168069	0.0130391	0.00974751	0.00866295	0.00477743	0.00787636	0.0100287	0.0169954	0.0246797	0.0214461	0.0215365	0.0152233	0.0329279	0.0306694	0.0277906	0.01832	0.0160022	0.0272699	0.0236328	0.0351375	0.0331607
une	0.0275844	0.00934548	0.00575391	0.00378247	0.00223397	0.00240058	0.00360715	0.00436614	0.00903447	0.00991285	0.0126815	0.0150727	0.00814246	0.00689723	0.0102447	0.00972679	0.010777	0.0151549	0.0132081	0.0177067	0.0149345	0.0163604	0.0127243	0.0260063	0.0105741	0.0399294	0.0238245	0.0240359	0.029183	0.0431795	0.045473	0.040163	0.0358528	0.0272776	0.0521463	0.0447038	0.0363534	0.0358238	0.0273217	0.029344	0.0203849	0.032205	0.0245634	0.0163381	0.0123287	0.00945988	0.00955473	0.0118891	0.0119233	0.0107614	0.016029	0.0117175
nappe	0.0111747	0.00746682	0.00602455	0.00477127	0.00294932	0.00398174	0.00358287	0.00646913	0.00529658	0.00569595	0.00613318	0.00840022	0.00515847	0.00823271	0.0101535	0.0102651	0.0177171	0.0328327	0.0320387	0.0406039	0.0244683	0.0457783	0.0431997	0.076941	0.0384911	0.0854864	0.0612938	0.0439571	0.0445542	0.0356171	0.0280298	0.0217191	0.0209142	0.0217598	0.0250299	0.0157262	0.0143125	0.0219504	0.0194936	0.0123893	0.00713757	0.00689343	0.00535549	0.00318107	0.0041859	0.0025981	0.00490303	0.00487112	0.00485861	0.00674135	0.0078067	0.0114073
de	0.0136314	0.00515815	0.00314416	0.00275165	0.00167498	0.00134057	0.0020668	0.00195923	0.00282226	0.00232952	0.00488098	0.00437219	0.00622802	0.00848193	0.0168546	0.011428	0.0183044	0.0212904	0.025668	0.0854397	0.053621	0.0773326	0.0652167	0.0768041	0.044959	0.0480615	0.108736	0.0807135	0.0531116	0.0317656	0.0174261	0.016351	0.00843534	0.00889739	0.00610767	0.0031279	0.00627103	0.00596615	0.00395441	0.00289092	0.00284632	0.00175465	0.00330303	0.00129454	0.0020549	0.00152487	0.00301322	0.00325541	0.00399977	0.00761012	0.00638649	0.00338038
sang	0.0318864	0.00821847	0.00475486	0.00394206	0.00310745	0.00219364	0.00235297	0.00232618	0.00335464	0.00322065	0.00671413	0.0105847	0.0170472	0.02175	0.0351415	0.0247445	0.0270316	0.0262531	0.0588453	0.0567378	0.0388973	0.0459902	0.0317329	0.0458042	0.0289128	0.0469948	0.0414839	0.0322869	0.0407591	0.0571463	0.0609732	0.0380029	0.0314167	0.0185588	0.0159325	0.00722608	0.0104177	0.00896304	0.00403267	0.00262465	0.0027602	0.00160105	0.00416652	0.00211042	0.00315431	0.00208757	0.00266812	0.00322906	0.00356019	0.00667656	0.00682002	0.00280216
là	0.0530203	0.0225657	0.01357	0.0076252	0.00404989	0.0034631	0.00370424	0.00210011	0.00269444	0.00259875	0.00586684	0.00857027	0.0119554	0.0149	0.0181047	0.019745	0.0317124	0.0371171	0.0582318	0.0586882	0.036524	0.0349069	0.023418	0.0196031	0.0227245	0.0141829	0.0317782	0.0264945	0.0100643	0.0142397	0.0150876	0.0160565	0.014213	0.0184819	0.0112548	0.0104169	0.0219075	0.0139913	0.0115241	0.026304	0.0221949	0.0109228	0.0248099	0.0125949	0.0312695	0.024589	0.0151503	0.0134384	0.0152607	0.0246192	0.0195325	0.0121608
où	0.0241635	0.0159351	0.00947118	0.00589829	0.0038728	0.00292211	0.00502847	0.003934	0.00815857	0.00532007	0.0129587	0.0140329	0.0233428	0.0193687	0.0203687	0.0212072	0.0224664	0.027466	0.0423593	0.047396	0.0391761	0.0230264	0.0171689	0.0174495	0.0113989	0.0130971	0.0119866	0.0176768	0.0101704	0.0218054	0.0311457	0.0291279	0.0331379	0.0459979	0.0277954	0.0164193	0.0330283	0.033574	0.0202959	0.0236219	0.0215434	0.0125924	0.019351	0.0104236	0.0151723	0.0118697	0.0138893	0.0122094	0.0127697	0.0284503	0.0184337	0.0105242
une	0.0328887	0.0114338	0.00576337	0.00381163	0.00181521	0.00204355	0.00483914	0.0043724	0.0098278	0.00704306	0.0146204	0.018204	0.0286678	0.0258465	0.0308869	0.0338875	0.0369032	0.0400931	0.0625279	0.0356451	0.031518	0.0184345	0.00964634	0.00783998	0.00678104	0.00832309	0.00938475	0.00678833	0.0032647	0.00959393	0.0200588	0.0137774	0.021904	0.0179315	0.0139458	0.0119174	0.0236619	0.0207961	0.027455	0.0371672	0.0299676	0.0289457	0.0327043	0.0205824	0.0268194	0.0290893	0.0196182	0.0137281	0.0151574	0.0239035	0.0192459	0.00892725
