 	a66	a87	a23	a87	a23	a18	a9	a84	a13	a94	a11	a0	a61	a62	a56	a70	a94	a70	a96	a94	a43	a11	a93	a90	a98	a79	a56	a75	a85	a37	a70	a66	a3	a99	a87	a23	a3	a87	a83	a62	a21	a12	a31	a47	a56	a93	a70	a62	a88	a62	a83	a34	a54	a36	a2	a57	a87	a99	a82	a87	a23	a99	a3	</S>
la	0.0211048	0.0239307	0.0237951	0.0343814	0.0491121	0.0198541	0.0284544	0.0216113	0.0207119	0.010094	0.00866252	0.00875161	0.00520866	0.0099165	0.00814721	0.0102126	0.0174188	0.0160146	0.0133018	0.0190486	0.0141814	0.0121186	0.0167269	0.0300135	0.00864106	0.015387	0.0200135	0.0287357	0.0300269	0.019449	0.0228167	0.0196242	0.0215074	0.0214351	0.0199001	0.024955	0.015526	0.0121321	0.0120879	0.0121308	0.0117361	0.00832008	0.010521	0.0166354	0.00690954	0.007719	0.00546707	0.00529621	0.00403796	0.00830581	0.012647	0.00717267	0.00929405	0.0103626	0.0133222	0.00854393	0.0117441	0.013993	0.0107052	0.0122068	0.00875504	0.0145704	0.0103994	0.0241938
manière	0.00159089	0.0027792	0.00414866	0.00368327	0.00209436	0.00103517	0.00268089	0.00598222	0.0190635	0.0153343	0.0144267	0.0340779	0.0368635	0.0490582	0.0139879	0.0300025	0.0288694	0.0480777	0.0313446	0.0397221	0.0501022	0.0545846	0.0591854	0.0433315	0.0463493	0.0762128	0.0258075	0.0265069	0.0180594	0.0188887	0.0207692	0.0147193	0.0285417	0.0120181	0.0173071	0.0115864	0.0102298	0.0126066	0.0145011	0.0144459	0.00447616	0.00511264	0.00316895	0.00295912	0.00443025	0.00327434	0.00289761	0.00241876	0.0013502	0.00185856	0.00145366	0.00145678	0.0012576	0.000360529	0.000292569	0.000294822	0.000226668	0.000224343	0.000151647	0.000267051	0.00030601	0.00030078	0.000485219	0.000399246
dont	0.0539999	0.048264	0.0221355	0.0238458	0.0131782	0.0124456	0.0107223	0.0111482	0.00878284	0.0149403	0.00848225	0.00911715	0.00982272	0.0402795	0.0146862	0.0249953	0.0308351	0.0532065	0.0526854	0.0484748	0.0465126	0.0485087	0.0520084	0.0203579	0.0324399	0.0400069	0.0264926	0.0347687	0.0143058	0.0138723	0.018284	0.0145457	0.0165973	0.0149517	0.00659712	0.00853801	0.00440228	0.0042663	0.00267938	0.0026109	0.00103049	0.00132651	0.000715439	0.00153536	0.0010208	0.00137069	0.000929058	0.000954852	0.000947327	0.000647678	0.00109229	0.00226567	0.00250878	0.00189813	0.00163469	0.00286319	0.0049196	0.00433847	0.0049653	0.00757444	0.00390794	0.00325731	0.0126499	0.000851793
il	0.00758514	0.009029	0.00498396	0.00315648	0.00256547	0.00166755	0.00301682	0.00556224	0.010491	0.00887419	0.00916472	0.00657087	0.00380703	0.0224664	0.034115	0.0156195	0.0721364	0.0273088	0.0572398	0.0585129	0.05674	0.040445	0.0674986	0.0219826	0.0263763	0.0195438	0.0241443	0.037701	0.0143878	0.0157825	0.0170188	0.0191313	0.0137845	0.013505	0.00995049	0.0101302	0.00720771	0.00605382	0.0202086	0.0128256	0.0105745	0.00616403	0.00425611	0.00391329	0.00594864	0.00255167	0.00406413	0.00683047	0.0105773	0.0064014	0.0107099	0.0192919	0.0113296	0.00446723	0.00261306	0.0032732	0.00525179	0.00873497	0.00691148	0.0135917	0.0107873	0.00945879	0.0103987	0.00360768
a	0.0129715	0.00862788	0.00706656	0.00417308	0.00227405	0.00116271	0.00167752	0.00229811	0.00142344	0.0048386	0.00388454	0.00606685	0.0111843	0.00924739	0.0299272	0.0107484	0.0363887	0.0283687	0.0403383	0.0558598	0.0572258	0.0278854	0.0303101	0.0273225	0.0563542	0.032839	0.0566357	0.0624659	0.0272484	0.0291668	0.0321818	0.0298344	0.0217476	0.0202168	0.0146964	0.0180504	0.0123411	0.0136157	0.0203957	0.0172546	0.0188422	0.011669	0.00727871	0.00740643	0.00957715	0.00547979	0.00351102	0.00336751	0.00698496	0.00329996	0.00429644	0.00537862	0.0023541	0.00100014	0.00070819	0.000711701	0.00110208	0.00179424	0.00187924	0.00340323	0.00359796	0.00402541	0.00353793	0.00247821
renversé	0.0288932	0.0106959	0.0123999	0.0157918	0.0161503	0.00928084	0.0106244	0.00614353	0.00301813	0.00743017	0.00541028	0.00538909	0.0145966	0.00734367	0.0125593	0.012224	0.0238306	0.0214046	0.0232902	0.0275635	0.0337607	0.0252548	0.0260559	0.0323768	0.0382657	0.040256	0.038681	0.0399588	0.0315214	0.0287316	0.0394711	0.0323905	0.0204806	0.0313111	0.0185554	0.0117684	0.00832561	0.0116243	0.0115808	0.00865829	0.00459932	0.0047939	0.00398532	0.00705523	0.00628223	0.00632658	0.00399	0.00644782	0.0073255	0.00617854	0.00968563	0.0127624	0.00870765	0.00396481	0.00554884	0.0038032	0.00774862	0.00771166	0.00917818	0.0147603	0.00800327	0.0230203	0.0115934	0.0134586
l'	0.030335	0.0102446	0.0129038	0.0171065	0.0282779	0.0196287	0.00657459	0.00849703	0.00327511	0.00935706	0.00591989	0.00819811	0.0182049	0.0131914	0.0167944	0.0248056	0.0197504	0.0245021	0.0195579	0.0259975	0.019688	0.0157364	0.0232716	0.0205075	0.016563	0.0198584	0.0180876	0.0172998	0.0180212	0.0154222	0.0265812	0.0180885	0.0146977	0.0314024	0.0131631	0.0182085	0.00944844	0.0105919	0.0103664	0.00721668	0.00675712	0.00497822	0.00459322	0.00875211	0.00594602	0.00627511	0.00510651	0.00532603	0.00832113	0.00708295	0.0108935	0.0141453	0.0103105	0.0128115	0.00845397	0.0151879	0.0206585	0.0207678	0.0211766	0.0438825	0.0223941	0.0308084	0.0196282	0.0183996
assiette	0.0146018	0.00957447	0.0166318	0.0250459	0.030863	0.0203174	0.0201346	0.0141901	0.00718756	0.0135993	0.00611991	0.00347185	0.00922105	0.00547788	0.010288	0.0104087	0.0112209	0.0115855	0.0129658	0.0141569	0.00897519	0.0100517	0.0249436	0.0146784	0.019189	0.0135289	0.0146814	0.0179458	0.0115518	0.0146054	0.0139035	0.00757922	0.00573824	0.00846887	0.00523617	0.00785528	0.00395812	0.00438815	0.0046175	0.00702302	0.00455491	0.0058999	0.00636698	0.00924519	0.00871218	0.0113963	0.00723233	0.00974877	0.0206765	0.0170716	0.0351509	0.0196577	0.00917059	0.0167765	0.0104138	0.018094	0.0278058	0.0346864	0.025816	0.0505111	0.0430358	0.0548609	0.0335061	0.0336283
montre	0.0101541	0.0112311	0.014627	0.0136773	0.0227311	0.0163013	0.0136566	0.0141455	0.0127225	0.0121402	0.00783335	0.00325569	0.00909369	0.00545019	0.018232	0.0115389	0.0098467	0.0133468	0.0105849	0.012467	0.0120112	0.0104789	0.0166735	0.00758261	0.0178845	0.0122551	0.0108476	0.0148508	0.00693304	0.0082948	0.00631516	0.00410146	0.00318801	0.00308516	0.00317194	0.00292194	0.00281963	0.00331537	0.00305937	0.00352314	0.00449943	0.00400718	0.00559614	0.00716464	0.00545164	0.00859365	0.00955222	0.0110856	0.0202064	0.0196111	0.0352303	0.0139465	0.00649293	0.00793531	0.00738534	0.0153181	0.0280336	0.0390067	0.0340944	0.0572016	0.0575625	0.0672214	0.0621066	0.0763474
qu'	0.0201068	0.0197153	0.0145513	0.0105954	0.0103491	0.00443649	0.00296536	0.007112	0.00264654	0.00820383	0.00508585	0.0054298	0.00805476	0.01843	0.0237244	0.0464627	0.0266503	0.049868	0.0355406	0.0403471	0.0267293	0.0230491	0.0368568	0.02067	0.0184002	0.0202278	0.0194709	0.0245364	0.024331	0.0126948	0.00909752	0.00805432	0.00553098	0.00860169	0.00618877	0.00918686	0.00517288	0.00378422	0.00294759	0.00415527	0.00635941	0.00497952	0.00683628	0.0107345	0.00564045	0.00780528	0.00810173	0.00910383	0.0161593	0.0162104	0.0132604	0.00981041	0.00584742	0.00456149	0.00638723	0.0110415	0.0149159	0.0206281	0.0268056	0.021534	0.0312977	0.0297594	0.0361357	0.0261224
