 	a87	a23	a40	a73	a44	a84	a38	a24	a90	a13	a38	a98	a35	a98	a73	a44	a84	a40	a98	a73	a84	a57	a87	a23	a53	a69	a58	a82	a53	a76	a90	a32	a54	a73	a58	a90	a76	a41	a12	a24	a41	a56	a18	a38	a11	a56	a98	a73	a69	a84	a87	</S>
on	0.0212087	0.0339648	0.0282996	0.0169269	0.0159594	0.0211275	0.0301171	0.0330857	0.0375393	0.0416269	0.0381413	0.0273553	0.0308135	0.0292745	0.0311151	0.0307884	0.0164542	0.0172348	0.00786608	0.0165934	0.023984	0.0149414	0.0118628	0.00742402	0.00776939	0.0118716	0.0172283	0.0295193	0.0205679	0.0272399	0.0262588	0.023557	0.03175	0.0209102	0.0140971	0.0145075	0.018937	0.0386953	0.00970379	0.00955725	0.0105665	0.00703203	0.00379802	0.00373883	0.00448591	0.00378477	0.00779403	0.00573049	0.0108492	0.00983863	0.0119185	0.0145881
ne	0.00745154	0.00469645	0.0106575	0.0186864	0.0202654	0.0169949	0.0268561	0.0263862	0.0321138	0.0485951	0.0496792	0.0368251	0.0347491	0.0283517	0.0439048	0.0378022	0.0266088	0.0562337	0.0305341	0.029132	0.0191811	0.0163797	0.0175462	0.0156353	0.0175868	0.0241092	0.0185795	0.0213854	0.0152552	0.00899713	0.0103717	0.0093086	0.00357526	0.00400837	0.0157664	0.00475114	0.0115712	0.00664104	0.00918955	0.0137767	0.0122299	0.010673	0.0111321	0.0129718	0.0122644	0.00833413	0.0109178	0.0113857	0.0118368	0.0122331	0.0155955	0.0202859
l'	0.0728707	0.0255812	0.0137926	0.0206754	0.0133928	0.0114058	0.0148806	0.0196631	0.029934	0.0287543	0.0303189	0.0313126	0.0309914	0.0170512	0.0195915	0.015119	0.00946632	0.0203387	0.00829782	0.012091	0.0080253	0.00781218	0.0156104	0.0100449	0.00843911	0.00751797	0.0147365	0.0168446	0.0143824	0.0147227	0.0120978	0.0116535	0.00630958	0.00671656	0.0169734	0.00826675	0.0132069	0.00449367	0.00843405	0.0104215	0.00899297	0.00912776	0.00854423	0.0105578	0.0128403	0.0220184	0.0330447	0.0422552	0.0649066	0.0490224	0.0458871	0.0305635
aime	0.0240596	0.0120122	0.00414341	0.00779727	0.00570833	0.00713723	0.0149282	0.0197681	0.0161567	0.022182	0.0321748	0.0379662	0.0458832	0.0308372	0.0349956	0.0242402	0.0234772	0.0302395	0.0274567	0.0256005	0.0291512	0.0253213	0.0322184	0.0301525	0.0197805	0.0122555	0.0212868	0.0138058	0.0163137	0.0133859	0.013397	0.0137889	0.0142999	0.0112568	0.0161514	0.0119867	0.010659	0.0144575	0.0272536	0.0215538	0.0234818	0.0253579	0.0277817	0.0139741	0.0126986	0.00815497	0.00825962	0.00674146	0.012913	0.0121116	0.0143486	0.0189363
pas	0.0205614	0.0145771	0.00891776	0.005935	0.00431494	0.00550827	0.0111538	0.0133728	0.0120007	0.0122625	0.0219252	0.033499	0.0448661	0.0384816	0.0447748	0.0327046	0.0240689	0.0321927	0.0232678	0.0291779	0.0410457	0.0397929	0.038866	0.0307362	0.0259582	0.0189857	0.0226995	0.0185675	0.017972	0.0115301	0.0127185	0.0149438	0.0187609	0.0121193	0.0138463	0.0154817	0.00911953	0.0157351	0.0146455	0.0190958	0.0241304	0.0257476	0.0112747	0.00817381	0.0106456	0.00880756	0.0103254	0.00782016	0.0101372	0.00903487	0.0093494	0.0183703
à	0.0317444	0.019024	0.0166747	0.0119258	0.00758144	0.011078	0.0118847	0.013423	0.0121843	0.0135087	0.014807	0.0161391	0.0179999	0.0173774	0.0173077	0.0162788	0.0155837	0.0173001	0.016882	0.0169445	0.0175602	0.0182954	0.0171706	0.0160828	0.0181784	0.0161342	0.0197443	0.0184216	0.0208466	0.0177499	0.0219386	0.0261482	0.025954	0.0276681	0.0279775	0.0278119	0.0219839	0.0147548	0.0159792	0.0157252	0.016083	0.0157594	0.0188141	0.0177224	0.0260648	0.0196013	0.0247215	0.02085	0.0282821	0.0274632	0.0289009	0.0339628
cause	0.0488863	0.0406246	0.0312083	0.0219448	0.009723	0.0124545	0.00821535	0.00908008	0.0113227	0.0104238	0.0165918	0.0221401	0.0364467	0.0292213	0.0256975	0.0200462	0.0230721	0.0306659	0.0313253	0.0259404	0.0216304	0.0262603	0.021429	0.0184525	0.0189644	0.0170221	0.0288215	0.0335374	0.0207915	0.0137012	0.0267469	0.0217741	0.0448018	0.0192922	0.0138048	0.014261	0.00725483	0.0103526	0.00717256	0.00694577	0.00601692	0.00760709	0.0109389	0.00794611	0.0108786	0.00846008	0.0146977	0.012279	0.0154755	0.015276	0.0123201	0.0200565
de	0.0366295	0.0224019	0.0205124	0.0133383	0.00781427	0.0112345	0.0138836	0.0117496	0.00865887	0.0127925	0.0160595	0.0147331	0.0197751	0.0192119	0.0190943	0.0197036	0.0246248	0.024679	0.0208768	0.0140069	0.014995	0.0182777	0.0192697	0.0161244	0.0215052	0.0251652	0.0304602	0.0258462	0.0196119	0.0274468	0.0229415	0.0222863	0.0210725	0.0248408	0.0290712	0.0192138	0.0145295	0.0153888	0.00955827	0.010026	0.00975936	0.0084983	0.00972258	0.0107129	0.0145861	0.0164255	0.0255343	0.0242429	0.0260594	0.0268161	0.0260192	0.0422119
son	0.0307275	0.0279302	0.0163554	0.00739218	0.00414404	0.00738535	0.0123998	0.0104648	0.00906273	0.0119969	0.0135095	0.0145751	0.0162047	0.018726	0.0172882	0.0179995	0.0242366	0.0261044	0.0205491	0.0146396	0.0175938	0.0204464	0.0261348	0.0216659	0.0294991	0.0269481	0.0360587	0.033194	0.0245501	0.0351295	0.0268724	0.0249133	0.0258598	0.0250419	0.0268063	0.0229809	0.0142814	0.0192696	0.0103164	0.0111393	0.0100149	0.00868508	0.0111221	0.0107348	0.0121437	0.0124378	0.0176999	0.0160973	0.0218706	0.0212259	0.0193136	0.038261
avarice	0.02393	0.0163827	0.0128164	0.0097531	0.00779702	0.0099086	0.00818666	0.00820209	0.00820171	0.0114535	0.0114254	0.0116493	0.0138624	0.0118658	0.0130507	0.0188004	0.0194297	0.0119309	0.0129277	0.0167773	0.0147198	0.0144448	0.0138916	0.0137773	0.0138017	0.0216788	0.0257215	0.0365033	0.0314448	0.0387575	0.0326454	0.0322138	0.0292574	0.0188643	0.0167885	0.0155672	0.0247785	0.0188303	0.0118004	0.0171792	0.0185695	0.0113636	0.0117978	0.0105945	0.0178739	0.026596	0.0333448	0.0308248	0.0390036	0.0354759	0.0298222	0.0337157
