 	a87	a23	a87	a23	a83	a50	a99	a98	a47	a41	a61	a31	a96	a62	a21	a85	a41	a11	a75	a41	a26	a57	a30	a4	a13	a62	a31	a88	a75	a66	a11	a75	a98	a47	a6	a66	a71	a9	a87	a10	a87	a99	a97	a87	a23	a87	</S>
l'	0.02831	0.0381755	0.017101	0.0174689	0.0195427	0.0218005	0.00942039	0.0262949	0.015861	0.0165096	0.0203314	0.016768	0.0118806	0.00766944	0.02357	0.00981944	0.0122327	0.0155185	0.0147275	0.00791885	0.00749754	0.00799465	0.00933946	0.0141218	0.0208428	0.0304549	0.0315236	0.0369356	0.0234359	0.0267054	0.0217981	0.0217866	0.0210418	0.0250068	0.0112001	0.026398	0.0185468	0.0255946	0.014731	0.0223078	0.0178141	0.0227555	0.0309117	0.0275158	0.0394036	0.0302766	0.0631384
homme	0.00173338	0.00345117	0.00516034	0.00843446	0.0132363	0.0110203	0.0517791	0.142368	0.0553857	0.0336211	0.0612675	0.0698932	0.0440247	0.0455343	0.0288153	0.0533216	0.0316511	0.0283356	0.0456977	0.0456006	0.0457194	0.0391797	0.0111824	0.0110127	0.00627655	0.00546422	0.0062522	0.00900418	0.00868579	0.0200809	0.0123518	0.011279	0.00649367	0.00424847	0.00344435	0.00406669	0.00200093	0.00130407	0.000686445	0.00138197	0.000592177	0.000799397	0.0013378	0.00164229	0.00150522	0.00252942	0.00114654
qui	0.0365779	0.0287744	0.0380982	0.0321976	0.0200006	0.0222043	0.0344135	0.0233114	0.0171026	0.0300845	0.0219792	0.0480903	0.026382	0.0594012	0.0453099	0.052674	0.0499081	0.0809115	0.048742	0.046157	0.0231057	0.0185462	0.011557	0.0070112	0.00735359	0.00728518	0.00450169	0.00180455	0.00141773	0.000854469	0.000995218	0.00124758	0.00165352	0.00280729	0.00201517	0.00250549	0.00192341	0.00292277	0.00779841	0.00807137	0.0108246	0.0102962	0.0103106	0.0207312	0.0132303	0.0334685	0.0234408
est	0.101315	0.0557925	0.042425	0.0292926	0.00944294	0.0102399	0.0118224	0.00646918	0.00714608	0.0195741	0.0123483	0.0133436	0.00896979	0.0147883	0.0186042	0.020782	0.0175141	0.0129551	0.00887237	0.0092408	0.00844425	0.00760501	0.00756907	0.00855608	0.00973085	0.0120459	0.0231997	0.0343435	0.0372221	0.0278269	0.016589	0.0126174	0.0140335	0.0142244	0.0086626	0.0181889	0.0163778	0.0118061	0.0210448	0.01707	0.0225508	0.0233584	0.0322045	0.0412646	0.0309183	0.0508053	0.0408018
arri	0.0502077	0.0450464	0.0505874	0.0370907	0.0311541	0.0228169	0.0164951	0.0109963	0.0133947	0.0152393	0.0127117	0.0176922	0.0202965	0.0176989	0.0211753	0.0299025	0.0305761	0.0308476	0.034138	0.0323654	0.0345204	0.035868	0.0320916	0.029993	0.0317042	0.0329698	0.0321396	0.0240959	0.025583	0.0178577	0.0148458	0.013608	0.0112649	0.00923267	0.00352458	0.00583069	0.00467906	0.00289663	0.0031695	0.00358551	0.00316714	0.00353542	0.00717466	0.0132663	0.0142612	0.022438	0.026264
vé	0.0496076	0.0227786	0.0182874	0.00843127	0.00999008	0.01085	0.0037011	0.00312559	0.00410648	0.00436526	0.00496245	0.00526204	0.0097533	0.00828783	0.0402843	0.0227186	0.0427087	0.044871	0.028466	0.0193658	0.0114053	0.0131832	0.0199788	0.0130351	0.0156481	0.015464	0.0101263	0.0105688	0.00483417	0.00286373	0.00612658	0.00830523	0.0102012	0.0158698	0.00949066	0.0107288	0.0155597	0.014214	0.0216921	0.0232003	0.0400753	0.03298	0.044774	0.0652497	0.047337	0.0859352	0.0692297
dans	0.0294773	0.0224809	0.021804	0.0177721	0.0104097	0.0100267	0.0089827	0.0107333	0.012941	0.0204677	0.0139273	0.0179615	0.0201548	0.0159351	0.0279442	0.0447746	0.0366816	0.0282894	0.0264496	0.0257962	0.0262094	0.0258505	0.0248699	0.01918	0.0200977	0.0265077	0.0167947	0.0159402	0.0104963	0.00808744	0.0108559	0.0152161	0.00934076	0.0079022	0.00544587	0.00744744	0.00625779	0.00720955	0.0139637	0.0205381	0.0259284	0.0274355	0.032394	0.0541995	0.0358153	0.0487653	0.0542407
le	0.0218398	0.018458	0.0136505	0.0133687	0.00436021	0.00434414	0.004814	0.00373755	0.00437454	0.00588756	0.0071214	0.0118225	0.0103136	0.0105762	0.0107133	0.020615	0.0188044	0.0189409	0.0191734	0.015306	0.0115685	0.00873686	0.0122028	0.00701861	0.0179399	0.0177378	0.0169235	0.019502	0.0132085	0.0138177	0.017458	0.027304	0.0261187	0.0325318	0.0180804	0.0214221	0.0307125	0.0284799	0.0274817	0.0353538	0.0466402	0.052789	0.0467015	0.0596181	0.0492092	0.0568055	0.0464156
village	0.0135141	0.0118407	0.00949859	0.00882299	0.00719753	0.00739838	0.00733734	0.0125499	0.0102644	0.00969665	0.0107462	0.0154221	0.0174643	0.0161216	0.0140016	0.031391	0.0224249	0.0196548	0.0193472	0.0147663	0.0174197	0.0136806	0.018964	0.0146544	0.0190917	0.0170958	0.0178353	0.01705	0.0169906	0.0147024	0.0145515	0.0160142	0.0173578	0.0187387	0.0130134	0.0203245	0.0348658	0.0335503	0.0203565	0.0341125	0.0490794	0.043168	0.0427837	0.0438934	0.047658	0.038025	0.0655624
est	0.0212182	0.0250562	0.0131352	0.0179177	0.00664602	0.0101262	0.00965937	0.0125648	0.0116927	0.0155736	0.0293279	0.0306142	0.0323001	0.0239196	0.0400302	0.0436792	0.0365129	0.025158	0.0232672	0.011522	0.00847495	0.00620267	0.0101072	0.00966403	0.0148848	0.013786	0.0165581	0.014882	0.0192793	0.0203455	0.0221687	0.0267787	0.0128379	0.0155913	0.0100936	0.0212336	0.0213177	0.0228285	0.0126701	0.030661	0.0231493	0.0193551	0.028198	0.0318936	0.0367518	0.0507311	0.0396342
