 	a66	a87	a23	a40	a37	a12	a5	a6	a36	a37	a18	a62	a70	a4	a11	a0	a24	a83	a70	a44	a54	a6	a37	a6	a37	a44	a69	a32	a54	a7	a54	a0	a54	a20	a7	a57	a82	a87	a23	a87	</S>
le	0.0360507	0.032974	0.0511763	0.0229027	0.029017	0.0493775	0.0899076	0.107798	0.0858342	0.0262645	0.0271437	0.0198209	0.0206864	0.0177218	0.0189674	0.00892918	0.00682101	0.00748682	0.00975547	0.0138413	0.00673524	0.00578831	0.00889961	0.0104872	0.0102985	0.0133147	0.0172049	0.0452911	0.0236096	0.0213091	0.0136226	0.0111878	0.0104643	0.0210184	0.0157382	0.0152992	0.0211965	0.00815175	0.00990171	0.0105425	0.0174624
chien	0.00316466	0.00953147	0.0124296	0.0398689	0.109029	0.11616	0.198064	0.11384	0.0765867	0.0496515	0.0348689	0.0388694	0.0333231	0.0199162	0.0129396	0.0139442	0.009514	0.010911	0.0157339	0.0166124	0.0048316	0.00687683	0.00634911	0.00293527	0.00391201	0.0122362	0.00358561	0.00432525	0.00252613	0.00271334	0.00328777	0.00359161	0.00168351	0.000552969	0.000888151	0.000325521	0.000279821	0.000625619	0.00046079	0.00251819	0.00053668
a	0.0156785	0.0236657	0.0478916	0.0443721	0.0733584	0.0565353	0.0966696	0.0610382	0.0374196	0.0489753	0.0228504	0.0297787	0.0368614	0.0369247	0.0385686	0.0794305	0.0497784	0.0641248	0.0274358	0.0183729	0.0135825	0.0110999	0.00580651	0.00505292	0.0044212	0.00510778	0.00402787	0.00256302	0.00189182	0.00302631	0.0042214	0.00529644	0.00276159	0.00174015	0.00294258	0.00125777	0.00141841	0.0025906	0.00191539	0.00667706	0.00286827
volé	0.0159766	0.0132938	0.00775339	0.00520505	0.00556471	0.00808893	0.0101738	0.00991369	0.0141933	0.0263107	0.043066	0.06195	0.0445915	0.0546812	0.0570436	0.0918005	0.100094	0.0604266	0.0620144	0.0598765	0.0420814	0.0350179	0.0244447	0.0186547	0.00980532	0.0112697	0.00865943	0.0122886	0.00812911	0.00569158	0.00468032	0.00784314	0.00361953	0.00410578	0.00509263	0.00411347	0.00741579	0.00745386	0.00984417	0.00569915	0.0120714
un	0.0603652	0.0314133	0.0183857	0.0110811	0.0180588	0.0131333	0.00654874	0.00725161	0.00970906	0.0283966	0.0369844	0.0332597	0.037863	0.0308386	0.0279305	0.0178757	0.02233	0.0285197	0.0359743	0.0564864	0.0574646	0.0441284	0.043914	0.0329987	0.0318088	0.0241921	0.0167015	0.0272078	0.0139187	0.0118731	0.0166125	0.014345	0.00672044	0.00983825	0.0149292	0.0120541	0.0151338	0.017046	0.0124352	0.0152131	0.0290588
morceau	0.0167882	0.00878175	0.00966362	0.0119393	0.00537112	0.00619426	0.00573825	0.00886325	0.0102499	0.0183002	0.0239278	0.0381122	0.0380299	0.0588429	0.0482252	0.0612715	0.0633271	0.0711085	0.0458703	0.0649459	0.047721	0.0219351	0.0219471	0.0174754	0.0113385	0.009714	0.0103709	0.0284337	0.013207	0.0167625	0.0179597	0.0142619	0.0195945	0.0266594	0.0181664	0.0144538	0.0122464	0.016245	0.0239863	0.00895817	0.0130122
de	0.0690591	0.0409401	0.0387751	0.0242396	0.0136893	0.0169228	0.00809424	0.0107006	0.0105263	0.0261638	0.0185139	0.0177596	0.0245438	0.0382076	0.0400717	0.0249145	0.0227678	0.0227602	0.0254521	0.031042	0.0214422	0.0213825	0.0102579	0.0166381	0.00888705	0.00370078	0.00706235	0.0154357	0.00694997	0.00616084	0.00865561	0.00977158	0.00751024	0.0133985	0.0201048	0.033677	0.0357665	0.0549482	0.0385127	0.0706209	0.0639726
viande	0.0468017	0.02392	0.0137071	0.0070781	0.00380672	0.00324027	0.00285651	0.0087749	0.00535089	0.0106142	0.012939	0.0140639	0.0332502	0.0310949	0.017702	0.0315653	0.04419	0.0537471	0.0440324	0.0415247	0.0529741	0.0475681	0.0326693	0.0436286	0.019469	0.011354	0.0303455	0.040783	0.0280897	0.0227319	0.03017	0.0236876	0.0123686	0.0274404	0.0164536	0.0179909	0.01908	0.0143705	0.0308154	0.0133783	0.0143714
dans	0.0362049	0.0288439	0.0196513	0.0113124	0.00668127	0.006164	0.00290053	0.00537858	0.00397331	0.0105603	0.00967436	0.00971985	0.0185672	0.0252356	0.0180554	0.0176031	0.0254835	0.0247217	0.0397925	0.0432503	0.041409	0.0512243	0.0242728	0.0327844	0.0221463	0.0073907	0.0156965	0.0201022	0.0135637	0.010096	0.0103989	0.0145949	0.0119076	0.0333629	0.0327091	0.0468341	0.0524052	0.0540807	0.0457975	0.0444384	0.0510108
la	0.0321757	0.0242881	0.0126117	0.0112894	0.00565153	0.00526537	0.00115694	0.00271764	0.00247636	0.00744475	0.00749561	0.00805641	0.00958163	0.0132868	0.0101831	0.00995194	0.012164	0.0123931	0.0177411	0.0178013	0.0251089	0.0264325	0.0175589	0.023721	0.0274339	0.0110819	0.018898	0.0200086	0.0194134	0.0232747	0.0150483	0.0241604	0.0349774	0.0601167	0.0736546	0.055004	0.0596057	0.0481268	0.0611723	0.039096	0.0923733
