 	a66	a87	a79	a5	a37	a85	a92	a21	a85	a21	a47	a21	a47	a31	a75	a93	a70	a11	a62	a88	a71	a9	a87	a23	a30	a87	a23	a87	</S>
la	0.0343204	0.0681536	0.0814117	0.0370824	0.0505212	0.0675283	0.0443865	0.0417337	0.0349081	0.0490505	0.0226528	0.0125906	0.0217504	0.0180196	0.0203851	0.0193614	0.0232406	0.0238989	0.0205844	0.0294695	0.0527301	0.0334318	0.0249599	0.0366274	0.0356105	0.0307517	0.0224725	0.0176634	0.0247026
manière	0.00315692	0.0113329	0.0185711	0.0180186	0.106993	0.247685	0.131907	0.110949	0.0938121	0.0421256	0.0268664	0.0167236	0.0221881	0.0350506	0.0108118	0.0148815	0.0166927	0.00740125	0.0106779	0.00415596	0.0049693	0.003449	0.00309954	0.00591041	0.00235774	0.00573398	0.00500655	0.0162847	0.00318797
dont	0.0996613	0.059274	0.0324971	0.0211618	0.0193938	0.045022	0.0556383	0.0455918	0.0589765	0.0687263	0.068732	0.0286388	0.0279305	0.0133394	0.016572	0.0149187	0.0172214	0.0155411	0.0171836	0.0128998	0.0154843	0.0115342	0.0285609	0.0349985	0.0236862	0.041693	0.042128	0.0378642	0.0251303
il	0.0534623	0.0286429	0.0115178	0.00915315	0.0132993	0.0238285	0.0433979	0.0674356	0.110875	0.106938	0.0896929	0.0336773	0.0240626	0.010483	0.00890375	0.0103509	0.00577543	0.00860182	0.0105815	0.0186259	0.0122997	0.0186715	0.0288279	0.0364935	0.0363625	0.0571431	0.0399202	0.0626143	0.0183611
caresse	0.0799453	0.0486528	0.0266248	0.0329667	0.0413533	0.0633987	0.0757445	0.0482162	0.0600886	0.0522738	0.0420909	0.0190395	0.0173465	0.00908854	0.00593637	0.00930994	0.00693167	0.0100881	0.0153044	0.0243954	0.0190777	0.0227011	0.0142097	0.0271424	0.0362047	0.0523725	0.0396574	0.0789275	0.0209109
t'	0.0556793	0.0534022	0.0450505	0.0403988	0.0486635	0.0421162	0.0571451	0.0762241	0.0965105	0.0685665	0.0473674	0.0271798	0.0228177	0.0187054	0.0179186	0.0207529	0.0113657	0.0148877	0.0137362	0.0127058	0.0100352	0.00702748	0.0123652	0.0231341	0.018674	0.0251241	0.0288795	0.0394932	0.0440732
enfant	0.0669571	0.0424305	0.0352398	0.0315292	0.0273547	0.0336581	0.032195	0.040062	0.0541177	0.0275442	0.0224219	0.0248712	0.0230044	0.0108026	0.0131319	0.00985613	0.00637675	0.0116591	0.0135692	0.00786276	0.0101896	0.00988779	0.024663	0.0657999	0.041167	0.0610103	0.0684406	0.0759591	0.108239
montre	0.0310036	0.0231378	0.0183538	0.0170507	0.0116416	0.0107323	0.0122378	0.011071	0.0145456	0.0131024	0.0125064	0.0133851	0.0134383	0.00640874	0.0117749	0.00847919	0.00942415	0.00863488	0.0174236	0.0198436	0.0361772	0.0390111	0.0911002	0.0789658	0.0920952	0.104074	0.0806026	0.0886543	0.105124
son	0.029526	0.028826	0.0265541	0.0248158	0.0297969	0.0274868	0.0353625	0.0280738	0.0321617	0.0259441	0.0147792	0.0119701	0.0152362	0.0138704	0.0167381	0.0147912	0.0171168	0.0205571	0.0515594	0.0378868	0.0460949	0.0460635	0.0582011	0.0459712	0.070677	0.0673902	0.0486136	0.0641178	0.0498174
amour	0.0317809	0.0259329	0.0290716	0.0474513	0.0531548	0.0383771	0.0231655	0.0260114	0.0191636	0.00628247	0.00468151	0.00371367	0.00433351	0.0037862	0.00533187	0.0053573	0.00511778	0.00805685	0.0176292	0.0142116	0.0254034	0.0298011	0.0557971	0.0685874	0.0539905	0.0764294	0.105114	0.0996168	0.112649
</S>	0.0290502	0.0234381	0.0221954	0.0206941	0.0332198	0.0204775	0.0173433	0.0161903	0.0176258	0.0110851	0.0115029	0.0102961	0.0178965	0.0150797	0.0179626	0.017293	0.0198805	0.0254679	0.0334674	0.0334924	0.0444926	0.0438483	0.0709333	0.0736323	0.0699411	0.0744272	0.0770223	0.0617875	0.0702564
