 	a23	a50	a62	a31	a62	a47	a62	a21	a98	a92	a25	a92	a56	a75	a5	a18	a47	a62	a21	a12	a88	a71	a9	a87	a23	a62	a61	a5	a18	a75	a6	a37	a44	a93	a90	a15	a7	a84	a57	a87	a23	a87	</S>
la	0.0505054	0.0687348	0.0260651	0.041558	0.0548265	0.0612587	0.0396398	0.0677358	0.0440702	0.0198184	0.0163521	0.0121327	0.014384	0.0190938	0.0118617	0.0178883	0.00741043	0.0111003	0.00937764	0.0159515	0.0129254	0.0158839	0.0184296	0.0158931	0.0161772	0.0113926	0.0251776	0.0369491	0.0371607	0.0265947	0.0131033	0.0131122	0.0127352	0.0181757	0.0179605	0.0151405	0.0155507	0.0168005	0.0162525	0.00823975	0.0117384	0.00690099	0.00794089
manière	0.00154482	0.00346778	0.00533475	0.0090779	0.0120846	0.0255684	0.0229697	0.0490646	0.0337742	0.0366139	0.0573376	0.0709787	0.0914315	0.071594	0.12039	0.115941	0.0893099	0.0745898	0.0513792	0.0190472	0.00851426	0.00708001	0.00451936	0.00198707	0.00218978	0.00132218	0.00141029	0.00109849	0.00145003	0.00154929	0.00107322	0.00112255	0.000863469	0.000266293	0.000355687	0.000219708	0.000136345	0.000396647	0.000426459	0.000572497	0.000371673	0.00110563	0.00046988
dont	0.0125314	0.0065413	0.00702954	0.00848138	0.0123798	0.016565	0.0293037	0.0425782	0.0858963	0.0624734	0.07489	0.104264	0.0759865	0.0603131	0.076004	0.0618928	0.0648771	0.0276498	0.0195254	0.0161382	0.0154619	0.00273375	0.00453019	0.00710987	0.00866954	0.00667054	0.008261	0.00314666	0.00904758	0.00302424	0.00456048	0.00278586	0.00276845	0.00378806	0.00241639	0.00358454	0.00292536	0.00300803	0.00797653	0.0113286	0.00634667	0.00817342	0.00636105
il	0.0127963	0.014899	0.00737112	0.00552914	0.0171427	0.00585022	0.00933039	0.0115463	0.0277701	0.0140709	0.0143568	0.0187031	0.0174555	0.0181855	0.0238274	0.0446824	0.0431601	0.034641	0.0256988	0.0276787	0.0365214	0.0260901	0.0309357	0.0364349	0.0789757	0.0231848	0.0713983	0.0144446	0.0579593	0.0279204	0.0226381	0.0114639	0.00809767	0.00914996	0.01161	0.00974317	0.012213	0.00964159	0.0123598	0.0217768	0.0252932	0.0292231	0.018229
pleure	0.0267252	0.0177455	0.0123222	0.00857068	0.021653	0.00518722	0.0105981	0.0126255	0.0160267	0.0113224	0.0196449	0.022731	0.0229112	0.023183	0.0410624	0.0487792	0.0601909	0.0465334	0.0378939	0.0549254	0.0577719	0.0453456	0.0443195	0.0361322	0.0272963	0.0171066	0.0229998	0.0110533	0.0613416	0.0161997	0.0165675	0.00765211	0.0135449	0.0135372	0.00685346	0.00355267	0.00623508	0.00652708	0.00871069	0.0145227	0.0126531	0.0143302	0.0151151
dans	0.0312656	0.0167927	0.0253754	0.0216098	0.0178352	0.0260995	0.018592	0.0199088	0.0246194	0.0268077	0.0351571	0.0459353	0.0477455	0.0532537	0.0576198	0.0800492	0.0665551	0.0522613	0.0477232	0.0605045	0.0518909	0.0285963	0.0221351	0.0147386	0.0107539	0.00855843	0.00830708	0.00410768	0.00780557	0.00303194	0.00393639	0.00224766	0.0037627	0.00323029	0.00353856	0.00354489	0.00392005	0.0041626	0.00563264	0.00630635	0.00682014	0.00549651	0.0117651
la	0.0336316	0.0280203	0.0246711	0.0217517	0.0135493	0.0162697	0.0120972	0.01507	0.0142844	0.015053	0.0213982	0.0237052	0.0214439	0.0200561	0.0210201	0.0329595	0.0218217	0.0220147	0.0217062	0.0247097	0.0199585	0.0134717	0.0159659	0.0113068	0.00819167	0.0113237	0.0108252	0.0144241	0.00918655	0.0129673	0.0158381	0.0157183	0.0189227	0.0183967	0.0217795	0.0270409	0.0309425	0.0303768	0.0461112	0.0630555	0.0387965	0.0446597	0.0755069
maison	0.0273391	0.00907347	0.00456489	0.00589329	0.00371632	0.00443767	0.00508003	0.00513044	0.00565618	0.00593146	0.00506403	0.0118861	0.0122897	0.0104136	0.0178474	0.0120931	0.0172695	0.0105263	0.0134679	0.0166374	0.0260911	0.0139275	0.0223432	0.0234698	0.0194675	0.0235152	0.0262669	0.020454	0.0250565	0.0262526	0.0327757	0.0290432	0.0207796	0.0268903	0.0498805	0.0326729	0.0535719	0.043844	0.0662751	0.0657389	0.0558519	0.0335635	0.0579506
il	0.0192714	0.00775436	0.00555873	0.00871904	0.00777916	0.00963082	0.0122288	0.0109585	0.0205865	0.0130622	0.0195348	0.0252948	0.025679	0.0200064	0.0317143	0.0252939	0.0306057	0.0178674	0.0215739	0.0275867	0.0369069	0.0169083	0.0212268	0.0201317	0.0168318	0.0164514	0.0189347	0.0116134	0.0162658	0.0119958	0.018062	0.0136535	0.0111745	0.0111089	0.0177323	0.0176841	0.0281437	0.0354312	0.0418829	0.0601277	0.0618394	0.0445959	0.090591
se	0.0141772	0.00684105	0.00821141	0.0105682	0.0123504	0.0117624	0.0165984	0.0126755	0.0336671	0.0287143	0.0305865	0.0281127	0.0348903	0.0208321	0.0210948	0.0192595	0.028386	0.0233042	0.0252781	0.0354218	0.0394999	0.0145954	0.0160867	0.015171	0.0125774	0.011971	0.0113089	0.00706788	0.0110068	0.00696497	0.0115797	0.0102765	0.0130792	0.013321	0.018165	0.0271933	0.0309995	0.0549668	0.032702	0.0589407	0.0685889	0.0398153	0.0513903
