 	a87	a40	a36	a85	a47	a36	a0	a75	a85	a0	a85	a47	a79	a94	a58	a57	a82	a87	a40	a36	a37	a76	a92	a75	a92	a56	a98	a47	a0	a75	a47	a98	a47	a15	a79	a56	a75	a85	a47	a36	a47	a36	a2	a57	a87	a23	a87	</S>
nos	0.0233948	0.0278578	0.0202434	0.0136526	0.0233783	0.0219034	0.0293311	0.0463161	0.0477693	0.0369825	0.0408278	0.0410503	0.0314342	0.0411638	0.0281275	0.0340629	0.0239682	0.0313393	0.0236145	0.0204566	0.0160815	0.0122921	0.0151765	0.010538	0.0112169	0.00886031	0.00529333	0.00641288	0.00668196	0.00491804	0.00427617	0.00631299	0.00446286	0.00292061	0.00350679	0.00470363	0.0031055	0.00255746	0.0032289	0.0109302	0.0131707	0.0212351	0.00526778	0.0282329	0.0620331	0.035383	0.0467246	0.0376018
pères	0.0117131	0.0130651	0.0201329	0.0376729	0.117359	0.117206	0.0647025	0.0430029	0.0340901	0.0223676	0.026187	0.0226843	0.0510497	0.0123195	0.0154566	0.0153909	0.0197933	0.040237	0.0384598	0.0416705	0.0334574	0.0400287	0.025299	0.0175025	0.0118868	0.0227785	0.0188614	0.0123465	0.00959	0.00910793	0.00415887	0.00305518	0.00324607	0.00182997	0.00171112	0.00450303	0.000464102	0.00188486	0.00222707	0.00102756	0.000651605	0.00053055	0.00207855	0.00237063	0.00110781	0.00125726	0.00177716	0.000699493
sont	0.0250484	0.0345731	0.0305201	0.0330363	0.0504456	0.0463744	0.0436654	0.0324147	0.0417959	0.0369814	0.0435144	0.042764	0.0379276	0.0306365	0.0406505	0.0304365	0.0322218	0.0407292	0.0184551	0.0287635	0.0279767	0.0227726	0.0214348	0.0194712	0.0177238	0.0427764	0.0292398	0.023905	0.0148459	0.00477402	0.00375358	0.00565362	0.00450659	0.00513982	0.00285302	0.00483573	0.000696669	0.00201938	0.00157692	0.00225745	0.00194715	0.0011344	0.00288997	0.00412495	0.00320937	0.00251412	0.00282951	0.00218329
encore	0.0203607	0.0485968	0.0304994	0.0475461	0.0226806	0.0187601	0.0170857	0.012175	0.0194831	0.0230477	0.0151862	0.0293279	0.0174608	0.0145857	0.0224356	0.0243378	0.0230804	0.0149066	0.0120479	0.0121639	0.0116744	0.0108828	0.00914964	0.00752735	0.0140324	0.0296908	0.0276913	0.0157382	0.0175332	0.0102459	0.0104885	0.0156722	0.015039	0.0187523	0.0362187	0.0201632	0.0349304	0.054091	0.0203208	0.0207305	0.0142126	0.00741053	0.0194264	0.0268291	0.0231296	0.0293868	0.0255237	0.0077404
vivants	0.0292356	0.0148441	0.00850013	0.0118416	0.0112255	0.0116231	0.008707	0.0142764	0.0140205	0.0229104	0.0234164	0.0298622	0.035311	0.0435666	0.0350684	0.0533214	0.0461166	0.037193	0.0380493	0.0225323	0.0166504	0.0117449	0.0281268	0.030585	0.0357816	0.0343301	0.0365913	0.0263063	0.0215191	0.0195462	0.0148742	0.0115568	0.0119261	0.00714654	0.00845256	0.0069607	0.0111477	0.0120789	0.00714599	0.0165797	0.0131396	0.0119656	0.0061237	0.0121995	0.0149314	0.0138191	0.0238549	0.023294
nos	0.0403204	0.0211234	0.0138616	0.0179298	0.00716456	0.00778538	0.0117098	0.014141	0.0127225	0.0231222	0.0158606	0.0174306	0.0139248	0.0239609	0.0243652	0.0415901	0.0443833	0.0161388	0.0117177	0.0078757	0.00862982	0.0103758	0.0118183	0.0115958	0.0167952	0.0156746	0.0225605	0.0235956	0.0325674	0.0214803	0.018092	0.0225136	0.0158684	0.0227816	0.0182057	0.0217771	0.0333581	0.0369297	0.0160628	0.0256333	0.0273591	0.0270853	0.0134047	0.0216849	0.0274386	0.020786	0.0314537	0.0373433
oncles	0.0427093	0.0272054	0.0193755	0.0180866	0.00837566	0.00997964	0.0146236	0.0175914	0.0152467	0.0263917	0.0223016	0.0250004	0.0155028	0.0233037	0.0239969	0.0363982	0.0414386	0.0226619	0.0163293	0.0120941	0.011125	0.00951678	0.0103651	0.00845175	0.00754438	0.00932225	0.0116907	0.0137513	0.0198296	0.0127909	0.0122234	0.0173001	0.0184231	0.0222245	0.0210485	0.0155933	0.0223372	0.0289009	0.0217569	0.0431167	0.0293338	0.0257046	0.0111588	0.0183011	0.0433114	0.0224999	0.036367	0.037398
doivent	0.0251487	0.0182588	0.0170516	0.0155811	0.012044	0.01393	0.0158586	0.014353	0.016963	0.0194796	0.0211116	0.0220879	0.0251708	0.0221443	0.0242558	0.0317426	0.0312741	0.0252832	0.0227425	0.0224901	0.0201371	0.0123205	0.0132483	0.0125557	0.0135685	0.0142172	0.0140405	0.0158824	0.0151617	0.0130711	0.0126783	0.013802	0.0194694	0.0162949	0.0136176	0.0127627	0.0165848	0.0177914	0.0236704	0.0464423	0.0411901	0.0371211	0.0198275	0.0263366	0.0354701	0.0263456	0.0322776	0.0271435
se	0.0177053	0.00403387	0.0041577	0.00382815	0.00196428	0.00225965	0.00269972	0.00265936	0.00397718	0.00764918	0.00979857	0.0121188	0.0133583	0.00923822	0.0120862	0.0170732	0.0158702	0.0115375	0.0134594	0.0139755	0.009095	0.00686464	0.00770175	0.00788058	0.00723311	0.0104002	0.010032	0.0103032	0.0144834	0.0112498	0.0101591	0.00597565	0.00713091	0.0052712	0.00592987	0.00555685	0.00697699	0.009587	0.0173172	0.074826	0.11391	0.101801	0.0498032	0.0947774	0.0563875	0.0656602	0.053853	0.0403825
conformer	0.0184987	0.0156457	0.0157263	0.0148814	0.0134961	0.0138597	0.0146017	0.0147763	0.0152311	0.0149247	0.0160594	0.0160548	0.0173511	0.0165699	0.0169434	0.0179101	0.0154995	0.017216	0.0178415	0.0206717	0.0180856	0.0113831	0.0138378	0.0121254	0.012304	0.0105812	0.008562	0.00867244	0.00882344	0.00897576	0.0092088	0.0073654	0.00864424	0.00760192	0.00736636	0.00812068	0.00815142	0.00831404	0.0119046	0.0428613	0.044998	0.0827511	0.0263911	0.0571646	0.0541523	0.0609753	0.055371	0.0615478
