 	a66	a97	a87	a97	a79	a20	a79	a47	a79	a15	a7	a56	a94	a5	a23	a11	a75	a92	a37	a61	a18	a75	a79	a7	a98	a15	a36	a5	a37	a93	a4	a57	a13	a38	a3	a99	a97	a99	a97	</S>
il	0.0246546	0.0364262	0.0400059	0.0360747	0.0320145	0.0333426	0.0776619	0.0344307	0.0645545	0.052642	0.0663374	0.0436954	0.0286529	0.0355039	0.0282641	0.0312551	0.0181065	0.014434	0.0121553	0.00764004	0.00611766	0.00578246	0.00590578	0.0049075	0.00583166	0.00723152	0.00949813	0.0154523	0.0123295	0.013492	0.0117919	0.0172631	0.0184534	0.021456	0.0166271	0.0222317	0.0181385	0.0239003	0.0196458	0.0260912
se	0.00589362	0.0139381	0.0224413	0.0251373	0.0179679	0.0264103	0.033282	0.0376235	0.0404052	0.0363211	0.0304414	0.0251258	0.0270861	0.0255998	0.0242776	0.0262884	0.0296843	0.0348892	0.039871	0.0393901	0.0401882	0.0308984	0.0293208	0.0192856	0.0258857	0.0294994	0.0206344	0.027988	0.0315612	0.0307702	0.01302	0.0149666	0.014977	0.0142473	0.0176323	0.0134188	0.0163696	0.0154359	0.0206822	0.0111447
plaint	0.0081022	0.00553116	0.00450325	0.00519374	0.00481914	0.00256725	0.00542031	0.0384978	0.0487947	0.0465053	0.0827044	0.085962	0.0680036	0.0356674	0.036436	0.0709243	0.0667584	0.0638736	0.0503588	0.0436595	0.0241538	0.0262399	0.0221983	0.0121702	0.0186166	0.00745475	0.00290758	0.0036416	0.00249175	0.00203648	0.00209086	0.00294378	0.00462341	0.00687188	0.00907838	0.00939535	0.01518	0.0133473	0.0202805	0.0199949
parce	0.077222	0.0514842	0.026288	0.034373	0.03419	0.0261342	0.00699156	0.0101522	0.0122718	0.0175071	0.0151353	0.0128106	0.022128	0.0139802	0.0236654	0.0297148	0.0283973	0.0251772	0.0208819	0.0214042	0.026689	0.0168342	0.018341	0.0238838	0.0310802	0.0289897	0.0249117	0.0198341	0.0114254	0.021478	0.0286099	0.0190548	0.0298252	0.0367449	0.0279178	0.0277247	0.0260155	0.0173757	0.0154266	0.0379289
qu'	0.0374914	0.0259529	0.0188845	0.0169336	0.0089141	0.0110196	0.0173842	0.0249959	0.0169428	0.0194414	0.0261217	0.0245144	0.0277358	0.0278172	0.0342505	0.0370714	0.0344366	0.032875	0.0311979	0.0311839	0.0458978	0.0392011	0.0410901	0.0270131	0.0323	0.0259894	0.00898857	0.00677324	0.00384373	0.00474619	0.00984142	0.00781263	0.0107307	0.0241043	0.0265682	0.0297096	0.0357812	0.0257739	0.0412661	0.0474041
il	0.0591211	0.0424928	0.0322521	0.015405	0.0131781	0.0155374	0.0234213	0.0295603	0.0335826	0.0257319	0.0344596	0.0276072	0.014522	0.0229124	0.0277305	0.0537531	0.0368806	0.032111	0.0309829	0.0306833	0.0253533	0.0232424	0.0278153	0.0084528	0.0268103	0.0366334	0.0262981	0.0249242	0.00924899	0.00910797	0.014474	0.00999858	0.0124	0.0245111	0.0279519	0.0260257	0.019934	0.014241	0.0136126	0.0170391
n'	0.0343819	0.0312457	0.0273173	0.0210487	0.0203631	0.0269805	0.0154281	0.0125017	0.0107853	0.0150392	0.0134567	0.0181071	0.0167075	0.0151555	0.0176302	0.0260342	0.021635	0.0209062	0.0156724	0.017329	0.0184039	0.0127155	0.0133895	0.00770612	0.0167607	0.0378243	0.0302989	0.0333746	0.0108975	0.0082996	0.011761	0.00998599	0.0212908	0.0355024	0.0597986	0.0574669	0.0646817	0.0538676	0.0566671	0.0415823
a	0.0260863	0.022331	0.0215564	0.0211654	0.0230105	0.0254961	0.0112874	0.0107391	0.00517232	0.00893267	0.0070077	0.0100684	0.00976525	0.00678403	0.0103386	0.0128852	0.0132549	0.0135458	0.00845088	0.00800084	0.00974248	0.00989467	0.0121438	0.010332	0.0179968	0.0402827	0.0307318	0.0241718	0.0111631	0.0135602	0.0103779	0.0137823	0.0329761	0.0597584	0.114311	0.0830487	0.0758879	0.0525198	0.064142	0.0372981
pas	0.0476004	0.0507391	0.0380341	0.036778	0.0256424	0.0318243	0.0169491	0.0178108	0.0126402	0.0170732	0.0161059	0.0188577	0.0184825	0.0172015	0.0238256	0.01996	0.0193337	0.0166093	0.0171189	0.0174577	0.0124672	0.0143566	0.0123412	0.0133923	0.0123984	0.0163061	0.00980427	0.00750943	0.00407948	0.00505473	0.0065955	0.00636532	0.0168003	0.028047	0.0804951	0.0667913	0.0567597	0.0462391	0.0556638	0.0484888
d'	0.029179	0.0271971	0.0228719	0.0192602	0.0111098	0.0139868	0.0151511	0.015049	0.0135623	0.015097	0.0181743	0.0196806	0.0170974	0.021023	0.0190345	0.0182791	0.01669	0.0138064	0.0162215	0.016953	0.0123494	0.0168131	0.0146732	0.0133265	0.0141265	0.0154495	0.00852265	0.0109653	0.00501274	0.00629998	0.0105638	0.0102037	0.0236996	0.0334433	0.0502743	0.0438048	0.0678536	0.0841962	0.09433	0.104668
