 	a23	a87	a23	a79	a20	a30	a2	a20	a73	a2	a10	a11	a62	a21	a12	a18	a71	a9	a87	a23	a24	a9	a84	a53	a96	a31	a43	a32	a54	a30	a41	a12	a24	a41	a18	a25	a76	a94	a76	a94	a76	a94	a76	a90	a4	a90	a75	a94	a66	a98	a73	a2	a57	a38	a70	a98	a73	a84	a38	a73	a69	a84	a87	</S>
il	0.0212545	0.0159115	0.0213059	0.0218315	0.0251374	0.0315828	0.0204142	0.0293436	0.0352423	0.0326857	0.0205407	0.0448353	0.0463808	0.0597687	0.0291297	0.0383981	0.0404691	0.0277682	0.0315334	0.0159452	0.0228089	0.00887943	0.00976706	0.0149996	0.00493443	0.00850387	0.00576184	0.00774552	0.00812136	0.00912277	0.00994739	0.00628314	0.00492584	0.00363015	0.00241883	0.00166449	0.00150839	0.00241545	0.00144578	0.00170318	0.00254883	0.00205207	0.00190554	0.00191896	0.00210135	0.00194614	0.00211321	0.0011388	0.00146419	0.0013559	0.00144379	0.00405908	0.00272766	0.00297709	0.00590444	0.00763773	0.0082478	0.0103867	0.019104	0.0400107	0.0320827	0.0229464	0.0327836	0.0450775
est	0.00098976	0.00108884	0.00168832	0.0022709	0.00242493	0.00220295	0.00410612	0.0204609	0.0202382	0.0114535	0.0100555	0.020516	0.0197794	0.0187573	0.0304367	0.0224217	0.0253515	0.0168596	0.0332902	0.0259633	0.0237257	0.0213851	0.0194539	0.0264877	0.0234241	0.0520108	0.0299534	0.0518417	0.0762617	0.029598	0.0330583	0.0334346	0.0250013	0.0194215	0.011668	0.0105077	0.0117615	0.0146373	0.0103522	0.00722574	0.00732914	0.0093829	0.00828986	0.00699603	0.0132161	0.00855775	0.0031305	0.00329169	0.00382135	0.00292235	0.00410831	0.00645095	0.00577025	0.00587821	0.0123128	0.00901345	0.00892159	0.00660571	0.00821473	0.010902	0.0121398	0.00609321	0.00783158	0.00725381
arrivé	0.00372986	0.00381909	0.00321763	0.00260838	0.00274094	0.00318427	0.0048434	0.0125897	0.0278616	0.0222122	0.0181887	0.0211814	0.0130754	0.0155596	0.0144501	0.0105172	0.0138925	0.0210999	0.0204096	0.0276306	0.029218	0.0363612	0.0278146	0.016373	0.0237835	0.0306509	0.0360469	0.0460267	0.0514479	0.0418943	0.0370874	0.0418823	0.0160269	0.0170975	0.00519013	0.00418462	0.00384181	0.00628555	0.00489692	0.00448107	0.00341064	0.00383473	0.00328546	0.00383331	0.00344212	0.00341932	0.00237172	0.00394932	0.00435197	0.00332201	0.00411323	0.00573421	0.00656117	0.00858775	0.0070403	0.0132768	0.0193562	0.0415725	0.0232328	0.0221684	0.0198079	0.0182047	0.0134229	0.0182973
trois	0.00670708	0.00797866	0.00390467	0.00257836	0.00302464	0.00243098	0.00680595	0.00676928	0.0145915	0.019436	0.0163448	0.0147652	0.00832623	0.0129599	0.0242262	0.0223396	0.0214243	0.0242898	0.0249424	0.0262849	0.0289158	0.0242816	0.0271485	0.0239958	0.0213154	0.020758	0.0283222	0.0248253	0.0206829	0.0377077	0.0357248	0.0246307	0.0275075	0.0163101	0.0255443	0.0193034	0.0202854	0.0138406	0.0165756	0.0158008	0.0122561	0.0120756	0.0107205	0.0123945	0.0143163	0.0151614	0.0119949	0.0119716	0.0207911	0.0151672	0.0111599	0.0145815	0.0148611	0.0102989	0.00897131	0.00546974	0.00595316	0.00607182	0.00717379	0.00871939	0.00772118	0.00729502	0.00470905	0.00655798
jours	0.0125467	0.0107395	0.00817826	0.00610248	0.00618201	0.00449356	0.0042792	0.00471649	0.00738544	0.0117156	0.00993726	0.0201904	0.0172674	0.0325338	0.014354	0.0141461	0.0139827	0.0117717	0.0114458	0.0106088	0.0239856	0.0192565	0.0129465	0.0112271	0.0124414	0.0216708	0.0126153	0.0142055	0.0205154	0.0268676	0.032997	0.0245767	0.0283042	0.0408396	0.0191675	0.0172814	0.0300352	0.0155187	0.0259705	0.027637	0.0219441	0.0170492	0.0296905	0.0285429	0.0157239	0.0176467	0.0220501	0.0213306	0.0273999	0.0155215	0.0142518	0.0152464	0.01406	0.00950982	0.00866009	0.00632731	0.00533861	0.0057293	0.0057666	0.0067465	0.00581025	0.00593602	0.0048664	0.00421467
après	0.00523271	0.00394841	0.00358533	0.00368425	0.00300958	0.00349979	0.002729	0.00442566	0.00627273	0.00679774	0.0062203	0.00659356	0.0125661	0.0183449	0.0243687	0.0270796	0.0322112	0.034962	0.0257233	0.0232663	0.0409154	0.0331915	0.0183338	0.0167327	0.0244361	0.0346248	0.019525	0.0145856	0.0261484	0.0413562	0.0397777	0.0294763	0.0369445	0.0404554	0.019512	0.0159909	0.0253698	0.0150606	0.0179041	0.018923	0.0159113	0.00956707	0.0165608	0.012419	0.00825098	0.00965193	0.0125837	0.0121403	0.0135991	0.0121932	0.0075408	0.00794506	0.00880119	0.00788716	0.00816254	0.00778355	0.00768125	0.00441712	0.00394622	0.00687109	0.00587253	0.00616246	0.00585848	0.00440804
le	0.0296423	0.0295084	0.0176958	0.0140275	0.0144335	0.00722006	0.0122201	0.00733503	0.0119204	0.0188173	0.0166266	0.0183948	0.0214807	0.0151448	0.0188128	0.0240505	0.018711	0.0240494	0.025157	0.0209167	0.010719	0.00962816	0.0159346	0.0143134	0.00951348	0.0107712	0.0133334	0.0132504	0.0172989	0.0326729	0.0230091	0.012446	0.0149165	0.00941055	0.00970819	0.00716092	0.00862718	0.00547279	0.00561507	0.00396179	0.0056352	0.00191387	0.00372648	0.00574603	0.00478321	0.00842025	0.0150619	0.0186001	0.0113203	0.0174402	0.0129857	0.0130171	0.0124991	0.00744972	0.00709506	0.011844	0.01208	0.017812	0.020323	0.0320016	0.0327449	0.0394053	0.0329821	0.0411844
départ	0.00839377	0.0113003	0.00603202	0.00626717	0.00822476	0.00337994	0.00412295	0.00362171	0.0124719	0.0127529	0.00882001	0.0110706	0.0201669	0.0338791	0.0203942	0.0248459	0.022266	0.0225415	0.0264031	0.0218074	0.0272021	0.0278475	0.0188971	0.016201	0.017037	0.0230637	0.0271847	0.0209284	0.0298641	0.0367419	0.0362477	0.033804	0.035759	0.0317156	0.0356113	0.0243604	0.0230572	0.020835	0.0152336	0.0136352	0.0123578	0.0109564	0.0103214	0.00944338	0.00902085	0.00985591	0.00816454	0.00717276	0.00912251	0.0107692	0.0104712	0.00955788	0.00985898	0.00829255	0.0049283	0.00651285	0.00743951	0.00590679	0.00512713	0.00641964	0.00533189	0.0106983	0.00478333	0.00349807
de	0.00827347	0.0111102	0.00582776	0.00475965	0.00465282	0.00600114	0.003322	0.00719272	0.0131252	0.0178184	0.00940495	0.0205053	0.0289566	0.0359064	0.0401515	0.0400555	0.0343524	0.0327119	0.0337658	0.0231619	0.0181218	0.0162782	0.0161208	0.0238321	0.0190138	0.0190979	0.0125307	0.0109138	0.0133526	0.0164546	0.0161591	0.0115643	0.0127055	0.0106521	0.0148111	0.0107934	0.00950973	0.00785893	0.00690159	0.00697658	0.00602877	0.00379061	0.00456238	0.0035623	0.00389101	0.0037206	0.00210315	0.00173937	0.00205337	0.00300948	0.00468197	0.00850353	0.00513444	0.00476766	0.00729949	0.007053	0.00797927	0.0117778	0.0182943	0.0270051	0.0431347	0.0433843	0.0488902	0.0729287
son	0.0121499	0.01794	0.00907745	0.00842453	0.0110113	0.0086603	0.00717842	0.00797394	0.0204895	0.0173224	0.0122944	0.0193554	0.0110251	0.0141061	0.00946111	0.00943551	0.00890491	0.010836	0.00951601	0.0085041	0.0109867	0.0137263	0.00757479	0.00987108	0.0176783	0.0118592	0.0144559	0.0117727	0.0111238	0.012745	0.0140141	0.0208592	0.0153257	0.0225464	0.0256797	0.0254496	0.0248641	0.0233283	0.0162485	0.0163965	0.0121348	0.0118213	0.0123753	0.0106142	0.0131212	0.0126007	0.00876839	0.00806588	0.00914177	0.0100329	0.0137825	0.0179672	0.0159006	0.0187556	0.0182243	0.0208099	0.0271888	0.0263685	0.0262657	0.0232922	0.0256059	0.0205553	0.0271309	0.0493037
