 	a66	a10	a87	a23	a30	a93	a34	a47	a21	a12	a43	a0	a75	a25	a44	a93	a69	a58	a82	a87	a40	a6	a37	a96	a66	a75	a98	a79	a90	a69	a90	a44	a96	a0	a62	a70	a53	a44	a58	a82	a87	a23	a87	</S>
ce	0.0197443	0.0241266	0.02466	0.0192821	0.0206811	0.0461238	0.0320827	0.0354608	0.0769925	0.0696572	0.0570743	0.0324391	0.0199374	0.0250226	0.0172431	0.017455	0.0118643	0.0108169	0.00926577	0.00761911	0.0112567	0.0100127	0.00986376	0.0181307	0.0159467	0.0167864	0.0156508	0.0200459	0.0234556	0.0185812	0.021788	0.0239931	0.0109843	0.0104321	0.0096328	0.0155744	0.0211605	0.0276425	0.0244991	0.0169215	0.0239445	0.0191602	0.0135024	0.0234857
malade	0.0152018	0.0207332	0.0230753	0.0524539	0.0690412	0.0655157	0.090926	0.0727164	0.0271487	0.0282522	0.0180765	0.0146484	0.0258754	0.0100296	0.0166326	0.00527342	0.0188584	0.0124153	0.0130241	0.0192447	0.0212522	0.00850924	0.0125153	0.00682375	0.00611644	0.0100546	0.0285892	0.0381003	0.0348959	0.0276586	0.0215943	0.0150481	0.0229863	0.0184714	0.0226339	0.010901	0.00745218	0.00520917	0.005751	0.00711373	0.00569104	0.00899455	0.0197226	0.0147724
du	0.0197789	0.0141272	0.0131663	0.0160942	0.0185704	0.02774	0.0169604	0.0378373	0.0436508	0.0370978	0.0638387	0.105111	0.0414168	0.13928	0.0305562	0.0634886	0.0371053	0.0201799	0.020624	0.0166281	0.0213409	0.0125779	0.0262621	0.0102089	0.00800263	0.0130382	0.00927583	0.00385248	0.00462681	0.00530725	0.00336172	0.00399908	0.0025876	0.00205606	0.00434012	0.00613725	0.0075818	0.0105753	0.00802849	0.00846561	0.0128754	0.00821935	0.0105875	0.0134391
sida	0.0338534	0.00877393	0.00532439	0.0177785	0.0114114	0.0131537	0.0107135	0.0104147	0.0121297	0.0190356	0.034077	0.0393903	0.017324	0.0517031	0.0290572	0.0669079	0.0471278	0.0484741	0.0510181	0.0271705	0.0559889	0.0358587	0.0685563	0.0371734	0.0505416	0.0522618	0.0245585	0.0163338	0.0147292	0.0102668	0.00533495	0.0135017	0.0055004	0.00363946	0.00449077	0.00211346	0.00235837	0.00290578	0.00326539	0.00636216	0.00399816	0.00497197	0.00808031	0.0123696
n'	0.0254516	0.0256899	0.0301762	0.0182835	0.0160621	0.01269	0.0228312	0.0173597	0.0189657	0.023754	0.0345661	0.0301426	0.0384287	0.0355447	0.0525539	0.0752358	0.0546923	0.0833875	0.0609107	0.0428213	0.0480656	0.0338589	0.0318247	0.0266224	0.02069	0.0155039	0.00811458	0.00620574	0.00516356	0.00580187	0.00504853	0.00778437	0.00310133	0.00243442	0.00206543	0.00322834	0.00240621	0.00539301	0.00430855	0.00645783	0.00421748	0.00883656	0.00667073	0.0166485
a	0.0185769	0.0188877	0.0168907	0.0153632	0.0165922	0.00895011	0.00699125	0.00736097	0.00818201	0.0125892	0.0200106	0.018503	0.0404669	0.028729	0.0326997	0.0517923	0.0389219	0.0434388	0.0427154	0.027604	0.0478439	0.0369841	0.0333043	0.032907	0.0368161	0.0323579	0.0171944	0.0121182	0.00920397	0.0131101	0.011052	0.0223434	0.0152696	0.0120392	0.0115122	0.0130757	0.0112211	0.019156	0.0186369	0.0160055	0.0208316	0.0210595	0.0242994	0.0363922
personne	0.0142083	0.0111208	0.0127679	0.0140213	0.0129382	0.00910626	0.0109052	0.00821387	0.00860171	0.0156572	0.0216007	0.0189145	0.0370106	0.0294494	0.0332187	0.0434683	0.0398051	0.0392374	0.0350413	0.0251238	0.0293283	0.0357195	0.0286288	0.0357162	0.0326764	0.0252335	0.0158958	0.0103536	0.0086563	0.0116603	0.00853804	0.0203653	0.0122627	0.0167215	0.0215865	0.0199099	0.0254112	0.0366048	0.0312792	0.0214304	0.0304457	0.0233864	0.022383	0.0353958
pour	0.025536	0.0155401	0.00712632	0.00802865	0.00556938	0.00972277	0.00388571	0.00413978	0.0056763	0.0161498	0.0192486	0.0267407	0.0353808	0.0327464	0.0264077	0.0375978	0.0294358	0.0427563	0.035285	0.0351228	0.0423327	0.0303927	0.02826	0.0467814	0.0465852	0.0336949	0.0235186	0.0147802	0.0166782	0.0202498	0.0179594	0.0279128	0.0216181	0.0140887	0.0142159	0.0145738	0.0135615	0.0217639	0.0191538	0.0211764	0.0285541	0.0174123	0.0166575	0.0259812
s'	0.0199322	0.0162631	0.0152887	0.0121073	0.0132272	0.00944809	0.00471669	0.00339225	0.0033131	0.00838754	0.00888506	0.0117501	0.0155666	0.0127973	0.0132204	0.0191749	0.0222411	0.0318018	0.0325588	0.0325053	0.0320209	0.031023	0.0238501	0.0551303	0.0601267	0.0316118	0.0278057	0.0155087	0.0175572	0.0143725	0.0124946	0.0131683	0.0119041	0.0140891	0.0173278	0.0192508	0.023394	0.0451999	0.0360676	0.0379378	0.0425724	0.0339161	0.0313913	0.0457016
occuper	0.0273052	0.0241028	0.0260188	0.0264659	0.0204166	0.0195309	0.00970163	0.00469557	0.00365873	0.00911569	0.00979516	0.0105433	0.011754	0.0111028	0.0136191	0.0163345	0.0226126	0.024386	0.0207713	0.0233376	0.0179545	0.0280496	0.016098	0.0331189	0.0349894	0.0262176	0.0261145	0.0150612	0.0176019	0.0147896	0.0130161	0.0172741	0.014598	0.0150296	0.0144151	0.0188533	0.0209367	0.0388493	0.0326468	0.0412218	0.0486009	0.0394033	0.0482693	0.071622
de	0.0138312	0.0133414	0.024265	0.017691	0.0249397	0.0195332	0.00915146	0.00801523	0.00785206	0.0181367	0.0166736	0.0147665	0.0147124	0.014909	0.0156853	0.0183437	0.0170642	0.0159862	0.0124154	0.0144724	0.00835522	0.01755	0.0135804	0.0216465	0.0227518	0.0194079	0.0167445	0.0181961	0.0164988	0.0195243	0.0185783	0.0235292	0.0166908	0.0186579	0.0179121	0.0280925	0.0293345	0.0588328	0.0412091	0.0460352	0.0492465	0.0471308	0.0379917	0.0807176
lui	0.0162673	0.0124612	0.0198287	0.0153479	0.0186794	0.0136534	0.00884802	0.00979165	0.00952791	0.0208657	0.0207569	0.0205695	0.0219191	0.0194095	0.018599	0.017229	0.0162334	0.0150383	0.0117972	0.0135556	0.0112646	0.014894	0.0122932	0.015583	0.0182594	0.018441	0.0179927	0.0154822	0.0185665	0.0210079	0.02133	0.0307133	0.0251497	0.0246241	0.0235543	0.025271	0.0285961	0.0473251	0.0439555	0.0422574	0.0516053	0.0433605	0.0440624	0.0640319
</S>	0.013862	0.00892993	0.0133667	0.0116657	0.0106348	0.00861709	0.00660582	0.00710026	0.00647719	0.0148208	0.0167454	0.018244	0.0195783	0.0188545	0.0190021	0.0194698	0.0188293	0.0177056	0.0153933	0.0164847	0.0128604	0.0189086	0.015615	0.0215838	0.0233829	0.0215146	0.0187394	0.012634	0.0174203	0.0173966	0.017653	0.0303963	0.0251696	0.0322294	0.0309397	0.0363104	0.0361879	0.0524454	0.0422329	0.0443066	0.0505077	0.0439357	0.0378424	0.0574001
