 	a66	a87	a23	a10	a54	a36	a7	a54	a47	a0	a54	a47	a37	a56	a44	a43	a34	a56	a61	a83	a9	a99	a97	a30	a13	a38	a93	a56	a75	a96	a62	a83	a98	a47	a79	a6	a37	a96	a83	a75	a18	a27	a9	a87	a23	a87	a23	a3	a97	a3	a87	a23	a87	a97	a87	a23	a10	a99	a82	</S>
parmi	0.0162043	0.0250526	0.0403104	0.0451829	0.0472804	0.0612549	0.0493932	0.0216894	0.0130067	0.0141939	0.00773599	0.00395512	0.0042275	0.0115036	0.0247662	0.0122158	0.0198855	0.0402944	0.0444677	0.0324829	0.0459282	0.0363393	0.0413603	0.0546094	0.0209564	0.0117661	0.0113998	0.00787512	0.00910324	0.00437564	0.00402583	0.0031416	0.00316739	0.00213013	0.00206218	0.00227568	0.00391773	0.00484762	0.00479731	0.00450395	0.00472825	0.00768942	0.00927459	0.00583437	0.00852785	0.00980098	0.0106883	0.0118026	0.011754	0.00619386	0.00979199	0.00866211	0.0102885	0.00654266	0.00934133	0.0115945	0.0149288	0.00951123	0.00668866	0.0126696
tes	0.00864511	0.00968772	0.00932474	0.0121205	0.0187151	0.0204248	0.0294609	0.0437654	0.0426296	0.0397291	0.0575702	0.0170863	0.0123876	0.0055203	0.00970263	0.0090159	0.00445295	0.0133612	0.0107179	0.0101017	0.0124895	0.0138215	0.012752	0.0105427	0.00671124	0.00587487	0.00912246	0.0118629	0.014525	0.0174872	0.0230707	0.0176979	0.0142721	0.0118306	0.00946944	0.0110381	0.0113035	0.0131956	0.0116687	0.0138557	0.0143396	0.021481	0.0166138	0.0353977	0.0288159	0.0319195	0.018795	0.0228399	0.0181615	0.0244994	0.0150785	0.0193195	0.0246502	0.0132504	0.0134466	0.0125383	0.0122207	0.00907926	0.00720111	0.00334084
dix	0.0264322	0.0169331	0.0142886	0.02086	0.052193	0.0938725	0.0561366	0.0421808	0.057979	0.0361083	0.0375527	0.0482769	0.029919	0.0156184	0.0208068	0.0127422	0.00985166	0.018329	0.0196126	0.0175816	0.0183	0.01462	0.0212717	0.0201089	0.0161575	0.00996932	0.00958371	0.0107235	0.010426	0.0118271	0.0201962	0.0220434	0.0147003	0.0117	0.0086209	0.00582603	0.00319037	0.00387079	0.00328972	0.00526947	0.00317466	0.00349915	0.00375051	0.00452407	0.00409076	0.00495773	0.00340172	0.00374462	0.0025509	0.0035607	0.00591012	0.00298629	0.00508541	0.00494385	0.00583546	0.00995751	0.00886605	0.00776388	0.0139643	0.00846231
femmes	0.0266475	0.0110282	0.00822834	0.00605276	0.00923353	0.00526338	0.00350346	0.0020238	0.00931297	0.00639231	0.0084293	0.0106867	0.0137149	0.0198007	0.0169389	0.0121425	0.0153499	0.0136392	0.0225714	0.0150329	0.0168951	0.00694642	0.00810982	0.011374	0.0255739	0.0245783	0.0304525	0.0225022	0.0325421	0.0232024	0.0329559	0.0470298	0.0283272	0.019826	0.0338142	0.0356419	0.0229513	0.0124927	0.0188332	0.0101545	0.0104997	0.00768772	0.0053927	0.00842667	0.00657575	0.0105623	0.0117186	0.0128021	0.0107657	0.0168586	0.0300458	0.0158407	0.0177608	0.0267076	0.0157929	0.0208971	0.0152234	0.0210332	0.0142084	0.021004
laquelle	0.0205687	0.0123189	0.0086044	0.00823972	0.00609198	0.00447775	0.00309651	0.00391985	0.00725432	0.00574426	0.00738229	0.0205222	0.0167013	0.0347546	0.02521	0.0141935	0.0184499	0.0119806	0.0163222	0.0137681	0.0173393	0.0115513	0.0150504	0.0138954	0.0458279	0.0383809	0.0292639	0.0148808	0.0156107	0.00969744	0.012157	0.0133658	0.00904961	0.00646792	0.00881043	0.0133038	0.0120107	0.010466	0.0179256	0.00998092	0.0132043	0.0138303	0.0150301	0.0192034	0.017828	0.0124497	0.0189518	0.0104138	0.0204134	0.0230861	0.0251671	0.0234473	0.0244624	0.03381	0.0248195	0.0270389	0.0241906	0.0235828	0.026167	0.0182669
sera	0.0152357	0.00965707	0.0141954	0.019528	0.0197926	0.0348108	0.0687577	0.118341	0.059858	0.0496323	0.0327791	0.0189807	0.0156757	0.0172905	0.0130556	0.0139338	0.0252028	0.0534807	0.0274173	0.0377307	0.0261345	0.0292195	0.0422431	0.0527012	0.0341226	0.0126649	0.00746213	0.00553	0.00409888	0.00336575	0.00267079	0.00245361	0.00199554	0.00116671	0.00251063	0.00312002	0.0033571	0.00261852	0.00331422	0.00383278	0.00371194	0.00353496	0.00431928	0.00353862	0.00392432	0.00499763	0.00382544	0.00490945	0.00376994	0.00331107	0.00620482	0.00435453	0.00554679	0.00393074	0.00497116	0.00585275	0.00461336	0.00464105	0.00653146	0.00357275
baisée	0.0229478	0.0117351	0.00885904	0.0156897	0.0124761	0.0147913	0.00636491	0.00687086	0.0194761	0.00975529	0.0111462	0.0324585	0.0141962	0.00754816	0.0101023	0.00956349	0.0123069	0.0227577	0.0217404	0.0191694	0.0178079	0.0102086	0.019137	0.0183916	0.0346206	0.0292394	0.0333934	0.045078	0.0329986	0.0228941	0.0242183	0.0328397	0.0128212	0.0113662	0.0145568	0.0187411	0.0149484	0.0120249	0.0143666	0.0193797	0.0157662	0.0140709	0.0157987	0.00876274	0.0127924	0.00864035	0.00956874	0.00616376	0.011838	0.0103579	0.0125819	0.0117027	0.0133942	0.01326	0.0215117	0.0235403	0.0240239	0.0169972	0.0167855	0.0034549
aujourd'	0.030989	0.0284959	0.0220823	0.0208494	0.0107759	0.0137057	0.00628133	0.00487545	0.00593994	0.0064117	0.00757305	0.00698915	0.0087458	0.00774982	0.0175544	0.0209377	0.0154815	0.0365282	0.0416525	0.0381077	0.04601	0.0397318	0.0347593	0.02715	0.0285182	0.0226129	0.0294971	0.0211226	0.0119244	0.00989755	0.00845552	0.00974443	0.00974709	0.00459177	0.00924269	0.0113373	0.00956453	0.00655209	0.00928615	0.0109529	0.00963394	0.00957105	0.0105947	0.00780076	0.00843522	0.0062908	0.00864785	0.00638525	0.0120565	0.0129292	0.0200513	0.0128921	0.0176156	0.0221503	0.0221199	0.0275767	0.0177111	0.0192236	0.0252416	0.0106478
hui	0.0210756	0.0190879	0.0126323	0.0129829	0.0114561	0.0110947	0.00367921	0.00341501	0.00689887	0.00791798	0.00985262	0.012283	0.0153868	0.0104586	0.016091	0.0238764	0.0206701	0.0369067	0.0403899	0.040553	0.0530339	0.0299469	0.0505328	0.043946	0.0353465	0.0272899	0.0335766	0.0259406	0.0150973	0.0131362	0.0105855	0.0127645	0.0140101	0.00610234	0.0125029	0.0109271	0.00898905	0.00654513	0.0105666	0.0127299	0.00823762	0.00693682	0.00987714	0.00334595	0.00625427	0.00309496	0.00548916	0.00272076	0.00672115	0.00441225	0.00542512	0.00549216	0.00521531	0.0141532	0.0165012	0.0185902	0.0199174	0.0227422	0.0279851	0.0366092
</S>	0.0291684	0.0380407	0.0260287	0.0164196	0.00840188	0.00842956	0.00845	0.00637245	0.00426482	0.00296927	0.00321066	0.00298217	0.00259678	0.00334595	0.0078139	0.0068518	0.00663817	0.0202908	0.0363103	0.0381804	0.0508561	0.0694124	0.0447968	0.0312478	0.0143251	0.0116297	0.0174594	0.0130062	0.0131698	0.00812359	0.00853064	0.0139573	0.00934624	0.00588071	0.00833192	0.0105224	0.00767312	0.00542632	0.00850339	0.0113927	0.00926144	0.012924	0.0177454	0.0107518	0.015409	0.0101146	0.0109215	0.0078378	0.0129676	0.00933997	0.0143599	0.0120665	0.0185568	0.0202108	0.0275081	0.0452683	0.0296842	0.0272943	0.0269721	0.0204482
