 	a84	a87	a23	a40	a36	a93	a70	a93	a70	a98	a15	a98	a15	a0	a56	a44	a96	a0	a31	a88	a38	a70	a75	a6	a36	a27	a57	a87	a23	a87	</S>
les	0.0814001	0.118951	0.115437	0.0972981	0.0859143	0.0604289	0.0834693	0.0674399	0.03511	0.0208065	0.0165707	0.0188999	0.0173733	0.0135691	0.00582493	0.0060607	0.00479222	0.00416571	0.00407092	0.00614387	0.00802274	0.0113342	0.0118956	0.0124578	0.0105644	0.0134276	0.0104048	0.0101595	0.011892	0.0095961	0.0265184
sangliers	0.00649901	0.00991877	0.0133586	0.0217808	0.0417547	0.0424643	0.0441264	0.0561769	0.081746	0.0774363	0.113576	0.170337	0.057527	0.0917684	0.0584897	0.0390874	0.0203254	0.0148814	0.00756141	0.00447936	0.00207574	0.00165608	0.00134699	0.00215297	0.00138617	0.00196683	0.0030621	0.00240672	0.00364398	0.00454061	0.00246722
dorment	0.0753316	0.0479285	0.0346703	0.0700859	0.0951721	0.0645226	0.0138733	0.0275908	0.0355075	0.0424332	0.0515483	0.0296853	0.0218672	0.0377019	0.0240636	0.014592	0.00857666	0.0109092	0.0142333	0.0123832	0.0103186	0.0107481	0.0249811	0.0199307	0.0241571	0.0390892	0.0208037	0.018399	0.0266574	0.0432232	0.0290156
dans	0.0398119	0.0340587	0.0248129	0.0217015	0.00827756	0.0097227	0.0107644	0.0184595	0.0308574	0.0435101	0.0561131	0.0391039	0.0316017	0.0410975	0.0654154	0.0637608	0.0377319	0.0390041	0.020544	0.0167444	0.0212019	0.0320493	0.0369094	0.0385062	0.0416433	0.0288074	0.0453686	0.0301043	0.0263864	0.0269071	0.0190229
les	0.0546283	0.0271172	0.0298005	0.0299908	0.0339057	0.028232	0.0285059	0.0260153	0.0252243	0.0269127	0.0286689	0.0228656	0.0211477	0.0294043	0.0497263	0.0582953	0.0660202	0.070237	0.0434486	0.0212067	0.0155375	0.0155629	0.0193601	0.0310551	0.0351955	0.0268557	0.0353254	0.0265985	0.0259737	0.0247291	0.0224532
endroits	0.0476026	0.036249	0.0308651	0.0537632	0.0397365	0.028683	0.0291729	0.0175667	0.0190636	0.0178422	0.0255645	0.0312224	0.0280499	0.0285768	0.0269711	0.0349095	0.0268786	0.0595727	0.0357019	0.0325627	0.0295278	0.0148618	0.0463617	0.0512899	0.0474154	0.047127	0.0455681	0.0225903	0.0247108	0.0101852	0.00980717
touffus	0.0990342	0.0317783	0.0248876	0.0143195	0.0109027	0.00839059	0.0149372	0.0156056	0.0256496	0.0277833	0.0398582	0.0214103	0.0248108	0.0299584	0.0263303	0.0308157	0.0192314	0.0179289	0.0126392	0.0189668	0.0183278	0.0149096	0.0456848	0.0466478	0.0613235	0.057347	0.0601472	0.044517	0.053754	0.0433083	0.0387942
de	0.0922394	0.0470808	0.0367827	0.0149056	0.00752569	0.0051755	0.0111651	0.0113666	0.0222742	0.0183208	0.0177504	0.0189947	0.017082	0.0243847	0.0295011	0.0249305	0.0321243	0.0242348	0.0233836	0.0281146	0.0291823	0.02566	0.0451246	0.0433168	0.0459856	0.0427868	0.0426079	0.0401302	0.0603432	0.050963	0.0665625
la	0.0627243	0.0336079	0.0265568	0.0128357	0.008953	0.00629489	0.00939109	0.00786703	0.0114774	0.012741	0.0191821	0.0169276	0.0207577	0.0276753	0.0304168	0.0313833	0.0323687	0.0283365	0.0236201	0.0379522	0.0322136	0.0224415	0.0326646	0.0427555	0.0381561	0.053763	0.0498002	0.058122	0.0826427	0.0771156	0.0492558
forêt	0.0489915	0.0527579	0.051816	0.033154	0.0298782	0.0154545	0.0157142	0.0124356	0.0150639	0.0149824	0.017372	0.0189753	0.014936	0.0199131	0.021077	0.0368941	0.0350611	0.0315421	0.0277202	0.0299972	0.0253492	0.0103675	0.0155828	0.0275085	0.0221267	0.0322979	0.0423845	0.0397542	0.0766132	0.0754023	0.0888769
</S>	0.0442964	0.0281793	0.0249954	0.0110191	0.00819623	0.00549269	0.0090451	0.0080907	0.0124106	0.0132319	0.0160369	0.00778985	0.00691566	0.00909857	0.00871187	0.0148706	0.0149724	0.0119526	0.0127579	0.0189112	0.0214963	0.0240595	0.0336633	0.0395417	0.0479393	0.053479	0.0562588	0.0723444	0.115947	0.0997585	0.148537
