 	a66	a87	a23	a50	a88	a71	a9	a10	a62	a12	a61	a47	a88	a62	a12	a18	a38	a62	a21	a47	a21	a56	a93	a90	a92	a44	a62	a47	a62	a21	a5	a37	a66	a93	a44	a70	a93	a4	a54	a47	a6	a7	a26	a27	a13	a99	a13	a99	a97	a83	a50	a83	a18	a83	a9	a30	a13	a99	a62	a70	a66	a26	a82	a87	a23	a87	</S>
la	0.0217545	0.0255975	0.020855	0.0165275	0.0189321	0.013167	0.0145529	0.0166776	0.0151882	0.0178737	0.0248482	0.01796	0.0105482	0.014331	0.0127303	0.0127492	0.00764846	0.0136545	0.0114651	0.0178549	0.0112794	0.0160578	0.0166991	0.0155696	0.0128195	0.00851055	0.0101686	0.00925391	0.0142958	0.026613	0.0110668	0.0174172	0.00507684	0.018782	0.0149288	0.0192066	0.0170689	0.00891765	0.0139853	0.0152244	0.0120763	0.0102693	0.0168376	0.0123189	0.0184684	0.0144104	0.0111266	0.0329171	0.00854822	0.0203379	0.0304481	0.0206277	0.0120536	0.0273175	0.0235916	0.013223	0.0135948	0.0130064	0.00895267	0.00675719	0.00520913	0.00806272	0.00598993	0.0112204	0.00792889	0.0076011	0.0192466
manière	0.0109712	0.0111329	0.0237031	0.0173435	0.0119107	0.012637	0.0184269	0.0330549	0.0132711	0.0121981	0.0446787	0.0254781	0.022863	0.0181753	0.016042	0.0171888	0.0126096	0.0104979	0.00585539	0.0077405	0.00163097	0.0019765	0.00350126	0.0015182	0.00640579	0.00237441	0.00132335	0.00311821	0.00192577	0.00201961	0.00210729	0.00329445	0.00233047	0.00370639	0.00894595	0.00948945	0.00496874	0.04898	0.0121819	0.0144784	0.0144575	0.016734	0.0147953	0.0369681	0.0179233	0.0170537	0.0131688	0.0370477	0.0358255	0.0309671	0.0336385	0.0589688	0.0454356	0.0479483	0.0186954	0.0132146	0.0106292	0.00481147	0.0042836	0.00373345	0.00147021	0.00610953	0.00237294	0.00740517	0.00498299	0.010709	0.00859425
dont	0.0154398	0.0123482	0.0133251	0.00915913	0.00610976	0.0056732	0.0073565	0.00739107	0.00555841	0.00370977	0.00488094	0.00599128	0.0091978	0.0109808	0.0126804	0.0143004	0.0158445	0.0402118	0.0413085	0.0431745	0.028326	0.0360547	0.0314738	0.0318193	0.0338694	0.0140843	0.0156634	0.0340042	0.037447	0.0369745	0.0564166	0.0223743	0.0283796	0.0305047	0.0395036	0.0350673	0.0229846	0.0449271	0.0290065	0.0190314	0.013068	0.00887078	0.00464367	0.00364565	0.00412694	0.00216197	0.00173252	0.0018853	0.00195687	0.00322171	0.0029181	0.00269547	0.00362082	0.00272035	0.00247497	0.00204296	0.00177894	0.00173896	0.00224475	0.00173225	0.00232139	0.00219401	0.00273863	0.00267643	0.00275675	0.00317706	0.00230057
il	0.0111304	0.00726083	0.00446815	0.00377714	0.00146388	0.0029727	0.00391445	0.00276812	0.00268682	0.00180043	0.00255272	0.00210476	0.00459397	0.00431227	0.00550643	0.00783526	0.0111627	0.0253523	0.0220323	0.0489161	0.0291865	0.0327115	0.0274304	0.0420102	0.0434916	0.0303631	0.0449047	0.0229748	0.048996	0.0206648	0.0505492	0.0276301	0.0193641	0.0253467	0.0296079	0.046874	0.0323442	0.0378314	0.0129025	0.00532576	0.00709534	0.00872802	0.00906218	0.0144849	0.0091486	0.0239377	0.0170479	0.0239944	0.0139341	0.00907193	0.00801673	0.00479791	0.00338227	0.00292712	0.0014906	0.00229887	0.00278206	0.00299804	0.00230021	0.00213009	0.00397161	0.00417674	0.00279186	0.00380709	0.00334815	0.00385898	0.00129554
est	0.0151928	0.0087571	0.00450969	0.00418035	0.00248016	0.0040916	0.00244873	0.00197993	0.00206105	0.00247719	0.00191041	0.00315398	0.00504616	0.012464	0.0129907	0.00997134	0.00744611	0.0172016	0.0115519	0.00810293	0.0191625	0.0100827	0.00652603	0.0083997	0.0148253	0.0219092	0.0165332	0.0123643	0.0132647	0.0102402	0.0281842	0.00677758	0.020287	0.0111571	0.00687541	0.0120517	0.0128133	0.0337288	0.0182101	0.0208463	0.0189722	0.0254158	0.046844	0.0722235	0.0484616	0.0413897	0.0470944	0.0448656	0.0474208	0.0182694	0.0156843	0.0114744	0.0116928	0.0112867	0.00897383	0.00901989	0.00907998	0.00465751	0.00370803	0.00472397	0.00716803	0.00527191	0.00556493	0.00522317	0.0129028	0.0114596	0.00889431
toujours	0.0159765	0.00677831	0.00359203	0.00314569	0.00291601	0.00252475	0.00271715	0.00208308	0.00272334	0.00273266	0.00171148	0.00525289	0.0054557	0.0174332	0.0187097	0.0138006	0.00672017	0.0295381	0.0264255	0.0143851	0.0189881	0.015546	0.00957761	0.0103501	0.0147867	0.0297686	0.00929604	0.0170657	0.0252268	0.0338887	0.0342175	0.00955194	0.0192513	0.0166546	0.0230355	0.0211417	0.0141173	0.0313837	0.0186838	0.0142218	0.0155836	0.0171498	0.0253195	0.0293655	0.037138	0.0394672	0.0418433	0.0329955	0.0334308	0.017431	0.011483	0.00669643	0.00965765	0.0146999	0.0076785	0.004511	0.00353408	0.00320103	0.00209084	0.0017789	0.00430818	0.00856574	0.00607207	0.00490629	0.0135057	0.0140407	0.0221705
présent	0.0167595	0.00869665	0.00718332	0.00570777	0.00414636	0.0051793	0.00431097	0.00316345	0.00446824	0.00290811	0.00272443	0.00548204	0.00716557	0.0139005	0.0165852	0.0131629	0.00971259	0.023147	0.0332991	0.011855	0.0211076	0.0174751	0.0115797	0.0118641	0.0299407	0.0545448	0.0215738	0.026554	0.031155	0.0277784	0.0303863	0.00793477	0.016631	0.0123716	0.019527	0.0105326	0.00695891	0.0156903	0.0099595	0.00886207	0.0130406	0.0126305	0.0118769	0.0164313	0.0165535	0.0182991	0.0173762	0.0138986	0.0152552	0.0138014	0.00978978	0.00815622	0.0140097	0.0168373	0.009134	0.0131272	0.00537039	0.00624592	0.00786928	0.00726607	0.00820228	0.0385397	0.0178605	0.0152225	0.0234637	0.0226909	0.0350663
là	0.0237745	0.0129919	0.0121743	0.00769684	0.00465496	0.0070981	0.00482473	0.00275438	0.00408752	0.00267706	0.00187873	0.00359912	0.00533591	0.00819241	0.0108202	0.00873505	0.010689	0.016429	0.0180344	0.0115397	0.0236724	0.0153413	0.0128769	0.0132113	0.0164473	0.0258117	0.0199848	0.0118174	0.0147769	0.012529	0.0171006	0.00706116	0.0176503	0.00966972	0.0106948	0.00766823	0.0100771	0.0113252	0.00759656	0.00329961	0.00511584	0.00416494	0.00338447	0.00377434	0.00375484	0.00744122	0.00835415	0.00880958	0.00928624	0.010104	0.0129956	0.0184609	0.0208529	0.0261376	0.0158547	0.0253942	0.0180954	0.0254934	0.0351845	0.0236693	0.0412146	0.0390075	0.0476463	0.0316482	0.0301754	0.0360249	0.0413552
où	0.0147136	0.00817784	0.00890417	0.00244208	0.00294348	0.00411741	0.00364447	0.00259657	0.00516479	0.00321813	0.00466554	0.00511109	0.00598564	0.0145939	0.0195368	0.0152443	0.0168221	0.0167472	0.0259853	0.0161478	0.0681287	0.0304125	0.0336619	0.021038	0.0363914	0.0662653	0.0462058	0.0176395	0.0192288	0.0199623	0.0161727	0.0113568	0.0251486	0.0123453	0.00930358	0.00738478	0.0114717	0.00679076	0.00680346	0.00414745	0.00465832	0.00338286	0.00357499	0.00354947	0.00647336	0.00515692	0.00724503	0.0076911	0.0141198	0.00703059	0.0189313	0.0137291	0.0157287	0.0329506	0.0128874	0.014846	0.00445616	0.0135724	0.0115246	0.00688956	0.00929168	0.021278	0.021194	0.0183394	0.019974	0.0248857	0.0100177
on	0.0152212	0.0120138	0.00792454	0.0042019	0.00629718	0.00498006	0.00357033	0.00315189	0.00432081	0.00348838	0.00531064	0.00797918	0.00927816	0.0294293	0.0305611	0.0253976	0.0226273	0.0366164	0.0292222	0.0156629	0.0460804	0.0248914	0.0237729	0.0187451	0.0374992	0.042348	0.0465058	0.0373037	0.0246239	0.0294563	0.036022	0.0228369	0.0459827	0.0247055	0.010014	0.014465	0.017568	0.0105203	0.0129531	0.0102241	0.0104995	0.00682256	0.00821146	0.00509322	0.00892962	0.00347116	0.00601043	0.00462224	0.0101809	0.00625901	0.00731441	0.00784871	0.00700865	0.0105921	0.00903277	0.00901013	0.00461816	0.0073414	0.0058349	0.00549037	0.00441859	0.0061027	0.00587461	0.00821585	0.00598784	0.00649124	0.00494469
