 	a66	a87	a23	a10	a24	a88	a96	a79	a44	a90	a92	a98	a47	a36	a0	a94	a54	a5	a36	a75	a85	a92	a56	a47	a96	a90	a98	a92	a12	a96	a75	a92	a6	a7	a44	a37	a26	a82	a87	a23	a99	a97	</S>
tsimba	0.0508207	0.0556414	0.0368082	0.0330533	0.0270816	0.0541196	0.0537038	0.0514045	0.0500436	0.0558365	0.0424258	0.0344061	0.0217807	0.017033	0.0112022	0.0105906	0.0147958	0.00991555	0.00692629	0.00733442	0.00720683	0.00679731	0.00929672	0.0108478	0.0166763	0.0207759	0.0231183	0.0302065	0.0186666	0.0231679	0.0199134	0.01154	0.0109175	0.0165322	0.010531	0.0149978	0.0121241	0.0171827	0.0158166	0.013901	0.0156268	0.010051	0.019182
est	0.0145747	0.0162215	0.0149298	0.013572	0.0177807	0.0214073	0.037798	0.0313148	0.0212728	0.0268219	0.019819	0.0154204	0.0279878	0.0273846	0.0324502	0.0357202	0.0414077	0.0526916	0.0506064	0.0437463	0.0263186	0.0313763	0.015534	0.0129212	0.0126345	0.0103718	0.0113619	0.0138266	0.00820365	0.00557818	0.00751003	0.00951856	0.0265432	0.015892	0.0325055	0.025299	0.0228281	0.0269337	0.0225168	0.025159	0.0226778	0.0269895	0.0245724
en	0.0183911	0.00720794	0.0075632	0.00703716	0.00867242	0.00578319	0.007641	0.00950501	0.00831942	0.0100691	0.0176083	0.0116781	0.0367977	0.0185883	0.0363909	0.0263189	0.0444905	0.0374789	0.0405862	0.0389771	0.0353439	0.0410169	0.0246752	0.0146613	0.0200858	0.0292727	0.0109506	0.0148137	0.0116065	0.0104809	0.0244737	0.0128243	0.0221995	0.0231804	0.0244533	0.0303176	0.0163458	0.0243676	0.0348147	0.0495248	0.0435825	0.0400422	0.0418615
train	0.0324103	0.0100513	0.00931135	0.0121526	0.00633078	0.00392076	0.00287816	0.00261856	0.0027364	0.00201925	0.00396963	0.00653925	0.00565732	0.0101413	0.0188261	0.0220173	0.0245589	0.0380501	0.0369745	0.0477495	0.0529597	0.0534185	0.0721679	0.0430024	0.0413445	0.0402716	0.0699245	0.0509499	0.0653006	0.0590042	0.0497266	0.0240531	0.0243907	0.00899024	0.00757557	0.00519864	0.00803147	0.00407806	0.00305677	0.00511961	0.00458661	0.00262907	0.00530651
de	0.0936373	0.0215603	0.0142505	0.0144707	0.00796119	0.00680114	0.00856289	0.0123381	0.014248	0.00921222	0.0215696	0.0182269	0.0293306	0.0240641	0.0554114	0.0440004	0.062256	0.0470403	0.0202386	0.0171174	0.0134192	0.0113279	0.0133712	0.0225187	0.0316869	0.0552405	0.0164478	0.0363698	0.00913813	0.0192307	0.0160388	0.0170965	0.0139649	0.0174804	0.0209966	0.022675	0.0152222	0.0133026	0.02346	0.0215652	0.0144376	0.015764	0.0169479
fléchir	0.0348622	0.0134085	0.00596786	0.00756551	0.00516919	0.00397692	0.00501776	0.00659748	0.00894264	0.0112449	0.0140063	0.0200242	0.0275874	0.0236939	0.0238533	0.0328435	0.0519491	0.048034	0.0397146	0.0553291	0.0420861	0.0374539	0.0464921	0.05403	0.0476569	0.0737435	0.0354375	0.0493602	0.0231288	0.0287046	0.0210681	0.0276266	0.0173264	0.00884713	0.0084063	0.00940092	0.00665113	0.00337522	0.00427491	0.00359855	0.00306671	0.00458427	0.00389167
une	0.0480241	0.0221709	0.0116218	0.0107966	0.00625956	0.00481536	0.00643128	0.00766245	0.00860826	0.0102182	0.0195886	0.01907	0.042045	0.0335319	0.0678446	0.0655336	0.0624877	0.0609525	0.0289486	0.0281834	0.0224776	0.0170974	0.0252938	0.0335493	0.027159	0.0662124	0.0199761	0.0418585	0.0113667	0.0232733	0.0279487	0.0198506	0.0197816	0.00867489	0.008192	0.0138168	0.00676904	0.00625759	0.00758827	0.0051713	0.0050241	0.00925335	0.00861314
branche	0.0299673	0.0119428	0.00672703	0.00680732	0.00476635	0.00526446	0.00664317	0.00805613	0.00848024	0.00891707	0.0154663	0.0155781	0.0293548	0.0257501	0.0447071	0.0390689	0.0435004	0.0438254	0.022239	0.0215693	0.0129549	0.0171084	0.0190039	0.0243159	0.023635	0.0442433	0.02066	0.034967	0.0162091	0.0334295	0.0456635	0.051665	0.0429019	0.0178335	0.0204816	0.023394	0.0224498	0.0225843	0.0218755	0.0206607	0.0221491	0.022785	0.020398
d'	0.0408171	0.0197086	0.0127632	0.00973017	0.00697526	0.00938138	0.0123386	0.0126695	0.0100169	0.0106507	0.0125713	0.0146854	0.0156215	0.0152484	0.0200657	0.0200284	0.0210484	0.0165033	0.00627607	0.0057213	0.00312263	0.00420394	0.00449276	0.00739747	0.00735266	0.016837	0.00927171	0.0186179	0.0103583	0.0187959	0.0123448	0.0217712	0.0173201	0.0377866	0.0562567	0.0612045	0.0683772	0.0665443	0.0611012	0.0576213	0.0591228	0.0447668	0.0425112
arbre	0.0209167	0.0146945	0.0126405	0.0124995	0.0110989	0.0152633	0.0149166	0.0148344	0.0105652	0.0100538	0.0153088	0.0157411	0.0150698	0.0171848	0.0192915	0.0213788	0.020881	0.0177343	0.0100026	0.00967966	0.00570503	0.00607444	0.00669672	0.00859811	0.0062324	0.00818302	0.0061706	0.0082128	0.00884399	0.0128689	0.0103386	0.0132903	0.0149831	0.0355731	0.0459215	0.0490369	0.0572782	0.0716106	0.0727456	0.0632285	0.0686663	0.053263	0.0667224
pour	0.0248067	0.0210804	0.0143293	0.012606	0.00963348	0.0179988	0.0165702	0.0146897	0.0117354	0.0174206	0.0149805	0.0182367	0.0137518	0.0135756	0.0153865	0.0179538	0.0186356	0.0189986	0.0130595	0.0176303	0.013056	0.016993	0.0142857	0.0177747	0.014643	0.0155908	0.0128081	0.0145863	0.0164311	0.0219578	0.0224974	0.0225947	0.0303012	0.0297093	0.0261815	0.0431722	0.0484777	0.0537545	0.0544824	0.0413126	0.044458	0.0340209	0.0678317
fabriquer	0.0404303	0.0317307	0.0200556	0.0185474	0.0174153	0.0231834	0.0228397	0.0218944	0.00750036	0.0109487	0.0102644	0.0114934	0.0112923	0.0125552	0.0165269	0.0186871	0.0206906	0.0194425	0.0126227	0.0114713	0.00968364	0.00996951	0.0121189	0.014239	0.0143071	0.0151763	0.00875212	0.0111299	0.00858024	0.0138664	0.0312843	0.0242796	0.0509105	0.0474909	0.0396194	0.0626037	0.0495446	0.0479504	0.0365342	0.0296104	0.0300333	0.020815	0.0519085
un	0.0525128	0.0327102	0.0262679	0.0254859	0.0193946	0.0170005	0.0167637	0.016095	0.00937774	0.00825859	0.0111804	0.010659	0.00916081	0.0120115	0.0162551	0.0190265	0.0192332	0.0198861	0.0150281	0.0175691	0.0152782	0.0185763	0.0189253	0.018675	0.0200038	0.0189446	0.011635	0.0131756	0.0142103	0.020676	0.0383207	0.0303827	0.053151	0.0354818	0.0313748	0.051302	0.0422812	0.0304316	0.030829	0.0239161	0.0273078	0.0231599	0.0380848
piège	0.0502994	0.0294228	0.0299214	0.0280509	0.0244527	0.0217562	0.0208249	0.020933	0.0195063	0.0164654	0.0189119	0.0185307	0.0149938	0.014487	0.0157134	0.0158783	0.0161405	0.0150422	0.0128215	0.012378	0.0126	0.0133348	0.0141087	0.0150874	0.0176137	0.0190139	0.0164946	0.0209608	0.0216619	0.0306135	0.0226303	0.0297301	0.0273906	0.0329775	0.0296681	0.0451457	0.0328501	0.0314275	0.0279807	0.0255072	0.0295187	0.0293612	0.0377925
</S>	0.0738307	0.0414089	0.0337218	0.0263653	0.0241727	0.0225259	0.0181022	0.0172185	0.0140591	0.0154183	0.0159414	0.0130887	0.0131447	0.0120887	0.0129676	0.0111045	0.0109891	0.0095595	0.0074638	0.00585149	0.0066349	0.00676092	0.00857933	0.00909326	0.0186569	0.0215459	0.0188801	0.0245748	0.0172698	0.0342895	0.031513	0.0379522	0.0370858	0.0442252	0.0291182	0.0508167	0.0301571	0.0320188	0.0264084	0.0239576	0.0274786	0.0269302	0.0370299
