 	a87	a23	a30	a93	a75	a25	a56	a75	a47	a56	a96	a75	a85	a5	a31	a21	a96	a90	a4	a18	a61	a21	a85	a47	a7	a84	a53	a93	a70	a99	a9	a99	a87	a23	a87	</S>
mon	0.0484209	0.0788509	0.089634	0.0769608	0.0614311	0.0326577	0.0343283	0.0282671	0.0180877	0.0149915	0.0163086	0.0136592	0.0136135	0.014987	0.0188761	0.0211602	0.0163617	0.017594	0.0147854	0.0104034	0.0183745	0.0324891	0.0501608	0.0242946	0.023198	0.0207208	0.0233084	0.0146088	0.0125861	0.017818	0.0146142	0.0152521	0.0158643	0.0151986	0.0154133	0.0447195
mari	0.011785	0.0200351	0.0297999	0.0746506	0.0511483	0.0748991	0.0509132	0.038651	0.0262291	0.0729212	0.0820844	0.0905087	0.0412347	0.0756764	0.0421116	0.0188438	0.0154345	0.0170303	0.0111398	0.01473	0.0107859	0.0100973	0.0194423	0.0168692	0.0138699	0.0110594	0.00727966	0.00631279	0.00589083	0.00506466	0.00377468	0.00405909	0.00522283	0.00406817	0.00617917	0.0101973
sait	0.0313519	0.0435857	0.0574902	0.0786473	0.10525	0.0871771	0.0729986	0.0465126	0.0808535	0.0444906	0.037964	0.0201704	0.0205243	0.0109128	0.0070916	0.00851722	0.00435568	0.004224	0.00477018	0.00439696	0.0042021	0.00342074	0.00332107	0.00767419	0.00887639	0.011038	0.0124923	0.0141058	0.015797	0.0197179	0.0239479	0.020983	0.024846	0.0207664	0.0188125	0.0187142
tendre	0.0406354	0.0256669	0.029358	0.0206108	0.0169647	0.0179058	0.012852	0.00952039	0.0260681	0.0236045	0.0156288	0.0137159	0.0162676	0.00888997	0.00622261	0.00974745	0.0082745	0.0115708	0.0126018	0.0153753	0.014849	0.024291	0.0178153	0.0190903	0.014327	0.0248123	0.0280765	0.0332904	0.0383221	0.0535739	0.0473909	0.0484838	0.0574299	0.0565747	0.0594332	0.120758
des	0.107424	0.0465152	0.0284993	0.0110693	0.0120836	0.0165529	0.0171705	0.0274271	0.0554934	0.0582461	0.0476191	0.0374986	0.0252059	0.0154052	0.0264934	0.0328345	0.0254851	0.0364262	0.0332437	0.0273462	0.025476	0.0168457	0.014827	0.0130643	0.0102593	0.0144315	0.00939574	0.017446	0.0119212	0.0223123	0.0170194	0.0273589	0.0175845	0.0243675	0.0258564	0.0437954
pièges	0.0450753	0.0258168	0.0250155	0.031712	0.0444958	0.0380955	0.0190571	0.016051	0.0191656	0.0124546	0.0100728	0.0173856	0.0318752	0.0201416	0.0298755	0.0365094	0.0214387	0.0252118	0.0199848	0.0159277	0.0270441	0.0238425	0.0342831	0.039217	0.0462925	0.0494155	0.0332171	0.0337442	0.0373842	0.0375565	0.0246583	0.0295235	0.0225026	0.0197396	0.0141545	0.0220624
pour	0.0658377	0.0514092	0.04992	0.0456118	0.0429522	0.0508451	0.0278555	0.0216841	0.0249779	0.0262592	0.0173922	0.0178283	0.0292743	0.0207434	0.0235825	0.0262769	0.0128957	0.0134444	0.0124411	0.00913876	0.0143548	0.0142085	0.013466	0.0113897	0.0195152	0.0264657	0.0334838	0.0322261	0.036721	0.0375779	0.0326941	0.0267472	0.0332589	0.0292056	0.0198189	0.0284965
prendre	0.0352384	0.0289916	0.0228912	0.0193033	0.014761	0.0137061	0.00961893	0.00887648	0.00881349	0.00885999	0.00857633	0.00920927	0.0112441	0.00831184	0.0116287	0.014052	0.0102199	0.00925684	0.0124725	0.0113348	0.0159158	0.0181267	0.0106929	0.0162178	0.0288246	0.0431677	0.048986	0.0564238	0.0583502	0.0667547	0.0755432	0.0480365	0.0806624	0.0619385	0.0377984	0.0551943
les	0.0242521	0.0196871	0.0147953	0.0229389	0.0350155	0.0336744	0.0292429	0.0201311	0.0162158	0.0150611	0.0151361	0.0161707	0.0111678	0.00694386	0.0139841	0.0156788	0.00882808	0.00956147	0.0130762	0.0153545	0.0128432	0.0144628	0.0104746	0.0173281	0.0204235	0.0191934	0.0172942	0.0247065	0.0330482	0.0624736	0.0634314	0.0680446	0.0602039	0.0635567	0.0691179	0.0864815
rats	0.0575283	0.0378399	0.0283832	0.0302037	0.028228	0.0317028	0.0141523	0.0118545	0.0126685	0.0139653	0.0158482	0.0153402	0.0159146	0.012384	0.0184589	0.017689	0.0143579	0.0174166	0.0215672	0.030165	0.0232693	0.0162581	0.00937716	0.00917123	0.0133014	0.0183464	0.0186717	0.0204463	0.0233745	0.0456839	0.0509677	0.0545278	0.0477859	0.0558134	0.075533	0.0718039
palmistes	0.0442009	0.0581461	0.061798	0.0410422	0.0241364	0.0226643	0.0171456	0.0161188	0.0129925	0.00932865	0.0102793	0.0116549	0.0166799	0.0115353	0.019864	0.0185435	0.0168976	0.0173817	0.0217134	0.0218845	0.0242315	0.0221826	0.0153693	0.00897733	0.0115369	0.0140358	0.0226883	0.0206968	0.0267091	0.0358846	0.0488122	0.0374102	0.0414269	0.0443967	0.0384854	0.113149
</S>	0.0554747	0.0383097	0.042248	0.0370933	0.0372852	0.0348639	0.0250728	0.0248112	0.0187448	0.0109859	0.00936455	0.0076606	0.0112332	0.00813425	0.0135123	0.0216367	0.0170801	0.020321	0.0194931	0.0176098	0.0262807	0.0215204	0.0124097	0.0114266	0.0132229	0.0185737	0.0172404	0.0177314	0.0178514	0.0434647	0.0399106	0.0506455	0.0415218	0.0471074	0.0482666	0.101891
