 	a23	a10	a87	a23	a79	a20	a44	a13	a24	a98	a54	a14	a41	a14	a44	a84	a11	a35	a0	a11	a13	a57	a82	a87	a23	a40	a73	a44	a57	a38	a90	a70	a90	a98	a61	a75	a56	a93	a35	a56	a93	a70	a99	a9	a99	a87	</S>
elle	0.00837785	0.00664005	0.00772899	0.0145783	0.0241524	0.0387038	0.063553	0.056935	0.0960148	0.0916307	0.0466922	0.0717928	0.0838762	0.072099	0.0440839	0.059204	0.0326319	0.0395989	0.0393922	0.0124942	0.00727178	0.00477634	0.00398465	0.00259344	0.00384346	0.00180305	0.0021482	0.00257128	0.00208795	0.00217372	0.0032577	0.00319676	0.0015371	0.00149643	0.00155931	0.00104653	0.00182862	0.0019301	0.00340777	0.00404456	0.00315278	0.00284126	0.00353908	0.00477359	0.00427731	0.00411707	0.0105599
changea	0.00102448	0.0016473	0.00231647	0.00235113	0.00348724	0.00644738	0.0163891	0.0344296	0.0326057	0.0467528	0.0425087	0.0524889	0.0470968	0.0433137	0.0398822	0.039288	0.0491008	0.0542814	0.0501138	0.0372933	0.0267158	0.0321871	0.0170246	0.0194156	0.0193112	0.0116984	0.0129151	0.0109158	0.00760656	0.00517515	0.00687647	0.00561155	0.00674841	0.00987127	0.0104409	0.00988099	0.0104938	0.00990339	0.0204171	0.0155222	0.0217319	0.0195922	0.0197495	0.023731	0.0167447	0.0194729	0.00742748
d'	0.0136409	0.00723877	0.00681806	0.00747699	0.00735573	0.0104555	0.00963766	0.0201934	0.0261636	0.0383729	0.0379913	0.031929	0.0349342	0.044202	0.0208397	0.0250848	0.0530194	0.0506903	0.0554675	0.0416748	0.0351142	0.0383198	0.0265033	0.0256376	0.0174374	0.0096567	0.0111388	0.0104397	0.0119844	0.0064432	0.00509932	0.00349029	0.00475523	0.00433277	0.0046931	0.00373699	0.00438641	0.00530994	0.0086554	0.0163072	0.0234793	0.0258072	0.0269656	0.0336687	0.0279182	0.0329411	0.0325916
avis	0.0288495	0.0269888	0.0222623	0.0357794	0.0291955	0.0375546	0.0174914	0.0176093	0.0130972	0.00986802	0.0162535	0.0161578	0.0167575	0.0135117	0.0180923	0.0174118	0.0226878	0.0242966	0.0234795	0.0168872	0.0140915	0.0181782	0.0195253	0.0198225	0.021231	0.0399798	0.0321588	0.0290635	0.0240394	0.0279941	0.0508284	0.0413254	0.0526593	0.0393237	0.0221595	0.0251168	0.0137011	0.00935385	0.00638833	0.00589366	0.00886952	0.00834584	0.00735359	0.00878338	0.00915074	0.00877988	0.0116513
et	0.00981438	0.00671689	0.00743862	0.006572	0.0115272	0.0120981	0.0145816	0.0325538	0.0250961	0.043171	0.0442445	0.0462491	0.040779	0.0327218	0.0376347	0.0495407	0.0541418	0.0611862	0.040449	0.0307028	0.0242812	0.0244849	0.0148568	0.0249949	0.0205011	0.0197366	0.0138827	0.0193665	0.0150551	0.0188867	0.0208762	0.0224089	0.0132814	0.0150929	0.0100715	0.00813173	0.0112874	0.00782916	0.00924282	0.00840499	0.0130462	0.0112684	0.0106079	0.00800181	0.0100762	0.0103154	0.00679154
rentra	0.014957	0.00785126	0.0110894	0.0109679	0.0168193	0.0216416	0.0224425	0.0273581	0.0169995	0.0349331	0.0350644	0.0360645	0.0475596	0.0428962	0.0361798	0.062388	0.0572972	0.0629236	0.0424381	0.0237613	0.0302097	0.0214137	0.0198805	0.031836	0.0305924	0.0204204	0.0120706	0.0182916	0.015787	0.0146724	0.0137169	0.0152206	0.00573196	0.0112294	0.0100276	0.00696712	0.00988763	0.00923124	0.00788533	0.00811551	0.0101584	0.00807772	0.00721016	0.00639323	0.00622725	0.00751746	0.00959563
chez	0.0544513	0.0176432	0.0106689	0.00616971	0.00511352	0.00555718	0.0110702	0.0256362	0.024386	0.0268201	0.0289425	0.0249043	0.018185	0.0204892	0.0220298	0.020972	0.0220123	0.018518	0.0176042	0.0174088	0.0172726	0.0216405	0.0127594	0.0225834	0.0185859	0.0133027	0.0136563	0.0186357	0.0177935	0.0193016	0.0154853	0.0179328	0.00933923	0.00850979	0.011097	0.00870484	0.0110338	0.0138521	0.0141399	0.0312809	0.0287982	0.029919	0.0313059	0.0445117	0.0457759	0.0473416	0.0568583
son	0.0133952	0.00908521	0.00654309	0.00558255	0.00305986	0.00408044	0.00876254	0.0110127	0.0128937	0.0200705	0.0223552	0.0207612	0.0203371	0.0187568	0.0136317	0.0232821	0.0407392	0.0308106	0.0363426	0.0337533	0.0353533	0.0457263	0.0319561	0.036985	0.031149	0.033352	0.0236056	0.0255154	0.0195241	0.0211526	0.0271342	0.0142231	0.015335	0.0143519	0.0213015	0.0219002	0.0245814	0.0206236	0.024699	0.0245384	0.0260652	0.0217014	0.0226572	0.0157732	0.0178946	0.0180717	0.00957329
mari	0.0306441	0.0403746	0.0417861	0.0361139	0.019271	0.027418	0.013413	0.00950842	0.0127463	0.0181729	0.0194964	0.019171	0.0212261	0.0229553	0.0138917	0.0222907	0.0173716	0.016772	0.0183943	0.0116312	0.0136706	0.0155285	0.0165104	0.017947	0.0186788	0.0193311	0.0129936	0.0153709	0.0127219	0.0139183	0.0184984	0.0117235	0.0093596	0.0155247	0.0175016	0.0242191	0.0263339	0.0395001	0.046822	0.0367172	0.0299918	0.0233826	0.0228948	0.0225256	0.0202136	0.0180834	0.0273884
</S>	0.0207017	0.00897976	0.00886905	0.00450024	0.00216379	0.00274747	0.0056005	0.0142485	0.0168164	0.0220291	0.0286839	0.0222177	0.0151223	0.0160646	0.0177995	0.0223395	0.0222983	0.0124079	0.0176114	0.0148723	0.017894	0.026479	0.0182585	0.0242338	0.0202198	0.0203355	0.0141371	0.0224356	0.0161708	0.0154086	0.0252165	0.0116156	0.00908606	0.0131133	0.0143068	0.0115952	0.0179954	0.0186583	0.034216	0.0298591	0.0301753	0.0277165	0.0385431	0.0586195	0.0468472	0.0482663	0.0725231
