 	a10	a87	a23	a79	a20	a73	a94	a90	a13	a53	a90	a94	a61	a24	a21	a85	a73	a94	a90	a94	a21	a41	a18	a82	a87	a23	a20	a73	a56	a98	a14	a41	a12	a62	a41	a30	a2	a57	a87	</S>
si	0.0194374	0.0173845	0.012074	0.0131502	0.0153587	0.0469223	0.104965	0.0949526	0.141065	0.112637	0.0647692	0.0563905	0.0225281	0.0358422	0.0264468	0.0234329	0.0420639	0.0182787	0.00692376	0.00608506	0.0049948	0.0034308	0.00287073	0.00319242	0.00270658	0.00251172	0.00232258	0.00450525	0.00423146	0.00367965	0.00489949	0.00464829	0.0031786	0.00394983	0.00764591	0.00863069	0.0115868	0.0130838	0.00816712	0.0190551
tu	0.00166629	0.00161371	0.00199136	0.00276091	0.00331631	0.00670931	0.00804873	0.0163716	0.0324248	0.030827	0.0375756	0.0663622	0.0840469	0.124851	0.105268	0.0966542	0.0919859	0.0399937	0.0428099	0.03463	0.0260677	0.0109194	0.00611395	0.00725495	0.00717336	0.0042357	0.0027553	0.00372972	0.00582919	0.00441796	0.00604673	0.00794823	0.00992802	0.00805096	0.00611311	0.00877218	0.0169877	0.00887148	0.0118057	0.00707109
attends	0.00677666	0.00555963	0.00450413	0.00330941	0.0061574	0.00863229	0.0168828	0.0301725	0.0429237	0.0476024	0.0272454	0.0204041	0.033289	0.0403575	0.0476545	0.0587669	0.0659901	0.0604729	0.0570446	0.0474839	0.0422515	0.0151717	0.0133203	0.0132671	0.00987937	0.00761662	0.00401466	0.00502664	0.00217964	0.00235812	0.00196071	0.00375821	0.00738873	0.0221797	0.0237597	0.0291685	0.0298515	0.0306879	0.0422875	0.0626421
encore	0.0189326	0.00656484	0.00495589	0.00303968	0.00364474	0.00316394	0.0170717	0.0176765	0.0168432	0.0178275	0.020159	0.0241828	0.025174	0.042706	0.0322787	0.0427252	0.0289681	0.0267505	0.0350482	0.0290522	0.0271677	0.0419137	0.0493387	0.043668	0.0330325	0.0420593	0.0288567	0.0409222	0.0338544	0.0369496	0.0223845	0.0299035	0.0193583	0.0201906	0.0162019	0.0145307	0.0108437	0.0131194	0.0166301	0.0423092
un	0.023526	0.011325	0.00712819	0.00654689	0.00564568	0.00416134	0.0163086	0.00824556	0.00600649	0.00992713	0.0122414	0.00919387	0.0119912	0.0142908	0.0159114	0.023482	0.0178763	0.0131837	0.0154061	0.013974	0.0142635	0.0218397	0.0299702	0.0296474	0.0233556	0.0325204	0.020394	0.0316842	0.0337913	0.0346202	0.0330013	0.0506976	0.0481066	0.0549379	0.0542324	0.0472526	0.0347267	0.0396836	0.0607029	0.0582005
peu	0.0312699	0.0263139	0.0151252	0.00608032	0.00244095	0.00299563	0.00926465	0.00819798	0.00596646	0.00603274	0.0107658	0.0136566	0.0160952	0.0174029	0.0193547	0.019085	0.0144132	0.0107333	0.0216468	0.0216235	0.0169235	0.0245313	0.0321522	0.0359126	0.0270002	0.0280029	0.0378534	0.0510953	0.0437586	0.0657571	0.0441893	0.0347068	0.0322819	0.0277053	0.0273165	0.0274537	0.0223593	0.03027	0.0287644	0.0835012
il	0.0243261	0.0164326	0.0121057	0.0123836	0.0160624	0.0230911	0.0156107	0.0265688	0.0216667	0.0384289	0.0140634	0.0118682	0.0155316	0.0142801	0.0156247	0.0159961	0.0226294	0.019747	0.0230502	0.0569348	0.0429439	0.0298273	0.0300347	0.0173424	0.013604	0.0149319	0.00864237	0.0150102	0.0113277	0.0116355	0.0164232	0.0412395	0.0342368	0.0376147	0.0417779	0.0417141	0.0306923	0.038061	0.046823	0.0597154
va	0.0211172	0.0100174	0.00968169	0.00652186	0.00724228	0.00769754	0.00671532	0.0117345	0.00973138	0.0132586	0.0082314	0.00544134	0.0106144	0.00757531	0.00994105	0.00931751	0.0128633	0.00984426	0.0109249	0.019343	0.0174646	0.0160694	0.0135885	0.00985792	0.0122335	0.0130354	0.0113289	0.0304709	0.0209428	0.02945	0.0197299	0.0337796	0.0508372	0.0360745	0.071627	0.0854849	0.0637266	0.0825543	0.0747807	0.099149
venir	0.0769587	0.054476	0.0567431	0.0263846	0.0148564	0.0162886	0.0180216	0.0196553	0.0179703	0.0233769	0.0194277	0.0145048	0.0164177	0.00830117	0.00736116	0.00568064	0.00549567	0.00540269	0.00781724	0.0076975	0.00764193	0.00985609	0.0110829	0.00833126	0.00652189	0.00597764	0.00717757	0.021246	0.0205001	0.0261372	0.0159793	0.0232253	0.0315984	0.0346221	0.0437099	0.0438096	0.027586	0.0720826	0.0544164	0.10566
</S>	0.0327346	0.0231836	0.0215224	0.012398	0.0128783	0.0185664	0.0195497	0.0317561	0.0159438	0.0209676	0.0158796	0.0117388	0.0135278	0.00767258	0.00642151	0.00548685	0.0045165	0.00301409	0.00611844	0.00600389	0.00544391	0.00836276	0.00761613	0.00672065	0.00743622	0.00816483	0.0154321	0.0279647	0.0376847	0.0418154	0.033515	0.0335931	0.0318309	0.0384427	0.0598503	0.0565945	0.0369399	0.0773746	0.0591128	0.116224
