 	a66	a87	a23	a54	a6	a37	a43	a75	a85	a6	a85	a47	a36	a37	a43	a11	a9	a10	a87	a23	a99	a97	</S>
notre	0.0715053	0.127319	0.0854508	0.0819594	0.0634926	0.075229	0.0652453	0.045398	0.0330256	0.0212425	0.023649	0.0149093	0.00970176	0.00696713	0.00764523	0.00990646	0.0113913	0.0237981	0.0226932	0.0311859	0.0420146	0.0429322	0.0833381
père	0.0103777	0.0118344	0.0160407	0.0278259	0.0853814	0.0985516	0.108067	0.232276	0.181194	0.119983	0.0489429	0.0265467	0.00753419	0.00344473	0.00401181	0.00173935	0.00114358	0.00107724	0.00111693	0.00178388	0.00323848	0.00554548	0.00234334
a	0.0586718	0.0920651	0.0896437	0.0913138	0.0817947	0.0878847	0.0493494	0.0564169	0.0454769	0.0440537	0.0420495	0.0391562	0.0168274	0.0106348	0.00756167	0.00343929	0.00189777	0.0056008	0.0084529	0.0311734	0.0321066	0.091113	0.0133158
l'	0.0454041	0.0278619	0.00893694	0.00604791	0.00517175	0.012191	0.0109616	0.0230062	0.050742	0.076363	0.0627678	0.0940584	0.116997	0.0946691	0.0797897	0.0379401	0.0299395	0.0287282	0.034652	0.0395371	0.0321373	0.0324603	0.0496374
habitude	0.0244893	0.0165699	0.0131921	0.0135362	0.0151597	0.0167451	0.0343611	0.0317797	0.0306911	0.0488676	0.055042	0.0635278	0.0536871	0.0659869	0.0826922	0.0370998	0.0367359	0.0636214	0.044208	0.0433204	0.0779648	0.066448	0.0642738
de	0.0459344	0.0233889	0.0173476	0.01647	0.0142123	0.0199679	0.0218739	0.0310477	0.0417413	0.0348366	0.017517	0.0164749	0.0152471	0.0120788	0.0151152	0.0203864	0.0238814	0.0389184	0.0851776	0.0997818	0.109167	0.13378	0.145654
manger	0.0416584	0.0491026	0.0552231	0.0763532	0.0619198	0.0813074	0.102362	0.100107	0.0442712	0.0385828	0.023487	0.011019	0.00855206	0.00585813	0.0115155	0.0142336	0.0184875	0.0255589	0.0285013	0.0343441	0.0514558	0.0594984	0.0566012
de	0.0359247	0.0426752	0.0293799	0.0280618	0.0138722	0.0210947	0.0399658	0.0348902	0.0226701	0.0310151	0.0206748	0.0160407	0.0138094	0.0187144	0.0352055	0.0335926	0.0504928	0.0727859	0.0862693	0.054527	0.107087	0.0950017	0.0962496
la	0.0594891	0.0492116	0.0299302	0.021435	0.0125284	0.0199142	0.0199974	0.0276505	0.0224782	0.0244602	0.0153221	0.023292	0.0215563	0.0197271	0.0324823	0.0308341	0.0350001	0.0455077	0.0982881	0.103305	0.0875775	0.0964048	0.103609
cola	0.0513898	0.0314178	0.0251843	0.0166207	0.0128572	0.016475	0.011481	0.00904492	0.00714411	0.00572703	0.00635538	0.0109622	0.014361	0.0136847	0.0287744	0.0197758	0.0250239	0.0432527	0.102604	0.127783	0.106204	0.104574	0.209303
</S>	0.11025	0.0488096	0.0264582	0.0139322	0.0153287	0.0168256	0.0168757	0.009339	0.00509885	0.00333253	0.00440869	0.0073795	0.00761678	0.00836004	0.0187109	0.0221937	0.024038	0.0453801	0.0667597	0.101852	0.0932637	0.105816	0.22797
