 	a66	a87	a23	a40	a15	a79	a56	a96	a90	a56	a90	a69	a53	a90	a25	a21	a75	a98	a25	a69	a94	a12	a43	a0	a24	a9	a10	a87	a23	a99	a97	a99	</S>
on	0.0610768	0.134789	0.0912747	0.112792	0.0842612	0.05194	0.0428402	0.0232044	0.0309482	0.0143542	0.0176084	0.0107418	0.0132806	0.00919123	0.0139182	0.0124299	0.0117779	0.0133845	0.00761519	0.0112785	0.0101838	0.0137457	0.0200424	0.0201126	0.0233917	0.020893	0.0148525	0.0124908	0.0128053	0.0114482	0.0238553	0.0144956	0.032976
a	0.0197078	0.0224423	0.0231016	0.0220424	0.0223967	0.0200411	0.0317964	0.0291262	0.0382771	0.0400406	0.030502	0.042561	0.0267413	0.0231539	0.0231695	0.0280323	0.0260799	0.0218271	0.0204412	0.0161162	0.0286381	0.0250829	0.024791	0.0348509	0.0317298	0.0341559	0.0487537	0.0382599	0.0438471	0.0367342	0.0306729	0.0548356	0.0400513
tué	0.0514338	0.0308121	0.0344647	0.0325117	0.0214538	0.0210395	0.0230854	0.014929	0.017749	0.0146515	0.0167378	0.0231646	0.0117981	0.0123221	0.0122419	0.00855187	0.00842523	0.00646327	0.00898193	0.0065023	0.0109411	0.0165205	0.0192864	0.0413982	0.0457814	0.0425684	0.0569916	0.0532684	0.0600482	0.0719725	0.0518293	0.0934533	0.0586214
le	0.0140712	0.00953594	0.00946622	0.0142086	0.00928456	0.0132673	0.00972986	0.0132653	0.0113785	0.0117578	0.0157413	0.0404034	0.0485476	0.070708	0.117461	0.113157	0.13702	0.109826	0.0773124	0.0526447	0.0331016	0.0132485	0.0102896	0.00780291	0.00648836	0.00565332	0.00484235	0.00328394	0.00399998	0.00304864	0.00255405	0.00294293	0.0039577
python	0.0459212	0.0353324	0.0458989	0.0528	0.0619771	0.064744	0.0571317	0.0593617	0.0633644	0.0631717	0.0392647	0.0375176	0.0348252	0.0287307	0.0396261	0.0308741	0.0309361	0.024987	0.0183217	0.0174684	0.0139406	0.0166884	0.0118636	0.0118875	0.008956	0.00804368	0.0122982	0.0123892	0.0109347	0.0103618	0.00884452	0.00831127	0.0132259
sur	0.0481966	0.0600905	0.0628809	0.0866517	0.0537265	0.0274214	0.0326129	0.027682	0.0484878	0.0490733	0.0329134	0.0340413	0.0248736	0.0249519	0.0328674	0.0232457	0.0207639	0.0148055	0.00866749	0.00910757	0.00871595	0.0129129	0.0104622	0.010718	0.00881299	0.0072867	0.0205027	0.0222613	0.0226442	0.0296514	0.04133	0.0356536	0.0459869
le	0.0353412	0.0321606	0.0302965	0.0295702	0.0179364	0.0184551	0.0227989	0.0259924	0.0389916	0.0400847	0.0440637	0.0365736	0.0323779	0.0341637	0.0307796	0.0217023	0.0191881	0.0153861	0.0105842	0.0123496	0.011739	0.0141078	0.0220839	0.0396758	0.0343936	0.0244511	0.048892	0.0359831	0.0424707	0.0457892	0.0443343	0.0513188	0.0359642
chemin	0.0401517	0.0195924	0.0160306	0.0212989	0.00836613	0.0100293	0.00645954	0.00796969	0.0171759	0.0142404	0.0172477	0.0100713	0.0169249	0.0163806	0.0200908	0.0186355	0.0179639	0.0230863	0.0174083	0.021617	0.020268	0.0156307	0.0218359	0.0437186	0.0359057	0.0370309	0.0672816	0.0757101	0.0786233	0.0823489	0.073062	0.0669241	0.0409193
qui	0.0512243	0.0295276	0.0207062	0.0247811	0.00821176	0.016918	0.0127183	0.0163488	0.0267299	0.0244659	0.0256102	0.0111217	0.0137921	0.0121228	0.0155981	0.0119952	0.0111718	0.0113444	0.00778331	0.00624822	0.00598022	0.00552174	0.00724269	0.0233771	0.0149386	0.016672	0.0527049	0.0651549	0.0685913	0.0978348	0.102171	0.0758234	0.105568
mène	0.0376368	0.0258819	0.021554	0.021984	0.00861628	0.0123352	0.0109023	0.0162915	0.0297594	0.0224807	0.0378063	0.0231869	0.0313886	0.0284065	0.0414493	0.0327551	0.0277744	0.031126	0.0236165	0.0230876	0.0195506	0.0198831	0.0220287	0.0326696	0.0307201	0.0273889	0.0539625	0.0448161	0.0506774	0.0500648	0.0475356	0.0485184	0.0441452
au	0.056423	0.0434257	0.0403364	0.0270698	0.0103184	0.00964249	0.00668585	0.0102282	0.0139904	0.0164532	0.0205168	0.0173888	0.0194525	0.0184481	0.0198628	0.0170008	0.0161948	0.0161321	0.0155988	0.0122763	0.0154287	0.0235233	0.0299586	0.038005	0.0379223	0.0347214	0.0607458	0.0463895	0.0368267	0.0484932	0.061407	0.0644537	0.0946795
ruisseau	0.0304788	0.0105178	0.0121954	0.006466	0.00230924	0.00186084	0.00191287	0.00385867	0.00679829	0.00898782	0.00739639	0.0105688	0.00598501	0.00778203	0.00638043	0.00680309	0.00894304	0.00839654	0.0117705	0.0067691	0.00957598	0.0186663	0.0327755	0.0637434	0.0588156	0.065209	0.0872691	0.0764144	0.0857031	0.0816136	0.0748319	0.0932562	0.0859454
</S>	0.0494235	0.0194814	0.023524	0.0163332	0.00945696	0.0096709	0.00906643	0.0154132	0.0234689	0.0287748	0.0203703	0.0182812	0.0149045	0.017411	0.0159657	0.0167054	0.0179788	0.0189455	0.0219092	0.0154744	0.013235	0.016302	0.015494	0.0295731	0.0225953	0.0232077	0.042194	0.0496182	0.0537978	0.0595394	0.0874649	0.0709354	0.133484
