 	a66	a87	a23	a87	a23	a99	a87	a23	a99	a87	a23	a79	a44	a75	a37	a56	a69	a4	a93	a96	a62	a83	a13	a70	a34	a56	a93	a4	a13	a4	a70	a66	a83	a38	a37	a66	a38	a66	a9	a99	a97	a3	a97	a87	a97	a23	a9	a97	</S>
aujourd'	0.0117411	0.0147091	0.0161669	0.022048	0.0265466	0.0165063	0.0228128	0.0139621	0.0238106	0.0497653	0.118661	0.130575	0.147021	0.0546408	0.0287156	0.0188348	0.0148272	0.0114397	0.00712402	0.00440578	0.00595739	0.010945	0.0153747	0.0164004	0.0107225	0.0111223	0.00882445	0.00877876	0.00322693	0.00361973	0.0022783	0.00202627	0.00332115	0.00305684	0.0038071	0.00429252	0.00608175	0.00596572	0.00745656	0.00758682	0.00915875	0.00665582	0.00764058	0.0100946	0.00786371	0.00997693	0.0098134	0.0137918	0.0298453
hui	0.00192483	0.00260908	0.00364067	0.00947942	0.0172408	0.0232642	0.0334953	0.0909598	0.101184	0.111299	0.126186	0.11658	0.0733594	0.0469096	0.0335666	0.0407366	0.013538	0.0186782	0.00524199	0.00839396	0.00455443	0.00598897	0.00730111	0.0050004	0.014335	0.00729103	0.00619876	0.00769052	0.0116109	0.0068136	0.0063239	0.0050956	0.0031636	0.00235172	0.00150235	0.00156896	0.000959988	0.000550568	0.00123902	0.00176086	0.00102979	0.00113559	0.00125339	0.00158865	0.00166354	0.0018821	0.00328898	0.0026676	0.00590261
c'	0.0634023	0.0379903	0.0356409	0.0430274	0.0464482	0.091652	0.0703943	0.0923917	0.0943305	0.0519179	0.0208252	0.020427	0.026711	0.0229737	0.0101084	0.0106333	0.0106082	0.00754026	0.00731672	0.0116893	0.0132517	0.0150649	0.0182547	0.0132518	0.00767903	0.0123986	0.00374692	0.0100317	0.0118169	0.00685919	0.00411351	0.00262259	0.00298525	0.00224816	0.00396569	0.00321629	0.00264974	0.00219305	0.00242761	0.00358231	0.00523184	0.00570501	0.00972974	0.00764746	0.0101334	0.0145328	0.0074698	0.0136247	0.00753689
est	0.0590326	0.0426874	0.0281937	0.0292967	0.0312387	0.0391477	0.0248396	0.0285703	0.0414573	0.0424898	0.0274461	0.0257982	0.0203969	0.0161995	0.00715996	0.00842974	0.00950367	0.00894629	0.00742453	0.00693496	0.00773675	0.00816797	0.00866599	0.00654598	0.00596338	0.0125489	0.00759186	0.0166472	0.0157621	0.02281	0.0127136	0.00749085	0.00913536	0.00672913	0.0161355	0.00552354	0.00738012	0.00654624	0.00696981	0.00900891	0.0112611	0.0135413	0.0310837	0.0183802	0.0370252	0.0562561	0.0283379	0.0702136	0.0286339
le	0.107611	0.0479039	0.0319866	0.0239192	0.0201805	0.0184042	0.0165335	0.0100286	0.0175073	0.0304572	0.0242972	0.0203203	0.0172178	0.0181125	0.00985884	0.0101248	0.0178557	0.0231712	0.0153949	0.0129812	0.0152571	0.0142166	0.0162519	0.0181687	0.0208657	0.0205794	0.0150815	0.0215157	0.00925358	0.0172504	0.0159763	0.0118532	0.0182124	0.0178586	0.0328444	0.0114654	0.0151136	0.00683168	0.0061019	0.00838354	0.00952891	0.0100673	0.00903828	0.0182464	0.0272688	0.0268469	0.0315387	0.0301606	0.0303559
jour	0.0308557	0.0249689	0.0162504	0.0164085	0.0188524	0.0202541	0.0152577	0.00818934	0.0157156	0.0294253	0.0451529	0.0353878	0.0297158	0.0320024	0.0313752	0.015069	0.0291004	0.0294467	0.0279669	0.0166048	0.0180945	0.028905	0.0372681	0.0447193	0.044765	0.0676999	0.0529501	0.0299451	0.0222014	0.0103408	0.00432436	0.00292608	0.00366608	0.00409959	0.0039377	0.00376237	0.00470119	0.00371973	0.00345238	0.00387217	0.00491899	0.00408075	0.00370932	0.008468	0.0128777	0.012021	0.0179995	0.0192471	0.0333271
où	0.0488852	0.0316694	0.0245744	0.0297241	0.0373901	0.0348913	0.02415	0.0231915	0.0237252	0.0370692	0.0187984	0.0166486	0.0112605	0.0095015	0.00930577	0.0056698	0.00779213	0.0082791	0.00967699	0.00689403	0.00761516	0.0224032	0.022454	0.0155913	0.0153971	0.0270216	0.0175767	0.0329467	0.0142134	0.0125458	0.00900001	0.00524822	0.0115035	0.00944209	0.0154943	0.0160728	0.0112119	0.00655004	0.00737489	0.00846714	0.0122302	0.00969415	0.0137449	0.0204805	0.0288431	0.0518659	0.0525726	0.0525602	0.0507814
l'	0.0378911	0.0365336	0.0241613	0.0305957	0.0354592	0.0389499	0.0399922	0.0582452	0.0462771	0.0391171	0.0319461	0.0258075	0.018252	0.0165913	0.0134076	0.0129702	0.0133958	0.0164115	0.0186234	0.0137826	0.014248	0.0153561	0.0140217	0.0133528	0.0136301	0.0150624	0.0164619	0.0211432	0.0212317	0.0254652	0.0273631	0.0155158	0.0184203	0.012898	0.018707	0.0100043	0.00949796	0.0058783	0.00844097	0.00752749	0.0106792	0.0089815	0.0123229	0.0104733	0.0172151	0.0183736	0.0138349	0.0198464	0.0156365
on	0.0383857	0.051461	0.0399538	0.0544361	0.0670931	0.0581899	0.0800152	0.0684025	0.0378262	0.0155904	0.0123601	0.0109803	0.013569	0.0097985	0.00646414	0.00728591	0.00728138	0.00533087	0.0106106	0.00686096	0.00429325	0.00698135	0.0102314	0.00602472	0.0109289	0.0119463	0.012828	0.0178392	0.0253155	0.00949772	0.010718	0.00414932	0.00583832	0.00530324	0.00915113	0.00990959	0.011419	0.00978037	0.0200558	0.0213488	0.022751	0.0205774	0.0243784	0.0224986	0.0231823	0.0203693	0.010827	0.0155562	0.0144043
adore	0.0281485	0.0487275	0.0500683	0.0739975	0.0797533	0.0689101	0.0995382	0.0861171	0.0457624	0.0276539	0.0157425	0.0134881	0.0129601	0.00819746	0.00465996	0.0043068	0.00333122	0.00296584	0.00535133	0.00273127	0.00282109	0.00782164	0.00992517	0.00464375	0.00925727	0.0128122	0.00860285	0.0126451	0.0202414	0.00851091	0.00741224	0.00298282	0.00470429	0.00385089	0.00909106	0.00797152	0.00761023	0.0057015	0.0105541	0.012648	0.0150537	0.0112733	0.013429	0.0189107	0.0191427	0.0184574	0.0158836	0.0226614	0.0129687
