 	a87	a23	a20	a47	a26	a38	a24	a31	a88	a66	a98	a85	a12	a47	a96	a62	a88	a9	a38	a90	a69	a58	a82	a87	a23	a87	a23	a97	</S>
pendant	0.0624349	0.123794	0.165856	0.115584	0.0815646	0.0581032	0.036168	0.0303411	0.0261109	0.0137642	0.00889444	0.0063593	0.00692962	0.00497738	0.00462287	0.00532808	0.0032489	0.00365534	0.00755596	0.0104525	0.0186342	0.0279039	0.0285399	0.0300327	0.0309751	0.0236367	0.0200679	0.0144447	0.0300189
la	0.0151611	0.036006	0.0342062	0.0946363	0.0637601	0.0213607	0.0210683	0.029282	0.0241128	0.0319175	0.0901312	0.135519	0.107096	0.0862498	0.0348031	0.040803	0.0287739	0.0196701	0.0186333	0.00610193	0.0038957	0.00556609	0.00499349	0.0151698	0.00415131	0.00614983	0.00711958	0.0073158	0.00634642
pêche	0.0222849	0.0219471	0.0203071	0.0251329	0.0267149	0.0343886	0.0310085	0.0366854	0.0531225	0.0832774	0.0787026	0.135797	0.0729408	0.0577394	0.0321143	0.0175885	0.00569233	0.00391858	0.00274357	0.00581367	0.00816875	0.0224352	0.0219627	0.0438535	0.0271987	0.0318947	0.0391391	0.0251112	0.0123161
au	0.0345783	0.0131629	0.0169742	0.0212627	0.0247107	0.0376781	0.0615097	0.0813568	0.0724299	0.120526	0.119031	0.0402463	0.0754282	0.0501477	0.0398468	0.0173359	0.012664	0.00958428	0.0105922	0.0128254	0.0141826	0.012605	0.0140597	0.015935	0.0149125	0.0172523	0.0146882	0.0142159	0.0102573
panier	0.0221594	0.0118378	0.00858607	0.00778023	0.0148648	0.0341037	0.0665835	0.0610814	0.0501753	0.0265007	0.0197069	0.0406663	0.0487515	0.0573819	0.0337749	0.00785595	0.00288535	0.00230064	0.00380182	0.010071	0.0148241	0.0374478	0.0439417	0.0578624	0.0700171	0.0723436	0.0642885	0.051022	0.0573837
on	0.0890592	0.0231773	0.0125551	0.00628725	0.0101638	0.020188	0.0177438	0.0338894	0.0612942	0.0808484	0.0778033	0.0773552	0.0643422	0.129856	0.0282278	0.00983889	0.00599462	0.00505339	0.00530298	0.00935894	0.0143402	0.0163537	0.0237468	0.0299293	0.0140787	0.0306272	0.0344332	0.0357313	0.0324193
attrappe	0.0479712	0.0269042	0.0111047	0.00693279	0.00714378	0.0175156	0.0132637	0.0178916	0.049516	0.062077	0.030497	0.0519679	0.0624087	0.121318	0.0770379	0.0283201	0.0183262	0.0129634	0.00971454	0.0140365	0.0107593	0.019978	0.0329834	0.0465231	0.0296455	0.0392461	0.0447452	0.0381424	0.0510662
des	0.0601411	0.0259452	0.0167433	0.0134532	0.0112139	0.00973116	0.00794049	0.00850725	0.0265136	0.0232635	0.00812155	0.00927336	0.0228934	0.0217529	0.0139548	0.0108777	0.0121871	0.0224669	0.0319411	0.0379102	0.0326378	0.041707	0.0491171	0.0426299	0.0611374	0.0711351	0.0897631	0.0858409	0.1312
ibalii	0.0307899	0.0249149	0.0360759	0.0323136	0.0182631	0.0262118	0.0342336	0.0381418	0.051594	0.0468279	0.0226282	0.030804	0.0414836	0.0353863	0.031397	0.0267083	0.0189754	0.0147283	0.0170351	0.0254505	0.0244824	0.0267149	0.0231051	0.0296913	0.0368603	0.04432	0.0687784	0.0471569	0.0949275
</S>	0.0346771	0.0370008	0.0277347	0.0193653	0.0107755	0.01034	0.0100999	0.0139544	0.0187328	0.0122837	0.0052883	0.00296803	0.00487507	0.00323019	0.00395513	0.00380356	0.00459832	0.00794015	0.0110981	0.022666	0.0329469	0.0628661	0.0940395	0.0739012	0.0920928	0.102158	0.0924441	0.0745854	0.109579
