 	a66	a87	a23	a53	a20	a47	a92	a98	a79	a7	a75	a5	a36	a26	a90	a25	a92	a12	a47	a88	a71	a62	a21	a47	a62	a18	a62	a93	a70	a96	a0	a75	a85	a37	a75	a6	a37	a21	a12	a96	a88	a71	a9	a99	a87	a23	a83	a70	a93	a70	a62	a21	a61	a62	a88	a24	a9	a87	a23	a87	a23	</S>
si	0.0229957	0.0241709	0.0190288	0.0200734	0.0251689	0.020502	0.0103158	0.0226489	0.0288522	0.0214931	0.0439313	0.0564831	0.0625696	0.0522787	0.0313172	0.0275593	0.0320464	0.0224211	0.0162605	0.0125415	0.0118563	0.0211202	0.0106742	0.0142323	0.0151462	0.00927908	0.0181483	0.0151257	0.0113734	0.0133876	0.0120697	0.0155564	0.00930431	0.00830678	0.0106606	0.00587271	0.00313434	0.00743583	0.00605715	0.00669216	0.0060646	0.00668905	0.00854321	0.00761678	0.00906398	0.0112294	0.0119949	0.00736119	0.00710122	0.00389679	0.00446113	0.00557351	0.00786847	0.0079308	0.00798337	0.00986059	0.0127293	0.00962595	0.0128849	0.0140195	0.0107287	0.018681
tu	0.0048359	0.00591951	0.0066011	0.00613749	0.00951896	0.0262969	0.0306691	0.0603333	0.0574642	0.0352381	0.0515802	0.0254174	0.0272053	0.0126787	0.00928336	0.00984767	0.0124109	0.00869676	0.0071369	0.0161041	0.0053667	0.00539222	0.00712252	0.00462196	0.0100629	0.00795513	0.00755251	0.00982128	0.0073488	0.00746247	0.0112384	0.00712243	0.00879188	0.0154299	0.010778	0.0129284	0.0190426	0.01296	0.0194898	0.0167781	0.0278919	0.0223739	0.0193931	0.0281773	0.0186632	0.0185928	0.0194244	0.0236638	0.00963386	0.00839296	0.0119487	0.0147767	0.0183016	0.0173554	0.0237833	0.0185838	0.0134058	0.0149363	0.0107495	0.0132465	0.0119114	0.00415179
accomplis	0.012429	0.00987725	0.00780925	0.00453941	0.00651465	0.0173152	0.0141343	0.0260242	0.0566347	0.0317562	0.0529502	0.0709601	0.0600761	0.0254806	0.0185051	0.0252222	0.0229598	0.0179428	0.0170705	0.0405523	0.00995769	0.0113484	0.01198	0.00904164	0.0161069	0.0117694	0.00869564	0.0203863	0.0119434	0.010989	0.0147685	0.0161008	0.0110347	0.0187077	0.0164039	0.0185712	0.0101299	0.0124606	0.0127902	0.0242281	0.0233852	0.0146941	0.0100418	0.0112715	0.0102367	0.010808	0.00760199	0.00712822	0.00262065	0.00266453	0.00176758	0.00167975	0.00166134	0.00182863	0.00303865	0.00615631	0.00972313	0.00895142	0.00783142	0.0133709	0.0175298	0.0098407
des	0.0704686	0.0590067	0.0412236	0.0315663	0.00904293	0.0094472	0.00242623	0.00280446	0.00592974	0.00381754	0.0108049	0.00595561	0.00544399	0.00683419	0.00358348	0.00475443	0.00386359	0.00273999	0.00334267	0.0080953	0.00291246	0.00275447	0.00358354	0.00287347	0.00447719	0.00332754	0.00364472	0.00473649	0.00370396	0.0032288	0.00371345	0.00420306	0.00339289	0.00571928	0.00622152	0.00645572	0.0104962	0.012259	0.0142157	0.00689032	0.00795359	0.00532311	0.00430936	0.00614644	0.00681751	0.0133229	0.0151649	0.032376	0.0196161	0.0290873	0.0180726	0.0170685	0.0281296	0.016501	0.0321406	0.0591399	0.0663094	0.0695636	0.0462759	0.0375369	0.0503744	0.0188091
actes	0.00947312	0.0054578	0.00632375	0.00452244	0.00306739	0.00280081	0.00870942	0.00725419	0.0054843	0.00716861	0.00839829	0.0116768	0.00649137	0.009972	0.0150644	0.0210019	0.0212521	0.0393256	0.0250924	0.043736	0.0379544	0.0271692	0.0259059	0.025046	0.0253697	0.0249684	0.0311318	0.0170115	0.0256193	0.0217113	0.0318506	0.0215057	0.0259161	0.0120293	0.0145958	0.0109354	0.0291484	0.0160657	0.0229324	0.0107477	0.0154765	0.0112934	0.0147621	0.0143653	0.0120498	0.0148494	0.0126203	0.0154471	0.0113642	0.00908652	0.0175954	0.0180812	0.0141908	0.00991586	0.010864	0.00787948	0.00952624	0.0175688	0.00776858	0.0138306	0.0128882	0.00868888
justes	0.0137395	0.00757355	0.00703117	0.00350254	0.00165556	0.00268165	0.00306496	0.00434196	0.00581316	0.00586343	0.00837724	0.00835235	0.0102104	0.00898296	0.00776279	0.0151452	0.0154437	0.012316	0.0250062	0.040541	0.0321523	0.0259805	0.0375733	0.0180062	0.0498655	0.0267264	0.030146	0.0284934	0.0360431	0.025803	0.0838393	0.0553645	0.0474826	0.0463528	0.0522207	0.0255359	0.0179359	0.0333967	0.0195416	0.0181033	0.0136248	0.00749583	0.0048964	0.00484363	0.0039909	0.00511878	0.00420162	0.00439868	0.00335292	0.00284047	0.00326459	0.00295454	0.00482512	0.00252754	0.0025618	0.00142327	0.00122136	0.00154305	0.00123215	0.0021542	0.0019575	0.00160255
devant	0.0120045	0.00541652	0.00303456	0.00261439	0.00267515	0.00444689	0.00338346	0.00337924	0.00774034	0.00802747	0.00575552	0.0164277	0.0147149	0.00807045	0.0161566	0.0226201	0.0238604	0.0368675	0.0371956	0.040793	0.0540338	0.032192	0.0440095	0.0230163	0.0633396	0.0362511	0.0287035	0.0293717	0.0309953	0.0352633	0.0410439	0.0227131	0.0400866	0.0167128	0.0189452	0.0242542	0.0139691	0.0218389	0.0246543	0.0228122	0.0167808	0.0152471	0.0089637	0.00648195	0.00401121	0.00416308	0.00292962	0.0039044	0.00288691	0.00266157	0.00290956	0.0016458	0.00160861	0.00188559	0.00152362	0.00384111	0.00330848	0.00283543	0.00292253	0.00394811	0.00361616	0.0025339
dieu	0.035313	0.0173577	0.00670304	0.00323741	0.00205051	0.00198362	0.00117149	0.00134705	0.00326703	0.00186961	0.00417752	0.00773042	0.00470028	0.00318845	0.0155601	0.0173044	0.0151337	0.0211311	0.0187048	0.0204211	0.0287396	0.0204097	0.0243762	0.0129705	0.0276991	0.0298965	0.0229434	0.0329683	0.0313885	0.0179154	0.0463441	0.0238799	0.032172	0.0223807	0.0190565	0.0188569	0.0132023	0.0178996	0.0144419	0.0163472	0.0146351	0.0144335	0.00519011	0.00792986	0.00778994	0.0176617	0.0132884	0.0239866	0.0288995	0.0218031	0.0174869	0.0100607	0.00876345	0.0119838	0.00708244	0.0110944	0.0247951	0.0190999	0.0125367	0.0224637	0.0171515	0.00562292
tu	0.0642873	0.0429742	0.0274723	0.0207683	0.0050537	0.00329567	0.0013927	0.00135818	0.0034472	0.00198588	0.00275311	0.00712598	0.00377969	0.00351023	0.00675912	0.00844803	0.0087415	0.010838	0.00899308	0.0127484	0.0161586	0.0141911	0.015763	0.0079103	0.0186349	0.0210197	0.0167497	0.0181382	0.016657	0.00714227	0.036281	0.00862085	0.0188821	0.00815212	0.010462	0.00997417	0.00843981	0.00979752	0.0122344	0.00942245	0.0139254	0.00911157	0.00701483	0.0136838	0.0137769	0.0246963	0.027702	0.0436379	0.0325713	0.0245051	0.0296681	0.0220839	0.0136364	0.0188482	0.0144357	0.0149746	0.0207532	0.0277123	0.0255071	0.0325539	0.0292642	0.00957355
auras	0.0811194	0.0785802	0.0437795	0.0434361	0.0142184	0.0079852	0.00297556	0.00328174	0.00706327	0.00442211	0.00596642	0.017198	0.00745247	0.00596254	0.00826696	0.00766941	0.00971397	0.00946917	0.00680624	0.0114018	0.0117382	0.0131272	0.011948	0.00858674	0.0191076	0.0191374	0.0177469	0.0181589	0.012747	0.00742488	0.0102042	0.00499037	0.00935247	0.00469142	0.00570638	0.00730053	0.00832224	0.00878863	0.0179183	0.00982039	0.0145543	0.0118163	0.00988992	0.0173148	0.0125879	0.0217202	0.0221837	0.030103	0.0174453	0.0100724	0.0147564	0.0143238	0.00807623	0.0103006	0.00965765	0.0142863	0.0195878	0.0357212	0.0252267	0.0287513	0.0373947	0.0106433
