 	a66	a87	a23	a50	a43	a96	a4	a93	a35	a21	a41	a56	a96	a25	a92	a56	a43	a31	a96	a62	a88	a62	a21	a12	a62	a88	a71	a3	a97	a40	a7	a56	a44	a93	a44	a0	a75	a79	a36	a7	a36	a26	a30	a10	a9	a99	a97	a99	a97	</S>
avec	0.0399801	0.053003	0.026156	0.0366052	0.046605	0.0165147	0.0135337	0.011466	0.0144618	0.0146445	0.0195829	0.0536	0.0413403	0.0596411	0.0534518	0.0311616	0.0248768	0.0274329	0.0295937	0.0156921	0.0245001	0.013767	0.0139439	0.0123119	0.0126928	0.00699454	0.00922729	0.010139	0.00898474	0.00695912	0.00723395	0.0130785	0.0172382	0.0324867	0.0331672	0.014033	0.00944221	0.0124745	0.00545079	0.00838787	0.00626535	0.0107103	0.00856771	0.00680428	0.00862292	0.00941262	0.0128574	0.0101299	0.00829039	0.0164825
la	0.0178339	0.0160756	0.0187837	0.0116014	0.027751	0.0228408	0.0291658	0.0233886	0.0208503	0.0188278	0.0135695	0.0123396	0.0178876	0.0174019	0.0161256	0.0257347	0.0208047	0.0330668	0.0187561	0.0279942	0.0329245	0.0335405	0.0236195	0.0437782	0.0303095	0.0324729	0.047268	0.0370873	0.0291123	0.0176597	0.023467	0.0236097	0.0283299	0.0139681	0.00463504	0.00482726	0.00685036	0.00701743	0.0116486	0.0062752	0.0101988	0.00735216	0.00980576	0.0130854	0.0179771	0.0159785	0.0130565	0.0154904	0.0142472	0.0136079
manière	0.00769924	0.00608638	0.00470116	0.00547794	0.00852729	0.00756296	0.0117949	0.00714075	0.0172579	0.0153105	0.0129542	0.0342272	0.0389555	0.0179603	0.0152998	0.0238236	0.0366298	0.0586942	0.0339698	0.0439787	0.0449973	0.0346929	0.0359853	0.0382818	0.0426511	0.0299062	0.0444829	0.0583983	0.0479735	0.0258055	0.0252515	0.0362102	0.0144425	0.0092676	0.00414725	0.007111	0.00745893	0.00437647	0.00278298	0.00394845	0.0040254	0.00531086	0.00604194	0.00619493	0.00561471	0.00966525	0.00764633	0.0106721	0.0155066	0.00309838
dont	0.0480028	0.0139434	0.0167053	0.01366	0.0180239	0.020177	0.0160009	0.0128943	0.0103975	0.0133356	0.00903677	0.0127525	0.0110244	0.00877651	0.0134941	0.0178973	0.0198455	0.0218298	0.0225713	0.0125486	0.0299585	0.0296399	0.0292175	0.0228202	0.0444515	0.0453934	0.0315733	0.0192544	0.0149435	0.0204033	0.0292266	0.0342479	0.0336865	0.0472442	0.0240532	0.0166719	0.0253018	0.00430786	0.00991047	0.010382	0.0122412	0.0129551	0.0118078	0.0114263	0.00950432	0.0179793	0.0124132	0.0199634	0.0229092	0.0131947
il	0.0382704	0.014205	0.0133793	0.00485251	0.00671188	0.00764681	0.00714912	0.0132544	0.00853502	0.0111054	0.00748382	0.00546955	0.00473555	0.0045251	0.00549446	0.00957008	0.0140893	0.0157671	0.0180347	0.00912725	0.0229214	0.0233875	0.0206157	0.0229728	0.0384945	0.0558364	0.0396425	0.0274486	0.0281667	0.0254455	0.0281253	0.0492021	0.056174	0.078675	0.0517954	0.0363923	0.0314981	0.0124942	0.0143261	0.0121538	0.0118422	0.0110763	0.0104981	0.00865858	0.00901822	0.0109779	0.00954604	0.0102932	0.0192503	0.00366435
se	0.021836	0.00882576	0.00930851	0.00360647	0.00396737	0.00498186	0.00324743	0.0075393	0.00713811	0.011428	0.00892449	0.00739426	0.00872559	0.0119154	0.00930644	0.0217348	0.0211703	0.0294813	0.035057	0.0214255	0.0461167	0.0352254	0.0292632	0.0212825	0.054508	0.0674036	0.0497136	0.0397363	0.0261312	0.0166294	0.0165313	0.0297054	0.028036	0.037349	0.0321245	0.0304156	0.0395348	0.0165126	0.0131809	0.0113991	0.0116336	0.00986354	0.0107453	0.00572945	0.00959355	0.00847032	0.0082876	0.0135454	0.0104868	0.0138313
bat	0.0190427	0.0100222	0.0116932	0.00897564	0.00902417	0.0102632	0.00918057	0.01351	0.0105785	0.011602	0.00862582	0.00557258	0.00970631	0.0108904	0.0136197	0.0213778	0.0137086	0.0171451	0.0326645	0.021994	0.014961	0.0199586	0.0160733	0.0169831	0.0142629	0.0182971	0.0260793	0.0252875	0.0175098	0.0189413	0.0276026	0.0405774	0.0236527	0.0267417	0.0213855	0.0309173	0.0312819	0.0202543	0.0105418	0.015422	0.0192929	0.0204492	0.0229237	0.0203221	0.0216525	0.0441404	0.0242421	0.0457135	0.0406897	0.0346461
pour	0.0359399	0.0158633	0.0144098	0.00570977	0.00723854	0.00760761	0.00530606	0.00801212	0.00559941	0.0117221	0.00910954	0.00722262	0.00955129	0.0110023	0.00903467	0.0201141	0.0125343	0.0162326	0.0220911	0.0155548	0.0219243	0.0268047	0.0171997	0.0193003	0.015233	0.0209094	0.0192453	0.0114543	0.0109743	0.00753871	0.0066047	0.0126616	0.0105259	0.0119651	0.0129763	0.0144619	0.0243976	0.0197583	0.0238035	0.0299054	0.0354872	0.0380282	0.0417796	0.0328608	0.0343583	0.048699	0.0383849	0.0514538	0.0543625	0.0370854
creuser	0.0275185	0.0245165	0.0198253	0.0206657	0.0161104	0.0164387	0.012651	0.014005	0.0123681	0.0148112	0.0124003	0.00907119	0.0103928	0.0133024	0.0110285	0.0153084	0.0099375	0.0157862	0.0163285	0.017225	0.0131959	0.0115607	0.012881	0.0132786	0.0100285	0.0110073	0.0148118	0.0139522	0.0133773	0.0137503	0.0121866	0.0140537	0.00916529	0.0108506	0.0185931	0.0168591	0.0163155	0.0291888	0.0179324	0.0194608	0.0178983	0.0252873	0.0310133	0.0210109	0.0282727	0.050943	0.042055	0.0613014	0.0585797	0.0614976
le	0.0355327	0.0182717	0.0118119	0.00645557	0.00447052	0.00503784	0.00321153	0.00371934	0.0025508	0.007077	0.00552603	0.00475873	0.00732846	0.00777637	0.00757737	0.0144436	0.00914767	0.0127833	0.0123171	0.0141805	0.015242	0.0132274	0.0172766	0.0126224	0.00941047	0.0101471	0.0106443	0.0137318	0.0167617	0.0120473	0.00881376	0.0145209	0.0126319	0.0158314	0.0177168	0.0161565	0.0244791	0.0224442	0.0497557	0.0435323	0.0412998	0.0418042	0.0412173	0.0406837	0.0375802	0.0466611	0.0531526	0.0630979	0.0550719	0.0284599
trou	0.0430982	0.0207209	0.0152854	0.0104922	0.00640558	0.00786935	0.00440184	0.00470166	0.00305293	0.00909848	0.00745756	0.00547575	0.00923462	0.0117518	0.010763	0.0224697	0.0132225	0.0204459	0.0169576	0.0238638	0.0217675	0.0120351	0.0277022	0.0172149	0.0138304	0.011949	0.0192581	0.0237225	0.0243616	0.0218656	0.0202004	0.0246574	0.0195102	0.0238444	0.0250629	0.0238502	0.0295427	0.0247116	0.0316236	0.022386	0.0238846	0.0271186	0.0334514	0.0193582	0.0202266	0.0255402	0.0371221	0.0455251	0.035932	0.0259764
il	0.0634917	0.0499317	0.026216	0.0217711	0.0250152	0.0110079	0.00877432	0.00515807	0.00624271	0.0142566	0.0129374	0.027779	0.0308967	0.0327823	0.0338508	0.0469819	0.0309299	0.0324171	0.0307499	0.0237812	0.0303415	0.0232583	0.0310932	0.0256235	0.0167296	0.0171707	0.0164228	0.0112264	0.0140713	0.0097381	0.0112693	0.0198303	0.0122805	0.0230831	0.023367	0.0172306	0.0189042	0.0130426	0.0136597	0.0141252	0.00973573	0.0135226	0.0128944	0.00715518	0.00561356	0.00781334	0.0100989	0.01209	0.0117649	0.0118721
n'	0.0752284	0.0451592	0.0304248	0.0298786	0.0293357	0.0112054	0.00911851	0.00577931	0.00800247	0.0111464	0.0104741	0.0191111	0.023341	0.0256727	0.0241078	0.027932	0.0202849	0.02197	0.0203363	0.0126045	0.0233691	0.0164322	0.0133955	0.00970721	0.0102871	0.008539	0.00827169	0.00622607	0.0075291	0.00601188	0.00696708	0.0106826	0.00822043	0.0183176	0.0301545	0.0339727	0.0336191	0.038738	0.0363701	0.0251948	0.021486	0.0228224	0.0215063	0.0155604	0.0142775	0.0160341	0.0154661	0.017166	0.0159087	0.0266532
ira	0.0584574	0.04352	0.02303	0.0254472	0.0242871	0.0109787	0.0103116	0.00512293	0.00432861	0.00712605	0.00580004	0.016207	0.0210626	0.0294388	0.021291	0.023515	0.0129479	0.0172116	0.0223363	0.0130773	0.0134627	0.0154299	0.0131951	0.011498	0.00663785	0.00724665	0.00820752	0.00640638	0.00769143	0.00555849	0.00655845	0.0118537	0.0115087	0.026101	0.0491056	0.0350234	0.0295093	0.0420441	0.0212303	0.0182725	0.0176794	0.0249544	0.0241758	0.0217793	0.0216148	0.0314027	0.0261355	0.0318418	0.029286	0.0290922
pas	0.0379211	0.042319	0.0318199	0.0370265	0.0378368	0.0198594	0.0164699	0.012051	0.0114717	0.0120522	0.0117405	0.0268557	0.0184192	0.0250452	0.0327511	0.0245107	0.0236743	0.0257588	0.0234003	0.0199945	0.0201331	0.014519	0.0184736	0.0170988	0.0110252	0.00904956	0.0147181	0.0120363	0.0145759	0.0103052	0.00985934	0.0173208	0.0137082	0.0173506	0.024065	0.0143643	0.0151039	0.0214718	0.0125265	0.0137864	0.0112517	0.0189695	0.018042	0.0101092	0.0149554	0.0199973	0.0224323	0.023903	0.0196046	0.0482657
loin	0.0294698	0.0163387	0.0108738	0.0113395	0.0155174	0.00611235	0.00536321	0.00386228	0.00327192	0.0044472	0.00416079	0.00666481	0.00777438	0.0120017	0.0120459	0.013215	0.00518925	0.00843459	0.00688775	0.00706213	0.00813557	0.00336006	0.00746349	0.00424653	0.00309368	0.00252638	0.00387871	0.00507584	0.00590223	0.00507936	0.00584907	0.0107461	0.0111866	0.0174719	0.0263405	0.0157925	0.0184369	0.0532517	0.0277657	0.053565	0.0444113	0.0664349	0.0487096	0.0376527	0.045725	0.0560895	0.051827	0.0516032	0.0409524	0.0773941
</S>	0.0587587	0.0313439	0.0207271	0.0168985	0.0177769	0.00764652	0.00681624	0.00403965	0.00391104	0.00570055	0.00377104	0.00584192	0.00637918	0.00866398	0.00741405	0.0107576	0.00562677	0.0109296	0.0108633	0.0105671	0.0112095	0.00726858	0.0108081	0.00984849	0.00569411	0.00767192	0.0090359	0.00792986	0.0074962	0.00742198	0.0069594	0.0150035	0.0120422	0.0287788	0.0499732	0.0204571	0.0270366	0.0428766	0.039745	0.0424534	0.0323019	0.0536776	0.0400762	0.0311223	0.0380845	0.0407439	0.032872	0.0328135	0.0310132	0.0431507
