 	a87	a10	a87	a23	a83	a75	a47	a6	a92	a85	a37	a85	a6	a0	a12	a18	a62	a61	a66	a44	a90	a56	a34	a70	a66	a9	a87	a23	a11	a54	a47	a79	a90	a98	a47	a92	a37	a96	a70	a93	a70	a13	a9	a99	a87	a23	a87	a23	</S>
je	0.0254056	0.0251154	0.0333496	0.0177804	0.0278641	0.0438786	0.100533	0.0705404	0.109451	0.034166	0.0182921	0.0166093	0.0148948	0.0156783	0.007682	0.0104457	0.0154219	0.0128224	0.00992538	0.0144276	0.0141752	0.0192652	0.0294602	0.0213001	0.0149536	0.0204285	0.0110467	0.0059272	0.00807633	0.0100429	0.0196369	0.0335565	0.0199452	0.0172891	0.0164959	0.018322	0.0213949	0.00728693	0.00749284	0.00419296	0.00527446	0.00406119	0.00506275	0.00503839	0.00459429	0.00592701	0.00981992	0.00658577	0.00906384
n'	0.0126495	0.0108204	0.0211718	0.0205321	0.0274582	0.0405889	0.0283396	0.0383647	0.0438066	0.0282831	0.0264822	0.043405	0.0328801	0.0479475	0.0337877	0.0120392	0.0139032	0.0168093	0.0323551	0.0241131	0.0163393	0.0110049	0.00865525	0.00409615	0.00817071	0.0114164	0.0104115	0.0090273	0.012245	0.0120884	0.00813965	0.00527079	0.00814286	0.00639233	0.00528008	0.0106212	0.0139317	0.0135479	0.0151878	0.0253149	0.0300416	0.0257197	0.0121325	0.0261506	0.0323934	0.0211167	0.0233967	0.0355915	0.022436
ai	0.0221149	0.00732567	0.00734883	0.00388132	0.00483137	0.00648717	0.0057012	0.00786741	0.00555669	0.0059823	0.0163837	0.02184	0.0301255	0.0238023	0.0137044	0.0215977	0.034637	0.0585033	0.145801	0.101764	0.0731823	0.0297253	0.0330433	0.0268903	0.0444232	0.0200151	0.0187249	0.0362999	0.0203517	0.00913764	0.00316189	0.00107593	0.00140511	0.00194296	0.0010362	0.000891915	0.00214471	0.00111531	0.00166924	0.00387284	0.00417531	0.00486406	0.00364514	0.0086361	0.0124582	0.0130735	0.0208789	0.0361086	0.0207944
plus	0.0375453	0.0306715	0.0292481	0.0244479	0.0238351	0.0146494	0.0144558	0.0101851	0.00955363	0.0105786	0.00899759	0.0107728	0.00894187	0.00819223	0.0088823	0.0089551	0.00838349	0.00616832	0.00851363	0.00837088	0.008752	0.0117323	0.0155463	0.017432	0.0157019	0.0315468	0.0298806	0.0277306	0.0268158	0.0410941	0.0414878	0.0274901	0.0251536	0.0341423	0.0316185	0.0216665	0.0123663	0.0262478	0.0173724	0.0198262	0.0173522	0.0258183	0.0267277	0.0356449	0.0241843	0.0234078	0.0163642	0.0194685	0.0360795
mangé	0.041791	0.024266	0.0178252	0.020707	0.00884409	0.00546564	0.00574785	0.00630584	0.00523923	0.011249	0.00834799	0.0110336	0.020539	0.0116761	0.0137697	0.0236143	0.0227476	0.0206965	0.0255479	0.026989	0.0275923	0.0313401	0.0323815	0.057126	0.0429423	0.0589355	0.0722633	0.0469369	0.0431656	0.0550005	0.0450113	0.0303797	0.0210744	0.0173586	0.0111383	0.00752358	0.00554751	0.00666899	0.00455555	0.00312675	0.00407812	0.0042346	0.00418047	0.00495143	0.0043481	0.00566107	0.00637692	0.00757836	0.0061195
du	0.0291458	0.0168015	0.0101055	0.0107544	0.00487271	0.00312292	0.00510181	0.00737463	0.00579093	0.00980592	0.0111865	0.0131566	0.0200321	0.00734591	0.0102896	0.0129762	0.0150521	0.0136128	0.0189618	0.0168439	0.0143879	0.0153637	0.017307	0.0281079	0.0276666	0.02904	0.0464124	0.0316025	0.03169	0.0387931	0.0273923	0.0245876	0.0139026	0.0224217	0.0213264	0.0121991	0.0198826	0.0179656	0.0136854	0.0176965	0.0236288	0.0250882	0.042294	0.0425758	0.027484	0.0312641	0.0344227	0.037465	0.0220132
poisson	0.0193192	0.0156747	0.00972124	0.0106399	0.0061666	0.0041771	0.005822	0.00759792	0.00308735	0.00518107	0.00813937	0.0128832	0.0120361	0.0138811	0.0177831	0.0315075	0.0283661	0.0193712	0.0335147	0.0289191	0.0202317	0.0224947	0.0273254	0.0410998	0.0292617	0.0394789	0.0552577	0.0310734	0.0346877	0.0397136	0.0287657	0.0248741	0.0177742	0.019786	0.0168315	0.0116803	0.0151411	0.0144925	0.00883257	0.0118561	0.0130856	0.018959	0.0219304	0.0305902	0.0220602	0.0237806	0.0221637	0.023237	0.0197461
d'	0.0534027	0.019194	0.011085	0.00733403	0.00543215	0.00388955	0.00336734	0.0035238	0.00315673	0.00373345	0.00465566	0.00844295	0.00808528	0.00722608	0.00458969	0.00793228	0.0142307	0.0162534	0.0325191	0.0170996	0.013845	0.0179465	0.0307763	0.0266287	0.0358924	0.0505375	0.0554477	0.0495104	0.0427269	0.0444813	0.0303881	0.0182324	0.0129758	0.013918	0.00887934	0.007807	0.00982003	0.0144037	0.0137553	0.0130789	0.0190491	0.0293653	0.0200389	0.0236316	0.0290887	0.0296665	0.0321464	0.0416474	0.0291615
eau	0.0414575	0.017926	0.0130202	0.0116558	0.00858917	0.00614239	0.005668	0.00479603	0.00454014	0.00587582	0.006773	0.00760522	0.009967	0.0132322	0.00703566	0.012279	0.0147943	0.018552	0.0176324	0.0165954	0.0128678	0.0148707	0.0201081	0.017671	0.0221135	0.0269869	0.0218053	0.02502	0.0254846	0.0279956	0.0193398	0.0224227	0.0184974	0.0247175	0.0124479	0.00851104	0.0170989	0.0142856	0.0138587	0.0148824	0.01759	0.0234379	0.0254678	0.0439261	0.0421475	0.0509257	0.0571434	0.0646939	0.049545
douce	0.0443337	0.027137	0.0175411	0.0115528	0.00852462	0.00637762	0.00397434	0.00337476	0.0037857	0.00399935	0.00819354	0.0158285	0.0155394	0.0166946	0.0114274	0.0146712	0.0214179	0.0242938	0.0286312	0.0257236	0.0193754	0.0257946	0.0367172	0.0296556	0.0389246	0.0429557	0.0371337	0.0253245	0.0315085	0.0286256	0.0203324	0.0119573	0.013562	0.0165627	0.00731535	0.00568791	0.0108197	0.00664322	0.00646764	0.00719985	0.0075233	0.0100236	0.00702041	0.0176081	0.0245819	0.0314703	0.053857	0.0558541	0.0564756
