 	a23	a85	a87	a23	a10	a87	a23	a20	a73	a26	a24	a41	a94	a76	a94	a41	a35	a41	a35	a24	a32	a38	a75	a85	a75	a41	a37	a21	a85	a37	a75	a73	a84	a53	a25	a56	a32	a75	a25	a21	a24	a41	a76	a90	a57	a53	a76	a41	a27	a57	a87	</S>
il	0.0282647	0.037265	0.0243972	0.0250049	0.0464739	0.0372558	0.0269823	0.0288128	0.046138	0.0587426	0.0563552	0.0770978	0.0691588	0.0659597	0.0519671	0.0348742	0.0132927	0.0261486	0.039492	0.0179027	0.0111609	0.0120222	0.00732117	0.00459839	0.00338324	0.0023818	0.00356702	0.00211824	0.00223455	0.00132781	0.00131502	0.00138522	0.00221629	0.00185079	0.00205586	0.00255095	0.00268664	0.00286472	0.00318539	0.00295741	0.00422881	0.00472792	0.00403961	0.00607454	0.0078009	0.00369855	0.00734419	0.0114781	0.0194032	0.0165492	0.0153172	0.0145683
attire	0.000722522	0.00107347	0.00117251	0.0014273	0.00257315	0.00732391	0.00688635	0.00547931	0.013592	0.0156618	0.0170532	0.0195659	0.0193028	0.0170652	0.0294744	0.0392005	0.0268136	0.0547503	0.0592621	0.050329	0.0443798	0.0529446	0.0490164	0.0464075	0.0257801	0.022278	0.0248068	0.0333421	0.0316633	0.0215431	0.0119886	0.0190009	0.0123505	0.00624128	0.0121895	0.00749865	0.0101608	0.00953814	0.0104469	0.0110136	0.0130232	0.0112324	0.0114127	0.0131055	0.00979922	0.0113384	0.0125773	0.0144741	0.0137648	0.0128383	0.0150368	0.0100777
les	0.0055961	0.0048871	0.0047538	0.00426143	0.00360741	0.00372019	0.00268817	0.00238322	0.00488858	0.0136006	0.0196253	0.0204817	0.0299369	0.0234881	0.0306754	0.0334222	0.0204468	0.0287734	0.0502509	0.0627537	0.0606284	0.0583955	0.0486536	0.0351424	0.0213504	0.0179992	0.0156386	0.0070097	0.00745262	0.00380421	0.00212856	0.00194536	0.00157535	0.00144714	0.00253852	0.00253153	0.00311525	0.00333592	0.00358744	0.00546673	0.0108527	0.0078211	0.0100785	0.0178301	0.0176941	0.0323348	0.0390528	0.039278	0.0340037	0.0354552	0.0361348	0.0454765
animaux	0.0204232	0.0154427	0.00856679	0.00985997	0.00968633	0.0128407	0.010233	0.0102707	0.00655564	0.0126593	0.0153592	0.012702	0.0102355	0.0194808	0.0749188	0.0927506	0.0648606	0.0274962	0.0378967	0.0438632	0.0328556	0.0247708	0.0151239	0.0178733	0.0173437	0.0126229	0.0216635	0.00996177	0.010222	0.0191862	0.0268505	0.0359865	0.0362144	0.0237039	0.0170302	0.0162756	0.0129372	0.0182978	0.0178395	0.0128869	0.0171333	0.0166081	0.012926	0.0059714	0.00915199	0.00413737	0.00352635	0.00308288	0.00303538	0.00280867	0.00268793	0.00318269
au	0.00605116	0.00575743	0.0048014	0.00454761	0.00697777	0.0103069	0.0129376	0.0122817	0.0135546	0.0176677	0.0230114	0.0202593	0.0153034	0.0340182	0.073052	0.104747	0.0649727	0.0451829	0.0640659	0.0554532	0.0280651	0.018955	0.0171292	0.0184812	0.0158965	0.0164074	0.0208225	0.0201012	0.0145022	0.0231511	0.0170761	0.0206682	0.0249202	0.0128819	0.00949556	0.00885308	0.00822198	0.00655834	0.00528885	0.00460877	0.00575036	0.0058672	0.0061183	0.00964077	0.00406357	0.00738668	0.0080238	0.00864744	0.0107414	0.00782477	0.00915526	0.00974644
piège	0.00901169	0.00858864	0.00659248	0.00717077	0.00763796	0.00888038	0.0169293	0.0121323	0.0388531	0.0574941	0.0861881	0.0564652	0.0456126	0.0452607	0.0478102	0.0594731	0.0687145	0.0435596	0.0516487	0.0871957	0.0542553	0.0183419	0.0124135	0.0106409	0.00987655	0.0156681	0.016132	0.0065361	0.00464309	0.00748278	0.00419692	0.00379512	0.00416875	0.00266102	0.00260293	0.00243336	0.00265681	0.00243547	0.00282381	0.00317714	0.00357978	0.00604334	0.00572059	0.00426682	0.00315955	0.00203383	0.00259235	0.00311864	0.00470303	0.00376674	0.00448678	0.00436815
avec	0.0341505	0.0388723	0.0293887	0.0156495	0.0159453	0.0123278	0.0096085	0.00922455	0.0204161	0.0439457	0.0475259	0.0814069	0.0596057	0.0809126	0.0569561	0.0751687	0.0220259	0.0255605	0.0371084	0.0301584	0.0125236	0.0185513	0.0175858	0.0108142	0.00859625	0.00721937	0.0114696	0.00684649	0.00771594	0.00716851	0.00618157	0.00526809	0.00886898	0.00382575	0.00263377	0.0029612	0.00331859	0.00247957	0.0022286	0.00210381	0.00199576	0.00315354	0.00314036	0.00280261	0.00315815	0.00214306	0.00501174	0.00903264	0.0157493	0.013584	0.0161208	0.0297891
un	0.0257925	0.00956821	0.00661995	0.0037145	0.00303672	0.00302519	0.00423835	0.00386685	0.00287136	0.00215707	0.00664443	0.0082114	0.00786876	0.01699	0.0256489	0.0309492	0.0242927	0.0206071	0.037953	0.019566	0.00757406	0.0109282	0.0106264	0.00668707	0.00458439	0.00457014	0.0126631	0.0121011	0.009555	0.0118077	0.0131296	0.00982821	0.0212047	0.00783491	0.00769986	0.00971764	0.00840587	0.00894899	0.00969027	0.00764136	0.0142041	0.0184524	0.0177353	0.0325306	0.0369428	0.0456417	0.0532062	0.0584435	0.0754357	0.0601239	0.0614332	0.0670298
remède	0.0233093	0.0204479	0.0145806	0.0144724	0.0147172	0.00985545	0.0170476	0.0211992	0.00647918	0.00461435	0.00767418	0.00596855	0.00581455	0.00789703	0.0112385	0.0173277	0.0184812	0.0136592	0.0224698	0.0190195	0.011842	0.00894283	0.0086779	0.00803714	0.00737095	0.0109458	0.0123026	0.0121021	0.00928806	0.0150298	0.014963	0.015587	0.0207753	0.0139785	0.0144729	0.0166998	0.0141237	0.014425	0.0171869	0.0161361	0.0189909	0.0263924	0.0249887	0.0337867	0.0578636	0.0392288	0.0361987	0.0349481	0.0623309	0.0422624	0.0390867	0.0447616
</S>	0.033588	0.020618	0.0107536	0.0085904	0.00770632	0.00492471	0.00660939	0.00788022	0.00370392	0.00434487	0.00792414	0.0055059	0.00769635	0.0112675	0.013597	0.022895	0.0119077	0.0142552	0.0157917	0.011461	0.00700258	0.00541088	0.00833736	0.00686506	0.00594649	0.00685225	0.00826846	0.00530635	0.00441003	0.00634574	0.00580561	0.00580327	0.00774705	0.00541074	0.00520388	0.00609219	0.00557763	0.00610559	0.00798554	0.00749005	0.00987537	0.0149616	0.014067	0.0265786	0.0333605	0.0203557	0.0366184	0.0467526	0.0915512	0.0675273	0.0700894	0.209275
