 	a66	a87	a23	a79	a58	a53	a54	a92	a37	a96	a37	a56	a37	a75	a92	a79	a44	a56	a37	a47	a75	a92	a36	a43	a56	a43	a75	a92	a56	a92	a37	a61	a18	a9	a10	a87	a23	a87	a97	a99	a87	a23	a87	a23	a87	</S>
la	0.0374091	0.0569938	0.0430665	0.0555601	0.0612677	0.0744622	0.0448852	0.0369319	0.0306073	0.0403184	0.0368425	0.024702	0.00992691	0.0172737	0.0115832	0.0154725	0.0153315	0.0126163	0.0144246	0.0098016	0.00834692	0.00920511	0.0113115	0.0069063	0.00729271	0.0081745	0.0104625	0.00948841	0.00723101	0.0161766	0.0197343	0.0189554	0.0140921	0.0131671	0.016581	0.0171588	0.0189218	0.0144201	0.0163741	0.01385	0.0170566	0.0145255	0.0136213	0.0128027	0.0104613	0.0242054
manière	0.00734623	0.0157593	0.0180913	0.04311	0.0376055	0.178815	0.0332855	0.0499475	0.0113617	0.0131945	0.00737438	0.00845759	0.00462027	0.00377467	0.00613503	0.0170065	0.0278897	0.0166147	0.0414439	0.0376724	0.0886377	0.0470111	0.0415514	0.0483295	0.0621273	0.0409022	0.0445163	0.0138086	0.00993374	0.00713569	0.00189253	0.00197302	0.00337172	0.00104151	0.00106371	0.000682858	0.000675206	0.000537097	0.000526521	0.000389205	0.000534879	0.000813127	0.000919467	0.0010157	0.000540983	0.0005639
dont	0.0561713	0.0414913	0.0451744	0.0546418	0.0370669	0.0276948	0.0309836	0.059088	0.0290812	0.00857893	0.0308264	0.0316478	0.00952508	0.00401804	0.00255721	0.00417865	0.0220585	0.0105055	0.0226013	0.0282749	0.0330673	0.0149819	0.0090491	0.00682586	0.00661058	0.014457	0.015756	0.0163592	0.00684439	0.0166195	0.00926298	0.00935603	0.00940503	0.0131968	0.0126537	0.0166039	0.0146823	0.0164585	0.0222861	0.0193622	0.0344991	0.030934	0.0254339	0.0270868	0.0304068	0.0116354
elle	0.0687898	0.0523457	0.0392796	0.0411127	0.0529158	0.0273624	0.0296001	0.00924033	0.0100877	0.011962	0.0139484	0.0160067	0.00978954	0.0145155	0.0129854	0.0169531	0.0165701	0.0120444	0.00887407	0.00461795	0.00640091	0.00465597	0.00359029	0.00437362	0.00515721	0.00931425	0.0149194	0.0350744	0.0437149	0.0186928	0.0191315	0.0140142	0.00869698	0.0133568	0.0151105	0.0153264	0.0176836	0.0167936	0.022635	0.02408	0.0241027	0.0321703	0.0447185	0.0520642	0.0557436	0.00947697
m'	0.0540698	0.0312687	0.0230694	0.0308931	0.0439234	0.0360128	0.0234126	0.0188566	0.00989603	0.0157054	0.0334806	0.0311954	0.0307013	0.018518	0.0249918	0.0182059	0.0247675	0.049772	0.0363755	0.0480665	0.0513956	0.0385532	0.0129914	0.016652	0.0125241	0.0169585	0.0104671	0.0198838	0.00805617	0.0213769	0.0153171	0.0110391	0.00452168	0.00426177	0.00345619	0.00490377	0.00504704	0.00606078	0.0116494	0.0113609	0.0130154	0.0173852	0.0197343	0.0188457	0.0226705	0.0186899
a	0.0648438	0.0298744	0.0283025	0.031464	0.0306254	0.0127001	0.0104506	0.0108728	0.0100418	0.0103355	0.0140335	0.0157303	0.0123671	0.00886664	0.00954195	0.00805094	0.011557	0.0120125	0.0134252	0.012935	0.015269	0.00875005	0.0136526	0.0117949	0.0139402	0.0290985	0.0261556	0.0287772	0.00957282	0.0204785	0.0266298	0.0173864	0.010458	0.0137063	0.011993	0.00542215	0.0087741	0.00821469	0.0208913	0.0243361	0.0359445	0.0563219	0.0471471	0.0515631	0.0514991	0.0741919
griffé	0.0374606	0.0207902	0.0163731	0.0143102	0.0214631	0.00994979	0.013228	0.0170857	0.00970286	0.00812065	0.011824	0.0101286	0.00636867	0.00558288	0.00702516	0.00568838	0.00872853	0.00537235	0.00756672	0.00695673	0.00872414	0.00537361	0.0159975	0.0095686	0.00923229	0.0169305	0.0147593	0.0147681	0.0104833	0.00822088	0.0136462	0.0102885	0.007874	0.0140932	0.0108392	0.00547353	0.0102114	0.0173933	0.0343043	0.0399786	0.0420238	0.0667154	0.0606749	0.0684566	0.103835	0.136408
était	0.0832957	0.0596684	0.0385389	0.0386558	0.0362963	0.0114441	0.00861819	0.00751904	0.013829	0.0121307	0.0185591	0.02663	0.0156718	0.0185967	0.0157808	0.0161233	0.02338	0.0165169	0.0191833	0.0129774	0.0101497	0.00767018	0.0208714	0.00947875	0.007941	0.0141639	0.0157947	0.0344879	0.0300586	0.0509537	0.0436563	0.0296017	0.0138518	0.0165258	0.011442	0.0061213	0.00843345	0.0120048	0.0170938	0.0212104	0.0206869	0.0244524	0.0209064	0.0200504	0.0263381	0.0126394
brusque	0.034095	0.0425134	0.0169213	0.0152638	0.0150702	0.0221853	0.00676993	0.00341812	0.0125128	0.0226665	0.0116886	0.0179556	0.0262376	0.0555518	0.0485461	0.0486739	0.0334944	0.0223725	0.0193811	0.0115046	0.0079001	0.00957611	0.00538836	0.00421228	0.00379346	0.00740906	0.0069579	0.0173637	0.0127093	0.0171464	0.0183276	0.0124348	0.00972265	0.010623	0.0125705	0.00877388	0.0101786	0.0116934	0.0174997	0.0190158	0.0260084	0.0355453	0.0443347	0.050693	0.0589425	0.0743569
</S>	0.00685159	0.00483465	0.00317583	0.00470623	0.0043482	0.00829616	0.00292523	0.00373554	0.00414118	0.0103609	0.00751333	0.0139665	0.0233531	0.0231869	0.0398576	0.0452915	0.046264	0.0404612	0.0404113	0.0285177	0.0328652	0.0250065	0.0220793	0.019459	0.0182667	0.0250792	0.0136438	0.0114243	0.00640532	0.0120885	0.0156863	0.0173871	0.0138098	0.0272963	0.0238742	0.0242679	0.0220241	0.0283494	0.033042	0.0303487	0.0368504	0.0365408	0.0318083	0.0261499	0.04931	0.0347382
