 	a82	a97	a10	a87	a97	a87	a97	a30	a13	a99	a57	a53	a70	a99	a50	a70	a90	a41	a12	a96	a62	a96	a93	a41	a44	a4	a13	a53	a69	a4	a70	a50	a83	a11	a26	a66	a9	a97	a87	a97	a87	a99	a87	a23	a87	</S>
le	0.0135995	0.0312216	0.035781	0.05134	0.0714194	0.0818016	0.0765518	0.0751847	0.055085	0.0318205	0.0318406	0.0304742	0.0258091	0.0176919	0.0106833	0.0103519	0.011442	0.0114585	0.0165717	0.0165791	0.0168817	0.0153374	0.0159413	0.0124176	0.00675989	0.00647356	0.00702469	0.00592956	0.00373416	0.00445722	0.00746753	0.00886086	0.010361	0.0136384	0.0147094	0.0211813	0.0142785	0.0168083	0.0136959	0.0109853	0.00850836	0.00563884	0.00924682	0.00814468	0.00541258	0.0293978
chef	0.00377935	0.00497335	0.00805361	0.0152625	0.0240198	0.0228226	0.0232204	0.0406413	0.027924	0.0503228	0.021816	0.0434581	0.0327188	0.0472147	0.04809	0.0477571	0.0566168	0.0472848	0.0563619	0.0472693	0.0570472	0.0598545	0.0300787	0.0344062	0.0281959	0.020418	0.0143817	0.0125378	0.0153632	0.00853188	0.00846858	0.00892902	0.00437853	0.00373409	0.00551844	0.0036485	0.00239764	0.00278953	0.00159091	0.00124555	0.00130488	0.00104603	0.00155825	0.00100111	0.00153138	0.000435405
ne	0.0264979	0.0320873	0.0265705	0.0262391	0.0196367	0.0142674	0.0045389	0.0131811	0.0225297	0.0429451	0.0232882	0.0143437	0.0388867	0.0410596	0.042201	0.0322636	0.0575768	0.0779426	0.0508871	0.0694874	0.0264674	0.026665	0.0151205	0.031486	0.0159292	0.0163575	0.017784	0.0262049	0.016954	0.0306624	0.0144798	0.0127306	0.00547548	0.00446933	0.00534543	0.00376293	0.00453984	0.0106002	0.00389127	0.00897016	0.00679463	0.00210357	0.00834388	0.00188503	0.00399278	0.00255351
tient	0.0229072	0.0134721	0.00954999	0.007377	0.00824601	0.00757865	0.00856043	0.0172792	0.0231836	0.0149645	0.012408	0.0123842	0.0162592	0.0441587	0.0284896	0.0381905	0.0398916	0.0244686	0.0214629	0.0493992	0.01645	0.0277599	0.0224721	0.0629731	0.0552661	0.0344641	0.0287509	0.0357745	0.0250863	0.0265662	0.0246767	0.017439	0.0206717	0.0148967	0.0301374	0.0171829	0.0176966	0.010038	0.00945306	0.00880263	0.0107542	0.0111098	0.0115587	0.010617	0.0112646	0.0179064
pas	0.0435154	0.0270791	0.0227468	0.0258378	0.0263599	0.022968	0.0263964	0.0298443	0.0432805	0.0356657	0.0271633	0.0273447	0.0285711	0.0347564	0.0215269	0.020411	0.0288624	0.0129084	0.023994	0.0403548	0.0207546	0.0378103	0.0359351	0.0525121	0.0188311	0.0231852	0.0172419	0.0223852	0.0234077	0.0331067	0.0246512	0.0130145	0.00967345	0.00582454	0.00372767	0.00323989	0.0040309	0.00555036	0.00336799	0.00619598	0.00619016	0.0093625	0.00874431	0.0141736	0.0134071	0.0140888
compte	0.0228578	0.0183515	0.0131719	0.0139099	0.0140119	0.0140547	0.0148984	0.0198654	0.01835	0.0171585	0.0354209	0.0219511	0.0223732	0.0240014	0.014289	0.00893394	0.00918297	0.0122931	0.00919133	0.0103142	0.0111058	0.0134976	0.0145184	0.0174797	0.0083916	0.0110814	0.0118313	0.0317322	0.0292243	0.0531502	0.0317888	0.0231985	0.0253213	0.0191125	0.0200824	0.0190218	0.0220913	0.0303068	0.020948	0.0179329	0.0221139	0.0212744	0.0356922	0.0435818	0.0371242	0.0738157
de	0.0218341	0.0137442	0.00971717	0.00814057	0.00752429	0.00625809	0.00739053	0.00934234	0.00876508	0.0116865	0.0196879	0.0115002	0.0149736	0.012101	0.0101814	0.00809388	0.00453516	0.00519128	0.00557801	0.00442364	0.007628	0.00501386	0.0081354	0.00848163	0.0138516	0.0125967	0.0108623	0.0132182	0.0122909	0.0199985	0.0210371	0.0257359	0.0392656	0.0336206	0.0394789	0.0412929	0.0529913	0.0352823	0.0377187	0.0315601	0.0426405	0.039777	0.0580923	0.0464837	0.0680482	0.0742289
certaines	0.035871	0.0258918	0.01459	0.0107811	0.00816399	0.00522969	0.00560804	0.0074832	0.00770504	0.00928306	0.0130497	0.00815429	0.0142952	0.0151093	0.0134504	0.0124608	0.00993016	0.0108157	0.00905528	0.00904841	0.0107016	0.00991722	0.0119235	0.0151465	0.0187198	0.0181372	0.0149947	0.0158419	0.0131907	0.0165186	0.0172074	0.0166241	0.0168965	0.0152487	0.0160475	0.0206029	0.0281306	0.0380013	0.0375273	0.0402681	0.0440587	0.0424017	0.0679948	0.0586447	0.0758928	0.0733853
lois	0.0195613	0.0226139	0.0148265	0.0166846	0.0147469	0.0121427	0.0164841	0.0272643	0.0264047	0.0212663	0.038993	0.0261215	0.0293245	0.0155134	0.00895333	0.00954107	0.00667928	0.00526001	0.00707697	0.00726867	0.00680886	0.0082036	0.00611286	0.00690984	0.0161563	0.0102077	0.00708381	0.00573668	0.00919142	0.0181051	0.00949732	0.011518	0.0121998	0.0162217	0.0221829	0.0293735	0.043979	0.0282472	0.0418864	0.0329117	0.0397379	0.0581972	0.0706351	0.0363238	0.0728151	0.0330302
</S>	0.0221465	0.0116487	0.00923603	0.010353	0.00923668	0.00820018	0.00941778	0.011422	0.0102675	0.00756527	0.00958815	0.00804285	0.00888882	0.00500619	0.00433262	0.00409077	0.00375477	0.00329464	0.00593306	0.00551068	0.00752455	0.00793274	0.0108384	0.00671246	0.00859368	0.00766866	0.00668448	0.00674561	0.00576892	0.00826999	0.00956324	0.0104915	0.0137628	0.0166164	0.0194765	0.0388772	0.055793	0.0607033	0.0566058	0.0599287	0.0641127	0.056291	0.0788976	0.0610139	0.0870026	0.066188
