 	a23	a99	a13	a38	a20	a73	a35	a41	a35	a88	a71	a99	a62	a41	a27	a62	a47	a96	a12	a31	a43	a21	a47	a21	a41	a66	a38	a21	a41	a30	a41	a96	a21	a41	a90	a69	a58	a82	a87	</S>
le	0.0455065	0.019765	0.0724063	0.0544481	0.0863274	0.0485124	0.0756703	0.031013	0.0590371	0.0425395	0.0179779	0.0176241	0.0186733	0.0167959	0.0148563	0.0171741	0.0136899	0.016184	0.013492	0.011618	0.0117524	0.0106915	0.0125067	0.0121414	0.0155705	0.0191877	0.0179491	0.012488	0.0188157	0.0156024	0.0130836	0.00677181	0.0157314	0.0148593	0.00905368	0.0148765	0.0122075	0.0266017	0.0188202	0.0279781
chien	0.00432874	0.0158017	0.096369	0.0558213	0.0921253	0.0760412	0.0853936	0.0529002	0.124905	0.0515602	0.0358565	0.0262923	0.0139992	0.0169395	0.011596	0.0137077	0.0249921	0.0191023	0.0181626	0.0329664	0.0178501	0.0247873	0.0141512	0.0105271	0.0121355	0.00517148	0.00380713	0.00716639	0.00402433	0.00790204	0.0036106	0.00262186	0.00170714	0.00161373	0.00154996	0.00116512	0.00152486	0.00204295	0.00346667	0.004314
a	0.0192408	0.0290864	0.032505	0.0362994	0.0615512	0.0386682	0.0443827	0.0501305	0.0654249	0.0349166	0.0209846	0.0229061	0.0284567	0.014779	0.0161917	0.0201505	0.0571646	0.0901552	0.0308083	0.0282893	0.0151821	0.00923025	0.00644984	0.0119894	0.0208788	0.0131814	0.00922912	0.00911336	0.00934435	0.0123336	0.010316	0.00896983	0.0110269	0.00850894	0.0101517	0.00966961	0.0116845	0.0373244	0.0113999	0.0219245
attrapé	0.00898578	0.0141447	0.010047	0.0250453	0.019911	0.0188951	0.0137025	0.0362897	0.0483605	0.0679167	0.05945	0.0688496	0.0581283	0.0502752	0.0425118	0.0750937	0.0565222	0.036974	0.0484102	0.0593189	0.0227668	0.0307385	0.0101752	0.0173539	0.0131076	0.00971656	0.00739851	0.00833268	0.00381361	0.00516453	0.00711915	0.00588372	0.00425176	0.00344841	0.00432738	0.00416483	0.00492637	0.00503814	0.0055964	0.00784364
l'	0.0348971	0.024012	0.0189723	0.0228578	0.0218744	0.0255267	0.0265181	0.0222309	0.0331126	0.0462101	0.0278602	0.0141189	0.0150635	0.0179873	0.0177517	0.0192878	0.0127038	0.0224773	0.0346876	0.0449359	0.0704457	0.0412538	0.0549224	0.0383877	0.0427556	0.0448381	0.046164	0.0368888	0.0271223	0.025131	0.0212231	0.0113281	0.00572826	0.0037686	0.00402404	0.002843	0.00481781	0.00471541	0.00427928	0.00627677
os	0.0312925	0.0228979	0.0293006	0.0256318	0.036758	0.0236333	0.0273376	0.0816099	0.0681974	0.115136	0.0589998	0.0552341	0.0378773	0.0226048	0.0148459	0.00842631	0.0182309	0.0169509	0.0106607	0.0158612	0.0197732	0.0101639	0.0236923	0.0185489	0.025561	0.0231901	0.0193573	0.0186778	0.0181759	0.0210672	0.0129031	0.0143205	0.0119966	0.00374627	0.00541159	0.00451191	0.00557329	0.00888777	0.00525815	0.00769618
qu'	0.054936	0.0374223	0.0330303	0.0351909	0.0398279	0.0308103	0.0266039	0.042632	0.0483982	0.0509353	0.031729	0.0286298	0.0241518	0.0190998	0.0132463	0.00854397	0.0113679	0.0130369	0.010456	0.011404	0.0157484	0.010735	0.0172275	0.0161937	0.0212415	0.0268624	0.028956	0.0200337	0.0230893	0.0194582	0.0187169	0.016475	0.0145527	0.0104698	0.014685	0.0129262	0.0156052	0.0304618	0.0292751	0.065834
a	0.0548456	0.0395444	0.0274903	0.0273538	0.0251937	0.0269141	0.0114256	0.0379355	0.0300969	0.022022	0.0182194	0.0418082	0.0487491	0.040856	0.029937	0.0180375	0.0285605	0.0211475	0.0170471	0.0183763	0.0165457	0.0111552	0.0120701	0.0120655	0.0127551	0.0110147	0.0127697	0.00582562	0.0046414	0.00527811	0.00592806	0.00827051	0.0099261	0.0179677	0.0245294	0.0210778	0.0241854	0.0621322	0.0527881	0.0835133
jeté	0.0568255	0.0361905	0.0258556	0.0320855	0.0288946	0.0264925	0.020576	0.0136985	0.0222748	0.022854	0.0203151	0.024668	0.0253676	0.0187193	0.0161673	0.0118599	0.0118655	0.0174719	0.0179853	0.0244517	0.0311036	0.0206018	0.0369501	0.0329099	0.0167693	0.0223195	0.0282912	0.019494	0.0191601	0.0140323	0.0171998	0.0201839	0.0153666	0.024826	0.0278441	0.0288347	0.0254843	0.0334458	0.0350042	0.0555597
son	0.0504014	0.0396565	0.0386906	0.0398255	0.0305759	0.0292914	0.014311	0.00878823	0.0211228	0.0171423	0.0149986	0.0173389	0.020333	0.0152618	0.0107222	0.00965875	0.0090389	0.0145739	0.0176828	0.0214015	0.027712	0.0220119	0.0252555	0.0294605	0.0204374	0.0170451	0.0285721	0.0247407	0.0226189	0.0191016	0.0230139	0.0186878	0.0114896	0.0209768	0.0201853	0.0261606	0.0226104	0.0367988	0.0304882	0.111817
maître	0.0602178	0.0316814	0.0279058	0.0219858	0.0147899	0.015983	0.00963613	0.00983777	0.0183733	0.0162029	0.0151679	0.0145828	0.0160153	0.0125804	0.0128425	0.0120382	0.0142758	0.0176688	0.0173208	0.0188893	0.0189847	0.017806	0.0174094	0.0194764	0.0225901	0.0209184	0.0354866	0.0234199	0.0281119	0.0302409	0.0289852	0.0238224	0.0207485	0.028844	0.0305702	0.0300225	0.0329444	0.0494594	0.0456364	0.0965271
</S>	0.0679624	0.0415897	0.0360024	0.0266952	0.0181416	0.0172441	0.00978247	0.00978721	0.0146859	0.00912884	0.00819939	0.00972208	0.010553	0.00797322	0.00707619	0.00911615	0.00797563	0.0124863	0.0104355	0.00876275	0.00761814	0.00697248	0.00788211	0.00853429	0.012627	0.0173073	0.0171148	0.0121779	0.0157217	0.0169808	0.0202856	0.0180521	0.0213409	0.0242046	0.0318462	0.0325318	0.0299978	0.0722981	0.0497476	0.233439
