 	a87	a97	a3	a30	a93	a61	a75	a56	a90	a98	a44	a84	a57	a38	a90	a56	a43	a11	a96	a75	a85	a36	a27	a9	a87	a23	a24	a83	a75	a5	a96	a66	a31	a88	a70	a96	a56	a75	a98	a25	a90	a15	a7	a57	a87	a23	a38	a97	</S>
cette	0.0199698	0.0335636	0.0414374	0.0406216	0.027771	0.0588412	0.0304227	0.0264152	0.0417383	0.0250186	0.0114306	0.0179686	0.0155687	0.0116742	0.01614	0.0235979	0.0291477	0.0342371	0.0179979	0.0263496	0.0294869	0.0197055	0.0141543	0.0258927	0.0188572	0.0141093	0.0153456	0.0147161	0.0248308	0.0116101	0.0142431	0.0163847	0.0113577	0.0073248	0.0142009	0.0129069	0.0168877	0.0280954	0.0193151	0.0124464	0.00885709	0.0134569	0.0152719	0.0122149	0.00997706	0.00886316	0.0134097	0.0081968	0.0179699
femme	0.010934	0.00965755	0.0221889	0.0269303	0.0305341	0.057371	0.0400143	0.0614435	0.0998527	0.0706515	0.021545	0.0326568	0.0162208	0.0172857	0.0176656	0.0174235	0.0213957	0.0232141	0.0186003	0.0306207	0.023228	0.0256153	0.0253195	0.0242126	0.0196256	0.0226041	0.0120429	0.0222452	0.0283157	0.0232945	0.0117132	0.0237089	0.0162964	0.00666636	0.00571099	0.00463895	0.006507	0.0141202	0.0055413	0.0029526	0.0024749	0.00296824	0.00401849	0.00230298	0.00354388	0.00215243	0.00308214	0.00274509	0.00614668
m'	0.0348655	0.0339804	0.0324519	0.0334612	0.0562004	0.104719	0.077686	0.0388935	0.0352296	0.0191633	0.0338044	0.0304971	0.0175721	0.0120462	0.0195229	0.0227474	0.0190687	0.021751	0.0152573	0.0163723	0.0258384	0.024735	0.0464959	0.0174908	0.0109621	0.00627903	0.00510449	0.0033763	0.00408115	0.00469865	0.00397852	0.00590914	0.00172825	0.00103217	0.00118819	0.00134913	0.00105513	0.00248426	0.00878902	0.00802313	0.00935788	0.0114075	0.0189488	0.0108991	0.0161848	0.0195744	0.015206	0.0250898	0.0134427
a	0.0245538	0.017791	0.0109739	0.00764001	0.0112361	0.0185221	0.0283945	0.0164843	0.0167346	0.0247398	0.0290818	0.0256065	0.0236452	0.0354217	0.0322443	0.0440815	0.0372749	0.0520613	0.0513676	0.0591764	0.0530536	0.0529116	0.0448826	0.0238795	0.0230604	0.0224386	0.0211012	0.0138211	0.0118351	0.0148193	0.0161425	0.0172335	0.0165269	0.0125249	0.0124206	0.0131435	0.00877726	0.00513379	0.00415286	0.0024704	0.00304162	0.00361695	0.00347073	0.00318902	0.00454943	0.00490845	0.00402591	0.00595672	0.00988049
insulté	0.0279349	0.0282598	0.024815	0.0322146	0.034547	0.0189453	0.0186646	0.01714	0.0138218	0.0170824	0.0213966	0.0253788	0.0240849	0.0377305	0.0331695	0.0356937	0.0364582	0.0365404	0.0226844	0.0232064	0.0173563	0.0148484	0.0148184	0.0134662	0.0166091	0.023185	0.029135	0.0228102	0.0202898	0.0172017	0.0216	0.0232535	0.0263315	0.0228133	0.0285679	0.0158407	0.0181522	0.0231735	0.0169413	0.0121294	0.00617468	0.00740356	0.00932016	0.00725685	0.00745785	0.00760097	0.00825357	0.00713637	0.0111035
parce	0.00772737	0.00481486	0.00470723	0.00375043	0.0042293	0.0106913	0.00700203	0.0110318	0.0185279	0.0271766	0.0427972	0.0299447	0.0598715	0.0436702	0.0645358	0.0832515	0.0558409	0.0843185	0.0894692	0.0483363	0.0350959	0.0225273	0.019773	0.0182198	0.0136265	0.0109058	0.0105054	0.0073633	0.00649692	0.00494047	0.00817185	0.00634787	0.0039609	0.00188168	0.00301623	0.0028582	0.00325979	0.00463312	0.00679825	0.00560481	0.00721661	0.0104276	0.0143071	0.00988635	0.0139683	0.0120295	0.00949536	0.00833673	0.0166506
que	0.0191965	0.0140187	0.0112722	0.0109174	0.0174093	0.0203314	0.0149376	0.0122904	0.016242	0.0173132	0.0142563	0.014262	0.016859	0.0224004	0.0257041	0.0360436	0.0300883	0.0374082	0.0523722	0.0471969	0.0353616	0.0392343	0.0298853	0.0274069	0.0186498	0.0152361	0.0135735	0.0103284	0.00947656	0.00867658	0.00976919	0.00632045	0.00586546	0.00333623	0.00549977	0.00488753	0.00495567	0.00758954	0.0149534	0.0193518	0.0220339	0.0279415	0.0318486	0.0250688	0.0325923	0.0314876	0.0277781	0.0287654	0.031606
je	0.021448	0.0158393	0.0106554	0.00731711	0.00802582	0.0109864	0.0113157	0.0098081	0.0128312	0.0141261	0.0165409	0.019704	0.025129	0.0120974	0.0282785	0.025719	0.016385	0.0194565	0.0203067	0.0210495	0.0170467	0.0304392	0.0328592	0.0266166	0.0262424	0.0165801	0.0273179	0.0137693	0.0139291	0.0141209	0.0156413	0.012016	0.013191	0.0169061	0.0397596	0.0186032	0.0184224	0.0338686	0.0285904	0.032727	0.0259998	0.0254838	0.0305105	0.0209048	0.0264605	0.0242655	0.0254641	0.0270678	0.018177
l'	0.0243716	0.0235161	0.0178629	0.00902162	0.00884419	0.0107826	0.00881188	0.00762557	0.00857498	0.00963413	0.0124119	0.0140568	0.0172665	0.0155454	0.0206351	0.0207154	0.0155893	0.0153645	0.015129	0.0152094	0.010443	0.0134799	0.011182	0.0106282	0.00991909	0.00846318	0.0120766	0.00983755	0.00825381	0.0141528	0.0164194	0.0133734	0.016339	0.0338465	0.0426933	0.037979	0.0352578	0.0386869	0.0391599	0.0452882	0.0408118	0.0372104	0.036803	0.0325889	0.030938	0.0284116	0.0241806	0.03238	0.0182272
ai	0.0240734	0.0223893	0.0184875	0.0162062	0.0116664	0.00894017	0.00628068	0.00578702	0.00774869	0.0109289	0.0146068	0.0165772	0.0239717	0.03097	0.0337182	0.0327562	0.0179654	0.0226756	0.0195608	0.0180082	0.0153358	0.0167969	0.0101775	0.00882145	0.00770838	0.00933045	0.0150299	0.0126283	0.0121173	0.0155991	0.0279275	0.0180184	0.0280286	0.0239115	0.0309368	0.0351874	0.0389733	0.0385618	0.0268111	0.0353099	0.0314423	0.0321618	0.0287039	0.0194225	0.0208764	0.0183275	0.0190468	0.0188044	0.0206844
frôlée	0.0179917	0.0254684	0.0283855	0.019156	0.0139703	0.0162295	0.00778158	0.00819707	0.0123982	0.0141361	0.0172781	0.0194433	0.0258215	0.0256121	0.0291102	0.0273013	0.0160557	0.0209018	0.0208031	0.0183456	0.0151337	0.0159469	0.0114732	0.0105268	0.00981666	0.0077835	0.0109757	0.0101249	0.00878683	0.0106735	0.0132909	0.0106948	0.0120791	0.00960891	0.0110673	0.00971289	0.0136243	0.0165142	0.0187093	0.0201714	0.0269891	0.0402745	0.0533905	0.0357846	0.0434592	0.0356397	0.0421698	0.0275065	0.0636847
</S>	0.0224532	0.0332898	0.039012	0.0249296	0.0163233	0.0158812	0.00759522	0.00781626	0.0101205	0.0112833	0.0132524	0.0153688	0.0219076	0.0173783	0.0228023	0.0227849	0.0155324	0.0191626	0.0183188	0.0192225	0.0191522	0.0203578	0.0152583	0.0147069	0.0133401	0.00978164	0.0139174	0.0125332	0.00855406	0.0106501	0.0101595	0.00984134	0.00910466	0.00733531	0.00893358	0.00771043	0.0117707	0.0149233	0.0224432	0.024371	0.0245515	0.0368435	0.0510362	0.0384469	0.0421816	0.0353065	0.0419246	0.0299166	0.0605126
