 	a87	a97	a87	a23	a87	a79	a69	a44	a54	a37	a75	a85	a37	a75	a5	a21	a25	a44	a58	a25	a90	a13	a98	a5	a21	a92	a90	a15	a44	a41	a5	a18	a40	a75	a47	a36	a2	a57	a87	a23	a87	a97	a87	a97	a83	a11	a75	a47	a41	a27	a0	a66	a75	a66	a90	a56	a70	a13	a9	a99	a87	a23	a87	a23	a87	</S>
le	0.0259023	0.0202947	0.0236721	0.0180221	0.0270197	0.0299615	0.0148952	0.0204579	0.0272877	0.0354604	0.02353	0.0172052	0.0196512	0.0218681	0.0178949	0.0118462	0.0150304	0.00936668	0.0184818	0.0216554	0.0196444	0.0316931	0.030288	0.0249383	0.0213659	0.0252281	0.0248594	0.0276133	0.0283335	0.0267698	0.0258661	0.0196205	0.0180205	0.0151141	0.0281793	0.0173685	0.0169436	0.0143171	0.0171334	0.0120637	0.00808832	0.00669363	0.00385798	0.00218952	0.00190193	0.00186024	0.00246772	0.0030344	0.00330682	0.0050032	0.00562594	0.00365696	0.00257484	0.0040138	0.00595515	0.00713418	0.00656622	0.00623332	0.00615355	0.00583709	0.00776259	0.00567006	0.00655776	0.00570184	0.00642159	0.0108676
sous-préfet	0.000655066	0.00149084	0.00171566	0.00203637	0.00286885	0.00774666	0.00968186	0.0186803	0.0452594	0.175089	0.14445	0.21504	0.187627	0.080763	0.0283451	0.00431783	0.00184325	0.000409074	0.00047177	0.000107825	9.12404e-05	0.000146494	0.000422923	0.000368277	0.00044088	0.000830299	0.000855255	0.000939957	0.00200061	0.00135704	0.0014308	0.00220576	0.000701608	0.000532687	0.00135241	0.00145764	0.00148297	0.00196832	0.000497157	0.00074757	0.000519407	0.000582041	0.00110422	0.00737831	0.00275276	0.00973429	0.00900137	0.00568053	0.00499071	0.00271064	0.00230039	0.00116238	0.000879909	0.000894006	0.000526631	0.000234742	0.000209003	9.15168e-05	8.64899e-05	5.74852e-05	6.09535e-05	6.29571e-05	8.44245e-05	0.000136627	0.00023158	9.7834e-05
n'	0.00674178	0.00784765	0.00702225	0.00622349	0.00758226	0.00549951	0.0106238	0.0160297	0.0236968	0.0412913	0.0835883	0.0602042	0.0581224	0.0335074	0.0373286	0.0454109	0.0420506	0.0274352	0.0274378	0.0172679	0.00896169	0.01244	0.0162969	0.0273711	0.0228994	0.0231744	0.015608	0.0150091	0.0149114	0.0182528	0.0178274	0.0181693	0.0131981	0.0152077	0.0112784	0.00988143	0.0127455	0.0168329	0.00501922	0.017398	0.0108857	0.00948806	0.00532111	0.00500548	0.00463107	0.00475522	0.00437752	0.00494431	0.00496464	0.00399125	0.00251609	0.00305267	0.00271259	0.00260218	0.0020541	0.00212184	0.00129905	0.00188182	0.00204989	0.00278106	0.00364533	0.00513535	0.00785115	0.0103145	0.0098321	0.00439132
est	0.0140507	0.00534548	0.00418725	0.00301744	0.00552639	0.00479191	0.00511887	0.00882747	0.0183914	0.0291888	0.0391566	0.0456044	0.0387131	0.0418463	0.0302178	0.0231882	0.0183671	0.0190768	0.014256	0.0107959	0.0145216	0.0147897	0.0159137	0.0156312	0.0138731	0.0127589	0.0222101	0.0104912	0.0126105	0.0136128	0.0133374	0.0109622	0.0135251	0.0179278	0.00756189	0.0179651	0.0181983	0.0175609	0.0254386	0.0184363	0.0241014	0.0160634	0.0114078	0.00979927	0.00511527	0.00592464	0.00535835	0.00492271	0.00384444	0.00295111	0.00312796	0.00202699	0.00299356	0.00380302	0.00411658	0.00526097	0.00629683	0.00799717	0.00931335	0.0165585	0.0109946	0.024223	0.0237453	0.028441	0.0237988	0.0508198
pas	0.0379638	0.0302803	0.015791	0.0213689	0.0397994	0.0373719	0.0478538	0.0263779	0.0244244	0.0227035	0.0297364	0.0223064	0.017618	0.0060592	0.0100912	0.00721209	0.00698583	0.00702982	0.00669896	0.0105468	0.00512373	0.0108381	0.00444055	0.00700451	0.0100538	0.00907846	0.00948524	0.00811336	0.0168794	0.022543	0.0119381	0.0156316	0.0163165	0.00538785	0.00991348	0.00459082	0.00414626	0.00425457	0.00805965	0.00494916	0.00565487	0.00639001	0.00669514	0.00994643	0.0118546	0.0086476	0.00971226	0.0144247	0.0154411	0.0257333	0.0394557	0.0302401	0.0261792	0.0255436	0.0151632	0.0191398	0.0126996	0.00877676	0.00700404	0.00967905	0.00912072	0.0123525	0.0099178	0.0115124	0.0121333	0.0196145
venu	0.00492268	0.00368529	0.00247866	0.00252084	0.00291302	0.00169715	0.00312882	0.00300519	0.00374123	0.00367277	0.00734725	0.00862916	0.0120868	0.0134184	0.026889	0.0376584	0.027406	0.0379888	0.0302514	0.0380662	0.0481324	0.0470435	0.039702	0.0738218	0.0549881	0.049792	0.0503427	0.0407745	0.0423009	0.0420652	0.0246334	0.0235719	0.036837	0.014404	0.00953272	0.00734511	0.00832503	0.00533888	0.00564342	0.00354868	0.00492078	0.00414135	0.00306084	0.00190573	0.00191527	0.0017272	0.00139765	0.00132038	0.00102449	0.00114998	0.00159715	0.00115287	0.000892969	0.00154177	0.00148018	0.0031745	0.00276945	0.00250292	0.00291523	0.00359473	0.00552918	0.00698981	0.00882318	0.0103259	0.00976036	0.0147356
faire	0.0046877	0.00260665	0.0023913	0.001725	0.00164272	0.00174836	0.00303721	0.00226424	0.00224215	0.00147256	0.00235519	0.00431054	0.00492703	0.00942008	0.00926957	0.0236581	0.0167951	0.0288066	0.0201939	0.0323672	0.0418743	0.0411994	0.0380938	0.0569436	0.0456938	0.0510862	0.0485226	0.0514121	0.0275178	0.0419726	0.0321836	0.0259897	0.0387131	0.0258024	0.00901864	0.0100781	0.0107721	0.00949217	0.00700207	0.00806453	0.00875254	0.00669456	0.0036913	0.00263059	0.00213021	0.00137011	0.00161933	0.00152542	0.00106908	0.000823184	0.00118205	0.00161589	0.00191834	0.00434221	0.00555783	0.0101126	0.00939246	0.0103282	0.00988202	0.0116073	0.0158386	0.0176416	0.0193751	0.020863	0.0194128	0.01327
le	0.00544362	0.00314551	0.0020523	0.00156808	0.00185834	0.00197717	0.00338977	0.00320116	0.00452207	0.00268966	0.00254319	0.0049822	0.00345092	0.00585395	0.00671699	0.0116476	0.0133045	0.0221111	0.0229255	0.04019	0.0692854	0.0593104	0.0493615	0.0675717	0.0613674	0.0672886	0.0476477	0.0561841	0.0333743	0.042317	0.0405884	0.0350617	0.0530756	0.03313	0.0113612	0.0079561	0.00706641	0.00747759	0.00235496	0.00411363	0.00350424	0.00201435	0.000740851	0.000647716	0.000400387	0.000318436	0.000406735	0.000697757	0.000541862	0.000370766	0.000501769	0.00101252	0.00068819	0.00119495	0.00113061	0.00206217	0.00215558	0.003172	0.00345354	0.00475601	0.00538313	0.00610405	0.00826641	0.0140009	0.0107973	0.00621054
recensement	0.0058778	0.00563027	0.00299908	0.00315894	0.00255782	0.00236313	0.00312277	0.00325721	0.00270106	0.00239466	0.00194179	0.00494197	0.00361743	0.00597289	0.00467548	0.00701008	0.0164013	0.0114096	0.0281398	0.0671562	0.0359627	0.0699333	0.042492	0.0323137	0.0303322	0.0471434	0.0209073	0.047829	0.0196501	0.0262649	0.0355699	0.0290999	0.027801	0.0367482	0.0245742	0.0157275	0.0185052	0.0137402	0.0115149	0.00688019	0.00647817	0.0063471	0.00131071	0.00177264	0.000970402	0.001048	0.00277402	0.00827903	0.00465901	0.00419923	0.00297225	0.00213585	0.000617961	0.00102388	0.00182003	0.00500161	0.00557163	0.0079203	0.012157	0.01523	0.0193062	0.0168374	0.0269368	0.0367195	0.0224208	0.00717129
personnellement	0.0130384	0.00844256	0.00463423	0.00337568	0.0028806	0.00215466	0.00227191	0.0038247	0.0034172	0.0023116	0.00258368	0.00616984	0.00420704	0.00371098	0.00311546	0.00480208	0.0132538	0.00536931	0.0185587	0.0281054	0.0436268	0.0524713	0.0463799	0.034185	0.0366267	0.044633	0.025757	0.0626039	0.0218482	0.0267457	0.0330518	0.0264593	0.0312032	0.0267477	0.0204051	0.0228663	0.0216691	0.0155583	0.0155331	0.0136902	0.01445	0.00978719	0.00892595	0.00569371	0.00658944	0.00463988	0.0120822	0.0152961	0.0140879	0.0111591	0.0054082	0.00499739	0.00405349	0.00506113	0.00549102	0.00719588	0.00327146	0.00470534	0.00478518	0.00541054	0.00852689	0.0147847	0.0170072	0.0149544	0.0164139	0.0169324
