 	a66	a87	a23	a53	a15	a98	a85	a92	a75	a92	a56	a75	a85	a75	a85	a37	a56	a44	a70	a11	a31	a88	a71	a83	a34	a56	a93	a70	a11	a75	a56	a96	a93	a75	a43	a34	a37	a26	a57	a87	a23	a87	</S>
si	0.0235221	0.0391461	0.0228351	0.0275667	0.0463028	0.0777112	0.0729905	0.0630243	0.0551784	0.0416998	0.0688298	0.0854649	0.0493021	0.0308057	0.0184024	0.0128911	0.00989316	0.0050847	0.00485293	0.0041877	0.00374963	0.00550784	0.00709439	0.0087829	0.00743651	0.00435284	0.00704526	0.00686229	0.00433972	0.0166373	0.00783404	0.0104375	0.0193059	0.0110296	0.0108718	0.0137558	0.0126943	0.0145446	0.0154491	0.0130969	0.0117048	0.00885778	0.0189179
tu	0.00924891	0.0108663	0.0182647	0.0181802	0.0176287	0.0252714	0.0210164	0.0296432	0.0147925	0.0163482	0.0133065	0.0189083	0.0174844	0.0124391	0.0159161	0.012018	0.0161201	0.0123215	0.0145764	0.0137795	0.020729	0.033108	0.0412275	0.0550976	0.0226014	0.049118	0.0604014	0.0232096	0.026219	0.0108669	0.0224228	0.0269561	0.0253673	0.0330603	0.0303928	0.0268819	0.0300104	0.0313856	0.0297225	0.022715	0.0232305	0.0190875	0.0080586
prends	0.0271187	0.0188578	0.0214686	0.017522	0.00919927	0.0250144	0.0368822	0.0985168	0.060307	0.0478493	0.037164	0.0546322	0.0653159	0.0350265	0.0418881	0.0289712	0.035292	0.0152219	0.0109098	0.0126577	0.00949744	0.0160499	0.0155437	0.0183182	0.0162087	0.0278987	0.0226019	0.021596	0.0195182	0.00848348	0.0101602	0.00620718	0.00288223	0.00235615	0.0032269	0.00366808	0.00531281	0.00529751	0.0072553	0.00910024	0.0140928	0.0160606	0.0388486
trop	0.0366331	0.0181585	0.0122719	0.00749906	0.00354076	0.00313211	0.00555771	0.0161103	0.0117973	0.0245891	0.0197132	0.0171541	0.0207484	0.0262766	0.0118568	0.0128859	0.0236378	0.0266432	0.0221449	0.0137352	0.0164017	0.0135046	0.0126286	0.0102801	0.0145712	0.0226143	0.0129633	0.0139265	0.0167348	0.0171679	0.0229952	0.0211604	0.0165403	0.0271222	0.0382068	0.0339481	0.0382268	0.0475305	0.043032	0.0403418	0.0571664	0.0600466	0.0688033
de	0.00797217	0.00421141	0.00407689	0.00263007	0.00193391	0.00270745	0.00423579	0.00961406	0.0157986	0.0309402	0.0311753	0.024349	0.0297805	0.0392167	0.0304626	0.0365816	0.0311822	0.0283593	0.0258981	0.0240691	0.0272243	0.0221604	0.0174771	0.0170828	0.0190398	0.0282232	0.02998	0.0230126	0.0108777	0.0210113	0.0399254	0.0131043	0.0127812	0.0151021	0.0250636	0.0155073	0.030093	0.0344749	0.0322951	0.0381634	0.0401988	0.0540546	0.0479524
citron	0.0199163	0.00906076	0.0055347	0.004072	0.00556423	0.00502209	0.00430992	0.00665964	0.0119164	0.0120178	0.0178322	0.0273956	0.0419795	0.0278307	0.0387488	0.0682304	0.0645233	0.0688919	0.0509312	0.0544864	0.0674509	0.0454919	0.0261679	0.0342061	0.0391956	0.0252545	0.0261823	0.0245109	0.0152151	0.0213894	0.0143701	0.00692899	0.00795804	0.00682625	0.00667736	0.00641677	0.0082111	0.0103378	0.010017	0.0115169	0.0124953	0.0132997	0.0149564
tu	0.0472927	0.0371146	0.0169827	0.00982033	0.00622624	0.0182991	0.0119629	0.021421	0.0156038	0.0207777	0.027182	0.026546	0.0508688	0.0249284	0.0373753	0.0464144	0.0517804	0.0335723	0.0276885	0.0294068	0.0268522	0.0246861	0.0190998	0.0292058	0.0232754	0.0399202	0.0442641	0.0350753	0.0286939	0.0151155	0.0169167	0.0105562	0.00711922	0.00754455	0.00489784	0.00674404	0.0102273	0.0135819	0.0157935	0.0112274	0.0166358	0.0168091	0.014494
auras	0.0488342	0.0335113	0.0282063	0.0147703	0.00726051	0.00987972	0.00608678	0.00667642	0.00501289	0.0069214	0.00767621	0.00733132	0.0109945	0.0102947	0.0125088	0.0199439	0.0300475	0.0252747	0.022783	0.0220229	0.0292381	0.0254505	0.016175	0.0251507	0.0170777	0.0304611	0.0492325	0.0428328	0.0338873	0.0320938	0.043833	0.0378612	0.0308642	0.0246954	0.0213311	0.0190786	0.0337627	0.0372381	0.0244335	0.0263377	0.0275012	0.0251306	0.0102958
les	0.0446479	0.0472083	0.0453497	0.0278846	0.0151823	0.0210676	0.0199003	0.0148945	0.018089	0.0243745	0.0236978	0.0230594	0.0264756	0.0233489	0.0258208	0.0318355	0.026091	0.0201176	0.0170286	0.0146774	0.0156664	0.0161521	0.0178102	0.0169354	0.0145222	0.015436	0.0157212	0.0215743	0.0216286	0.0310833	0.0387241	0.0224052	0.014616	0.0111809	0.0124533	0.0112296	0.0191411	0.0199311	0.0271257	0.0242071	0.0300805	0.0272929	0.0443313
maux	0.0112104	0.00583491	0.00678462	0.00512812	0.00495338	0.00972243	0.0137136	0.00987734	0.0219239	0.0264354	0.0364751	0.0394776	0.0410279	0.0390379	0.042866	0.0417514	0.0296007	0.0218443	0.0190607	0.0168512	0.0156583	0.0148388	0.0145762	0.0175589	0.0172488	0.0154638	0.0226158	0.0165351	0.018041	0.0167925	0.0353475	0.0300214	0.0169975	0.0167938	0.0185531	0.0193389	0.0274456	0.0274625	0.0368515	0.0345818	0.0362991	0.042811	0.0445902
