 	a23	a53	a20	a73	a44	a38	a24	a41	a94	a43	a11	a62	a24	a9	a38	a75	a14	a73	a44	a26	a76	a69	a58	a53	a76	a69	a20	a41	a85	a14	a73	a2	a76	a94	a32	a76	a69	a84	a87	</S>
il	0.0322651	0.0271499	0.0670381	0.0746293	0.0867868	0.174135	0.130162	0.101369	0.0575261	0.046452	0.0143536	0.0326038	0.0366592	0.0314077	0.00822182	0.00449578	0.00285927	0.00394475	0.00233326	0.0013302	0.00269423	0.00256743	0.000869549	0.000931255	0.000669851	0.00106783	0.00184634	0.00153856	0.0011871	0.00181431	0.00460144	0.0040568	0.00411416	0.00702182	0.00392734	0.00491011	0.00526221	0.00533624	0.00335276	0.00650845
tomba	0.00131676	0.00161961	0.0018466	0.010568	0.00976247	0.0353056	0.0341215	0.052792	0.0505907	0.0378576	0.0557764	0.0496343	0.0608787	0.0455993	0.0429424	0.0340613	0.034478	0.0255121	0.0257062	0.0163068	0.0160259	0.0126648	0.0165179	0.00861699	0.00468766	0.00734344	0.00651004	0.00488374	0.00857333	0.00944547	0.0112149	0.0164801	0.0193124	0.0283669	0.0337841	0.0371055	0.0379117	0.0393359	0.0342007	0.0203421
aveugle	0.00979184	0.00579664	0.00321252	0.00567241	0.00901134	0.0181271	0.0144977	0.0167313	0.0262108	0.0325048	0.0479884	0.0723716	0.0700499	0.0642468	0.0281113	0.0359995	0.0144689	0.0162036	0.0175068	0.0131718	0.00967268	0.0191936	0.00774438	0.00672075	0.00554479	0.0046689	0.00439022	0.00671842	0.00889872	0.00967915	0.0101016	0.0101516	0.0475001	0.0401777	0.0662081	0.058081	0.0400115	0.0542907	0.026145	0.0424259
à	0.0280447	0.0336936	0.025299	0.02411	0.0333576	0.0311295	0.0321856	0.0325099	0.0260778	0.0322608	0.0257843	0.026608	0.0205932	0.0210781	0.0195713	0.0245439	0.0197858	0.0165246	0.0191027	0.0308324	0.0182042	0.029566	0.0259928	0.0339124	0.0490523	0.0575619	0.0529334	0.0242219	0.0216349	0.0299444	0.0138472	0.00911401	0.011439	0.00926649	0.0123349	0.0178136	0.0114702	0.0133882	0.00947448	0.0257353
la	0.0143748	0.00983144	0.0100913	0.00768786	0.0064928	0.00784162	0.00952961	0.0155251	0.0266166	0.0177518	0.0361072	0.049488	0.0420369	0.0310706	0.0384212	0.03561	0.0376778	0.0254168	0.0247717	0.0413469	0.0340116	0.0179906	0.0172182	0.013414	0.012123	0.0221884	0.0157671	0.0206016	0.0185605	0.0162012	0.0187666	0.0153517	0.026039	0.0287574	0.0320446	0.0449057	0.0501222	0.0466356	0.035924	0.025687
suite	0.0154686	0.013229	0.0117625	0.0148547	0.0098316	0.0168568	0.023338	0.026466	0.0356741	0.0144506	0.0310101	0.0612643	0.0753257	0.0391278	0.0632426	0.056195	0.0670022	0.036777	0.0383118	0.0347469	0.0395871	0.0171498	0.0327888	0.0272007	0.0298388	0.0452892	0.0181886	0.0240102	0.00546039	0.00517832	0.00767603	0.0102115	0.0120449	0.0151787	0.00507417	0.00636086	0.00306947	0.00453723	0.001831	0.00438868
de	0.0469783	0.021066	0.0111257	0.0111096	0.00585681	0.0121767	0.0134585	0.0261235	0.0175477	0.0195873	0.0121926	0.0210732	0.0148863	0.0181291	0.0346044	0.0203782	0.0340684	0.0227661	0.0184649	0.0277114	0.0276502	0.0217563	0.0120593	0.00919776	0.0103335	0.0129849	0.00861721	0.0142324	0.0193614	0.0102335	0.012332	0.0150205	0.0282284	0.0291858	0.0266886	0.0432166	0.0566965	0.0587823	0.0696087	0.10451
sa	0.0237287	0.00734758	0.0041657	0.00394079	0.00212138	0.00278792	0.00304112	0.00463493	0.00959624	0.00442795	0.00401712	0.0158067	0.011006	0.00941782	0.0287573	0.0263179	0.0372065	0.030938	0.0261198	0.0565541	0.0590986	0.0613192	0.0425004	0.0275082	0.0412242	0.0204158	0.0369995	0.0361623	0.0384392	0.00905452	0.0176504	0.0147274	0.032786	0.0369186	0.0383919	0.0444562	0.0339785	0.0423813	0.0305795	0.0234747
blessure	0.0365213	0.0175637	0.0159263	0.0125834	0.00422242	0.00664231	0.00608168	0.0062921	0.0109068	0.00936438	0.0134276	0.0124017	0.0139931	0.0099192	0.0144945	0.0124006	0.0140976	0.0130094	0.0146036	0.0299973	0.0262884	0.0171296	0.0125756	0.0148733	0.0200937	0.0244312	0.0501749	0.0515588	0.0349068	0.041669	0.0728828	0.0578627	0.0340476	0.038264	0.0287892	0.0266851	0.0388513	0.0434228	0.0345838	0.0564601
</S>	0.0224383	0.0110586	0.0100216	0.00741061	0.00377481	0.00453964	0.00461941	0.00798844	0.0151025	0.00792812	0.0220355	0.0185015	0.0135621	0.0100127	0.0166877	0.0174404	0.0208925	0.0181671	0.011241	0.0197718	0.0116522	0.00711515	0.0138601	0.0120932	0.0166135	0.0266725	0.0259984	0.0337449	0.0400733	0.039864	0.0441008	0.0444395	0.0430202	0.039865	0.0438309	0.0459886	0.0589251	0.0678284	0.0579488	0.0631714
