 	a66	a87	a23	a20	a7	a44	a96	a44	a93	a56	a96	a18	a13	a4	a70	a62	a96	a54	a47	a36	a6	a36	a26	a75	a47	a79	a15	a69	a90	a79	a7	a15	a7	a54	a36	a26	a66	a9	a99	a87	a23	a87	</S>
après	0.0370795	0.0648311	0.080502	0.153994	0.0741322	0.0283586	0.0557945	0.043427	0.0264864	0.0422942	0.024452	0.0324142	0.0156073	0.0181573	0.0134702	0.0125058	0.010907	0.00730204	0.00711317	0.0078568	0.00764085	0.00656791	0.00723822	0.00766404	0.00305094	0.00527098	0.00725699	0.00616371	0.00660333	0.0082156	0.00527652	0.00355925	0.00586714	0.0164965	0.0118785	0.0134924	0.014975	0.0168774	0.0144706	0.0104325	0.0163027	0.0170903	0.030924
ma	0.0050813	0.00878101	0.00872003	0.0320694	0.0475285	0.0509653	0.0468406	0.0259898	0.0114922	0.00886918	0.0052288	0.00862577	0.0114997	0.00892616	0.0117936	0.0108648	0.0110238	0.0196457	0.0298718	0.0273937	0.03174	0.0309969	0.0410417	0.03933	0.0534232	0.021383	0.0186383	0.0155911	0.0178872	0.0226665	0.0306634	0.0294516	0.0348211	0.0447442	0.0431223	0.039031	0.0101429	0.0177204	0.0102744	0.010318	0.0157105	0.0171832	0.0129083
mort	0.0200453	0.00645192	0.00445718	0.00533076	0.00960065	0.0159774	0.0289556	0.0140493	0.0335664	0.0269014	0.0328613	0.0292637	0.0575755	0.0596812	0.0285141	0.0266804	0.0382931	0.0425679	0.0487826	0.0304474	0.0295599	0.0366075	0.0496268	0.0273726	0.0223321	0.0163064	0.0126331	0.00613961	0.00382823	0.00585263	0.00734654	0.00865561	0.0148596	0.0151215	0.0153078	0.0227667	0.0154907	0.0273114	0.0239351	0.0309623	0.0145574	0.0176852	0.015738
que	0.0346154	0.0114602	0.00628659	0.00396142	0.00449396	0.0112727	0.0211591	0.0141701	0.0266651	0.0142963	0.0217612	0.0262082	0.0353936	0.118468	0.101767	0.0871891	0.0855755	0.0683218	0.0493283	0.0319144	0.0266765	0.0327349	0.0250076	0.0172848	0.0159093	0.00669811	0.00479169	0.00356238	0.00449021	0.00304339	0.00258649	0.00377101	0.00268434	0.0019654	0.00326826	0.00520442	0.00399234	0.00767937	0.0121774	0.00856383	0.0069071	0.00680391	0.0198892
mon	0.0515568	0.0139686	0.0147445	0.00965918	0.00669395	0.0074811	0.0113163	0.0113279	0.0192352	0.0228941	0.0305989	0.0352151	0.0253016	0.0217451	0.0236621	0.0276539	0.0323406	0.0420332	0.0433388	0.0360745	0.0376171	0.0358275	0.0380065	0.0312215	0.0237813	0.0250225	0.0146047	0.00775817	0.00923797	0.0112228	0.0128503	0.00903782	0.014053	0.010953	0.0189199	0.0121265	0.0123207	0.0350428	0.0281689	0.0269005	0.0287663	0.0431844	0.0265345
âme	0.0113286	0.00281991	0.00271532	0.00241097	0.00658451	0.0188448	0.0133353	0.015779	0.0283473	0.0150572	0.0215862	0.0436446	0.0785688	0.0441829	0.0563587	0.0630836	0.0647799	0.0420017	0.0537218	0.0299864	0.0481758	0.0609218	0.0312885	0.0285222	0.0285227	0.0276492	0.0202968	0.0101699	0.0129119	0.021256	0.0150532	0.0144742	0.0144738	0.0038947	0.00801281	0.00437356	0.00419154	0.00539182	0.00468118	0.00353585	0.00457142	0.00483723	0.00765629
se	0.0197351	0.014424	0.00966093	0.00527855	0.010306	0.0121627	0.0153401	0.00792994	0.01499	0.0235935	0.0237772	0.0247258	0.0287018	0.0160283	0.0220997	0.0350294	0.0399852	0.053285	0.0643575	0.053664	0.0531804	0.0604649	0.0608584	0.0599614	0.0521882	0.0416958	0.0184452	0.00797601	0.00887874	0.0100631	0.0126426	0.019351	0.0202773	0.0119224	0.0104955	0.00925197	0.00902492	0.00718688	0.0032319	0.0066506	0.00657047	0.00596168	0.00864571
repose	0.0170475	0.0109156	0.00867962	0.00707277	0.00873397	0.0132863	0.0168586	0.018379	0.0176593	0.0229675	0.01856	0.0245604	0.0316815	0.0165387	0.0197908	0.0295117	0.0328882	0.0434943	0.0442272	0.0445097	0.0434881	0.0525548	0.0551731	0.052571	0.0446728	0.0255502	0.0147512	0.0107161	0.0101832	0.00863787	0.0121404	0.0152727	0.0182754	0.00806921	0.0178213	0.0171716	0.0168472	0.0189123	0.0177471	0.0242606	0.0237027	0.0224256	0.0216926
dans	0.0252275	0.0156285	0.0100058	0.00641414	0.00777922	0.00926588	0.010595	0.0112611	0.0153649	0.0213252	0.0183998	0.0293729	0.0288719	0.0132584	0.014878	0.018273	0.0176824	0.0280932	0.026941	0.0246659	0.0269568	0.0361241	0.0414994	0.0458309	0.0336626	0.0296438	0.0144459	0.00917099	0.0134295	0.0105455	0.0222456	0.0272656	0.0329195	0.0253825	0.0416402	0.0169721	0.0312284	0.0453426	0.0296026	0.044556	0.0346578	0.0228179	0.0107561
la	0.0213848	0.0109636	0.00755387	0.0070611	0.0073152	0.00824814	0.0113058	0.0128055	0.0158103	0.0225621	0.0209268	0.0276809	0.0233107	0.0142048	0.0112031	0.0118063	0.0113712	0.014912	0.0138515	0.0145871	0.0144312	0.0167459	0.0199351	0.0228612	0.0202793	0.0250025	0.0160671	0.00930482	0.0127199	0.0144918	0.0191744	0.0235999	0.0327618	0.0244447	0.0696469	0.0382482	0.0348256	0.0708246	0.0564291	0.0648796	0.0381851	0.0389185	0.0273581
présence	0.0151202	0.00674613	0.00477594	0.00402854	0.00255584	0.00303659	0.00371496	0.00252599	0.00581483	0.00644549	0.00718268	0.0208147	0.0260488	0.0120153	0.0163352	0.0197484	0.0162531	0.0233017	0.0238867	0.0205913	0.0240258	0.0268489	0.0338073	0.0268934	0.0215922	0.0210661	0.0141353	0.00642223	0.00890148	0.0113052	0.0126591	0.0130877	0.0204401	0.0228271	0.0244081	0.026885	0.0252125	0.0941597	0.0427183	0.0651876	0.0792822	0.0724706	0.0647215
de	0.0247528	0.0128384	0.00672907	0.00330647	0.00342769	0.00834021	0.0180097	0.0130241	0.0359029	0.0418108	0.0540019	0.0557565	0.0560331	0.0548711	0.0427752	0.0313068	0.0357571	0.032054	0.0286255	0.0230264	0.0215828	0.0191954	0.028619	0.0145614	0.00805957	0.0138452	0.0106541	0.0079448	0.00776563	0.010329	0.0175579	0.0194877	0.0206474	0.0179768	0.0161702	0.0158664	0.0163731	0.0247218	0.0148797	0.0220584	0.0218232	0.0261094	0.0414216
dieu	0.0119333	0.00954645	0.00513892	0.00465937	0.00304558	0.00541993	0.0106158	0.00606324	0.0151144	0.0157332	0.0142609	0.0246897	0.022149	0.0231272	0.0153668	0.011962	0.0143706	0.0119176	0.0109408	0.00941812	0.00904388	0.00728633	0.0121036	0.00927935	0.0041041	0.00852728	0.00774453	0.0086015	0.0118622	0.018579	0.0370281	0.0499795	0.0470523	0.0371295	0.0383078	0.0508733	0.0390938	0.0820703	0.0427058	0.0557673	0.0609865	0.0522024	0.0641988
</S>	0.0256175	0.0286233	0.0195618	0.0109924	0.00597401	0.00611306	0.00943527	0.00558641	0.0159731	0.0149142	0.0131671	0.0169502	0.0165691	0.0217018	0.0116364	0.00835851	0.0100809	0.00781113	0.00807555	0.00904158	0.00878495	0.00697999	0.0112551	0.00846957	0.00343795	0.0137208	0.0115107	0.0118385	0.0202183	0.0321775	0.0323221	0.0646996	0.0653519	0.0447465	0.0411219	0.0841635	0.0252747	0.0594657	0.0228673	0.0504724	0.035451	0.0319471	0.0475395
