 	a85	a66	a87	a23	a87	a23	a83	a5	a37	a5	a12	a47	a31	a88	a98	a6	a0	a54	a7	a44	a57	a13	a57	a40	a6	a37	a92	a44	a21	a47	a31	a43	a47	a88	a62	a0	a9	a87	a23	a87	</S>
le	0.0402891	0.0527493	0.0330526	0.0301737	0.0258677	0.0250858	0.0285567	0.0328352	0.0399975	0.0518879	0.036223	0.0366989	0.0125937	0.00630141	0.00805754	0.0123112	0.00577767	0.00988117	0.012975	0.0128604	0.0133945	0.0194586	0.0141137	0.0231445	0.0299757	0.0415304	0.0375976	0.0426491	0.0321379	0.0254743	0.0249818	0.0216215	0.0199014	0.0127329	0.0156159	0.0212321	0.0155785	0.0189439	0.0161029	0.0135106	0.0261268
gibier	0.00252428	0.00349326	0.0115712	0.00889581	0.0151048	0.0154221	0.014243	0.0351689	0.0987725	0.0570912	0.0887261	0.100173	0.0358547	0.0724351	0.099028	0.0981558	0.092518	0.0870871	0.013884	0.0116655	0.00589902	0.0028461	0.00643396	0.00152246	0.0017902	0.00219436	0.00174787	0.00279953	0.00217293	0.00214256	0.00163964	0.00191489	0.000983311	0.00021388	0.000283751	0.000333179	0.000427902	0.000322413	0.000351491	0.00160504	0.000560579
qu'	0.0278589	0.00827231	0.0224021	0.0117502	0.0168932	0.022598	0.0352843	0.0363716	0.051187	0.0810736	0.0553017	0.0463841	0.123585	0.0684748	0.0535526	0.12782	0.0418629	0.0609421	0.0234276	0.0100206	0.00507143	0.00322855	0.00765277	0.00287144	0.00544048	0.0068195	0.00417317	0.007055	0.00476627	0.00689988	0.00332478	0.00263814	0.00291387	0.00205018	0.000946274	0.00155742	0.00136459	0.000882024	0.00299597	0.00172397	0.000561665
ils	0.0580913	0.044516	0.048266	0.028158	0.0171157	0.0144274	0.0255813	0.0261398	0.0272608	0.0395203	0.0393824	0.0232598	0.0247917	0.0168116	0.0137959	0.0279507	0.0163081	0.0331485	0.027723	0.0342571	0.0452495	0.055795	0.0441857	0.0435485	0.0203516	0.00789583	0.0166091	0.0146103	0.00849952	0.00750098	0.0124096	0.00581337	0.00687033	0.00841262	0.0102101	0.0124821	0.0148135	0.0147584	0.0128859	0.0146937	0.035899
ont	0.0551706	0.0203295	0.0250313	0.0140173	0.0104799	0.00866256	0.0110051	0.0104648	0.00482574	0.0142323	0.0106922	0.00708316	0.0162267	0.0143911	0.0121466	0.0249281	0.0408156	0.0396143	0.060507	0.0490146	0.0620847	0.0664861	0.0771948	0.0641929	0.0372418	0.0215878	0.0323493	0.0331674	0.0309406	0.0209654	0.0228773	0.0116259	0.0118679	0.00732661	0.0102175	0.010987	0.00676278	0.00372112	0.00602356	0.00615739	0.006584
laissé	0.0253023	0.00479815	0.00683804	0.00333241	0.00348148	0.00435196	0.00739305	0.00822897	0.00640922	0.0136402	0.0159101	0.0150585	0.0351039	0.0381108	0.0284825	0.0409504	0.0314883	0.0294473	0.0364258	0.0316438	0.0323535	0.0413969	0.0451072	0.0315934	0.021912	0.0245264	0.023229	0.0235783	0.029323	0.03926	0.0386572	0.0481427	0.0548535	0.0705365	0.0209296	0.0158421	0.00764063	0.00743113	0.0216983	0.00783982	0.00775172
dans	0.0628476	0.0118024	0.0164093	0.00938008	0.00995207	0.00937164	0.0108091	0.0096875	0.00893641	0.0175737	0.0157249	0.0206573	0.039101	0.0279979	0.0230315	0.0277578	0.0216586	0.0186491	0.0277053	0.0237451	0.0339637	0.0424773	0.0407843	0.0425177	0.0278049	0.0319854	0.0228115	0.0235725	0.0400002	0.0328457	0.0228329	0.0334615	0.038349	0.0283805	0.0302469	0.0168137	0.0145229	0.0119956	0.0200233	0.0153144	0.0164983
la	0.052599	0.0226307	0.0150226	0.00881677	0.00686134	0.0040827	0.00678636	0.00513649	0.00444291	0.00933768	0.00910231	0.0095049	0.0232403	0.0160828	0.0185228	0.0220904	0.00976372	0.0252758	0.018271	0.0243033	0.0298381	0.0417491	0.0214052	0.0513304	0.0388328	0.0189175	0.0138496	0.020484	0.0246684	0.0200787	0.0231254	0.0258216	0.024862	0.0299736	0.0687792	0.0542739	0.0386954	0.0384856	0.0450435	0.0318672	0.0260449
cuisine	0.0147779	0.00831111	0.00630783	0.00429826	0.00392664	0.00400438	0.00362944	0.00343137	0.00242564	0.00454863	0.00432639	0.00391259	0.0145891	0.0170059	0.0200168	0.0237971	0.0255531	0.0410469	0.0297986	0.035594	0.0296491	0.0336617	0.021228	0.0493194	0.0385329	0.022222	0.013896	0.0137737	0.0140802	0.0198168	0.0120059	0.0138111	0.0247015	0.0228666	0.0870446	0.0981221	0.0335352	0.0525639	0.0538572	0.0367597	0.0372506
est	0.0216953	0.0132039	0.0102265	0.0074398	0.00529803	0.00491422	0.00925133	0.0100964	0.00637767	0.0125045	0.0077442	0.00809542	0.0189652	0.0171689	0.0159673	0.0251271	0.0173197	0.0269341	0.0232495	0.0242234	0.0212432	0.0249841	0.0214703	0.0364317	0.0337965	0.0375932	0.0201176	0.0235296	0.0189256	0.0112714	0.0116448	0.0177206	0.0289192	0.031809	0.0514317	0.0850197	0.0334574	0.0523401	0.0773999	0.0428702	0.0322217
déjà	0.0198503	0.0118372	0.0109267	0.0085672	0.0080692	0.00863919	0.0185495	0.0155983	0.00761693	0.0130525	0.00609994	0.00525702	0.0125864	0.0116922	0.0111966	0.0209636	0.0157581	0.0219652	0.0296299	0.0224984	0.0271049	0.0269184	0.0291834	0.0289993	0.0337709	0.0307857	0.029453	0.0386338	0.034499	0.0182283	0.0193572	0.0225219	0.0486215	0.0296847	0.0404703	0.0793143	0.0296232	0.036553	0.0577938	0.0322786	0.0258502
