 	a99	a53	a20	a94	a20	a58	a57	a94	a24	a75	a73	a44	a90	a38	a11	a94	a98	a73	a84	a38	a93	a12	a96	a13	a54	a73	a84	a57	a87	a97	a40	a73	a44	a57	a54	a73	a69	a53	a90	a93	a96	a75	a73	a69	a58	a57	a53	a90	a32	a90	a13	a11	a88	a9	a10	a40	a75	a73	a90	a13	a40	a84	a57	a87	</S>
il	0.00759279	0.0121281	0.0284872	0.0200582	0.0389885	0.031384	0.0432481	0.0483058	0.0418099	0.0243619	0.0286696	0.0252777	0.0294744	0.028338	0.0120217	0.0222927	0.0148844	0.0209433	0.0201025	0.0351966	0.0160846	0.0202428	0.0126253	0.00788335	0.0063039	0.00318847	0.00196901	0.00556996	0.00501122	0.005208	0.00489841	0.00808841	0.00673353	0.00768553	0.0128855	0.0161918	0.0164889	0.00986086	0.0105993	0.0107119	0.00466967	0.00573604	0.00899265	0.00545421	0.00476422	0.00509171	0.0054332	0.00425987	0.00446026	0.00446563	0.00353201	0.00351222	0.00376554	0.00427621	0.00424793	0.00586115	0.00991521	0.0128094	0.0131104	0.0191413	0.0289973	0.0255025	0.0306804	0.0202384	0.0392867
avait	0.00136059	0.00223994	0.00369468	0.00621102	0.00788379	0.0114936	0.0148601	0.0123766	0.0191422	0.0236046	0.013727	0.0157431	0.0171938	0.0156741	0.0106681	0.0150145	0.0103752	0.00725704	0.00976667	0.00935619	0.0159955	0.0157387	0.0224419	0.0267739	0.0149136	0.00892372	0.00847294	0.0159557	0.0130865	0.0142932	0.0272802	0.0243484	0.0190689	0.0268261	0.0370767	0.03805	0.0287266	0.0470188	0.0331055	0.0645849	0.0494703	0.0545745	0.0459238	0.0248317	0.0223089	0.00771688	0.00505535	0.00320216	0.00436103	0.0040386	0.00306991	0.00258556	0.0031748	0.00307623	0.00230475	0.00299826	0.00219911	0.00312062	0.00368938	0.00359258	0.0059545	0.003384	0.00322881	0.00354623	0.00226761
si	0.00752632	0.00601017	0.00492367	0.0047282	0.00394779	0.0140225	0.0178969	0.0265194	0.0225205	0.0609571	0.0330862	0.0218175	0.0238202	0.0188298	0.010481	0.0199683	0.00869973	0.00430115	0.00661145	0.00429071	0.0140995	0.0134647	0.00723616	0.00755514	0.00825704	0.0086146	0.00881018	0.00775645	0.00753578	0.0061546	0.015783	0.00857953	0.0109289	0.0137355	0.0186547	0.0206583	0.0230613	0.0264482	0.037302	0.0527257	0.0562216	0.0450791	0.0257799	0.0129043	0.00920474	0.0060602	0.00484537	0.00124753	0.00237097	0.00182529	0.00155784	0.00141492	0.00207022	0.00224252	0.00252928	0.00759974	0.0161033	0.0235811	0.016366	0.0212325	0.0343224	0.0205587	0.0140558	0.0149323	0.0175745
peur	0.0145536	0.0146139	0.0176774	0.0149017	0.0131262	0.0157263	0.0119185	0.0146495	0.0194236	0.0172129	0.0144831	0.0143037	0.019485	0.0163934	0.034843	0.0351604	0.0368166	0.0262955	0.0234335	0.0140943	0.0138688	0.0211417	0.0267059	0.0306516	0.0323279	0.0265547	0.0335281	0.0265889	0.0268507	0.0342729	0.0178229	0.012254	0.0344931	0.0143245	0.0166546	0.013133	0.0131553	0.018182	0.0112742	0.0182196	0.012061	0.0119157	0.0072164	0.00681391	0.00644987	0.00846827	0.0123059	0.0150709	0.0138425	0.0143089	0.00781027	0.00607616	0.00406104	0.00327443	0.00270233	0.00289134	0.00273394	0.00174431	0.0032883	0.00317224	0.00175413	0.00227739	0.00323559	0.00353944	0.0118693
d'	0.00726503	0.00389756	0.00509739	0.0049994	0.0041181	0.00502142	0.00427854	0.00379411	0.00488333	0.00647794	0.00259337	0.00412096	0.00694882	0.00650732	0.0105775	0.0117819	0.00791167	0.00505642	0.00425727	0.00560924	0.0182551	0.0118731	0.0120447	0.0145113	0.0166061	0.0220353	0.0237641	0.0239197	0.0227609	0.0217531	0.0376341	0.0461274	0.0519222	0.0616621	0.0677476	0.0637768	0.052719	0.0701281	0.0378824	0.0274151	0.0195319	0.01507	0.0222391	0.0095392	0.0100762	0.00838488	0.0108592	0.00994213	0.00833005	0.00941496	0.004374	0.00395347	0.00393366	0.00313259	0.00145733	0.00546142	0.00366114	0.00268868	0.00377206	0.00296993	0.00210443	0.00374863	0.00392979	0.00541431	0.00627564
être	0.0169805	0.0111818	0.00831281	0.00820112	0.00790263	0.00660783	0.00690412	0.00513267	0.00658573	0.00723812	0.00682257	0.00977653	0.0104278	0.0101782	0.00957581	0.0134805	0.0126584	0.00904201	0.00717537	0.00739268	0.00728932	0.00635712	0.0102348	0.00863534	0.00815172	0.0160574	0.0166127	0.0183738	0.0208919	0.0209178	0.0231474	0.0281291	0.0339561	0.0354084	0.0425792	0.0399196	0.0465724	0.0490493	0.0528104	0.0580963	0.0395858	0.0307473	0.0199157	0.00915996	0.00763805	0.0051177	0.00523871	0.00470593	0.0031877	0.00388048	0.00249882	0.00298703	0.00423679	0.00404868	0.00640593	0.0112738	0.0112866	0.0138333	0.0138811	0.0115686	0.0133393	0.0126166	0.0113351	0.0119057	0.014838
en	0.0118501	0.00860631	0.00787722	0.00891195	0.00689252	0.0068479	0.00679076	0.00575432	0.00709451	0.00958345	0.00822853	0.010939	0.0149598	0.0134914	0.00922762	0.0127846	0.0214417	0.0163797	0.00725475	0.00900025	0.00489272	0.00549362	0.00831648	0.00879841	0.00928367	0.0124265	0.0147625	0.0133936	0.0148483	0.0159704	0.0139334	0.0164051	0.0390676	0.02204	0.0342719	0.0223574	0.0314432	0.0340519	0.0522594	0.073743	0.06772	0.0585795	0.018908	0.011846	0.0133551	0.011292	0.0126522	0.00848079	0.00695111	0.0071629	0.00479163	0.00528858	0.0053178	0.00550675	0.0044678	0.0100544	0.0080717	0.00848162	0.00869427	0.00729902	0.00783098	0.011937	0.0122711	0.0137214	0.017643
retard	0.00795059	0.00467902	0.005513	0.00699687	0.00416961	0.00483628	0.0059779	0.00584353	0.00634114	0.0122069	0.0060259	0.00731018	0.00930751	0.00689405	0.0070144	0.0242023	0.0108086	0.0142954	0.00734681	0.0149728	0.0129579	0.0143039	0.0102172	0.0118074	0.0234332	0.0104418	0.0159425	0.0237368	0.0129118	0.0124674	0.0166917	0.0381956	0.0514903	0.0458205	0.0422467	0.0326974	0.0281342	0.0236677	0.0263919	0.0416114	0.0429134	0.0413262	0.0212273	0.0149808	0.0197176	0.00841002	0.0118838	0.00548493	0.00436586	0.00375816	0.003623	0.0030018	0.00386996	0.00438284	0.0039438	0.00941956	0.0083264	0.0101329	0.0114657	0.0109696	0.0139598	0.0186535	0.0201329	0.0225396	0.0136506
qu'	0.0100641	0.00410386	0.0038331	0.00414356	0.0024457	0.00315542	0.00383233	0.00518526	0.00487216	0.0128071	0.005349	0.00572326	0.00571952	0.00528448	0.00699549	0.0130449	0.00796863	0.00733912	0.00672829	0.00889773	0.0114851	0.0126954	0.012678	0.0138203	0.0151035	0.0149909	0.022183	0.0249513	0.0196093	0.0222048	0.0253283	0.0345475	0.0501724	0.0474593	0.042593	0.0430919	0.0388075	0.0352309	0.0310482	0.039062	0.0427849	0.0401297	0.0295657	0.0200042	0.018776	0.00816552	0.00888718	0.00591354	0.00416955	0.00426563	0.00396393	0.00227339	0.00344951	0.00349494	0.00153905	0.00665867	0.0052394	0.00634685	0.007781	0.00798449	0.0155355	0.0135206	0.0120063	0.0159464	0.0270426
il	0.00924008	0.00798936	0.00831621	0.00762042	0.0057787	0.0078383	0.0115779	0.011573	0.0118642	0.0110439	0.0128771	0.0106881	0.0126121	0.00875984	0.00557818	0.0159495	0.00508424	0.00524759	0.00473431	0.00910082	0.0143986	0.00946244	0.0139852	0.00759878	0.00828405	0.00951743	0.00881151	0.016601	0.0155396	0.0171473	0.0164323	0.0376388	0.0318473	0.0389982	0.0366223	0.0376803	0.0352245	0.0205387	0.0149774	0.0124354	0.00803212	0.00809422	0.00694189	0.00373473	0.00427489	0.00312335	0.0039593	0.00342207	0.00280216	0.00281318	0.00265674	0.00210622	0.00205685	0.00269553	0.003976	0.014119	0.0142777	0.0199768	0.0319805	0.0247973	0.032104	0.0274672	0.037531	0.0534334	0.0964091
