 	a66	a87	a23	a30	a57	a93	a96	a62	a70	a83	a90	a92	a37	a56	a75	a21	a12	a31	a21	a61	a18	a21	a61	a96	a62	a88	a71	a9	a99	a87	a23	a87	</S>
mais	0.0635534	0.127816	0.126117	0.0779779	0.0847863	0.0151415	0.0588826	0.0412173	0.0321299	0.021933	0.0114608	0.0120501	0.00838524	0.00705934	0.00596399	0.0047985	0.00428626	0.00381148	0.00435226	0.00512845	0.00699384	0.0107073	0.0152353	0.0239043	0.0196447	0.0428024	0.0346661	0.0247417	0.0244815	0.0180053	0.0214546	0.0111331	0.0293781
c'	0.0206915	0.0281118	0.0448404	0.0367463	0.0247931	0.0223463	0.0160959	0.0321062	0.0437453	0.0237795	0.0361256	0.0355057	0.0247609	0.0396229	0.0319698	0.026775	0.0228913	0.0160807	0.0222261	0.0125393	0.0153925	0.0152744	0.0249156	0.0253632	0.035395	0.0310064	0.0377021	0.0482486	0.0418117	0.0495385	0.0295283	0.0469017	0.0371684
est	0.0537196	0.0351259	0.0367041	0.017265	0.0109631	0.0140658	0.0109551	0.00829695	0.0136904	0.0245541	0.00740151	0.0101459	0.00532752	0.0220963	0.0189459	0.0202913	0.00871224	0.00692944	0.0112728	0.00923794	0.00749419	0.00804447	0.0168813	0.0131598	0.015709	0.0189408	0.0311058	0.038934	0.0490953	0.066477	0.0458151	0.175644	0.166998
toi	0.102318	0.0743449	0.073146	0.0252116	0.00878652	0.00538751	0.0152873	0.0115408	0.0129253	0.0111173	0.00940362	0.00902147	0.00832137	0.00817753	0.00921434	0.00990609	0.0180081	0.0140076	0.0235529	0.0157239	0.0217341	0.0144972	0.0269299	0.0150897	0.0192854	0.0189354	0.0401383	0.0404073	0.0546644	0.049013	0.0472004	0.0765513	0.110152
qui	0.0801316	0.0694686	0.0467466	0.0368996	0.0165296	0.00936875	0.0120782	0.00849187	0.0240227	0.0207011	0.0113668	0.00874879	0.00601212	0.0128054	0.0082827	0.0103343	0.018754	0.0117563	0.0233976	0.0178138	0.0190788	0.0155337	0.0158748	0.0282155	0.0165938	0.0185749	0.0161606	0.0289172	0.0324327	0.0532662	0.0392282	0.109183	0.15323
met	0.106779	0.110753	0.139603	0.0350507	0.0249466	0.0119437	0.0252709	0.0188209	0.0313492	0.0235054	0.0201116	0.0214712	0.0154192	0.0243141	0.018775	0.0262709	0.0290015	0.0156746	0.0199284	0.0237465	0.0114072	0.0148022	0.00747187	0.0240844	0.0114188	0.0215548	0.0145081	0.022275	0.020513	0.0282983	0.0194114	0.0365528	0.0249663
en	0.11879	0.0960467	0.0725127	0.0340136	0.0260204	0.020076	0.0259709	0.015162	0.0132857	0.0115699	0.00549023	0.00530601	0.0063678	0.0117634	0.0103289	0.022609	0.0175649	0.00832752	0.0181829	0.0181318	0.0109216	0.0179955	0.0102156	0.0339855	0.0137586	0.0315507	0.0205982	0.0366574	0.0333211	0.0500161	0.0447731	0.0898719	0.0488141
doute	0.0389301	0.0234173	0.0473161	0.0186513	0.00832454	0.00715289	0.0086272	0.00701366	0.00872296	0.00708199	0.00391351	0.00649592	0.00473604	0.00993751	0.00875125	0.0179562	0.0249014	0.0156644	0.0271392	0.027806	0.022624	0.0337302	0.025429	0.0424592	0.0317755	0.0497173	0.0429554	0.0644872	0.0642892	0.0799259	0.0389196	0.112702	0.0684463
tout	0.0984578	0.0825885	0.0688089	0.0484227	0.0343537	0.0154157	0.0344201	0.0245134	0.0344846	0.0255177	0.0075019	0.00746035	0.00515465	0.0116326	0.00890305	0.0178547	0.0174817	0.00728949	0.0116326	0.01139	0.0108008	0.0172427	0.00547768	0.0443405	0.0134179	0.0565933	0.0394547	0.0512683	0.0379704	0.0433617	0.0338075	0.0388574	0.0341228
ce	0.0650179	0.0569054	0.0532135	0.0531373	0.0193919	0.00934822	0.0160156	0.0115666	0.0203501	0.0197835	0.00939833	0.00736306	0.00425737	0.0118511	0.0124505	0.0227389	0.0295262	0.0164637	0.0229721	0.0248345	0.0207415	0.0240494	0.0121699	0.0414549	0.0176532	0.0389492	0.0353111	0.0492832	0.0447488	0.0568749	0.0396692	0.0678937	0.0646155
