 	a66	a87	a23	a99	a30	a93	a56	a34	a75	a47	a7	a26	a53	a90	a56	a43	a90	a94	a54	a92	a37	a62	a61	a43	a70	a66	a38	a9	a10	a87	a23	a87	</S>
la	0.0335244	0.0421257	0.0477756	0.0455559	0.0459499	0.0325556	0.0394791	0.0365484	0.0325751	0.0343753	0.0364524	0.0304029	0.0294248	0.0299134	0.0223421	0.0172437	0.0130378	0.0121148	0.0142043	0.0164971	0.0159778	0.0206321	0.0406921	0.0404586	0.0455811	0.0375909	0.0399872	0.0221762	0.0214728	0.0135391	0.0180873	0.0139655	0.0577412
mère	0.00625807	0.0118706	0.0234318	0.0191231	0.0673755	0.0368933	0.0500355	0.0914496	0.117644	0.0624655	0.0823225	0.0593413	0.0565496	0.0441287	0.0343034	0.0473684	0.0345407	0.0252281	0.0202443	0.0195375	0.0176245	0.0144761	0.0115056	0.00547529	0.00476991	0.00410488	0.00516449	0.0034511	0.0043683	0.00490068	0.00678517	0.00453657	0.00272622
cajole	0.0222447	0.0178001	0.0173683	0.021128	0.0175673	0.0357715	0.0474459	0.0525652	0.0828993	0.0951164	0.0996361	0.0593618	0.0521354	0.0493448	0.0318434	0.0269873	0.0272691	0.0205004	0.0185749	0.0120295	0.0113591	0.00575137	0.00522811	0.00557524	0.00629479	0.0083937	0.00694788	0.0234304	0.0184915	0.0330185	0.022239	0.0308542	0.0148268
son	0.0663968	0.0514024	0.0424714	0.0383063	0.0196117	0.0137854	0.015931	0.0211293	0.0323175	0.0284869	0.0469198	0.0436845	0.0461011	0.0501295	0.0399627	0.0226223	0.0297369	0.0174446	0.0242499	0.0162076	0.0151631	0.0171793	0.0107576	0.0165979	0.0190909	0.0362459	0.0269982	0.0302382	0.0336549	0.0254495	0.0251681	0.0194377	0.0571213
enfant	0.0679364	0.0594366	0.0588919	0.0603812	0.0290447	0.0460252	0.0490539	0.0371876	0.0383501	0.0369903	0.0375749	0.0367245	0.0361934	0.0252087	0.0205613	0.0220253	0.0255224	0.0239536	0.0204599	0.0179201	0.0151986	0.0131331	0.0143005	0.013662	0.0153012	0.0184022	0.0167098	0.0207202	0.0209003	0.0153161	0.020712	0.0163688	0.0498334
pour	0.033657	0.0270551	0.0284814	0.0257466	0.0216144	0.0396133	0.0472786	0.0435015	0.0398019	0.0322955	0.0235001	0.0206447	0.0143472	0.00968988	0.00913341	0.00641732	0.0065673	0.00551634	0.0060224	0.0056387	0.00757771	0.00844174	0.0187515	0.0270372	0.0263279	0.0233081	0.0212553	0.0371707	0.0585842	0.0545065	0.0500067	0.0583923	0.162117
qu'	0.0288787	0.019104	0.0161073	0.0142325	0.0139968	0.0196725	0.0237973	0.0234063	0.0232066	0.0274631	0.0234011	0.0194247	0.0139886	0.00738467	0.00982526	0.00568224	0.00491515	0.00652865	0.00686085	0.00589478	0.00944337	0.0073016	0.0148459	0.0156201	0.0126514	0.0201663	0.0242389	0.0751677	0.0968283	0.101773	0.0713279	0.114524	0.122341
il	0.0292422	0.0175493	0.00704758	0.00623941	0.0058306	0.00657407	0.0100804	0.0109235	0.0176321	0.0317956	0.0240984	0.0294141	0.01944	0.0122892	0.0191595	0.00773918	0.00664272	0.00646055	0.0110358	0.0206357	0.0280751	0.0245864	0.0271403	0.0329091	0.027461	0.0402572	0.0549292	0.0706067	0.0706587	0.0781714	0.0696844	0.116667	0.0590235
se	0.0327728	0.0283005	0.013671	0.0119427	0.0119963	0.0113449	0.0125251	0.0162479	0.0249347	0.0271468	0.028144	0.0368562	0.0307328	0.0406306	0.0456606	0.0430592	0.029249	0.0336318	0.0235524	0.0237336	0.0242636	0.0171893	0.0222649	0.0227261	0.0138068	0.0216656	0.0331495	0.0381073	0.0412118	0.0493288	0.0547006	0.0769345	0.0585181
lave	0.0296091	0.0443542	0.038065	0.0342875	0.0331345	0.0182574	0.0106386	0.00993778	0.00542208	0.00464653	0.00884011	0.0121569	0.0157662	0.0190543	0.0212597	0.0223684	0.0144609	0.017576	0.0142795	0.0119712	0.00924058	0.00568145	0.0152008	0.018906	0.0110302	0.0153288	0.0325453	0.0433209	0.0636279	0.0725502	0.0830522	0.106854	0.136576
</S>	0.0455374	0.0434954	0.035632	0.0295484	0.0180425	0.0134154	0.0127337	0.0112947	0.0092377	0.010354	0.0106426	0.00979945	0.00890665	0.0094698	0.00960913	0.00716389	0.00744939	0.0100431	0.0112051	0.0111131	0.0130614	0.0106129	0.0287147	0.0321886	0.0258604	0.0305366	0.0698771	0.048954	0.0581888	0.0511182	0.0611398	0.090829	0.154225
