 	a66	a87	a23	a79	a20	a7	a75	a6	a37	a61	a62	a88	a62	a21	a61	a75	a98	a85	a92	a37	a75	a0	a27	a30	a87	a23	a87	</S>
il	0.047039	0.0710099	0.0672471	0.0415641	0.0539643	0.0320243	0.0352712	0.0304835	0.0234491	0.0305694	0.0170243	0.0071204	0.00740049	0.00652704	0.0116112	0.00912492	0.0140129	0.0157327	0.0559901	0.0267009	0.0394516	0.0453972	0.0410629	0.0527249	0.0565552	0.0525669	0.049612	0.0587624
a	0.0139618	0.0122878	0.0147699	0.0267258	0.0325177	0.0525744	0.0332656	0.0217399	0.0136455	0.0201215	0.0260282	0.0289986	0.0254187	0.018377	0.0213986	0.0213451	0.0353528	0.0449728	0.0541993	0.0631841	0.0724687	0.0601644	0.0656965	0.0492465	0.0513924	0.0420398	0.0549397	0.0231669
ficelé	0.0289777	0.0244451	0.0171922	0.0139801	0.0113635	0.0185101	0.0170563	0.0182432	0.0175731	0.0230755	0.00892984	0.0139166	0.012611	0.0157735	0.0256327	0.0232049	0.0281975	0.0395037	0.0503094	0.0464014	0.0615364	0.0911728	0.0747723	0.0608311	0.0718429	0.0496236	0.0691819	0.0661417
un	0.0958311	0.0568906	0.0290491	0.0187835	0.0133603	0.0129113	0.0121202	0.0172899	0.0169794	0.0169973	0.0461806	0.0447062	0.0707871	0.0900435	0.0828371	0.0514777	0.0287163	0.018824	0.0121689	0.0194479	0.0248668	0.0193041	0.0262565	0.0265375	0.0238871	0.0422711	0.0244303	0.0570444
paquet	0.055049	0.0524814	0.035513	0.0306743	0.0321578	0.0546621	0.02586	0.0331101	0.0154653	0.017827	0.0367258	0.027473	0.035192	0.028085	0.0334532	0.029085	0.0313226	0.052857	0.0420014	0.042111	0.042431	0.0441613	0.0375794	0.0434274	0.0304311	0.0353064	0.0325452	0.0230122
avec	0.104345	0.0577409	0.0322262	0.0126275	0.00837709	0.00975657	0.0251544	0.0138672	0.0112793	0.0116156	0.010109	0.011702	0.0284813	0.0249062	0.0381478	0.0336891	0.030381	0.0307266	0.0408715	0.0422504	0.0384868	0.0606345	0.0474238	0.0533272	0.0412365	0.0653683	0.0532885	0.0619796
le	0.192416	0.0421587	0.0101456	0.00552327	0.00713389	0.0106007	0.0184742	0.0354581	0.0187645	0.0170517	0.0149286	0.00915238	0.0123429	0.0219109	0.0672261	0.0427193	0.0304066	0.0178505	0.0226577	0.0181517	0.0204069	0.0398273	0.0482385	0.0502384	0.0495347	0.0606223	0.0669572	0.0491008
fil	0.137588	0.0467021	0.0102686	0.00256922	0.00327757	0.00566059	0.00407488	0.0134849	0.00354402	0.00295855	0.00733064	0.00275172	0.00620657	0.0102139	0.0467969	0.0490247	0.0424183	0.0199423	0.0502702	0.0301081	0.0438233	0.0624163	0.0862071	0.0876713	0.0715788	0.073318	0.067053	0.0127406
de	0.0887888	0.0797953	0.0457813	0.0129344	0.00494992	0.00891366	0.0104196	0.0141778	0.00609629	0.00511492	0.00928833	0.0105263	0.0145115	0.0137181	0.0211353	0.0122233	0.0109335	0.00917531	0.0189348	0.00700035	0.0161903	0.0379491	0.0384012	0.0857516	0.0690348	0.108285	0.119375	0.120594
fer	0.0981567	0.080507	0.0278422	0.0110677	0.00688836	0.0138616	0.0152576	0.017043	0.00661634	0.00561515	0.00948044	0.0102029	0.0142512	0.0165656	0.0359553	0.0224563	0.0193241	0.0129858	0.0156358	0.00754517	0.0152164	0.0328969	0.0316549	0.0504988	0.0550987	0.0720983	0.0754738	0.219804
</S>	0.0506037	0.0202126	0.00902033	0.0056463	0.00719188	0.0176839	0.0405282	0.0451727	0.0174736	0.0170079	0.0268191	0.0178189	0.0161151	0.0186857	0.032936	0.0203233	0.0201678	0.0223055	0.0229025	0.0113942	0.0332063	0.0496299	0.0604509	0.07414	0.0600999	0.0767721	0.0876586	0.118033
