 	a66	a87	a23	a83	a34	a44	a21	a47	a61	a75	a56	a34	a70	a66	a9	a3	a97	a99	a97	a40	a47	a36	a21	a5	a61	a75	a92	a56	a31	a24	a31	a62	a96	a56	a94	a24	a47	a56	a36	a26	a82	a97	a99	a97	a83	a44	a34	a44	a34	a5	a36	a18	a36	a2	a57	a87	a23	a99	a97	</S>
tu	0.0202568	0.029863	0.0255115	0.0264337	0.0312078	0.0173939	0.0193882	0.034047	0.0157192	0.00845543	0.0121107	0.00782512	0.0081959	0.0125962	0.0140949	0.0159841	0.0155959	0.0206625	0.0192195	0.0178557	0.01629	0.0172529	0.0188028	0.0223911	0.0229298	0.0255573	0.0249018	0.0200509	0.0192719	0.0322469	0.0350256	0.0406379	0.0391081	0.0467875	0.0372541	0.0250685	0.0172811	0.0244905	0.0193942	0.0193603	0.0129295	0.0144852	0.00751879	0.00834806	0.00707846	0.00295219	0.00223001	0.00275555	0.00220279	0.00265138	0.0030191	0.00287587	0.00287452	0.0032785	0.00338216	0.0041049	0.00431165	0.00409864	0.00380453	0.00857797
ne	0.0119108	0.00820843	0.011695	0.0103764	0.0153307	0.0512928	0.0319162	0.0384013	0.0181816	0.0305948	0.0285787	0.0191809	0.016997	0.0178071	0.0203282	0.0265949	0.017123	0.0169048	0.0142161	0.0175268	0.0162402	0.0126356	0.0181147	0.00858818	0.016712	0.0128889	0.00562802	0.00531832	0.013949	0.00757369	0.0115054	0.0162675	0.023687	0.0315684	0.0300394	0.0201154	0.0333156	0.0266337	0.0205389	0.0086181	0.0122832	0.00987003	0.00919872	0.00749494	0.0077015	0.00768801	0.00824675	0.00885566	0.0102969	0.0140705	0.0142413	0.0153105	0.013012	0.0114355	0.0159298	0.0120909	0.0133439	0.0146836	0.0150268	0.0161162
veux	0.0175086	0.00674978	0.00630518	0.00653196	0.00638822	0.00792515	0.00995735	0.0105898	0.0125929	0.0282359	0.0280414	0.0333461	0.0198752	0.0250295	0.0177851	0.0220463	0.0220931	0.0289744	0.0363145	0.0434305	0.0385026	0.0299619	0.0553212	0.0297784	0.0337954	0.0199902	0.0284737	0.0230862	0.019558	0.0130207	0.023313	0.0232295	0.0266407	0.0247721	0.0182734	0.0195796	0.0173831	0.0135853	0.0154013	0.0188696	0.019497	0.0100168	0.00554391	0.00326875	0.00326463	0.0030262	0.00216813	0.00298073	0.00204263	0.00240994	0.00330367	0.00356119	0.00342195	0.00404585	0.00493786	0.00677632	0.0057216	0.0077032	0.012019	0.0120339
jamais	0.0387865	0.0216498	0.0121005	0.010598	0.0131512	0.00670763	0.00687742	0.0111477	0.00916641	0.00490856	0.00821423	0.00728856	0.0123452	0.0151101	0.0153683	0.0176592	0.0155551	0.0178941	0.0127439	0.0111026	0.00704462	0.00861279	0.00837311	0.0137694	0.00933135	0.0115887	0.00788492	0.0091431	0.0116807	0.00977246	0.0140045	0.0181461	0.0178757	0.0286783	0.0187837	0.0188024	0.0250437	0.0286705	0.0361052	0.0379449	0.0269495	0.0242544	0.0220989	0.0277131	0.0562578	0.0236692	0.0156741	0.00994363	0.0133531	0.0142092	0.00998333	0.00868966	0.0136705	0.0126975	0.0154387	0.0145728	0.0194101	0.0197536	0.0152573	0.0267725
reconnaître	0.0674908	0.0352254	0.023519	0.0143842	0.00654003	0.00164633	0.00195502	0.00204162	0.00367491	0.00286604	0.00655356	0.00538025	0.00655238	0.00929146	0.00930474	0.01063	0.0126604	0.0120435	0.0152974	0.0178461	0.0117734	0.0186652	0.00980927	0.0167543	0.0165605	0.00793982	0.0152817	0.0110006	0.0168332	0.027631	0.0109398	0.0352388	0.0368784	0.0265077	0.0197187	0.0242894	0.0268071	0.01761	0.0137943	0.0224428	0.0148175	0.0245914	0.0230931	0.0326526	0.0452784	0.0240638	0.0171622	0.010202	0.0109149	0.0139386	0.0106433	0.00757164	0.0100109	0.00759242	0.0116574	0.0149847	0.0153634	0.016693	0.0132604	0.0241292
tes	0.0151542	0.00519904	0.00299236	0.0021243	0.00322377	0.00422544	0.0034015	0.00429115	0.00636163	0.00798355	0.0121436	0.0137402	0.00971929	0.0222909	0.0173332	0.0257332	0.0206709	0.0289483	0.0298384	0.0336398	0.027025	0.0295618	0.0196102	0.0114134	0.0156693	0.013441	0.0237489	0.0219456	0.0258131	0.0307269	0.031503	0.0515205	0.076543	0.0465613	0.0381252	0.0361418	0.0432735	0.0286606	0.0217144	0.0214024	0.0119963	0.00697195	0.00649401	0.012281	0.0182393	0.00700273	0.00684808	0.00432735	0.00800197	0.00749738	0.00352668	0.00211685	0.0025622	0.00183542	0.00282262	0.00374929	0.00212333	0.00270292	0.00294746	0.00253764
actes	0.0254698	0.00801676	0.00427493	0.00283594	0.00388463	0.00506941	0.00184575	0.00324347	0.00244085	0.00582904	0.00421444	0.00674666	0.00742335	0.0117156	0.00922341	0.0121548	0.0105552	0.0149192	0.0177024	0.0147519	0.0250914	0.0366578	0.0229178	0.0142464	0.0192398	0.0136368	0.0177834	0.0252358	0.0437442	0.0352692	0.0423128	0.0481384	0.0586423	0.0399407	0.0340647	0.0233281	0.0321809	0.020934	0.0145515	0.0477387	0.0244567	0.0112621	0.0109631	0.0195356	0.0245032	0.0110658	0.0115543	0.00619074	0.00734798	0.00819965	0.00736449	0.00420693	0.00659114	0.00568226	0.00966675	0.012778	0.00800623	0.00909754	0.00967052	0.00388493
même	0.0282812	0.0140382	0.00452785	0.00660366	0.00739022	0.00389909	0.00418549	0.00386629	0.00409405	0.00686492	0.00591557	0.00849276	0.0069066	0.0121315	0.0124899	0.0123088	0.0151121	0.0207417	0.0262999	0.0172725	0.038996	0.0336456	0.023338	0.0138399	0.0216462	0.0145032	0.0272883	0.029228	0.0349481	0.0496255	0.0405123	0.0496213	0.073546	0.0447681	0.0291433	0.023017	0.0178635	0.0157341	0.0111372	0.0261595	0.0177177	0.00704351	0.00323107	0.00592978	0.010372	0.00334592	0.00739028	0.00661869	0.00928761	0.0116113	0.00871783	0.0056579	0.00501596	0.00458486	0.00929986	0.0110863	0.00999461	0.00995711	0.00779605	0.0053582
si	0.034707	0.0142489	0.00863104	0.0146567	0.0130905	0.0053179	0.00471509	0.00468298	0.00580524	0.0163631	0.00795453	0.0123663	0.0110545	0.0131092	0.0129371	0.0147889	0.0145174	0.0194189	0.0230428	0.0177292	0.0218633	0.0217555	0.0166042	0.0157039	0.027666	0.00932614	0.0143274	0.0206823	0.0300359	0.0276232	0.0177295	0.0299589	0.036753	0.0204385	0.0154736	0.0159764	0.0165725	0.018852	0.0160776	0.0218539	0.016984	0.0112587	0.00863035	0.0191701	0.0228892	0.0103501	0.0142579	0.0164167	0.0134551	0.019161	0.017759	0.0083769	0.00764538	0.00455462	0.015812	0.0200842	0.0219339	0.0206802	0.0223717	0.0237977
on	0.0375308	0.0151118	0.00631158	0.0110859	0.0102765	0.00447504	0.00430297	0.00385608	0.00418271	0.0167396	0.00599553	0.0102791	0.00850271	0.00886897	0.00781184	0.00832228	0.00965102	0.0126932	0.0134387	0.0128783	0.0173497	0.0219249	0.0159482	0.0166868	0.0260944	0.00840498	0.0112255	0.0172995	0.0334807	0.0238416	0.0185223	0.0242383	0.024862	0.0152577	0.0114415	0.0132926	0.0142827	0.0195213	0.0204233	0.0326705	0.026636	0.0198694	0.0168137	0.02724	0.0306694	0.0138971	0.0160912	0.0148569	0.0141914	0.021695	0.0223506	0.0124117	0.0113121	0.00693427	0.0220998	0.0267192	0.028373	0.0233969	0.0271436	0.0182154
te	0.0545785	0.0301076	0.0103855	0.0110519	0.00704121	0.00216221	0.00171878	0.00236019	0.00448903	0.00739442	0.0103073	0.0169082	0.0066284	0.0105998	0.00971757	0.00857488	0.0137074	0.0171165	0.0149033	0.0130929	0.0200142	0.0276126	0.0186031	0.0155091	0.0192601	0.0089689	0.0154467	0.0141357	0.022843	0.0274742	0.0163824	0.0301545	0.0285786	0.0184756	0.0137004	0.0199173	0.0203072	0.0176809	0.0169484	0.0316981	0.0297404	0.0187455	0.0145653	0.0194739	0.0226099	0.0168155	0.0110944	0.0105892	0.0087795	0.0118047	0.00956422	0.0061803	0.00688979	0.0050804	0.00955207	0.0250048	0.0200846	0.0255436	0.0275896	0.0437355
prends	0.0416816	0.0328568	0.0166211	0.0150592	0.0103931	0.00150072	0.00154206	0.00230975	0.00342506	0.00544993	0.0111845	0.0153171	0.00796537	0.0111943	0.0120478	0.0124045	0.0166108	0.0212439	0.0194565	0.0165855	0.0190893	0.0259388	0.0166186	0.0194821	0.0231985	0.0109288	0.0176937	0.0126211	0.0199046	0.0280793	0.0139562	0.0312216	0.0306735	0.0235986	0.0188261	0.0240626	0.0259315	0.0265077	0.0262442	0.0326376	0.0309311	0.0211614	0.0144628	0.0155385	0.0157424	0.0189766	0.00985477	0.00648397	0.00652307	0.00700727	0.00533897	0.00365159	0.00562355	0.00398545	0.00511439	0.0142553	0.012104	0.0181706	0.0230321	0.0399784
