 	a66	a87	a99	a53	a90	a56	a47	a31	a24	a61	a21	a12	a88	a31	a0	a31	a24	a88	a9	a87	a40	a6	a36	a37	a93	a70	a13	a38	a83	a98	a79	a7	a44	a66	a38	a82	a87	a23	a9	a50	a5	a18	a24	a5	a75	a25	a92	a85	a47	a79	a98	a92	a85	a47	a7	a26	a57	a87	</S>
la	0.0141954	0.019951	0.0324732	0.0539506	0.040486	0.0259963	0.020178	0.00887898	0.015329	0.0508279	0.0369364	0.0513914	0.0374925	0.0317856	0.0336027	0.0283214	0.0398108	0.0207783	0.0270552	0.0357323	0.0324987	0.0145068	0.0260707	0.0113465	0.0120297	0.0212222	0.0135566	0.0179398	0.0098096	0.00460759	0.00939988	0.0126656	0.0158935	0.0149563	0.0100501	0.00543444	0.00646977	0.00569725	0.00311676	0.00284192	0.00303578	0.00306985	0.00317581	0.00272541	0.00326333	0.00355149	0.00214817	0.00443294	0.0115517	0.00776386	0.00479469	0.00568192	0.0108635	0.0074918	0.0105405	0.00856558	0.00990788	0.00917601	0.0129732
carpe	0.00653879	0.0188119	0.027443	0.0385643	0.0572454	0.0777696	0.223445	0.0622215	0.0206151	0.0150727	0.0194895	0.00767039	0.00866796	0.00989612	0.00825807	0.0187415	0.0126735	0.0155639	0.014526	0.0316658	0.035356	0.0191844	0.0203219	0.0214183	0.0155472	0.019507	0.00821049	0.0217628	0.00982887	0.00487642	0.0128775	0.00461195	0.00654622	0.0108008	0.0136622	0.00731155	0.00689844	0.00723956	0.00720315	0.00376619	0.00307926	0.0071681	0.00562377	0.0053381	0.00496513	0.00444436	0.00413883	0.00333689	0.00111537	0.00285917	0.00186856	0.000672304	0.000716611	0.000246841	0.000667387	0.000452843	0.000388529	0.000739755	0.000366586
que	0.0216567	0.0233101	0.0315263	0.0201014	0.0202469	0.0144813	0.0112499	0.0116253	0.00935547	0.0523826	0.0188975	0.0234168	0.0412363	0.0288854	0.0142413	0.0481069	0.0405881	0.0448886	0.0255456	0.0331989	0.0480337	0.0258459	0.0386098	0.0304775	0.019658	0.0186012	0.0252983	0.0248327	0.0128696	0.0239142	0.0240776	0.0091993	0.0118819	0.0139983	0.0189637	0.00919467	0.0103398	0.00756759	0.0048567	0.00302151	0.00365811	0.00352919	0.00453728	0.00380779	0.00510863	0.00986666	0.00844815	0.00606156	0.00583711	0.00406391	0.00421106	0.00594785	0.00585957	0.00231751	0.00218629	0.00298012	0.00128696	0.00322412	0.000884932
nous	0.0306153	0.017251	0.0163227	0.00825956	0.0066761	0.00306112	0.00408014	0.0059859	0.00651803	0.00713343	0.0116665	0.0233353	0.0211618	0.0213428	0.0192833	0.0374725	0.0147387	0.0181582	0.0188052	0.0178873	0.0179019	0.0107484	0.0175723	0.0104169	0.0155229	0.0179829	0.0108973	0.0105153	0.00823458	0.0121176	0.0223084	0.0145303	0.0132004	0.00976138	0.0105823	0.00723108	0.00823128	0.00551637	0.0104318	0.0100295	0.0162865	0.00982632	0.0192721	0.018128	0.0142324	0.0140891	0.0090089	0.00370807	0.00386976	0.00467979	0.0119683	0.023304	0.0281765	0.04734	0.0409454	0.0442003	0.0290331	0.0398368	0.0686065
avons	0.0354279	0.0158815	0.0109357	0.00876301	0.00759663	0.00508051	0.00346451	0.00430638	0.0102482	0.00407841	0.0083723	0.00552631	0.00444711	0.0112462	0.00593421	0.0102961	0.00861656	0.00714097	0.0102638	0.00879363	0.0124797	0.0102458	0.0116608	0.014839	0.0364839	0.0164846	0.0195086	0.0276461	0.0332604	0.032623	0.0362758	0.0396385	0.0398338	0.0343618	0.0267223	0.0219086	0.0232536	0.0166759	0.0180835	0.0213782	0.0229384	0.0147644	0.0129143	0.0113613	0.0120017	0.013793	0.0147792	0.0119786	0.0113799	0.0194796	0.0146944	0.0136116	0.0141853	0.0103268	0.00920736	0.0216792	0.0143671	0.0245648	0.0521892
mangée	0.00631165	0.00336422	0.0029845	0.00297121	0.00471264	0.00557011	0.00456924	0.00573052	0.00809191	0.00499215	0.00614529	0.0060287	0.00631635	0.0129326	0.00911955	0.0143112	0.012621	0.013817	0.0106981	0.00821295	0.0148301	0.0139784	0.0158533	0.0166459	0.0294851	0.0156836	0.0325493	0.0377943	0.0249477	0.0319398	0.0356641	0.0424559	0.0493367	0.0482672	0.0559664	0.0378945	0.0271289	0.0319019	0.0193715	0.0218853	0.0283092	0.0150643	0.0157394	0.0135123	0.0169798	0.00930732	0.00770239	0.00615555	0.00639035	0.00574797	0.0109202	0.0156679	0.00981641	0.0167006	0.0119535	0.016388	0.014421	0.0136653	0.0124781
était	0.00980572	0.00510672	0.00622965	0.00702467	0.0128873	0.00993314	0.00755809	0.0131095	0.0156438	0.0140485	0.00931042	0.0136666	0.0159352	0.0210113	0.0182867	0.0227091	0.0238182	0.0266065	0.0188124	0.0178399	0.0272331	0.0226119	0.0308162	0.0340252	0.054882	0.0198154	0.0393236	0.0399656	0.0224772	0.0346891	0.0361911	0.0242435	0.0310262	0.0357288	0.0417509	0.0235483	0.0168411	0.0198827	0.00771576	0.00847581	0.0130626	0.00524724	0.00711266	0.00530214	0.00727955	0.00639235	0.00284072	0.00309173	0.00477987	0.0025672	0.00395598	0.00658443	0.007715	0.00806416	0.0145693	0.0101308	0.0120024	0.00881355	0.00990151
cuit	0.00946567	0.00473089	0.00451496	0.00327387	0.00558363	0.00621751	0.00321293	0.00391788	0.00814773	0.00695483	0.0113958	0.00922639	0.01173	0.0198693	0.0152907	0.0184849	0.0197513	0.023055	0.0193823	0.0172285	0.0221011	0.0201605	0.020998	0.0247434	0.0248281	0.0181174	0.03058	0.0234519	0.0182193	0.025131	0.0208314	0.0247201	0.0275385	0.0256305	0.0324761	0.0284223	0.0196998	0.0235017	0.0172634	0.0157291	0.0168404	0.0163298	0.0223723	0.0164595	0.0302839	0.032118	0.0168864	0.0114211	0.0111637	0.00752428	0.0105831	0.0149984	0.0103021	0.0141939	0.018297	0.0129446	0.0148511	0.016103	0.0207497
à	0.00670137	0.00378629	0.00370477	0.00223183	0.00248509	0.001951	0.000955854	0.00157726	0.00329452	0.00556145	0.010643	0.0135962	0.0167663	0.0264386	0.0238154	0.0245224	0.0311536	0.0304406	0.0317267	0.0282933	0.0441305	0.0331412	0.0266275	0.0311941	0.0282788	0.0397669	0.0295255	0.0188454	0.0287641	0.0224763	0.0201873	0.0207481	0.0193726	0.0190102	0.00995322	0.00685938	0.00523624	0.0054283	0.00463692	0.00419005	0.00623673	0.0036606	0.00682019	0.00876928	0.00875258	0.00659475	0.00560013	0.00422795	0.00698362	0.00607846	0.00596189	0.0130436	0.0256213	0.0260847	0.0428847	0.0205176	0.0357082	0.0246389	0.0537965
la	0.00879728	0.00438894	0.00419603	0.0028177	0.003461	0.00240586	0.00153636	0.00267021	0.00542174	0.00325015	0.00898198	0.0073034	0.00972872	0.0186646	0.0178759	0.0167253	0.0199098	0.0239297	0.0201611	0.0155988	0.0249914	0.0211982	0.0173035	0.0214977	0.0221816	0.0284737	0.0197045	0.0209024	0.0207528	0.0190889	0.0163349	0.0185096	0.0189573	0.0168401	0.0113372	0.00643136	0.0052106	0.00571914	0.00626932	0.00535813	0.00718545	0.00495875	0.00944744	0.0120611	0.0130529	0.0113571	0.0117384	0.00865163	0.0136572	0.0124786	0.0112339	0.0209337	0.0352255	0.0429893	0.059822	0.0392251	0.0559417	0.0378579	0.0672954
braise	0.00385498	0.00232828	0.00310985	0.00235594	0.00275091	0.00196997	0.00284941	0.00579141	0.0106357	0.00524618	0.016535	0.0114711	0.0136531	0.025345	0.0233605	0.0259177	0.024313	0.0324593	0.024332	0.0168057	0.0211547	0.0238472	0.0182731	0.0253158	0.0224854	0.0271474	0.0206267	0.0208495	0.0209926	0.0221405	0.0189073	0.0198441	0.0225229	0.0235418	0.0191278	0.0122076	0.0080781	0.0103667	0.00825088	0.0075463	0.0113401	0.00567335	0.0097119	0.0129337	0.0116876	0.00930514	0.0109261	0.0116118	0.0101875	0.0106158	0.010663	0.0135104	0.0228246	0.0343169	0.0399171	0.0351052	0.035324	0.0366996	0.0393346
