 	a23	a87	a23	a40	a73	a11	a20	a73	a20	a73	a20	a73	a44	a38	a73	a41	a24	a41	a24	a25	a38	a73	a2	a57	a87	a23	a13	a24	a25	a38	a73	a37	a24	a43	a11	a75	a41	a61	a24	a94	a38	a76	a73	a56	a24	a32	a24	a32	a71	a76	a25	a90	a58	a11	a24	a9	a10	a87	</S>
il	0.0281781	0.0269084	0.0267893	0.0464223	0.0705981	0.0533287	0.0523841	0.0594631	0.0384433	0.0535088	0.0799616	0.0462063	0.0423309	0.0195915	0.0252455	0.0164973	0.0210183	0.0148761	0.0129195	0.00996873	0.00751158	0.00507173	0.0067016	0.00758997	0.00790527	0.00632814	0.00563284	0.00515942	0.00443757	0.00547368	0.00739549	0.0082312	0.00893173	0.00681716	0.00753737	0.00693555	0.00638487	0.00713639	0.00729092	0.00650682	0.00324072	0.00537506	0.005359	0.00335892	0.00585262	0.00483281	0.00314486	0.00294622	0.00368094	0.00400346	0.00388121	0.00445443	0.00376373	0.00530215	0.00480867	0.00625018	0.0116809	0.0076556	0.030789
n'	0.00222137	0.00300459	0.00161708	0.00176862	0.00203308	0.00493588	0.00524846	0.0141813	0.0200302	0.0165426	0.0249847	0.059087	0.0560059	0.0412015	0.0223917	0.0356124	0.0253021	0.0257704	0.0255927	0.0243427	0.0215432	0.0140429	0.0143723	0.0195099	0.0152524	0.0178238	0.0128783	0.0164008	0.0280082	0.0118091	0.0117357	0.0116111	0.00802854	0.0144141	0.0197312	0.0115302	0.0220869	0.013688	0.012823	0.00832016	0.00457115	0.00971654	0.010853	0.0139267	0.0171473	0.016344	0.0138277	0.0134442	0.0124218	0.0134229	0.0142433	0.019768	0.0202558	0.0228117	0.0214635	0.0238233	0.0147779	0.011897	0.0077999
y	0.00920427	0.00524353	0.00695752	0.00662934	0.0072028	0.0100233	0.0148881	0.0279854	0.0493085	0.0372232	0.0422471	0.0485488	0.0358686	0.030746	0.022733	0.0268788	0.0284392	0.0247011	0.0240475	0.0202299	0.0177058	0.0113941	0.008271	0.0144021	0.0103577	0.00699977	0.00654799	0.00590962	0.00816182	0.00907658	0.00721955	0.00779791	0.0099624	0.0194186	0.0161314	0.00886795	0.00966795	0.0161523	0.0053786	0.0047201	0.00114504	0.00280687	0.00239507	0.004535	0.00575635	0.00301704	0.00586944	0.00523816	0.00540958	0.00770365	0.0126439	0.0170919	0.0289915	0.0180415	0.0412067	0.0404328	0.0291012	0.0349934	0.0503718
a	0.0223903	0.0182878	0.0124239	0.0110076	0.00640107	0.00699779	0.00692058	0.0120515	0.0309688	0.0228046	0.0165205	0.0220757	0.0233801	0.015573	0.018045	0.0167958	0.0301339	0.032277	0.0278291	0.0213632	0.0207584	0.0112133	0.0165513	0.0248633	0.0192775	0.0161423	0.0184659	0.0193321	0.0123519	0.0101178	0.00805078	0.00859626	0.0153906	0.0113014	0.0113703	0.00949978	0.0117419	0.0138759	0.00906858	0.0149748	0.0114092	0.0102689	0.0167084	0.0220488	0.0163566	0.0224334	0.0212265	0.016657	0.0184899	0.0165716	0.0156204	0.0134593	0.018408	0.0110307	0.0105305	0.0186096	0.0258392	0.0222669	0.034874
pas	0.0333211	0.0248752	0.0273781	0.0217762	0.0166095	0.0207744	0.0186925	0.0152063	0.0138843	0.00745151	0.00614508	0.00473383	0.00594129	0.00787504	0.012989	0.0161951	0.0175866	0.0175872	0.0216248	0.0135111	0.0199807	0.013941	0.0158525	0.0147122	0.0144832	0.0182168	0.0163819	0.0183514	0.0291668	0.0303244	0.0266729	0.031089	0.0247318	0.0302858	0.0278099	0.02901	0.0219969	0.0205119	0.0155791	0.0157926	0.00812355	0.0093352	0.0127573	0.00822126	0.0103377	0.00787148	0.00675194	0.00596622	0.00694569	0.00698958	0.00501476	0.00679523	0.0090091	0.00968595	0.0118477	0.0191145	0.0274041	0.0250533	0.0437266
assez	0.0295272	0.0191029	0.0177532	0.0162939	0.0144585	0.011821	0.00921202	0.00961973	0.0110782	0.0119131	0.00707864	0.00993185	0.00977754	0.00885909	0.0111915	0.00919247	0.0101516	0.0131991	0.0146365	0.0151987	0.0141611	0.0123424	0.0112165	0.0121752	0.0131204	0.0111941	0.0100401	0.0124941	0.0176544	0.0177502	0.0173156	0.0228289	0.0197883	0.0233113	0.0217317	0.0187575	0.0148835	0.0209099	0.0122404	0.0125571	0.00998108	0.0117252	0.0136892	0.0129604	0.0137161	0.0134377	0.0144137	0.0163114	0.0207408	0.0165461	0.0213039	0.0228668	0.0204455	0.0268877	0.0277994	0.0320486	0.0387631	0.0378855	0.0520082
de	0.0296995	0.0203794	0.0176956	0.013892	0.0108461	0.00774561	0.00633767	0.00648602	0.00602761	0.0056199	0.00366842	0.00514518	0.00638362	0.00861487	0.00788389	0.00871196	0.00947603	0.00849906	0.00953548	0.00921939	0.0085832	0.00663147	0.00836952	0.00651671	0.00899417	0.0143329	0.0121139	0.018523	0.0235207	0.0159376	0.0242865	0.0292799	0.0178571	0.0213241	0.0187709	0.0179332	0.0125918	0.0149576	0.0114771	0.017516	0.00977107	0.0136219	0.0142	0.0104996	0.0158835	0.0131168	0.0114358	0.0144023	0.0191547	0.0137616	0.0186914	0.0298723	0.0253377	0.0370903	0.0422576	0.043192	0.0505651	0.0461592	0.0596022
travailleurs	0.0192257	0.0169929	0.011121	0.0106394	0.00739162	0.00803528	0.00570874	0.0104672	0.0103469	0.00833335	0.00883073	0.00849044	0.0127152	0.0149604	0.0100311	0.0135608	0.0139807	0.0144056	0.0129972	0.0167609	0.0139692	0.0118702	0.0153679	0.0134373	0.0171577	0.0202949	0.0214303	0.0272826	0.0289311	0.0201658	0.028931	0.0364482	0.0186619	0.0226689	0.0248786	0.019388	0.0186135	0.0106706	0.00810993	0.00817315	0.00605297	0.00691494	0.0136634	0.00955408	0.0107444	0.0094756	0.0106457	0.0112866	0.0161745	0.0228526	0.0194783	0.0200396	0.0301484	0.0246372	0.0370094	0.0202216	0.0439522	0.0357344	0.0299681
pour	0.0484937	0.0338547	0.0281403	0.0212626	0.0112431	0.00897841	0.00798131	0.00868857	0.0120386	0.00640097	0.00390051	0.00311009	0.00511478	0.00713939	0.00663088	0.00674543	0.00779949	0.0100018	0.01227	0.0100024	0.00942734	0.0066005	0.0126304	0.010987	0.0125876	0.0162786	0.0194111	0.0247355	0.0269322	0.0248275	0.0297517	0.0371263	0.0194908	0.0179311	0.0170681	0.0157669	0.0114374	0.00978538	0.0132333	0.0121741	0.0085073	0.00911115	0.00906501	0.00819611	0.0102465	0.0143282	0.00821997	0.0129671	0.0109814	0.00939891	0.0138954	0.0225364	0.0172035	0.0317647	0.0338369	0.0243609	0.054283	0.0377383	0.0553793
déplacer	0.0304331	0.0176517	0.016833	0.0132501	0.00953222	0.00986803	0.00751456	0.00902885	0.00768536	0.00558195	0.00457268	0.00504323	0.00802248	0.00581942	0.00539962	0.00493913	0.00412391	0.00543188	0.00729156	0.00530628	0.00569281	0.00390641	0.00899747	0.00899493	0.0126552	0.0167676	0.0131588	0.0157774	0.0217761	0.0163391	0.0188798	0.0174247	0.00758544	0.00744967	0.0103064	0.00887088	0.00731434	0.00844239	0.00797071	0.0104803	0.00377843	0.00752831	0.00528062	0.00362469	0.00651997	0.0113495	0.00602695	0.0128855	0.0146273	0.0166783	0.0230877	0.0439426	0.0334109	0.0755164	0.0758738	0.0477076	0.0755245	0.0576251	0.0668924
cet	0.0416169	0.0198353	0.0240552	0.00990204	0.00535054	0.00669844	0.00300591	0.00326501	0.00134215	0.00193799	0.00139751	0.00185878	0.00166565	0.00189062	0.00305482	0.00272602	0.00275208	0.0032425	0.004502	0.00309555	0.00363788	0.00388609	0.00442086	0.00480749	0.00404341	0.00487492	0.00533188	0.00661769	0.00946284	0.010569	0.00962346	0.0110399	0.00864781	0.00872544	0.0154541	0.0138189	0.0113922	0.013916	0.0213412	0.0243582	0.0291034	0.0333015	0.0430513	0.0430617	0.0579385	0.0489701	0.043249	0.0308458	0.0308364	0.0254042	0.0396502	0.0283499	0.0369357	0.0339117	0.0385078	0.0432292	0.02658	0.013858	0.0140516
arbre	0.014567	0.0060229	0.00462216	0.00274003	0.00150674	0.00143035	0.00111242	0.000869188	0.000796941	0.00076876	0.000505017	0.000688484	0.000868559	0.00144297	0.00250458	0.00320852	0.00247271	0.00300512	0.00460334	0.00330688	0.00337043	0.00467258	0.00533154	0.00952717	0.00818795	0.0107586	0.0102595	0.0178669	0.0239842	0.0213403	0.0225396	0.0177808	0.00877664	0.0137604	0.0270196	0.0220275	0.017605	0.0317384	0.0240715	0.0265066	0.013048	0.0400593	0.025768	0.0301414	0.0274295	0.0344006	0.0237404	0.0176322	0.0175261	0.0203509	0.0313747	0.0245213	0.0491425	0.0531426	0.0872052	0.0581783	0.0333854	0.0199807	0.00880517
