 	a40	a73	a44	a38	a15	a69	a90	a25	a44	a15	a44	a57	a38	a98	a73	a44	a57	a38	a53	a4	a57	a3	a87	a23	a53	a90	a53	a90	a15	a73	a90	a13	a98	a73	a84	a40	a54	a73	a84	a57	a87	</S>
on	0.041872	0.037048	0.0485129	0.0302101	0.0329305	0.0336775	0.0358106	0.0281087	0.030855	0.0165352	0.0272128	0.0496111	0.0644648	0.0197944	0.0358726	0.0206567	0.016986	0.0143203	0.0362266	0.0126866	0.0260341	0.0317811	0.0219839	0.0275457	0.0113737	0.0192641	0.0132868	0.0084995	0.0136635	0.0109227	0.00900652	0.0065486	0.00851363	0.00884488	0.00413502	0.00528284	0.00828507	0.00959837	0.0195835	0.0170892	0.0190843	0.0662805
ne	0.0132118	0.0129764	0.0373617	0.0191566	0.0267364	0.0279048	0.032449	0.0256505	0.0243758	0.0187422	0.0398904	0.0364154	0.0350504	0.0374272	0.0460652	0.0185138	0.0397286	0.0343949	0.0443265	0.0298527	0.0437231	0.0468336	0.0214172	0.00880644	0.0102458	0.012733	0.013637	0.00574004	0.00913955	0.0108064	0.0102924	0.015879	0.0300087	0.0224808	0.0137152	0.012329	0.0251072	0.013277	0.0234124	0.0226313	0.0180782	0.00947641
peut	0.130948	0.0410804	0.0243077	0.0280136	0.0314894	0.0343963	0.0335056	0.020513	0.0228354	0.0228489	0.0276581	0.0307678	0.0444939	0.025481	0.0369458	0.0226313	0.032705	0.0201545	0.016725	0.0341485	0.0436263	0.0237712	0.019345	0.0115598	0.007999	0.00640515	0.00297203	0.00293424	0.00306201	0.00484883	0.00663524	0.00313132	0.00680703	0.00822675	0.0105262	0.0144593	0.0179981	0.0181572	0.0209709	0.0277612	0.0383431	0.0188111
pas	0.0402578	0.019295	0.0207833	0.029407	0.0188083	0.0150995	0.022185	0.0123406	0.017704	0.0185082	0.0408627	0.0533768	0.0482905	0.081542	0.0516904	0.0676513	0.0484152	0.0504851	0.0167492	0.0181665	0.0154503	0.0210543	0.0241786	0.0311915	0.0153563	0.00987636	0.0216091	0.0241387	0.00562673	0.0153085	0.00756229	0.0193713	0.0112937	0.00669779	0.00443956	0.00510943	0.00462918	0.00487508	0.0084104	0.00949724	0.0122313	0.030474
manger	0.0129516	0.00709576	0.0136475	0.0127841	0.0143868	0.0180993	0.0245729	0.0175178	0.0186861	0.0145554	0.0256208	0.027048	0.0328187	0.0402132	0.0308202	0.0312724	0.0352466	0.0374332	0.0295223	0.0435916	0.0454156	0.0785074	0.0472629	0.0452783	0.0307613	0.0240536	0.0477335	0.0377565	0.0160274	0.0238539	0.0170903	0.012564	0.0178816	0.0100855	0.00554151	0.00790179	0.00664649	0.0069253	0.00697812	0.00643941	0.0103332	0.00707811
autant	0.0307455	0.0242079	0.0121249	0.0150013	0.0122702	0.0285284	0.0152838	0.0089338	0.0164996	0.0204781	0.0187094	0.0183685	0.0265863	0.0264938	0.0188219	0.0208744	0.0219393	0.0252169	0.0277873	0.0415149	0.0476787	0.0460975	0.0334424	0.0371226	0.0227772	0.0281876	0.0221388	0.0213824	0.00632759	0.02168	0.017548	0.0257174	0.0382741	0.0327701	0.0145506	0.0288548	0.0207759	0.0228462	0.0217205	0.0226568	0.0198987	0.0171661
sans	0.0376723	0.0302056	0.00837575	0.0168178	0.0104647	0.0179756	0.0101785	0.00537907	0.00966596	0.0177483	0.00745555	0.0111613	0.0134204	0.0127641	0.0101551	0.00937373	0.0153941	0.0186405	0.0353886	0.060208	0.0382274	0.0307342	0.0142161	0.0100578	0.00528737	0.0105611	0.00538146	0.00616089	0.0036893	0.00722181	0.00945458	0.0129652	0.0244423	0.0284001	0.0240371	0.0760663	0.0782713	0.0859978	0.0359636	0.0736304	0.036173	0.0246159
être	0.00870274	0.00645526	0.0032164	0.00539673	0.00581814	0.0131659	0.00449553	0.00280015	0.00801132	0.0135867	0.00609837	0.00799383	0.00811639	0.015456	0.00700449	0.00588906	0.00952228	0.0185464	0.0359245	0.0534034	0.0337991	0.0315935	0.0219475	0.0179183	0.0154284	0.022945	0.0128202	0.0175219	0.00847719	0.0158088	0.0135368	0.0173834	0.0546947	0.0350613	0.0182457	0.121507	0.100257	0.0933979	0.0185212	0.0463254	0.0219497	0.0212564
malade	0.0413948	0.0129461	0.00788958	0.0116134	0.0198397	0.0177404	0.0219364	0.0144493	0.0140439	0.012607	0.0096511	0.0104173	0.00910466	0.0133655	0.0113994	0.00911235	0.0111941	0.0129055	0.0123294	0.0196804	0.0211611	0.0263517	0.0198413	0.0137539	0.0148945	0.0154167	0.0198294	0.0125565	0.0106319	0.0177622	0.0240715	0.0264657	0.0356748	0.0262529	0.0431442	0.0791518	0.0617111	0.0722377	0.0255123	0.0371111	0.0386923	0.0641553
</S>	0.0587521	0.0158713	0.00551419	0.00775338	0.00710755	0.0095808	0.00634221	0.00347318	0.00615581	0.00474591	0.00422929	0.00564873	0.00872368	0.00810271	0.00844609	0.00853931	0.0125316	0.0146087	0.0184542	0.0229197	0.0200224	0.0220222	0.011888	0.0118326	0.00568888	0.00695679	0.00476866	0.00412107	0.00188319	0.00528568	0.0062398	0.0144724	0.0295751	0.0349696	0.0319483	0.0888837	0.0810586	0.0889684	0.0623327	0.0812128	0.0859409	0.0624279
