 	a23	a10	a87	a23	a83	a5	a18	a31	a66	a90	a75	a61	a47	a61	a21	a61	a21	a61	a18	a21	a47	a88	a9	a87	a23	a10	a87	a23	a87	</S>
cet	0.0917018	0.101723	0.0439684	0.0290231	0.0318209	0.0213772	0.0196022	0.0247641	0.0148766	0.0127504	0.00974008	0.00942431	0.00888173	0.00776181	0.00559633	0.0101933	0.0157225	0.0131467	0.0251947	0.0255142	0.0365094	0.0497024	0.0451641	0.0302953	0.0258722	0.0300452	0.0254627	0.0474328	0.0520114	0.134721
homme	0.039391	0.04632	0.0492005	0.0409334	0.0419613	0.0586559	0.0383105	0.0297796	0.0485326	0.0450562	0.0483147	0.0611895	0.0567216	0.0714077	0.0424267	0.0349586	0.0250934	0.0219448	0.0161328	0.0303164	0.0136877	0.0117437	0.0125679	0.0159232	0.0149665	0.0115958	0.0183421	0.0185217	0.0250716	0.0109326
est	0.0434998	0.0292319	0.0265276	0.0296331	0.0295523	0.0499054	0.0780389	0.0534011	0.0545834	0.0352537	0.0329037	0.0315066	0.0258587	0.0199682	0.0170598	0.0126279	0.0107794	0.00540176	0.0105966	0.00908044	0.0201495	0.0209875	0.0308511	0.0441274	0.0303685	0.0352169	0.0393668	0.0488676	0.0619089	0.0627456
en	0.0328455	0.0211166	0.0197472	0.0238155	0.0223508	0.029003	0.0272411	0.0163479	0.0232074	0.0274674	0.0342248	0.0341014	0.0283796	0.0316087	0.0267047	0.0226839	0.014578	0.00883839	0.0154768	0.0212567	0.0305473	0.0438614	0.0328291	0.0423602	0.062608	0.0553869	0.0928145	0.0567016	0.059446	0.0424493
train	0.016317	0.0172038	0.0158472	0.0195606	0.0213135	0.0241763	0.0369868	0.0386848	0.053461	0.0681891	0.116268	0.0993831	0.119147	0.0843142	0.0898144	0.0669913	0.0233072	0.0155929	0.0120367	0.010228	0.0067707	0.00840028	0.00356293	0.00435231	0.00480576	0.00330008	0.0024042	0.00555348	0.00477184	0.00725568
de	0.0476496	0.0253907	0.0148649	0.0142167	0.0169151	0.029465	0.0294624	0.0285996	0.0362035	0.0140518	0.0201228	0.0219486	0.0106008	0.0209355	0.0133792	0.0195765	0.00921036	0.0121364	0.0154155	0.026404	0.0204467	0.0344344	0.0288041	0.0443585	0.0494146	0.0798953	0.0998168	0.0737033	0.0871117	0.0554654
se	0.0265025	0.0203835	0.0107081	0.0158154	0.0235178	0.0336431	0.0592166	0.060346	0.101275	0.0660461	0.0807902	0.0777359	0.0632471	0.0498509	0.0266858	0.0454704	0.0175918	0.0131309	0.0134131	0.0153972	0.0177571	0.0227766	0.0125285	0.0143218	0.0140238	0.0163104	0.0169687	0.016995	0.0248481	0.0227025
raser	0.0332922	0.0243728	0.0191314	0.0255384	0.0250483	0.0220359	0.0349236	0.0406717	0.0465773	0.0318588	0.0265881	0.0316157	0.0348351	0.0462662	0.03007	0.0294036	0.020924	0.017664	0.0151826	0.044582	0.0249068	0.0471585	0.0353654	0.0447473	0.0306208	0.0432887	0.0290533	0.0441867	0.041657	0.0584338
la	0.0557081	0.0242668	0.0151051	0.0107131	0.00667243	0.00886656	0.0132226	0.0147774	0.0256191	0.0156424	0.0231353	0.0236977	0.0357134	0.0668167	0.0536431	0.0350442	0.0387293	0.0282382	0.0164157	0.0294237	0.0444726	0.0345588	0.0340727	0.0579163	0.0425782	0.0645722	0.0426681	0.0510627	0.0533926	0.033255
barbe	0.0131645	0.0106028	0.00723398	0.00946463	0.0128422	0.0224873	0.0287882	0.0327609	0.0481891	0.0438856	0.05864	0.0823057	0.0836104	0.0880638	0.0431509	0.0603358	0.0191843	0.0202854	0.0137147	0.0181573	0.0179564	0.0224247	0.0200593	0.0194497	0.0223783	0.0316769	0.0246846	0.0427197	0.0410661	0.0407166
</S>	0.0218512	0.0137893	0.00698972	0.00600085	0.00358908	0.00340955	0.00480488	0.00472996	0.00557019	0.00447613	0.00489817	0.00620401	0.00715183	0.00951828	0.0110468	0.0171126	0.0109108	0.012274	0.0175525	0.0192282	0.0179993	0.0491316	0.0358059	0.0429469	0.0509471	0.125499	0.113043	0.116028	0.104914	0.152578
