 	a23	a83	a13	a54	a47	a41	a26	a61	a66	a90	a15	a73	a26	a53	a94	a90	a56	a75	a66	a9	a11	a75	a96	a31	a66	a11	a90	a15	a73	a84	a57	a87	a23	a87	</S>
cet	0.0811613	0.0733067	0.0443678	0.0524655	0.055813	0.0686046	0.0340746	0.0455491	0.042099	0.0157238	0.029093	0.0190539	0.018711	0.0149911	0.0162483	0.0145441	0.017273	0.0206813	0.0349412	0.0115021	0.0114423	0.0159943	0.0121948	0.00953262	0.0137182	0.0132751	0.0106953	0.0288036	0.033894	0.023822	0.0279328	0.0298935	0.0170747	0.0119296	0.0295925
homme	0.00559667	0.0137827	0.0160651	0.0160352	0.0483432	0.0567195	0.0983525	0.0601045	0.0621236	0.0497652	0.03702	0.0261623	0.0164698	0.0315902	0.0346362	0.0171124	0.0310814	0.022786	0.0317895	0.0153159	0.0374384	0.0722381	0.0582153	0.0392745	0.0163873	0.0203953	0.0102039	0.00633753	0.0110431	0.00630771	0.00610962	0.00510994	0.00402488	0.00854609	0.00751626
est	0.0173777	0.0135462	0.0246558	0.0304556	0.0456426	0.0521493	0.0363063	0.0515202	0.0314169	0.0207613	0.0177816	0.0179681	0.0285117	0.0208582	0.0163492	0.0208785	0.0301269	0.0252581	0.0129724	0.00791304	0.00819878	0.00690679	0.00975254	0.0173147	0.0132128	0.0256088	0.0511809	0.0469526	0.0460742	0.0445873	0.0573015	0.0393867	0.0299899	0.0458275	0.0352554
en	0.0195838	0.0168531	0.0135331	0.0201678	0.028699	0.0265095	0.0303107	0.0164321	0.0158235	0.0160188	0.0101157	0.0127565	0.0213808	0.0254728	0.045948	0.0400811	0.062333	0.0423767	0.0198568	0.0163256	0.0186	0.0167672	0.0143117	0.0207052	0.0195589	0.0286524	0.0208686	0.0260816	0.0263703	0.0345447	0.0576296	0.0453963	0.0366412	0.0477833	0.0855107
train	0.0237724	0.0217528	0.0164322	0.0153843	0.015147	0.0130557	0.0107791	0.0164923	0.0119929	0.0240688	0.0109568	0.0162026	0.0101419	0.0248108	0.0417202	0.082612	0.0866872	0.106414	0.0557652	0.0450251	0.0491961	0.0524237	0.0416595	0.0427078	0.0352434	0.0262582	0.0175132	0.014609	0.0085967	0.00844703	0.0106931	0.0101646	0.0124487	0.0103473	0.0104784
de	0.0997531	0.0512485	0.0534293	0.0474793	0.0446092	0.0434136	0.0146416	0.0154562	0.011074	0.00726337	0.00756937	0.00765214	0.0149533	0.00982862	0.0130638	0.0104254	0.0135969	0.0176866	0.0113353	0.0100669	0.00880163	0.00862597	0.0077833	0.0111519	0.0189274	0.014206	0.0176327	0.02735	0.0449525	0.0508241	0.06844	0.0662285	0.0458695	0.037175	0.0674853
rouler	0.0143759	0.0138247	0.0108534	0.0131566	0.0118531	0.00830637	0.00555417	0.00999583	0.0088361	0.0104405	0.0140214	0.0242633	0.0436197	0.0544734	0.0870749	0.136862	0.0800392	0.123183	0.0606306	0.0483073	0.0269771	0.0297308	0.0297342	0.0461468	0.0204833	0.0241584	0.0102586	0.00688516	0.00243933	0.00253828	0.00418908	0.00315239	0.00247064	0.00363511	0.00752933
un	0.0145407	0.00906541	0.00827517	0.00693484	0.00400151	0.00250691	0.00239354	0.00282426	0.00346898	0.0078342	0.00724193	0.0135775	0.0115472	0.0206697	0.0308826	0.0273026	0.0256989	0.0224358	0.0249933	0.0214488	0.0275851	0.0416538	0.0460895	0.12653	0.12819	0.121854	0.0656089	0.0271766	0.0138452	0.0199013	0.0250159	0.0197283	0.0179135	0.0237712	0.0274928
tronc	0.0248731	0.0120553	0.00864218	0.00555546	0.0028244	0.00432174	0.00507856	0.00554464	0.00706279	0.0130695	0.00738213	0.00701587	0.00648397	0.00752892	0.0199132	0.0126426	0.0243942	0.0272133	0.0447191	0.0250776	0.0441114	0.0666609	0.0576063	0.0815265	0.103064	0.0962128	0.0812013	0.0392847	0.0252421	0.0261553	0.0276738	0.0168986	0.0193754	0.0260877	0.0175002
d'	0.0325038	0.0270283	0.0198693	0.0167989	0.0128817	0.00911482	0.00850814	0.0132451	0.0140277	0.00889833	0.0107844	0.00660328	0.00706417	0.00566293	0.0124581	0.00552298	0.00464502	0.00417906	0.00874802	0.00614286	0.00794989	0.0145176	0.0150108	0.0162153	0.0295496	0.0286364	0.0256414	0.0445067	0.0476753	0.0580877	0.0813158	0.100504	0.0590186	0.0529877	0.183696
arbre	0.0162176	0.0119046	0.0077224	0.00669272	0.00501521	0.00599686	0.00743941	0.00771147	0.008608	0.00785967	0.00589403	0.00603021	0.00685821	0.0116519	0.0257214	0.0142904	0.0183718	0.0148271	0.027125	0.0191088	0.0297215	0.0287864	0.0230331	0.0221189	0.0253276	0.0278827	0.0341181	0.0528374	0.0469689	0.0531871	0.0924936	0.0833676	0.0618574	0.0623168	0.120936
</S>	0.0293647	0.0139887	0.0112235	0.00763429	0.00465364	0.00332943	0.00301253	0.00473805	0.00562887	0.00507643	0.00489924	0.00493375	0.00600452	0.00374694	0.00725286	0.00406791	0.00394491	0.00388574	0.00435835	0.00402862	0.00485458	0.00724973	0.00695236	0.0149742	0.026803	0.0379605	0.0288162	0.0635409	0.0567634	0.0628589	0.083573	0.109329	0.0778266	0.0686043	0.21412
