 	a66	a87	a23	a20	a36	a18	a70	a13	a62	a96	a79	a94	a93	a4	a62	a88	a50	a62	a12	a18	a62	a21	a5	a15	a69	a54	a47	a5	a12	a88	a71	a53	a44	a57	a82	a87	a23	a87	</S>
elle	0.0570067	0.0812697	0.0992068	0.108108	0.108494	0.0719308	0.0609648	0.0258909	0.0121395	0.0164705	0.0173099	0.0114098	0.0072641	0.0101971	0.0100941	0.0136751	0.0133912	0.0172239	0.0142313	0.0129967	0.0131233	0.0097315	0.00543522	0.00742623	0.00640828	0.00548251	0.00523591	0.0036227	0.00541643	0.00996929	0.0129782	0.0130637	0.0171897	0.0123282	0.0130624	0.0192688	0.0210736	0.0177456	0.0321631
est	0.0181206	0.0244166	0.0604474	0.041203	0.0233482	0.0171171	0.0256995	0.0138235	0.0197608	0.0179355	0.0191708	0.0195018	0.0125863	0.0184414	0.0223422	0.0174684	0.0196759	0.0187915	0.0184554	0.0228359	0.0230638	0.0207214	0.0243495	0.0168822	0.0183865	0.0161449	0.018896	0.0110465	0.0230128	0.0213329	0.0385591	0.039599	0.0600439	0.0464946	0.0421135	0.0428758	0.0317849	0.0314579	0.0220928
tolérante	0.0249687	0.00677333	0.00643493	0.0051981	0.0069254	0.00392971	0.00752017	0.0194401	0.0201439	0.0427606	0.0236325	0.0389222	0.0150524	0.0202277	0.0130475	0.0161307	0.0139275	0.0216885	0.0171181	0.0146229	0.0140866	0.0198426	0.0164295	0.0180675	0.011677	0.0138302	0.0114297	0.00773815	0.0134271	0.00977304	0.0189859	0.0289308	0.0634528	0.0457247	0.0653764	0.0762443	0.073952	0.0654581	0.0871087
du	0.0309033	0.0243893	0.0125222	0.0123264	0.0125044	0.0162311	0.0276115	0.0534654	0.0437671	0.0419479	0.0630334	0.031773	0.0261776	0.047348	0.0301786	0.0386026	0.029707	0.069118	0.0295008	0.035124	0.024344	0.0173759	0.0197722	0.0148081	0.0178435	0.0169222	0.0182853	0.0103037	0.0145883	0.00876249	0.00856265	0.00972915	0.0114693	0.0194145	0.0156044	0.0229731	0.0233787	0.0171758	0.0324554
fait	0.0308578	0.0267722	0.0305454	0.0288743	0.0296741	0.0287337	0.032096	0.0239791	0.0253749	0.0257813	0.0398946	0.0224789	0.0289275	0.0341279	0.0367964	0.0327646	0.0511707	0.0673832	0.0471333	0.0545621	0.0495193	0.0322025	0.0341624	0.0219579	0.0272716	0.0204336	0.013672	0.00683879	0.00773305	0.00397727	0.00377973	0.00513782	0.00607853	0.00487981	0.00660261	0.011623	0.00989552	0.0160275	0.020279
qu'	0.0286364	0.037414	0.052735	0.0564877	0.0492823	0.0608605	0.0598456	0.0422069	0.0325321	0.0321454	0.0390461	0.0289188	0.0336321	0.0346211	0.0363332	0.0288669	0.0217496	0.0281363	0.0194855	0.0205835	0.0212939	0.0164461	0.0144648	0.00936043	0.00942903	0.009129	0.00982556	0.00957189	0.00820319	0.00783319	0.00745933	0.0139157	0.0146968	0.0191651	0.0110832	0.0166893	0.0177864	0.0112275	0.0289006
elle	0.102382	0.0859347	0.0666581	0.0440775	0.0377217	0.0192525	0.023786	0.0201712	0.0180772	0.00684654	0.00956522	0.0114659	0.00905226	0.0144089	0.0172435	0.015659	0.0196649	0.0196119	0.0210847	0.0305602	0.0235711	0.0143304	0.0122238	0.0102854	0.00702509	0.0200953	0.0216433	0.00826404	0.012708	0.0153623	0.0121077	0.0160017	0.0249572	0.0174191	0.0216439	0.0379192	0.0330331	0.0522519	0.0459336
soigne	0.034589	0.0277119	0.0383833	0.030546	0.0135294	0.00918663	0.0184718	0.0170105	0.0371116	0.0139208	0.0167144	0.0267636	0.0200811	0.028765	0.0296809	0.0239094	0.0211357	0.0245342	0.0221786	0.0250182	0.0265703	0.0288633	0.0253885	0.0322801	0.019506	0.0380276	0.0417974	0.0391988	0.0302612	0.0113493	0.0149272	0.0132746	0.0274191	0.0127746	0.0227719	0.0337733	0.022122	0.0355149	0.0449376
sa	0.0599532	0.038867	0.045037	0.0380054	0.0428782	0.0303858	0.0415092	0.0427994	0.0319284	0.0241577	0.0241016	0.0231918	0.0165299	0.0243278	0.0221022	0.0224343	0.0179737	0.0198544	0.0182471	0.0153805	0.0160926	0.0187009	0.0153161	0.018123	0.0120569	0.0239169	0.0298477	0.0163722	0.0195379	0.0169817	0.0171922	0.0174747	0.0249804	0.0215624	0.0223425	0.0253802	0.0234917	0.0243162	0.0366492
rivale	0.0242406	0.0170134	0.0204362	0.0212657	0.0262204	0.0143613	0.0235049	0.0222219	0.0211428	0.0183458	0.0194416	0.0220566	0.0183786	0.0226392	0.0193682	0.0229477	0.0211396	0.0226687	0.0196595	0.0188101	0.0212771	0.0160368	0.0203871	0.0171341	0.0181503	0.0206122	0.0222899	0.0195957	0.0194028	0.0283628	0.0254716	0.0443831	0.0383469	0.0524591	0.0329874	0.0406877	0.0482018	0.0393721	0.058979
