 	a15	a66	a87	a23	a99	a83	a31	a24	a21	a5	a31	a88	a31	a43	a75	a85	a6	a56	a61	a21	a47	a31	a43	a75	a6	a36	a2	a57	a87	a23	a30	a57	a53	a20	a47	a36	a24	a41	a85	a47	a36	a73	a98	a92	a21	a85	a37	a85	a5	a37	a61	a21	a5	a36	a27	a30	a87	a23	a87	</S>
les	0.0518555	0.0607816	0.0493575	0.042577	0.0407364	0.0288737	0.0416448	0.0581543	0.0360962	0.0196352	0.0392064	0.0299984	0.05085	0.0367518	0.027003	0.0141026	0.00724959	0.011953	0.0104748	0.00979144	0.00437208	0.00421596	0.00622414	0.00710665	0.00864655	0.00450317	0.00904877	0.0167201	0.0162549	0.0105995	0.0120924	0.00717985	0.00766405	0.00747829	0.00923089	0.0243751	0.015027	0.0123734	0.0116738	0.00828058	0.00946923	0.0147854	0.00839723	0.00331063	0.00246232	0.00213394	0.00375095	0.00439029	0.00497357	0.00488	0.00437331	0.00406346	0.00632876	0.00709151	0.00645233	0.00709674	0.00639598	0.00515824	0.0117886	0.0125375
lampes	0.00268839	0.00508225	0.00676408	0.00303395	0.00255357	0.00314108	0.00412531	0.00696572	0.00349314	0.00147003	0.00470827	0.00765135	0.0076352	0.0107281	0.0109102	0.0338544	0.0217911	0.0232543	0.039164	0.0531608	0.0536952	0.101266	0.064709	0.120594	0.0646301	0.0394836	0.0225875	0.0648338	0.0413763	0.0460168	0.0437076	0.0141018	0.00638715	0.00514954	0.00440953	0.00468429	0.00436957	0.00607002	0.00469275	0.00547233	0.00608164	0.00430465	0.00377884	0.00482481	0.00131729	0.000652423	0.000731148	0.000608347	0.000782759	0.000876132	0.000517394	0.00071336	0.000622193	0.000525227	0.00051642	0.000562218	0.000402374	0.000261791	0.000989218	0.000519417
sont	0.0421563	0.0216442	0.0159674	0.0121177	0.0154872	0.0171714	0.0173039	0.020847	0.0119902	0.0120651	0.0279069	0.0309277	0.0229878	0.0105146	0.0305694	0.0283396	0.0292461	0.0252259	0.0401172	0.0319785	0.0307379	0.032666	0.0331667	0.0394126	0.0299654	0.0300343	0.0279031	0.033835	0.033505	0.0213957	0.0284202	0.015775	0.00417197	0.00849908	0.00161767	0.00440703	0.0119876	0.0124178	0.00776363	0.0107785	0.0148563	0.0104082	0.00705209	0.00572418	0.00225029	0.00219978	0.00184889	0.0020616	0.0039582	0.00520627	0.00540374	0.00333038	0.0063692	0.00521613	0.00542927	0.00726887	0.00844508	0.0064182	0.0108877	0.00264148
sur	0.0342335	0.0261938	0.00961549	0.0110952	0.0137903	0.0178961	0.0148719	0.0116868	0.00663488	0.0106069	0.0149871	0.0119106	0.0196821	0.00989827	0.0179542	0.0116721	0.0180674	0.0291443	0.034155	0.0296575	0.0187445	0.0131778	0.0286187	0.0215539	0.0179263	0.0229834	0.0172463	0.0165033	0.0157327	0.0126761	0.01448	0.0144808	0.00929907	0.00502699	0.00167104	0.00726083	0.0178315	0.0224861	0.0452253	0.0363669	0.0342223	0.0180192	0.0144159	0.0107608	0.0074099	0.00985234	0.00723068	0.0147166	0.00937822	0.0126492	0.0185278	0.0136022	0.0245348	0.0102523	0.023776	0.0109979	0.0120492	0.0119876	0.00949034	0.0130818
la	0.0429603	0.0218764	0.0181647	0.023532	0.0228625	0.0253545	0.0188271	0.014768	0.00671017	0.0125707	0.00661403	0.00737153	0.0175862	0.00843989	0.0162114	0.00691905	0.00591741	0.0136502	0.0236096	0.0150946	0.0144925	0.0194086	0.0372646	0.0237005	0.029059	0.0129831	0.00701573	0.0095791	0.0107829	0.0101366	0.0229243	0.0278281	0.0152188	0.0179112	0.00821112	0.00976182	0.0145028	0.0151311	0.015997	0.0173238	0.0175948	0.0150281	0.00786282	0.00561515	0.00505961	0.00664704	0.00971473	0.0220456	0.0189851	0.0263573	0.0322804	0.0195858	0.0337292	0.0151341	0.032424	0.0104759	0.0147729	0.0101893	0.0100247	0.0182005
table	0.0215849	0.0173084	0.0180927	0.0166987	0.0136564	0.0287905	0.0167653	0.0245171	0.0122039	0.0194875	0.0107054	0.010037	0.0098961	0.0103821	0.00910651	0.00464857	0.0070762	0.0113926	0.0101668	0.0119831	0.00551169	0.0135507	0.0195976	0.0113338	0.00932206	0.00632417	0.00707979	0.00680433	0.0075123	0.00778695	0.00920008	0.01245	0.0137115	0.019842	0.017095	0.0138008	0.024745	0.0179126	0.0186487	0.0148619	0.0112972	0.018455	0.0180639	0.0231655	0.0350955	0.0374852	0.0391027	0.0427098	0.0383519	0.0484628	0.0167832	0.0137049	0.0213571	0.0212477	0.0174535	0.0104689	0.013118	0.0109247	0.0124628	0.00869905
prends-les	0.0143432	0.00657688	0.005079	0.0060029	0.00324596	0.00647004	0.00687949	0.00964191	0.00507463	0.0180621	0.0146016	0.0143942	0.0167547	0.0174407	0.0355068	0.030172	0.032312	0.0428819	0.0484243	0.0573739	0.0326547	0.0580821	0.035447	0.0283104	0.0184481	0.0253459	0.00779379	0.0145674	0.00983807	0.0119762	0.01178	0.0157283	0.0156349	0.0164994	0.00835297	0.0088083	0.0172964	0.0167921	0.0230683	0.0146083	0.0104849	0.0128885	0.00814971	0.0101282	0.00956724	0.0113591	0.0178028	0.0143578	0.0158858	0.0203788	0.0112607	0.00803564	0.0135304	0.0117659	0.00503918	0.0044987	0.0079095	0.00562607	0.0088231	0.0102371
et	0.0139569	0.0108248	0.0111172	0.0119892	0.00664738	0.00723371	0.00807923	0.0144354	0.00860669	0.0160397	0.00848486	0.0205454	0.0136379	0.0150645	0.0317457	0.0387857	0.0249635	0.03741	0.0482399	0.0317928	0.0343354	0.0295197	0.0342524	0.0253167	0.0308852	0.0191532	0.0141634	0.0177628	0.018707	0.0242986	0.0265284	0.0389598	0.0398175	0.0310338	0.0358109	0.0198646	0.0192106	0.0176337	0.0081704	0.0112001	0.00866902	0.00615615	0.00456594	0.00421556	0.00446362	0.00434422	0.00475108	0.00391601	0.00384045	0.00488451	0.00439986	0.00774834	0.0079714	0.00885597	0.00962698	0.00680797	0.0082543	0.00641407	0.00633262	0.00755738
apporte-les	0.0166606	0.00862894	0.00714385	0.0102626	0.00584248	0.00577486	0.00398963	0.00903165	0.00499723	0.00528587	0.0030961	0.00540559	0.00784503	0.0101429	0.015143	0.0186017	0.0100061	0.0192119	0.0174912	0.0138607	0.010763	0.00943244	0.0129599	0.0155654	0.0196531	0.0125353	0.0153135	0.0198666	0.0294627	0.0300102	0.0391447	0.0456716	0.0475176	0.0410559	0.0343345	0.0243254	0.0251853	0.0284571	0.019112	0.0204731	0.0199927	0.0141826	0.0145457	0.00569273	0.00802347	0.00888528	0.0060928	0.00380616	0.00641481	0.0109755	0.00902446	0.0148964	0.0163178	0.016406	0.0183609	0.0218264	0.0244323	0.0188473	0.0293017	0.0327136
moi	0.0272179	0.0144599	0.0193229	0.0180661	0.00891595	0.00627996	0.00557926	0.0172876	0.00765145	0.00844268	0.00564519	0.0082308	0.0124675	0.0223643	0.021412	0.0261141	0.0162139	0.026234	0.0244482	0.0170723	0.0210682	0.0175051	0.0221197	0.0188913	0.0240292	0.0213606	0.0220647	0.025393	0.0276881	0.0327969	0.0205403	0.0223126	0.0252862	0.0200043	0.0265537	0.0116558	0.0141704	0.0143792	0.00974767	0.011383	0.0113466	0.00817335	0.00703642	0.0046178	0.00584713	0.00719529	0.00530646	0.00664222	0.00604819	0.00674958	0.0125808	0.0146029	0.014393	0.0144118	0.0163658	0.0251752	0.0297012	0.0198482	0.0273506	0.0342313
