 	a66	a38	a44	a98	a85	a6	a56	a75	a6	a98	a79	a90	a98	a85	a36	a21	a92	a25	a69	a93	a70	a62	a34	a90	a44	a75	a92	a37	a61	a21	a12	a96	a18	a71	a3	a99	a97	a9	a27	</S>
ma	0.0552117	0.0674773	0.0474096	0.0738984	0.124113	0.0453898	0.0614056	0.0366791	0.0502899	0.0244743	0.0264682	0.0152105	0.00958545	0.00493433	0.00569208	0.00592772	0.00591334	0.00803893	0.00618064	0.0116609	0.021722	0.0153674	0.0202095	0.0292315	0.0208346	0.0248525	0.0217455	0.0138561	0.0101382	0.00801915	0.00696842	0.00837713	0.00911643	0.00777857	0.00952719	0.00689966	0.00831184	0.0136885	0.018329	0.0390664
femme	0.00208138	0.00534627	0.019624	0.0624668	0.077056	0.0657368	0.0702668	0.0680096	0.086904	0.0374985	0.0629305	0.0483873	0.0592494	0.0498817	0.0465597	0.0322136	0.0292607	0.0188697	0.0131247	0.00572096	0.00797993	0.0312526	0.0283503	0.0179479	0.00783626	0.0127774	0.00564143	0.00809634	0.00227949	0.00286203	0.00137429	0.00116097	0.00109789	0.000714568	0.000816791	0.000793239	0.000885602	0.00153812	0.00225224	0.00315418
attend	0.0214943	0.0245741	0.0391906	0.0293289	0.0446803	0.0593764	0.0345505	0.0384233	0.0421892	0.0426248	0.0474156	0.055988	0.0521961	0.0612184	0.0604421	0.0738248	0.0383742	0.0319669	0.0220411	0.0138863	0.00690847	0.00522382	0.00351002	0.00363629	0.00395771	0.00255401	0.00430556	0.00373787	0.00490917	0.00813181	0.00623275	0.00746481	0.00748068	0.0115199	0.0118037	0.0143236	0.0125997	0.0102879	0.0285569	0.0090694
le	0.0138113	0.00926601	0.00832861	0.00747814	0.00721421	0.00811145	0.0059867	0.00994409	0.0204208	0.0344827	0.037893	0.0414361	0.0359567	0.0370839	0.0316688	0.0613248	0.0672564	0.0508939	0.0519854	0.0445688	0.0209166	0.0230251	0.017337	0.0232304	0.0251705	0.0221209	0.0307278	0.0203998	0.0211757	0.00873551	0.011787	0.0204667	0.0222629	0.0199878	0.020757	0.0210092	0.0165175	0.0161008	0.0255272	0.0276327
véhicule	0.0254947	0.0273187	0.0330392	0.0392614	0.0535783	0.0506008	0.052913	0.0349003	0.0287043	0.034176	0.0315171	0.0340694	0.031467	0.0199706	0.0178868	0.0164895	0.0208967	0.0367611	0.0410763	0.0452734	0.0416054	0.0531677	0.0267739	0.0380887	0.0375208	0.0278261	0.020641	0.0110826	0.00674984	0.003553	0.00239088	0.00334097	0.00283487	0.00470749	0.00584431	0.00533181	0.00528588	0.00673688	0.0100295	0.0110937
qui	0.0226039	0.0124052	0.0103941	0.00974437	0.00964615	0.0139283	0.0157118	0.0205115	0.0181363	0.0295346	0.0363795	0.0409219	0.0374683	0.0351001	0.0277643	0.0229304	0.0365884	0.0491189	0.0519963	0.0472306	0.0392793	0.0155584	0.0340692	0.0278327	0.0283198	0.018505	0.037327	0.0354082	0.039239	0.0172004	0.011647	0.0143675	0.0128792	0.01467	0.0201275	0.0170012	0.0136386	0.0180817	0.0163622	0.0203711
part	0.0370207	0.0194615	0.0233568	0.016566	0.0176529	0.0260532	0.017712	0.0282431	0.0248137	0.0381673	0.0400917	0.0357441	0.0312134	0.0193707	0.0195259	0.0162092	0.0303029	0.0376028	0.0338784	0.0508424	0.0458074	0.0172223	0.0222932	0.0162294	0.0274835	0.0168508	0.0196627	0.0266431	0.021264	0.0208428	0.0124606	0.0130826	0.01211	0.019843	0.0270458	0.0246737	0.0265428	0.0220218	0.0245245	0.0195672
à	0.0479504	0.0367679	0.033464	0.0268302	0.0221897	0.02172	0.013307	0.0146872	0.0116131	0.0184133	0.0259182	0.0236763	0.0224261	0.0110173	0.0120605	0.0126082	0.0149297	0.015494	0.0169737	0.0233528	0.0216364	0.00983577	0.011516	0.0129922	0.0159841	0.0130895	0.0220657	0.0227527	0.024801	0.0373156	0.0120865	0.0159286	0.0165831	0.0226693	0.0473494	0.0460903	0.0505277	0.0378996	0.068319	0.0651579
brazaville	0.0242706	0.0209388	0.017914	0.0095922	0.0138826	0.0181	0.0170732	0.0257907	0.0230168	0.025531	0.0351893	0.0291923	0.0261594	0.0193854	0.0174579	0.0163904	0.0227884	0.0149319	0.0184796	0.0168988	0.0193456	0.00610426	0.0139334	0.00873506	0.010343	0.00850128	0.0144568	0.0170688	0.0213162	0.0389581	0.0147798	0.0224231	0.0331787	0.0373863	0.0496421	0.0509342	0.0513102	0.0520462	0.0585928	0.0579607
</S>	0.0306079	0.0278579	0.0172588	0.0151516	0.0177754	0.0160322	0.0153489	0.0184672	0.016613	0.0126647	0.0184116	0.0119493	0.0102207	0.00855799	0.00821959	0.00757794	0.0102942	0.0068044	0.00872781	0.00852625	0.00983081	0.00450973	0.00874791	0.00764445	0.00733083	0.00823063	0.0111808	0.0131442	0.016055	0.0247666	0.0106318	0.014902	0.0303864	0.029517	0.0682097	0.0552444	0.0609446	0.064466	0.113589	0.153601
