 	a66	a87	a23	a97	a87	a23	a53	a90	a56	a75	a21	a5	a92	a98	a85	a6	a36	a0	a90	a25	a92	a56	a75	a85	a47	a0	a90	a92	a37	a66	a82	a87	a23	a99	a97	</S>
l'	0.0292955	0.033498	0.0217361	0.0200497	0.0149934	0.0122976	0.0106747	0.0127708	0.0294338	0.0385876	0.0695414	0.061033	0.0376255	0.026415	0.0269945	0.0200158	0.0131067	0.0153248	0.0157831	0.0191128	0.0175652	0.0203886	0.0128514	0.018634	0.0199234	0.0263947	0.0280914	0.0309137	0.0304294	0.0269344	0.0234274	0.0225838	0.0256672	0.0355251	0.026111	0.106269
homme	0.00762634	0.00709808	0.00948266	0.012072	0.0367095	0.0357028	0.0377565	0.0412103	0.0477516	0.0499724	0.0313599	0.0653462	0.09464	0.0338797	0.0418609	0.0199432	0.0166818	0.0349762	0.0307508	0.0423141	0.0372346	0.0528034	0.0367552	0.0238462	0.0274704	0.0214987	0.0282072	0.0150171	0.00978729	0.00953218	0.0036959	0.00504885	0.00737116	0.00513118	0.0115351	0.00793051
qui	0.0351	0.0222333	0.0248284	0.0153639	0.0138943	0.0157351	0.0105541	0.0120327	0.0375108	0.0406678	0.0478255	0.272503	0.0474384	0.0386186	0.0123014	0.0132335	0.00938478	0.00541268	0.00830612	0.00895021	0.00520383	0.00439206	0.00628288	0.00773361	0.00813614	0.0115834	0.0175087	0.0262393	0.0249338	0.0234819	0.0276857	0.0278895	0.0224168	0.0275518	0.0437835	0.0232822
a	0.0775901	0.0334196	0.0261339	0.011927	0.0130542	0.0173271	0.0173261	0.0146514	0.0160192	0.0207818	0.0291453	0.0366127	0.0101172	0.0123591	0.0104841	0.0109946	0.00784644	0.008482	0.00629224	0.0134742	0.0101226	0.0262365	0.0180185	0.0247254	0.0181143	0.0173488	0.0233586	0.0261378	0.0276612	0.0321469	0.0459782	0.0510638	0.0530935	0.0787487	0.0764692	0.0767376
reçu	0.0689211	0.0429487	0.0373698	0.0265253	0.0225685	0.0390912	0.0382583	0.0496208	0.0520476	0.0484712	0.0356456	0.0311979	0.0356463	0.0577182	0.0411187	0.0591183	0.0464164	0.0342179	0.0184722	0.0170817	0.00769425	0.0117557	0.0113562	0.00989969	0.0119338	0.0107857	0.0120449	0.00749775	0.00762667	0.00883469	0.0110975	0.00797831	0.0126987	0.0197983	0.0217078	0.0248343
les	0.0451202	0.0436724	0.0519227	0.0386871	0.0230729	0.018208	0.0118685	0.0117253	0.0287959	0.0358976	0.062147	0.0352311	0.0154731	0.0146262	0.0151247	0.0161803	0.00660913	0.00545822	0.00826743	0.00927134	0.0148219	0.0327239	0.0186711	0.0393115	0.0316924	0.0207701	0.0317283	0.0312211	0.0336853	0.0432854	0.0304289	0.0240369	0.036113	0.0309874	0.0383432	0.0448206
balles	0.0365342	0.0319546	0.0338069	0.0286269	0.0186295	0.0245408	0.0162341	0.0153321	0.0245638	0.0254993	0.0215363	0.0364314	0.0231662	0.0218357	0.0259617	0.0451737	0.0407961	0.0227296	0.032663	0.0369318	0.0355997	0.0309305	0.0310654	0.0350485	0.0268846	0.0201396	0.029604	0.0277681	0.0212394	0.0201708	0.0242132	0.026738	0.0221631	0.0207741	0.0318982	0.0328148
respire	0.0428409	0.0382501	0.0368244	0.0232317	0.011007	0.0125889	0.00861777	0.00845711	0.014953	0.0179918	0.0137397	0.0108801	0.00843783	0.00599323	0.0065198	0.00970443	0.0138847	0.0142754	0.0227865	0.0259052	0.0227986	0.0180437	0.0187137	0.0217837	0.0299	0.0346879	0.0404399	0.0518607	0.0417026	0.0509388	0.0510351	0.056828	0.0518238	0.0471128	0.0513642	0.0640768
encore	0.0401626	0.0467735	0.0476945	0.027872	0.0153541	0.0115108	0.00482035	0.0063462	0.0116252	0.00768292	0.00658219	0.00896835	0.00851575	0.00464125	0.00298845	0.00358542	0.00222356	0.00345093	0.00655694	0.011415	0.00774863	0.00754606	0.0104709	0.0131763	0.0278124	0.0388917	0.0448982	0.048802	0.0361365	0.0487589	0.0621722	0.0604365	0.0602946	0.0829829	0.0815766	0.0895257
</S>	0.0601837	0.0523391	0.0403427	0.0270552	0.0229212	0.0193178	0.0110753	0.0125715	0.0168394	0.0131885	0.0139828	0.0150868	0.0239774	0.021092	0.0119036	0.0179509	0.0113057	0.020515	0.0179976	0.0198282	0.00947947	0.00873013	0.0133012	0.0211314	0.029836	0.0311269	0.0279128	0.0278598	0.0244198	0.0288831	0.0427255	0.0380148	0.0409435	0.056886	0.0966675	0.0526078
