 	a66	a87	a23	a87	a23	a87	a99	a53	a4	a90	a20	a47	a26	a75	a41	a21	a47	a96	a24	a71	a24	a31	a24	a9	a10	a87	a23	a97	</S>
on	0.0363069	0.0456497	0.0513365	0.0690397	0.109746	0.0551672	0.0594351	0.0772625	0.0695911	0.0790043	0.0415335	0.0444153	0.0254553	0.0119297	0.0135866	0.00800021	0.00637029	0.00634718	0.00484585	0.00789211	0.0166114	0.0125499	0.0151947	0.0171677	0.019921	0.0232268	0.0164499	0.0138947	0.0420692
lui	0.0310677	0.0136906	0.0114248	0.00653792	0.00632228	0.00694274	0.0164523	0.0190774	0.0269439	0.0652799	0.0625141	0.162828	0.0998709	0.126748	0.0409344	0.0249205	0.0134959	0.0108646	0.0146377	0.00921877	0.0164942	0.0182303	0.0180722	0.0211886	0.0219003	0.024569	0.0300359	0.0365597	0.0431779
fait	0.0511599	0.0229049	0.022223	0.0245075	0.0212082	0.0172888	0.0148835	0.0120456	0.0113169	0.0358014	0.0385131	0.0361199	0.0129753	0.0134487	0.00617916	0.0137837	0.00987558	0.0127925	0.0221184	0.0200315	0.0280174	0.0465942	0.0397993	0.0556131	0.0643424	0.0662434	0.0701135	0.0994212	0.110678
des	0.0141213	0.0303996	0.0175578	0.0113997	0.0170851	0.0181996	0.0199718	0.0261511	0.0201395	0.0278774	0.0217222	0.0106512	0.0487875	0.0288572	0.0644171	0.105828	0.133228	0.121067	0.0753945	0.0512408	0.0319897	0.0281262	0.0141317	0.00961842	0.00765501	0.00656099	0.0065381	0.00701203	0.0242718
massages	0.121817	0.0956223	0.04159	0.0172866	0.0155827	0.0102734	0.0127291	0.0194212	0.0182	0.0399333	0.0648297	0.0348929	0.0383873	0.0430146	0.0335887	0.0236107	0.0150397	0.0138596	0.0231316	0.0244299	0.0184943	0.0252068	0.0280541	0.031646	0.0315742	0.035698	0.0454051	0.0385048	0.0381767
à	0.0518701	0.0439278	0.0420353	0.0361103	0.0294614	0.0252938	0.0212012	0.0151846	0.0138276	0.0165882	0.0105651	0.00793892	0.00688354	0.00696614	0.00895441	0.00863847	0.00813636	0.0105305	0.017577	0.0378914	0.0650592	0.070123	0.0860653	0.0687316	0.0830724	0.06961	0.0626338	0.0427996	0.032323
l'	0.150545	0.0844306	0.044772	0.0170153	0.0138194	0.0127512	0.00789922	0.0056674	0.00473127	0.0068182	0.00809231	0.00689748	0.00783969	0.0221426	0.0236407	0.0128597	0.0105574	0.011235	0.0200522	0.023646	0.0309366	0.0273931	0.0553397	0.0574683	0.0562086	0.048701	0.0832116	0.0857988	0.0595294
eau	0.0953455	0.0525819	0.0362845	0.0174758	0.0195432	0.0133148	0.00577721	0.00460485	0.00667615	0.0111989	0.00868468	0.0149672	0.0345086	0.0359162	0.028135	0.0132812	0.00864376	0.00586199	0.00853306	0.0200598	0.0249946	0.0182389	0.0569633	0.0587817	0.0753211	0.0829803	0.0881323	0.0942657	0.0589277
chaude	0.116669	0.064288	0.0472885	0.0238367	0.0273437	0.0118038	0.00652393	0.00403171	0.00442419	0.00893486	0.00694147	0.0090131	0.00633052	0.00711736	0.00354155	0.00295467	0.00270037	0.00532167	0.00939808	0.0257739	0.0358423	0.0249201	0.0454121	0.0343928	0.0522029	0.0723347	0.088105	0.126002	0.126551
</S>	0.0967175	0.046232	0.0298808	0.0272443	0.0304564	0.0143404	0.00753081	0.00630546	0.0059066	0.00574702	0.00430716	0.00965581	0.00525087	0.0129257	0.0087841	0.00579652	0.00485848	0.0108461	0.0157326	0.0302232	0.0314501	0.034691	0.0662597	0.0593744	0.0643355	0.0716068	0.0914525	0.088058	0.11403
