 	a23	a87	a23	a38	a41	a27	a94	a76	a41	a73	a0	a11	a56	a75	a41	a18	a41	a94	a76	a73	a30	a73	a20	a94	a20	a94	a53	a94	a54	a73	a84	a57	a87	</S>
l'	0.128491	0.0645867	0.0513641	0.0505054	0.0423139	0.020236	0.0196085	0.027377	0.0243175	0.0197774	0.0267695	0.0191926	0.0161917	0.0129814	0.0119999	0.0158452	0.0113988	0.016075	0.0183889	0.0237263	0.0279713	0.0218038	0.0150309	0.0148826	0.0143612	0.0139938	0.0483945	0.0185962	0.0145941	0.0242055	0.0510304	0.0503261	0.0181429	0.04552
arête	0.0088462	0.0134928	0.016975	0.0443434	0.0431383	0.0637992	0.0668853	0.067572	0.0725038	0.0182058	0.0236263	0.025302	0.0156664	0.0276211	0.021878	0.0166717	0.0121045	0.00822531	0.0132865	0.0210293	0.0199766	0.0195336	0.0176798	0.085533	0.0220998	0.020137	0.0153946	0.0198177	0.0247392	0.0188294	0.0122188	0.0278939	0.0675399	0.0274338
du	0.0159036	0.0168439	0.0216916	0.029612	0.0319902	0.0224618	0.0364241	0.0493616	0.0596328	0.0434803	0.0457253	0.0418368	0.0532493	0.0698731	0.0728851	0.0414347	0.0118383	0.00942498	0.00357474	0.00636426	0.00200292	0.00436406	0.00340849	0.00362906	0.00345085	0.0104211	0.0240846	0.0248214	0.0337544	0.0588078	0.0360318	0.0523005	0.0399888	0.0193258
poisson	0.025445	0.0281337	0.0274958	0.026293	0.0194742	0.0476847	0.0362435	0.0289311	0.0335445	0.0447966	0.0335082	0.026904	0.0322084	0.0444909	0.0402412	0.0488465	0.033433	0.0537711	0.0272245	0.031055	0.0100861	0.0193172	0.00943328	0.0185058	0.0157073	0.0242621	0.0221972	0.0213868	0.026461	0.0314382	0.0318514	0.0235826	0.0281224	0.027924
s'	0.0378812	0.0338656	0.024461	0.0115046	0.0132856	0.00920442	0.0113095	0.00828553	0.010545	0.0156557	0.0204636	0.0158301	0.0336769	0.0630884	0.0564778	0.0438669	0.0574453	0.0662113	0.0448202	0.0467262	0.0352645	0.055978	0.0476487	0.032597	0.0317772	0.0227846	0.0261479	0.0173112	0.0129838	0.0113357	0.0101309	0.0127813	0.0123915	0.0462628
est	0.0512166	0.0325443	0.0374294	0.0300788	0.0297326	0.0265648	0.0360179	0.0162762	0.0225814	0.0335842	0.0211685	0.0225654	0.0373845	0.0273367	0.0325514	0.03381	0.0177767	0.022271	0.0128587	0.0162867	0.0220504	0.032453	0.0219474	0.0308135	0.0342855	0.0292044	0.0295775	0.0335394	0.0360165	0.0508237	0.0300456	0.0395887	0.0237201	0.0258988
coincée	0.0366783	0.0403058	0.0452869	0.0375308	0.0312404	0.0227749	0.0202854	0.0204606	0.0175863	0.0151767	0.0140042	0.00930466	0.022616	0.0154577	0.0199618	0.0272514	0.0231309	0.0244518	0.0169258	0.0183513	0.0179567	0.0298544	0.0551738	0.0269375	0.028842	0.0344128	0.0425913	0.0415889	0.0276428	0.0509319	0.0423515	0.0641862	0.0306204	0.0281278
dans	0.0391774	0.0306385	0.0241571	0.0162509	0.00997765	0.00495544	0.00485293	0.00420442	0.00359788	0.00253237	0.00581694	0.00513735	0.0119725	0.0120742	0.0098114	0.014584	0.0109231	0.0116081	0.00742069	0.0124353	0.00839767	0.0104899	0.032332	0.0313374	0.0264371	0.0482714	0.0587532	0.045113	0.0551094	0.0821495	0.0806555	0.113672	0.0696786	0.0954751
sa	0.0360685	0.030826	0.0189747	0.00785248	0.00585069	0.00234719	0.00176943	0.0024641	0.0018086	0.00202322	0.00271959	0.00411312	0.00783006	0.00935094	0.0103087	0.0135366	0.0132722	0.0260495	0.0274777	0.0400521	0.0475886	0.0510367	0.11367	0.0765666	0.0436272	0.0361861	0.0506377	0.0186772	0.0210427	0.0321405	0.0447562	0.0526687	0.043226	0.10348
gorge	0.0220308	0.0158501	0.0108128	0.0057137	0.00477984	0.00480082	0.00324028	0.00238984	0.00307211	0.00314368	0.00490992	0.0069272	0.0112823	0.0245683	0.0174826	0.0220753	0.0152239	0.0282119	0.0261762	0.0551136	0.049125	0.0566922	0.0926055	0.0602311	0.0440426	0.0538429	0.0539374	0.0215399	0.0285934	0.0260778	0.056513	0.0499538	0.037275	0.0817651
</S>	0.0368853	0.0258981	0.0164421	0.00773422	0.00706834	0.00418657	0.00332292	0.00256529	0.0033428	0.0032097	0.00286405	0.00293675	0.00493632	0.00477405	0.00436508	0.00615884	0.00431527	0.00779741	0.00660824	0.0106472	0.0143004	0.00993755	0.0196194	0.0373304	0.0363795	0.0642669	0.0788856	0.0581804	0.0665868	0.072073	0.0839993	0.0982765	0.0447927	0.149313
