 	a23	a83	a9	a38	a90	a56	a34	a31	a62	a0	a75	a31	a75	a56	a75	a66	a93	a13	a9	a97	a87	a23	a87	</S>
c'	0.0693404	0.0871961	0.0725593	0.10575	0.0915609	0.0506964	0.0387382	0.0103299	0.00897581	0.00209065	0.00273217	0.00205566	0.00150952	0.00216788	0.00462131	0.0166273	0.012757	0.0462685	0.0910902	0.0770236	0.0654813	0.0628949	0.024569	0.0529633
est	0.0702052	0.0439512	0.0687917	0.0523481	0.0740541	0.0885206	0.077905	0.0606258	0.0346438	0.0295586	0.016364	0.0180307	0.0266486	0.0446695	0.0420965	0.0592921	0.0591221	0.0282844	0.0152017	0.0208552	0.0179206	0.0234184	0.0175523	0.00993989
ainsi	0.111222	0.0405457	0.0556825	0.0502868	0.0588005	0.0915899	0.0666718	0.0602934	0.0707171	0.0240682	0.0149405	0.0287399	0.0169824	0.016832	0.0143309	0.0243827	0.0193468	0.020811	0.0229203	0.0261522	0.0382221	0.030129	0.0641031	0.0322292
que	0.144791	0.0734465	0.0878785	0.188321	0.170476	0.0971295	0.0762267	0.0401624	0.0354487	0.021263	0.00618315	0.013951	0.0056536	0.00303983	0.00322446	0.00340937	0.0049999	0.00272357	0.00334887	0.00302007	0.00221295	0.00479094	0.00487904	0.00342034
la	0.076068	0.0638729	0.0310013	0.021212	0.0376062	0.0261352	0.0275959	0.0297327	0.072877	0.0460468	0.034732	0.098507	0.0332153	0.0456869	0.0630284	0.0286983	0.0525199	0.0465015	0.0262089	0.0389316	0.0295384	0.0315547	0.0281591	0.0105703
maladie	0.281978	0.13787	0.114428	0.0770513	0.0505413	0.042293	0.0298811	0.0166622	0.0564179	0.0084832	0.00421481	0.0105028	0.00430352	0.00654038	0.0110197	0.00617335	0.0128156	0.0194258	0.0256781	0.0299705	0.0223971	0.0197487	0.00751195	0.00409163
t'	0.203075	0.0844607	0.0909007	0.082099	0.0751724	0.0824491	0.0446676	0.0317476	0.0825158	0.0291937	0.00722482	0.0275606	0.00892068	0.00898153	0.0123743	0.00716723	0.0167308	0.0135157	0.012894	0.017164	0.0160254	0.0236657	0.0142156	0.00727765
a	0.0883425	0.0459453	0.0729301	0.0657498	0.0350175	0.0202974	0.0172652	0.0218594	0.0249724	0.0253509	0.01806	0.024398	0.0170528	0.00949722	0.0289134	0.0372938	0.0455642	0.0306526	0.0514858	0.0570835	0.0849382	0.0761793	0.0562415	0.0449089
laissé	0.0651383	0.0311165	0.0304227	0.0338671	0.017212	0.0104425	0.00806947	0.0136608	0.0372207	0.0261557	0.0209704	0.0268631	0.0214401	0.0209825	0.0326832	0.025039	0.0311836	0.0314885	0.0508671	0.0624546	0.0969024	0.0939714	0.0950837	0.116764
</S>	0.0546599	0.0344168	0.0291796	0.0224679	0.0164171	0.0136093	0.00871948	0.015649	0.0265716	0.0275155	0.0247932	0.0290006	0.0191661	0.0241496	0.0333608	0.0275007	0.0300345	0.0411327	0.0727034	0.0811574	0.0924529	0.078057	0.076141	0.121144
